University,PUB-15,PUB-16,,,,,,,
University of Amsterdam,53.3,55.1,,,-1.8,-0.0337711069,0.0011404877,,0.0337711069
University of Illinois at Urbana-Champaign,55.5,55.1,,,0.4,0.0072072072,5.19438357276191E-005,,0.0072072072
VU University Amsterdam,55.5,54.9,,,0.6,0.0108108108,0.0001168736,,0.0108108108
National Taiwan University,55.5,54.7,,,0.8,0.0144144144,0.0002077753,,0.0144144144
Sapienza University of Rome,52,54.5,,,-2.5,-0.0480769231,0.0023113905,,0.0480769231
Jilin University,50.7,54.2,,,-3.5,-0.0690335306,0.0047656283,,0.0690335306
University of Southern California,53.2,53.9,,,-0.7,-0.0131578947,0.0001731302,,0.0131578947
Yonsei University,52.1,53.7,,,-1.6,-0.0307101727,0.0009431147,,0.0307101727
Pennsylvania State University - University Park,53.4,53.4,,,0,0,0,,0
University of Groningen,52.6,53.2,,,-0.6,-0.0114068441,0.0001301161,,0.0114068441
University of Zurich,51.6,53.1,,,-1.5,-0.0290697674,0.0008450514,,0.0290697674
Aarhus University,51.8,52.9,,,-1.1,-0.0212355212,0.0004509474,,0.0212355212
Xian Jiao Tong University,50.1,52.8,,,-2.7,-0.0538922156,0.0029043709,,0.0538922156
"University of Maryland, College Park",52.7,52.7,,,0,0,0,,0
Karolinska Institute,50.8,52.6,,,-1.8,-0.0354330709,0.0012555025,,0.0354330709
University of Science and Technology of China,50.8,52.6,,,-1.8,-0.0354330709,0.0012555025,,0.0354330709
Nanyang Technological University,50.5,52.3,,,-1.8,-0.0356435644,0.0012704637,,0.0356435644
Harbin Institute of Technology,48.7,52.2,,,-3.5,-0.0718685832,0.0051650932,,0.0718685832
Korea University,50.7,52.2,,,-1.5,-0.0295857988,0.0008753195,,0.0295857988
Osaka University,51.7,52.2,,,-0.5,-0.0096711799,9.35317203476387E-005,,0.0096711799
The University of Edinburgh,51.9,52.1,,,-0.2,-0.0038535645,0.00001485,,0.0038535645
University of Helsinki,51.8,51.9,,,-0.1,-0.0019305019,3.72683770367179E-006,,0.0019305019
Heidelberg University,51.7,51.8,,,-0.1,-0.001934236,3.74126881390512E-006,,0.001934236
Central South University,47.7,51.7,,,-4,-0.0838574423,0.0070320706,,0.0838574423
Washington University in St. Louis,50.5,51.7,,,-1.2,-0.0237623762,0.0005646505,,0.0237623762
Aix Marseille University,50.1,51.2,,,-1.1,-0.0219560878,0.0004820698,,0.0219560878
Michigan State University,50.6,51.1,,,-0.5,-0.0098814229,9.76425190207627E-005,,0.0098814229
Vanderbilt University,51,51,,,0,0,0,,0
Emory University,51.3,51,,,0.3,0.0058479532,3.41985568209015E-005,,0.0058479532
Radboud University Nijmegen,50.4,50.8,,,-0.4,-0.0079365079,6.2988158226253E-005,,0.0079365079
Lund University,49.7,50.7,,,-1,-0.0201207243,0.0004048435,,0.0201207243
University of Oslo,49.1,50.6,,,-1.5,-0.0305498982,0.0009332963,,0.0305498982
University of Barcelona,51.6,50.6,,,1,0.019379845,0.0003755784,,0.019379845
Tianjin University,46.8,50.4,,,-3.6,-0.0769230769,0.0059171598,,0.0769230769
Sungkyunkwan University,47,50.3,,,-3.3,-0.070212766,0.0049298325,,0.070212766
University of Munich,50.7,50.3,,,0.4,0.0078895464,6.22449416259174E-005,,0.0078895464
University of Chicago,49.8,50.2,,,-0.4,-0.0080321285,6.45150884663169E-005,,0.0080321285
Uppsala University,49.8,50.2,,,-0.4,-0.0080321285,6.45150884663169E-005,,0.0080321285
Tohoku University,52.2,50.2,,,2,0.0383141762,0.0014679761,,0.0383141762
Purdue University - West Lafayette,49,50.1,,,-1.1,-0.0224489796,0.0005039567,,0.0224489796
Boston University,49.5,50.1,,,-0.6,-0.0121212121,0.0001469238,,0.0121212121
Texas A&M University,49.5,50.1,,,-0.6,-0.0121212121,0.0001469238,,0.0121212121
University of Montreal,50.6,49.8,,,0.8,0.0158102767,0.0002499648,,0.0158102767
Moscow State University,46.4,49.7,,,-3.3,-0.0711206897,0.0050581525,,0.0711206897
Technical University Munich,48.3,49.7,,,-1.4,-0.0289855072,0.0008401596,,0.0289855072
University of Padua,48.2,49.6,,,-1.4,-0.0290456432,0.0008436494,,0.0290456432
Wuhan University,45.6,49.3,,,-3.7,-0.0811403509,0.0065837565,,0.0811403509
Leiden University,46.9,49.3,,,-2.4,-0.0511727079,0.002618646,,0.0511727079
University of Arizona,48.4,49.1,,,-0.7,-0.0144628099,0.0002091729,,0.0144628099
Tel Aviv University,48.1,49,,,-0.9,-0.0187110187,0.0003501022,,0.0187110187
Tongji University,46.3,48.8,,,-2.5,-0.0539956803,0.0029155335,,0.0539956803
The University of Western Australia,47.5,48.8,,,-1.3,-0.0273684211,0.0007490305,,0.0273684211
Mayo Medical School,46.5,48.7,,,-2.2,-0.047311828,0.0022384091,,0.047311828
University of Utah,46.7,48.3,,,-1.6,-0.034261242,0.0011738327,,0.034261242
National Autonomous University of Mexico,47.7,48.2,,,-0.5,-0.0104821803,0.0001098761,,0.0104821803
University of Paris-Sud (Paris 11),47.3,47.9,,,-0.6,-0.0126849894,0.000160909,,0.0126849894
University of Southampton,46.2,47.8,,,-1.6,-0.0346320346,0.0011993778,,0.0346320346
King Abdulaziz University,47,47.8,,,-0.8,-0.0170212766,0.0002897239,,0.0170212766
University of Bologna,48.1,47.6,,,0.5,0.0103950104,0.0001080562,,0.0103950104
University of Milan,46.3,47.4,,,-1.1,-0.0237580994,0.0005644473,,0.0237580994
University of Lisbon,45,47.2,,,-2.2,-0.0488888889,0.0023901235,,0.0488888889
University of Bristol,45.5,46.7,,,-1.2,-0.0263736264,0.0006955682,,0.0263736264
The Australian National University,45.1,46.4,,,-1.3,-0.0288248337,0.000830871,,0.0288248337
University Paris Diderot - Paris 7,45,46.3,,,-1.3,-0.0288888889,0.0008345679,,0.0288888889
Utrecht University,46,46.3,,,-0.3,-0.0065217391,4.25330812854434E-005,,0.0065217391
University of Colorado at Boulder,45,46.2,,,-1.2,-0.0266666667,0.0007111111,,0.0266666667
King Saud University,42.5,46.1,,,-3.6,-0.0847058824,0.0071750865,,0.0847058824
McMaster University,44.5,45.5,,,-1,-0.0224719101,0.0005049867,,0.0224719101
Southeast University,43.6,45.4,,,-1.8,-0.0412844037,0.001704402,,0.0412844037
University of Birmingham,44.7,45.4,,,-0.7,-0.0156599553,0.0002452342,,0.0156599553
Soochow University,41.3,45.2,,,-3.9,-0.0944309927,0.0089172124,,0.0944309927
Autonomous University of Barcelona,44.5,45.2,,,-0.7,-0.0157303371,0.0002474435,,0.0157303371
University of Malaya,43.9,45,,,-1.1,-0.0250569476,0.0006278506,,0.0250569476
"University of California, Irvine",45.3,45,,,0.3,0.0066225166,4.38577255383528E-005,,0.0066225166
The University of Calgary,44.6,44.9,,,-0.3,-0.0067264574,4.52452291419485E-005,,0.0067264574
University of Nottingham,45.9,44.9,,,1,0.0217864924,0.0004746512,,0.0217864924
The University of Hong Kong,43.9,44.8,,,-0.9,-0.020501139,0.0004202967,,0.020501139
The University of Adelaide,42,44.6,,,-2.6,-0.0619047619,0.0038321995,,0.0619047619
Arizona State University,42.6,44.6,,,-2,-0.0469483568,0.0022041482,,0.0469483568
Charles University in Prague,43.9,44.6,,,-0.7,-0.0159453303,0.0002542536,,0.0159453303
University of Ottawa,44,44.4,,,-0.4,-0.0090909091,8.2644628099173E-005,,0.0090909091
Kyushu University,44.2,44.4,,,-0.2,-0.0045248869,2.04746012571396E-005,,0.0045248869
The University of Sheffield,42.8,44.3,,,-1.5,-0.035046729,0.0012282732,,0.035046729
Nagoya University,44.3,44.2,,,0.1,0.0022573363,5.09556736594778E-006,,0.0022573363
University of Iowa,44.7,44.2,,,0.5,0.0111856823,0.0001251195,,0.0111856823
Georgia Institute of Technology,43.2,44.1,,,-0.9,-0.0208333333,0.0004340278,,0.0208333333
Brown University,43.6,43.9,,,-0.3,-0.0068807339,4.73444996212431E-005,,0.0068807339
UNESP,44.5,43.9,,,0.6,0.0134831461,0.0001817952,,0.0134831461
"Rutgers, The State University of New Jersey - New Brunswick",44.6,43.9,,,0.7,0.0156950673,0.0002463351,,0.0156950673
Western University,41.5,43.7,,,-2.2,-0.0530120482,0.0028102773,,0.0530120482
University of Leeds,42.5,43.7,,,-1.2,-0.0282352941,0.0007972318,,0.0282352941
University of Belgrade,43.3,43.7,,,-0.4,-0.0092378753,8.53383398492736E-005,,0.0092378753
University of Illinois at Chicago,43.7,43.6,,,0.1,0.0022883295,5.23645198959008E-006,,0.0022883295
California Institute of Technology,44,43.6,,,0.4,0.0090909091,8.2644628099173E-005,,0.0090909091
University of Virginia,43.7,43.5,,,0.2,0.004576659,2.09458079583603E-005,,0.004576659
Maastricht University,41.4,43.3,,,-1.9,-0.0458937198,0.0021062335,,0.0458937198
University of Waterloo,42.2,43.2,,,-1,-0.0236966825,0.0005615328,,0.0236966825
University of Porto,42.2,43.2,,,-1,-0.0236966825,0.0005615328,,0.0236966825
South China University of Technology,40.7,43.1,,,-2.4,-0.058968059,0.003477232,,0.058968059
The University of Georgia,42.1,43.1,,,-1,-0.0237529691,0.0005642035,,0.0237529691
The Chinese University of Hong Kong,43.1,43.1,,,0,0,0,,0
University of Liverpool,41.2,43,,,-1.8,-0.0436893204,0.0019087567,,0.0436893204
University of Naples Federico II,42,43,,,-1,-0.0238095238,0.0005668934,,0.0238095238
Beihang University,40.3,42.9,,,-2.6,-0.064516129,0.0041623309,,0.064516129
Princeton University,42.4,42.9,,,-0.5,-0.0117924528,0.0001390619,,0.0117924528
University of Gothenburg,41.3,42.6,,,-1.3,-0.0314769976,0.0009908014,,0.0314769976
Hokkaido University,42.2,42.5,,,-0.3,-0.0071090047,5.05379483839077E-005,,0.0071090047
Swiss Federal Institute of Technology Lausanne,41.8,42.3,,,-0.5,-0.0119617225,0.0001430828,,0.0119617225
Dalian University of Technology,41.8,42.3,,,-0.5,-0.0119617225,0.0001430828,,0.0119617225
The University of Glasgow,42.1,42.3,,,-0.2,-0.0047505938,2.25681416827925E-005,,0.0047505938
Complutense University of Madrid,42.8,42.3,,,0.5,0.011682243,0.0001364748,,0.011682243
The University of Auckland,41,42.2,,,-1.2,-0.0292682927,0.000856633,,0.0292682927
University of Bern,41.3,42.1,,,-0.8,-0.01937046,0.0003752147,,0.01937046
Xiamen University,39.4,41.9,,,-2.5,-0.0634517766,0.004026128,,0.0634517766
Stockholm University,40.4,41.9,,,-1.5,-0.0371287129,0.0013785413,,0.0371287129
University of Wageningen,42,41.9,,,0.1,0.0023809524,5.66893424036297E-006,,0.0023809524
Virginia Polytechnic Institute and State University,40.9,41.8,,,-0.9,-0.02200489,0.0004842152,,0.02200489
The University of Texas M. D. Anderson Cancer Center,41.3,41.8,,,-0.5,-0.0121065375,0.0001465683,,0.0121065375
University of Turin,40,41.7,,,-1.7,-0.0425,0.00180625,,0.0425
North Carolina State University - Raleigh,41.2,41.7,,,-0.5,-0.0121359223,0.0001472806,,0.0121359223
Baylor College of Medicine,39.7,41.6,,,-1.9,-0.0478589421,0.0022904783,,0.0478589421
University of Campinas,41.2,41.6,,,-0.4,-0.0097087379,9.42595909133747E-005,,0.0097087379
University of Warwick,39.3,41.5,,,-2.2,-0.0559796438,0.0031337205,,0.0559796438
University of Valencia,41.1,41.5,,,-0.4,-0.0097323601,9.4718833063976E-005,,0.0097323601
Hanyang University,40.5,41.4,,,-0.9,-0.0222222222,0.0004938272,,0.0222222222
China Agricultural University,39.7,41.3,,,-1.6,-0.040302267,0.0016242727,,0.040302267
TU Dresden,40.8,41.3,,,-0.5,-0.012254902,0.0001501826,,0.012254902
University of Tehran,40,41.2,,,-1.2,-0.03,0.0009,,0.03
University of Tuebingen,41.1,41.2,,,-0.1,-0.00243309,5.91992706649871E-006,,0.00243309
University of Paris Descartes (Paris 5),40.1,41,,,-0.9,-0.0224438903,0.0005037282,,0.0224438903
University of South Florida,40.2,40.8,,,-0.6,-0.0149253731,0.0002227668,,0.0149253731
RWTH Aachen University,40.6,40.8,,,-0.2,-0.0049261084,2.42665437161775E-005,,0.0049261084
Technical University of Denmark,39,40.7,,,-1.7,-0.0435897436,0.0019000657,,0.0435897436
University of Granada,39.7,40.7,,,-1,-0.0251889169,0.0006344815,,0.0251889169
Federal University of Rio de Janeiro,40.6,40.7,,,-0.1,-0.0024630542,6.0666359290448E-006,,0.0024630542
University of Erlangen-Nuremberg,39.7,40.5,,,-0.8,-0.0201511335,0.0004060682,,0.0201511335
Claude Bernard University Lyon 1,40.2,40.5,,,-0.3,-0.0074626866,5.56916907997316E-005,,0.0074626866
University of Kentucky,39.4,40.4,,,-1,-0.0253807107,0.0006441805,,0.0253807107
University of Kansas,39.2,40.3,,,-1.1,-0.0280612245,0.0007874323,,0.0280612245
,,,,,,,0.2034363057,,4.9239426431
,,,,,,,0.001022293,,0.0247434304
,,,,,,,0.0319733169,,
