University,PCP-15,PCP-16,,,,,,,
California Institute of Technology,100,100,,,0,0,0,,0
Harvard University,76.6,79.2,,,-2.6,-0.0339425587,0.0011520973,,0.0339425587
Princeton University,70.3,74.4,,,-4.1,-0.0583214794,0.003401395,,0.0583214794
Massachusetts Institute of Technology (MIT),68,69.7,,,-1.7,-0.025,0.000625,,0.025
Ecole Normale Superieure - Paris,60.5,62.4,,,-1.9,-0.0314049587,0.0009862714,,0.0314049587
"University of California, Berkeley",56.5,59,,,-2.5,-0.0442477876,0.0019578667,,0.0442477876
University of Cambridge,55.8,58.5,,,-2.7,-0.0483870968,0.0023413111,,0.0483870968
Stanford University,53.8,55.8,,,-2,-0.0371747212,0.0013819599,,0.0371747212
Scuola Normale Superiore - Pisa,57.2,50.5,,,6.7,0.1171328671,0.0137201086,,0.1171328671
The University of Texas M. D. Anderson Cancer Center,32.4,50.4,,,-18,-0.5555555556,0.3086419753,,0.5555555556
University of Oxford,43.1,46.1,,,-3,-0.0696055684,0.0048449352,,0.0696055684
Swiss Federal Institute of Technology Zurich,46.3,46.1,,,0.2,0.0043196544,1.86594143742791E-005,,0.0043196544
University of Chicago,42,44.5,,,-2.5,-0.0595238095,0.0035430839,,0.0595238095
"University of California, Santa Cruz",37.6,42.9,,,-5.3,-0.1409574468,0.0198690018,,0.1409574468
Swiss Federal Institute of Technology Lausanne,38.4,42,,,-3.6,-0.09375,0.0087890625,,0.09375
University of Copenhagen,39.2,41.9,,,-2.7,-0.068877551,0.004744117,,0.068877551
Stockholm School of Economics,39.4,41.4,,,-2,-0.0507614213,0.0025767219,,0.0507614213
Cornell University,40.2,40.9,,,-0.7,-0.0174129353,0.0003032103,,0.0174129353
Medical University of South Carolina,19.7,40.8,,,-21.1,-1.0710659898,1.1471823546,,1.0710659898
Karolinska Institute,37.4,40.2,,,-2.8,-0.0748663102,0.0056049644,,0.0748663102
Rockefeller University,39.6,40,,,-0.4,-0.0101010101,0.0001020304,,0.0101010101
"The Imperial College of Science, Technology and Medicine",38,39.9,,,-1.9,-0.05,0.0025,,0.05
Catholic University of Korea,34.8,39.6,,,-4.8,-0.1379310345,0.0190249703,,0.1379310345
"University of California, Santa Barbara",38,38.2,,,-0.2,-0.0052631579,2.77008310249315E-005,,0.0052631579
Rice University,34.3,37.8,,,-3.5,-0.1020408163,0.0104123282,,0.1020408163
University of Pennsylvania,37.4,37.8,,,-0.4,-0.0106951872,0.000114387,,0.0106951872
Washington University in St. Louis,26,37.2,,,-11.2,-0.4307692308,0.1855621302,,0.4307692308
Yale University,37.8,37.1,,,0.7,0.0185185185,0.0003429355,,0.0185185185
"University of California, San Diego",36.6,37,,,-0.4,-0.0109289617,0.0001194422,,0.0109289617
University of Basel,35,36,,,-1,-0.0285714286,0.0008163265,,0.0285714286
Ghent University,34.5,35.7,,,-1.2,-0.0347826087,0.0012098299,,0.0347826087
Pohang University of Science and Technology,31.9,35.4,,,-3.5,-0.1097178683,0.0120380106,,0.1097178683
National University of Singapore,32.2,35.2,,,-3,-0.0931677019,0.0086802207,,0.0931677019
Radboud University Nijmegen,32.2,35.1,,,-2.9,-0.0900621118,0.008111184,,0.0900621118
University of Colorado at Boulder,34.2,35.1,,,-0.9,-0.0263157895,0.0006925208,,0.0263157895
VU University Amsterdam,33.3,35,,,-1.7,-0.0510510511,0.0026062098,,0.0510510511
Heidelberg University,34.2,34.9,,,-0.7,-0.0204678363,0.0004189323,,0.0204678363
Carnegie Mellon University,34.4,34.7,,,-0.3,-0.0087209302,7.60546241211487E-005,,0.0087209302
Mayo Medical School,29.5,34.6,,,-5.1,-0.1728813559,0.0298879632,,0.1728813559
Technical University Munich,32.3,34.6,,,-2.3,-0.0712074303,0.0050704981,,0.0712074303
University of Wageningen,33,34.5,,,-1.5,-0.0454545455,0.0020661157,,0.0454545455
Pompeu Fabra University,33.6,34.3,,,-0.7,-0.0208333333,0.0004340278,,0.0208333333
Brown University,32.8,34.1,,,-1.3,-0.0396341463,0.0015708656,,0.0396341463
University of Munich,32.6,33.9,,,-1.3,-0.0398773006,0.0015901991,,0.0398773006
University of North Carolina at Chapel Hill,25.6,33.8,,,-8.2,-0.3203125,0.1026000977,,0.3203125
Capital Medical University,32.2,33.8,,,-1.6,-0.049689441,0.0024690405,,0.049689441
University of Groningen,32.7,33.7,,,-1,-0.0305810398,0.0009352,,0.0305810398
The University of Queensland,29.3,33.6,,,-4.3,-0.1467576792,0.0215378164,,0.1467576792
University of Helsinki,31.3,33.5,,,-2.2,-0.0702875399,0.0049403383,,0.0702875399
"University of California, San Francisco",34.9,33.5,,,1.4,0.0401146132,0.0016091822,,0.0401146132
London School of Hygiene & Tropical Medicine,21.6,33.4,,,-11.8,-0.5462962963,0.2984396433,,0.5462962963
China Medical University,23.2,33.4,,,-10.2,-0.4396551724,0.1932966706,,0.4396551724
University of Bern,26.9,33.4,,,-6.5,-0.2416356877,0.0583878056,,0.2416356877
"University of California, Los Angeles",31.6,33.4,,,-1.8,-0.0569620253,0.0032446723,,0.0569620253
Columbia University,33.2,33.3,,,-0.1,-0.0030120482,9.07243431557452E-006,,0.0030120482
Moscow State University,31.3,33.1,,,-1.8,-0.0575079872,0.0033071686,,0.0575079872
Northwestern University,28.8,32.8,,,-4,-0.1388888889,0.0192901235,,0.1388888889
University of Geneva,29.4,32.8,,,-3.4,-0.1156462585,0.0133740571,,0.1156462585
Aarhus University,31,32.5,,,-1.5,-0.0483870968,0.0023413111,,0.0483870968
ESPCI ParisTech,29.3,32.4,,,-3.1,-0.1058020478,0.0111940733,,0.1058020478
Korea Advanced Institute of Science and Technology,28.7,32.2,,,-3.5,-0.1219512195,0.0148720999,,0.1219512195
The University of Melbourne,30.2,32.2,,,-2,-0.0662251656,0.0043857726,,0.0662251656
University College London,32.7,32.2,,,0.5,0.0152905199,0.0002338,,0.0152905199
Leiden University,32.9,32.2,,,0.7,0.0212765957,0.0004526935,,0.0212765957
University of Zurich,25.4,31.7,,,-6.3,-0.2480314961,0.061519623,,0.2480314961
