University,N&S-15,N&S-16,,,,,,,
Harvard University,100,100,,,0,0,0,,0
Stanford University,70.1,73.6,,,-3.5,-0.0499286733,0.0024928724,,0.0499286733
Massachusetts Institute of Technology (MIT),73.1,71.7,,,1.4,0.0191518468,0.0003667932,,0.0191518468
"University of California, Berkeley",65.6,68.7,,,-3.1,-0.0472560976,0.0022331388,,0.0472560976
Yale University,58.8,58.4,,,0.4,0.0068027211,0.000046277,,0.0068027211
"University of California, San Diego",55.1,57.8,,,-2.7,-0.0490018149,0.0024011779,,0.0490018149
California Institute of Technology,56.4,57.3,,,-0.9,-0.0159574468,0.0002546401,,0.0159574468
University of Cambridge,55.6,56.7,,,-1.1,-0.0197841727,0.0003914135,,0.0197841727
University of Oxford,51.9,55,,,-3.1,-0.0597302505,0.0035677028,,0.0597302505
Columbia University,51.9,53.3,,,-1.4,-0.0269749518,0.000727648,,0.0269749518
"University of California, San Francisco",53.5,52.1,,,1.4,0.0261682243,0.000684776,,0.0261682243
University of Washington,51.7,52.1,,,-0.4,-0.0077369439,5.98603010224883E-005,,0.0077369439
Swiss Federal Institute of Technology Zurich,45.9,50.2,,,-4.3,-0.0936819172,0.0087763016,,0.0936819172
The University of Tokyo,48.6,47.5,,,1.1,0.0226337449,0.0005122864,,0.0226337449
Princeton University,43,47.2,,,-4.2,-0.0976744186,0.009540292,,0.0976744186
Cornell University,45.3,47,,,-1.7,-0.0375275938,0.0014083203,,0.0375275938
Johns Hopkins University,44.9,47,,,-2.1,-0.0467706013,0.0021874891,,0.0467706013
"University of California, Los Angeles",47.2,44.5,,,2.7,0.0572033898,0.0032722278,,0.0572033898
University of Chicago,42.9,42.7,,,0.2,0.0046620047,2.17342874685523E-005,,0.0046620047
Washington University in St. Louis,41.8,42,,,-0.2,-0.004784689,2.28932487809352E-005,,0.004784689
Rockefeller University,40.9,41.8,,,-0.9,-0.02200489,0.0004842152,,0.02200489
University of Michigan-Ann Arbor,41.3,41.6,,,-0.3,-0.0072639225,5.27645703498306E-005,,0.0072639225
University College London,40.6,41.6,,,-1,-0.0246305419,0.0006066636,,0.0246305419
New York University,40.3,39.5,,,0.8,0.0198511166,0.0003940668,,0.0198511166
University of Pennsylvania,39.6,39.4,,,0.2,0.0050505051,2.55076012651777E-005,,0.0050505051
Duke University,39,38.9,,,0.1,0.0025641026,6.57462195923753E-006,,0.0025641026
University of Toronto,38.6,38.2,,,0.4,0.0103626943,0.0001073854,,0.0103626943
The University of Texas Southwestern Medical Center at Dallas,35.6,37.6,,,-2,-0.0561797753,0.0031561672,,0.0561797753
The University of Texas at Austin,37.5,37,,,0.5,0.0133333333,0.0001777778,,0.0133333333
University of Colorado at Boulder,36,36.8,,,-0.8,-0.0222222222,0.0004938272,,0.0222222222
University of Copenhagen,34,36.2,,,-2.2,-0.0647058824,0.0041868512,,0.0647058824
Northwestern University,37,35.6,,,1.4,0.0378378378,0.001431702,,0.0378378378
Weizmann Institute of Science,34.7,35.5,,,-0.8,-0.023054755,0.0005315217,,0.023054755
University of Wisconsin - Madison,35.7,35,,,0.7,0.0196078431,0.0003844675,,0.0196078431
University of Bristol,32.4,34.2,,,-1.8,-0.0555555556,0.0030864198,,0.0555555556
University of Illinois at Urbana-Champaign,32.4,33.1,,,-0.7,-0.0216049383,0.0004667734,,0.0216049383
"The Imperial College of Science, Technology and Medicine",34.5,32.9,,,1.6,0.0463768116,0.0021508087,,0.0463768116
"University of Maryland, College Park",31.6,32.8,,,-1.2,-0.0379746835,0.0014420766,,0.0379746835
University of British Columbia,32,32.7,,,-0.7,-0.021875,0.0004785156,,0.021875
University of North Carolina at Chapel Hill,33.5,32.6,,,0.9,0.0268656716,0.0007217643,,0.0268656716
"University of Minnesota, Twin Cities",32.5,32.5,,,0,0,0,,0
Tsinghua University,26.8,32.5,,,-5.7,-0.2126865672,0.0452355759,,0.2126865672
"University of California, Santa Cruz",33.9,32.4,,,1.5,0.0442477876,0.0019578667,,0.0442477876
"University of California, Davis",33,32,,,1,0.0303030303,0.0009182736,,0.0303030303
University Paris Diderot - Paris 7,30.2,31.7,,,-1.5,-0.0496688742,0.0024669971,,0.0496688742
Kyoto University,32.6,31.5,,,1.1,0.0337423313,0.0011385449,,0.0337423313
The University of Edinburgh,30.5,31.3,,,-0.8,-0.0262295082,0.0006879871,,0.0262295082
Baylor College of Medicine,29.2,31.3,,,-2.1,-0.0719178082,0.0051721711,,0.0719178082
Heidelberg University,29.4,30.6,,,-1.2,-0.0408163265,0.0016659725,,0.0408163265
Pennsylvania State University - University Park,31.6,30.5,,,1.1,0.0348101266,0.0012117449,,0.0348101266
Swiss Federal Institute of Technology Lausanne,29.2,30.3,,,-1.1,-0.0376712329,0.0014191218,,0.0376712329
Pierre and Marie  Curie University - Paris 6,29.8,29.7,,,0.1,0.0033557047,1.12607540200895E-005,,0.0033557047
University of Munich,28.9,29.4,,,-0.5,-0.0173010381,0.0002993259,,0.0173010381
University of Zurich,29,28.7,,,0.3,0.0103448276,0.0001070155,,0.0103448276
University of Geneva,27.6,28.6,,,-1,-0.0362318841,0.0013127494,,0.0362318841
"University of California, Irvine",28.9,28.1,,,0.8,0.0276816609,0.0007662744,,0.0276816609
McGill University,27.3,27.5,,,-0.2,-0.0073260073,5.36703833407126E-005,,0.0073260073
University of Virginia,27.7,27.3,,,0.4,0.0144404332,0.0002085261,,0.0144404332
"University of California, Santa Barbara",27.5,27.3,,,0.2,0.0072727273,5.28925619834707E-005,,0.0072727273
University of Arizona,27.5,27.3,,,0.2,0.0072727273,5.28925619834707E-005,,0.0072727273
Boston University,26.3,26.9,,,-0.6,-0.0228136882,0.0005204644,,0.0228136882
University of Utah,25.5,26.6,,,-1.1,-0.0431372549,0.0018608228,,0.0431372549
The University of Manchester,26.1,26.4,,,-0.3,-0.0114942529,0.0001321178,,0.0114942529
Osaka University,26.7,26,,,0.7,0.0262172285,0.0006873431,,0.0262172285
The University of Queensland,24,26,,,-2,-0.0833333333,0.0069444444,,0.0833333333
Utrecht University,25.4,25.9,,,-0.5,-0.0196850394,0.0003875008,,0.0196850394
Aarhus University,25.8,25.6,,,0.2,0.007751938,6.00925425154734E-005,,0.007751938
"Rutgers, The State University of New Jersey - New Brunswick",24.8,25.4,,,-0.6,-0.0241935484,0.0005853278,,0.0241935484
Karolinska Institute,23.5,25.1,,,-1.6,-0.0680851064,0.0046355817,,0.0680851064
The University of Melbourne,25.3,24.8,,,0.5,0.0197628458,0.0003905701,,0.0197628458
Uppsala University,24.6,24.8,,,-0.2,-0.0081300813,6.60982219578289E-005,,0.0081300813
Peking University,21.5,24.5,,,-3,-0.1395348837,0.0194699838,,0.1395348837
Purdue University - West Lafayette,25.1,24.4,,,0.7,0.0278884462,0.0007777654,,0.0278884462
Michigan State University,21.8,24.2,,,-2.4,-0.1100917431,0.0121201919,,0.1100917431
Aix Marseille University,20.3,24,,,-3.7,-0.1822660099,0.0332208983,,0.1822660099
University of Massachusetts Medical School - Worcester,24.9,23.9,,,1,0.0401606426,0.0016128772,,0.0401606426
University of Basel,21.4,23.7,,,-2.3,-0.1074766355,0.0115512272,,0.1074766355
University of Lausanne,22,23.5,,,-1.5,-0.0681818182,0.0046487603,,0.0681818182
Oregon State University,21.2,23.5,,,-2.3,-0.108490566,0.0117702029,,0.108490566
University of Southern California,22.1,23.4,,,-1.3,-0.0588235294,0.0034602076,,0.0588235294
Technical University Munich,23.2,23.3,,,-0.1,-0.0043103448,1.85790725326997E-005,,0.0043103448
The Australian National University,20.1,23,,,-2.9,-0.144278607,0.0208163164,,0.144278607
University of Bern,19.2,23,,,-3.8,-0.1979166667,0.0391710069,,0.1979166667
Icahn School of Medicine at Mount Sinai,25,22.9,,,2.1,0.084,0.007056,,0.084
Arizona State University,25.5,22.8,,,2.7,0.1058823529,0.0112110727,,0.1058823529
University of Helsinki,22.4,22.8,,,-0.4,-0.0178571429,0.0003188776,,0.0178571429
Oregon Health and Science University,22.1,22.8,,,-0.7,-0.0316742081,0.0010032555,,0.0316742081
Brown University,25.1,22.6,,,2.5,0.0996015936,0.0099204775,,0.0996015936
University of Vienna,21.1,22.6,,,-1.5,-0.0710900474,0.0050537948,,0.0710900474
Monash University,22.6,22.3,,,0.3,0.0132743363,0.000176208,,0.0132743363
The University of Texas M. D. Anderson Cancer Center,21.4,22.3,,,-0.9,-0.0420560748,0.0017687134,,0.0420560748
"University of California, Riverside",23.9,22.1,,,1.8,0.0753138075,0.0056721696,,0.0753138075
Georgia Institute of Technology,22.4,22.1,,,0.3,0.0133928571,0.0001793686,,0.0133928571
Texas A&M University,22.7,21.9,,,0.8,0.0352422907,0.0012420191,,0.0352422907
University of Frankfurt,21.2,21.9,,,-0.7,-0.0330188679,0.0010902456,,0.0330188679
Emory University,22,21.8,,,0.2,0.0090909091,8.2644628099173E-005,,0.0090909091
University of Hamburg,21.7,21.7,,,0,0,0,,0
