Institution,Rank 2016,Rank 2015,Rank 2014,Rank 2013,Rank 2012,Rank 2011
University of ReginaCanada,,,,,,
Renmin University of ChinaChina,,,,,,
University of Rennes 1France,,,,,,
University of SalamancaSpain,,,,,,
University of Santiago de CompostelaSpain,,,,,,
Semmelweis UniversityHungary,,,,,,
University of SevilleSpain,,,,,,
Université de SherbrookeCanada,,,,,,
Soochow UniversityChina,,,,,,
South China University of TechnologyChina,,,,,,
Tallinn University of TechnologyEstonia,,,,,,
Tehran University of Medical SciencesIran,,,,,,
University of Texas at ArlingtonUnited States of America,,,,,,
Tianjin UniversityChina,,,,,,
Tokyo University of Agriculture and TechnologyJapan,,,,,,
University of ToledoUnited States of America,,,,,,
Tongji UniversityChina,,,,,,
University of TulsaUnited States of America,,,,,,
United Arab Emirates UniversityUnited Arab Emirates,,,,,,
University of WarsawPoland,,,,,,
University of Wisconsin-MilwaukeeUnited States of America,,,,,,
Xi’an Jiaotong UniversityChina,,,,,,
University of ZaragozaSpain,,,,,,
University of A CoruñaSpain,,,,,,
Adam Mickiewicz UniversityPoland,,,,,,
AGH University of Science and TechnologyPoland,,,,,,
Ajou UniversitySouth Korea,,,,,,
University of AlcaláSpain,,,,,,
Alexandria UniversityEgypt,,,,,,147
Alexandru Ioan Cuza UniversityRomania,,,,,,
Aligarh Muslim UniversityIndia,,,,,,
American University of SharjahUnited Arab Emirates,,,,,,
Amrita UniversityIndia,,,,,,
Anadolu UniversityTurkey,,,,,,
Andhra UniversityIndia,,,,,,
University of AntioquiaColombia,,,,,,
Aristotle University of ThessalonikiGreece,,,,,,
"Asia University, TaiwanTaiwan",,,,,,
Athens University of Economics and BusinessGreece,,,,,,
Auckland University of TechnologyNew Zealand,,,,,,
Austral University of ChileChile,,,,,,
Beijing Institute of TechnologyChina,,,,,,
Belarusian State UniversityBelarus,,,,,,
University of BelgradeSerbia,,,,,,
"Birla Institute of Technology and Science, PilaniIndia",,,,,,
University of BradfordUnited Kingdom,,,,,,
University of BrasíliaBrazil,,,,,,
University of BrightonUnited Kingdom,,,,,,
University of BucharestRomania,,,,,,
Budapest University of Technology and EconomicsHungary,,,,,,
Cairo UniversityEgypt,,,,,,
University of CalcuttaIndia,,,,,,
"California State University, Long BeachUnited States of America",,,,,,
Capital Medical UniversityChina,,,,,,
University of Castilla-La ManchaSpain,,,,,,
University of Central LancashireUnited Kingdom,,,,,,
University of Cergy-PontoiseFrance,,,,,,
Chang Gung UniversityTaiwan,,,,,,
Carlos III University of MadridSpain,,,,,,
"University of Chemistry and Technology, PragueCzech Republic",,,,,,
Chiang Mai UniversityThailand,,,,,,
Chiba UniversityJapan,,,,,,
China University of Geosciences (Wuhan)China,,,,,,
China University of Petroleum (Beijing)China,,,,,,
Chonbuk National UniversitySouth Korea,,,,,,
Chongqing UniversityChina,,,,,,
Chonnam National UniversitySouth Korea,,,,,,
Chulalongkorn UniversityThailand,,,,,,
Chung Yuan Christian UniversityTaiwan,,,,,,
Chungnam National UniversitySouth Korea,,,,,,
Clemson UniversityUnited States of America,,,,,,
Comenius University in BratislavaSlovakia,,,,,,
Coventry UniversityUnited Kingdom,,,,,,
Dalian University of TechnologyChina,,,,,,
University of DebrecenHungary,,,,,,
University of DelhiIndia,,,,,,
University of DhakaBangladesh,,,,,,
Dublin Institute of TechnologyRepublic of Ireland,,,,,,
Ehime UniversityJapan,,,,,,
University of Electronic Science and Technology of ChinaChina,,,,,,
Eötvös Loránd UniversityHungary,,,,,,
Erciyes UniversityTurkey,,,,,,
Federal University of BahiaBrazil,,,,,,
Federal University of Minas GeraisBrazil,,,,,,
Federal University of Paraná (UFPR)Brazil,,,,,,
Federal University of Rio Grande do SulBrazil,,,,,,
Federal University of Santa CatarinaBrazil,,,,,,
Federal University of São CarlosBrazil,,,,,,
Federal University of ViçosaBrazil,,,,,,
Federal University of LavrasBrazil,,,,,,
Feng Chia UniversityTaiwan,,,,,,
Florida Institute of TechnologyUnited States of America,,200,197,,,
Fu Jen Catholic UniversityTaiwan,,,,,,
Gdańsk University of TechnologyPoland,,,,,,
University of GhanaGhana,,,,,,
Gifu UniversityJapan,,,,,,
Glasgow Caledonian UniversityUnited Kingdom,,,,,,
University of GreenwichUnited Kingdom,,,,,,
Hacettepe UniversityTurkey,,,,,,
University of HuddersfieldUnited Kingdom,,,,,,
Hunan UniversityChina,,,,,,
University of IbadanNigeria,,,,,,
University of IndonesiaIndonesia,,,,,,
Inha UniversitySouth Korea,,,,,,
I-Shou UniversityTaiwan,,,,,,
Istanbul UniversityTurkey,,,,,,
Jagiellonian UniversityPoland,,,,,,
Jilin UniversityChina,,,,,,
University of JordanJordan,,,,,,
Jordan University of Science and TechnologyJordan,,,,,,
Juntendo UniversityJapan,,,,,,
K.N. Toosi University of TechnologyIran,,,,,,
Kaohsiung Medical UniversityTaiwan,,,,,,
Khon Kaen UniversityThailand,,,,,,
King Mongkut’s University of Technology ThonburiThailand,,,,,,
Kingston UniversityUnited Kingdom,,,,,,
Kinki UniversityJapan,,,,,,
Kobe UniversityJapan,,,,,,
Konkuk UniversitySouth Korea,,,,,,
Kumamoto UniversityJapan,,,,,,
Kyungpook National UniversitySouth Korea,,,,,,
Kyushu Institute of TechnologyJapan,,,,,,
University of LatviaLatvia,,,,,,
Lille 1 University – Science and TechnologyFrance,,,,,,
University of LincolnUnited Kingdom,,,,,,
University of LjubljanaSlovenia,,,,,,
University of Marrakech Cadi AyyadMorocco,,,,,,
Miami UniversityUnited States of America,,,,,,
Middlesex UniversityUnited Kingdom,,,,,,
Moscow Institute of Physics and TechnologyRussian Federation,,,,,,
University of MurciaSpain,,,,,,
Nagasaki UniversityJapan,,,,,,
University of NairobiKenya,,,,,,
National Chengchi UniversityTaiwan,,,,,,
National Chung Cheng UniversityTaiwan,,,,,,
National Chung Hsing UniversityTaiwan,,,,,,
National Taipei University of TechnologyTaiwan,,,,,,
National Taiwan Ocean UniversityTaiwan,,,,,,
National University of CórdobaArgentina,,,,,,
National University of Science and Technology (MISiS)Russian Federation,,,,,,
National University of Sciences and TechnologyPakistan,,,,,,
Niigata UniversityJapan,,,,,,
Northumbria UniversityUnited Kingdom,,,,,,
Northwestern Polytechnical UniversityChina,,,,,,
Nottingham Trent UniversityUnited Kingdom,,,,,,
Oakland UniversityUnited States of America,,,,,,
Ocean University of ChinaChina,,,,,,
Ohio UniversityUnited States of America,,,,,,
Okayama UniversityJapan,,,,,,
Osaka Prefecture UniversityJapan,,,,,,
University of PardubiceCzech Republic,,,,,,
University of Paris North – Paris 13France,,,,,,
Paris-Sorbonne University – Paris 4France,,,,,,
University of PatrasGreece,,,,,,
University of PécsHungary,,,,,,
Old Dominion UniversityUnited States of America,,,,,,
Polytechnic University of ValenciaSpain,,,,,,
Pontifical Catholic University of ParanáBrazil,,,,,,
Pontifical Catholic University of Rio Grande do Sul (PUCRS)Brazil,,,,,,
Pontifical Catholic University of ValparaísoChile,,,,,,
Prince of Songkla UniversityThailand,,,,,,
Qatar UniversityQatar,,,,,,
Rio de Janeiro State University (UERJ)Brazil,,,,,,
Rochester Institute of TechnologyUnited States of America,,,,,,
Saitama UniversityJapan,,,,,,
University of SalfordUnited Kingdom,,,,,,
"University of Santiago, Chile (USACH)Chile",,,,,,
São Paulo State University (UNESP)Brazil,,,,,,
Savitribai Phule Pune UniversityIndia,,,,,,
University of Science and Technology BeijingChina,,,,,,
Sejong UniversitySouth Korea,,,,,,
University of SeoulSouth Korea,,,,,,
Shahid Beheshti UniversityIran,,,,,,
Shanghai UniversityChina,,,,,,
Shantou UniversityChina,,,,,,
Sheffield Hallam UniversityUnited Kingdom,,,,,,
Shinshu UniversityJapan,,,,,,
Showa UniversityJapan,,,,,,
Sichuan UniversityChina,,,,,,
University of Silesia in KatowicePoland,,,,,,
Slovak University of Technology in BratislavaSlovakia,,,,,,
Sogang UniversitySouth Korea,,,,,,
Sophia UniversityJapan,,,,,,
University of South AfricaSouth Africa,,,,,,
Southern Federal UniversityRussian Federation,,,,,,
University of Southern MississippiUnited States of America,,,,,,
University of Southern QueenslandAustralia,,,,,,
Suez Canal UniversityEgypt,,,,,,
Sultan Qaboos UniversityOman,,,,,,
Suranaree University of TechnologyThailand,,,,,,
University of SzegedHungary,,,,,,
Taipei Medical UniversityTaiwan,,,,,,
Taras Shevchenko National University of KyivUkraine,,,,,,
Technical University of MadridSpain,,,,,,
University of TehranIran,,,,,,
University of Texas at El PasoUnited States of America,,,,,,
Texas Tech UniversityUnited States of America,,,,,,
Tokai UniversityJapan,,,,,,
Tokushima UniversityJapan,,,,,,
Tokyo University of Marine Science and TechnologyJapan,,,,,,
Tokyo University of ScienceJapan,,,,,,
Tomsk State UniversityRussian Federation,,,,,,
Tottori UniversityJapan,,,,,,
Toyohashi University of TechnologyJapan,,,,,,
Universiti Kebangsaan MalaysiaMalaysia,,,,,,
Universiti Putra MalaysiaMalaysia,,,,,,
Universiti Sains MalaysiaMalaysia,,,,,,
Universiti Teknologi MARAMalaysia,,,,,,
Ural Federal UniversityRussian Federation,,,,,,
V.N. Karazin Kharkiv National UniversityUkraine,,,,,,
University of VigoSpain,,,,,,
Vilnius UniversityLithuania,,,,,,
Warsaw University of TechnologyPoland,,,,,,
Waseda UniversityJapan,,,,,,
University of West BohemiaCzech Republic,,,,,,
University of the West of EnglandUnited Kingdom,,,,,,
West University of TimişoaraRomania,,,,,,
University of WestminsterUnited Kingdom,,,,,,
Xidian UniversityChina,,,,,,
Yeungnam UniversitySouth Korea,,,,,,
Yıldız Technical UniversityTurkey,,,,,,
Yokohama City UniversityJapan,,,,,,
Yokohama National UniversityJapan,,,,,,
Yuan Ze UniversityTaiwan,,,,,,
Wuhan University of TechnologyChina,,,,,,
University of WyomingUnited States of America,,,,,,
