University,Citations per Faculty-17,Citations per Faculty-18,,,(B2-C2)/B2,(D2)^2,ABS(D2)
The University of Sydney,67.1,70.3,,,-0.047690015,0.002274338,0.047690015
Chalmers University of Technology,70.7,70.3,,,0.005657709,3.20097E-05,0.005657709
University of Southern California,69.1,70.4,,,-0.018813314,0.000353941,0.018813314
Emory University,72.9,70.5,,,0.032921811,0.001083846,0.032921811
Dartmouth College,74.3,70.5,,,0.051144011,0.00261571,0.051144011
Seoul National University,72.9,70.6,,,0.031550069,0.000995407,0.031550069
Leiden University,69.9,70.9,,,-0.014306152,0.000204666,0.014306152
London School of Economics and Political Science (LSE),72.3,71.7,,,0.008298755,6.88693E-05,0.008298755
University of Notre Dame,80.1,72,,,0.101123596,0.010225982,0.101123596
The University of Western Ontario,73.5,72.1,,,0.019047619,0.000362812,0.019047619
Arizona State University,70.3,73,,,-0.038406828,0.001475084,0.038406828
Indian Institute of Technology Kanpur (IITK),64.2,73.2,64.2,73.2,-0.140186916,0.019652371,0.140186916
Maastricht University,62.6,73.3,,,-0.170926518,0.029215874,0.170926518
The University of Tokyo,64.4,73.3,,,-0.138198758,0.019098897,0.138198758
University at Buffalo SUNY,72.9,73.3,,,-0.005486968,3.01068E-05,0.005486968
Radboud University,78.4,73.6,,,0.06122449,0.003748438,0.06122449
National Taiwan University (NTU),80.7,74.1,,,0.081784387,0.006688686,0.081784387
Erasmus University Rotterdam,65.9,74.3,,,-0.127465857,0.016247545,0.127465857
University of Victoria,75.4,74.4,,,0.013262599,0.000175897,0.013262599
Tilburg University,68.3,74.5,,,-0.090775988,0.00824028,0.090775988
Aarhus University,75.8,74.6,,,0.015831135,0.000250625,0.015831135
UCL (University College London),79.1,74.7,,,0.05562579,0.003094229,0.05562579
Tsinghua University,79.5,75.3,,,0.052830189,0.002791029,0.052830189
Northwestern University,94.4,75.4,,,0.201271186,0.04051009,0.201271186
Utrecht University,76.4,75.5,,,0.011780105,0.000138771,0.011780105
"University of Maryland, College Park",77.3,75.8,,,0.019404916,0.000376551,0.019404916
University of Delaware,80.9,76.3,,,0.056860321,0.003233096,0.056860321
University of Oxford,83.6,76.3,,,0.087320574,0.007624883,0.087320574
Durham University,89.5,76.3,,,0.147486034,0.02175213,0.147486034
National Chiao Tung University,85.8,76.8,,,0.104895105,0.011002983,0.104895105
The University of Melbourne,75.1,77.2,,,-0.027962716,0.000781914,0.027962716
"University of California, Riverside",84,77.9,,,0.072619048,0.005273526,0.072619048
Simon Fraser University,82.9,78,,,0.059107358,0.00349368,0.059107358
Rensselaer Polytechnic Institute,95.6,78.2,,,0.182008368,0.033127046,0.182008368
Washington University in St. Louis,69.9,78.3,,,-0.120171674,0.014441231,0.120171674
University of Cambridge,86.5,78.3,,,0.094797688,0.008986602,0.094797688
"University of Maryland, Baltimore County",81.3,78.4,,,0.035670357,0.001272374,0.035670357
Université de Liège,71.3,78.6,,,-0.102384292,0.010482543,0.102384292
Technische Universität Dresden,77,79,,,-0.025974026,0.00067465,0.025974026
Technion - Israel Institute of Technology,80.4,79.4,,,0.012437811,0.000154699,0.012437811
Leibniz Universität Hannover,83.4,79.5,,,0.04676259,0.00218674,0.04676259
The University of New South Wales (UNSW Sydney),77.1,79.8,,,-0.035019455,0.001226362,0.035019455
Pennsylvania State University,81.6,80.2,,,0.017156863,0.000294358,0.017156863
Zhejiang University,89,80.2,,,0.098876404,0.009776543,0.098876404
University of Waterloo,84,80.9,,,0.036904762,0.001361961,0.036904762
Université Pierre et Marie Curie (UPMC),82.2,81,,,0.01459854,0.000213117,0.01459854
Shanghai Jiao Tong University,80.1,81.5,,,-0.017478152,0.000305486,0.017478152
Indian Institute of Technology Roorkee (IITR),80.4,81.8,80.4,81.8,-0.017412935,0.00030321,0.017412935
Indian Institute of Technology Kharagpur (IIT-KGP),83.9,81.8,83.9,81.8,0.025029797,0.000626491,0.025029797
University of Geneva,81.9,82.1,,,-0.002442002,5.96338E-06,0.002442002
The University of Western Australia,73.7,82.3,,,-0.116689281,0.013616388,0.116689281
Eindhoven University of Technology,57.2,83.3,,,-0.456293706,0.208203946,0.456293706
"Nanyang Technological University, Singapore (NTU)",83.6,83.3,,,0.003588517,1.28775E-05,0.003588517
The University of Queensland,79.9,83.4,,,-0.043804756,0.001918857,0.043804756
University of Amsterdam,80.2,83.5,,,-0.041147132,0.001693086,0.041147132
Vienna University of Technology,87.2,83.7,,,0.040137615,0.001611028,0.040137615
Johns Hopkins University,81.8,83.9,,,-0.025672372,0.000659071,0.025672372
Sharif University of Technology,92.2,84.3,,,0.085683297,0.007341627,0.085683297
Nanjing University,83.8,85.3,,,-0.017899761,0.000320401,0.017899761
The Australian National University,86.9,85.6,,,0.014959724,0.000223793,0.014959724
University of Chicago,88.7,85.9,,,0.03156708,0.000996481,0.03156708
The Hong Kong University of Science and Technology,87.5,87.7,,,-0.002285714,5.22449E-06,0.002285714
Karolinska Institutet,88.7,88.4,,,0.003382187,1.14392E-05,0.003382187
University of Bern,93.7,88.4,,,0.056563501,0.00319943,0.056563501
KU Leuven,89.4,88.9,,,0.005592841,3.12799E-05,0.005592841
"University of California, Irvine",93.1,89.2,,,0.04189044,0.001754809,0.04189044
National Tsing Hua University,99.6,90.2,,,0.09437751,0.008907114,0.09437751
"University of California, San Diego (UCSD)",92.1,90.3,,,0.019543974,0.000381967,0.019543974
Amirkabir University of Technology,94.3,91.1,,,0.033934252,0.001151533,0.033934252
Indian Institute of Technology Delhi (IITD),93.2,91.2,93.2,91.2,0.021459227,0.000460498,0.021459227
Duke University,86,91.4,,,-0.062790698,0.003942672,0.062790698
City University of Hong Kong,91.4,91.5,,,-0.001094092,1.19704E-06,0.001094092
Delft University of Technology,94.2,91.6,,,0.027600849,0.000761807,0.027600849
University of Twente,95.6,92.2,,,0.035564854,0.001264859,0.035564854
Brown University,95.5,92.5,,,0.031413613,0.000986815,0.031413613
University of Illinois at Urbana-Champaign,93.8,93.5,,,0.003198294,1.02291E-05,0.003198294
"University of California, Santa Cruz",92,94.4,,,-0.026086957,0.000680529,0.026086957
University of Basel,95.2,94.4,,,0.008403361,7.06165E-05,0.008403361
Iran University of Science and Technology,97.7,95.2,,,0.025588536,0.000654773,0.025588536
Carnegie Mellon University,94.1,95.6,,,-0.015940489,0.000254099,0.015940489
University of Texas at Austin,96.1,95.7,,,0.004162331,1.7325E-05,0.004162331
Tel Aviv University,97,96,,,0.010309278,0.000106281,0.010309278
Cornell University,95.9,96.2,,,-0.003128259,9.786E-06,0.003128259
University of Science and Technology of China,97.4,96.7,,,0.007186858,5.16509E-05,0.007186858
Rice University,98,96.7,,,0.013265306,0.000175968,0.013265306
London Business School,94.1,96.9,,,-0.029755579,0.000885394,0.029755579
Friedrich-Alexander-Universität Erlangen-Nürnberg,97.5,97.3,,,0.002051282,4.20776E-06,0.002051282
"University of California, Los Angeles (UCLA)",87.6,97.5,,,-0.113013699,0.012772096,0.113013699
"University of California, Santa Barbara (UCSB)",100,97.5,,,0.025,0.000625,0.025
ETH Zurich - Swiss Federal Institute of Technology,98.3,98.7,,,-0.004069176,1.65582E-05,0.004069176
University of Washington,92,98.8,,,-0.073913043,0.005463138,0.073913043
Georgia Institute of Technology,86,99.1,,,-0.152325581,0.023203083,0.152325581
Ecole Polytechnique Fédérale de Lausanne (EPFL),99.1,99.2,,,-0.001009082,1.01825E-06,0.001009082
"University of California, Berkeley (UCB)",99.8,99.3,,,0.00501002,2.51003E-05,0.00501002
Stanford University,99.7,99.4,,,0.003009027,9.05424E-06,0.003009027
KAIST - Korea Advanced Institute of Science & Technology,99.9,99.5,,,0.004004004,1.6032E-05,0.004004004
Pohang University of Science And Technology (POSTECH),100,99.8,,,0.002,4E-06,0.002
Massachusetts Institute of Technology (MIT),99.9,99.9,,,0,0,0
Harvard University,100,99.9,,,0.001,1E-06,0.001
Indian Institute of Science (IISc) Bangalore,99.9,100,99.9,100,-0.001001001,1.002E-06,0.001001001
California Institute of Technology (Caltech),100,100,,,0,0,0
Princeton University,100,100,,,0,0,0
"Ecole normale supérieure, Paris",100,100,,,0,0,0
Gwangju Institute of Science and Technology (GIST),100,100,,,0,0,0
Weizmann Institute of Science,100,100,,,0,0,0
King Abdullah University of Science & Technology,100,100,,,0,0,0
,,,,,,,
,,,,,,8.524784634,43.50719656
,,,,,,0.01813784,0.092568503
,,,,,,0.134676797,
