University,Employer Reputation-17,Employer Reputation-18,,,(B2-C2)/B2,(D2)^2,ABS(D2)
De La Salle University,42.7,44.2,,,-0.035128806,0.001234033,0.035128806
Linköping University,49.3,44.4,,,0.099391481,0.009878666,0.099391481
National Technical University of Athens,58.7,44.4,,,0.243611584,0.059346604,0.243611584
Instituto Politécnico Nacional (IPN),47.1,44.6,,,0.053078556,0.002817333,0.053078556
Koc University,34.9,44.9,,,-0.286532951,0.082101132,0.286532951
National University of Ireland Galway,35.5,45.1,,,-0.270422535,0.073128348,0.270422535
Tel Aviv University,36.2,45.5,,,-0.256906077,0.066000733,0.256906077
University of Aberdeen,47.3,45.7,,,0.033826638,0.001144241,0.033826638
Pontificia Universidad Católica del Perú,47.7,45.9,,,0.037735849,0.001423994,0.037735849
Dublin City University,36.9,46.3,,,-0.254742547,0.064893765,0.254742547
Bilkent University,38.4,46.3,,,-0.205729167,0.04232449,0.205729167
Brno University of Technology,40.2,46.3,,,-0.151741294,0.02302542,0.151741294
National University of Sciences And Technology (NUST) Islamabad,38.1,46.5,,,-0.220472441,0.048608097,0.220472441
Heriot-Watt University,45.5,46.8,,,-0.028571429,0.000816327,0.028571429
University of Jordan,37.5,47,,,-0.253333333,0.064177778,0.253333333
"University of California, Davis",49.9,47.1,,,0.056112224,0.003148582,0.056112224
Lancaster University,51.5,47.1,,,0.085436893,0.007299463,0.085436893
Université Paris-Sorbonne (Paris IV),68.1,47.2,,,0.306901615,0.094188601,0.306901615
Ghent University,43.1,47.3,,,-0.097447796,0.009496073,0.097447796
York University,44.9,47.3,,,-0.053452116,0.002857129,0.053452116
Aalborg University,48.6,47.3,,,0.026748971,0.000715507,0.026748971
Ateneo de Manila University,45.2,47.4,,,-0.048672566,0.002369019,0.048672566
Sogang University,41.2,47.5,,,-0.152912621,0.02338227,0.152912621
University of Liverpool,52.3,47.5,,,0.091778203,0.008423238,0.091778203
Universidad de Belgrano,60.5,47.5,,,0.214876033,0.04617171,0.214876033
Universität Innsbruck,38.4,47.6,,,-0.239583333,0.057400174,0.239583333
University of Pretoria,38.4,47.6,,,-0.239583333,0.057400174,0.239583333
University College Cork,44.8,47.7,,,-0.064732143,0.00419025,0.064732143
Norwegian University of Science And Technology,46,47.9,,,-0.041304348,0.001706049,0.041304348
"City, University of London",65.5,48,,,0.267175573,0.071382787,0.267175573
"University of North Carolina, Chapel Hill",44.8,48.1,,,-0.073660714,0.005425901,0.073660714
Chulalongkorn University,52.3,48.1,,,0.080305927,0.006449042,0.080305927
American University of Sharjah,48.5,48.2,,,0.006185567,3.82612E-05,0.006185567
Université de Technologie de Compiègne (UTC),38.6,48.4,,,-0.25388601,0.064458106,0.25388601
University of Canterbury,45.5,48.5,,,-0.065934066,0.004347301,0.065934066
Cranfield University,53.7,48.5,,,0.096834264,0.009376875,0.096834264
Universidad Iberoamericana (UIA),51.3,48.8,,,0.048732943,0.0023749,0.048732943
Deakin University,38.5,48.9,,,-0.27012987,0.072970147,0.27012987
Curtin University,39,49.1,,,-0.258974359,0.067067719,0.258974359
Universitat Politècnica de Catalunya,42.4,49.1,,,-0.158018868,0.024969963,0.158018868
Dartmouth College,59,49.1,,,0.16779661,0.028155702,0.16779661
Vilnius University,34.9,49.2,,,-0.40974212,0.167888605,0.40974212
University of Virginia,47.5,49.2,,,-0.035789474,0.001280886,0.035789474
University of Porto,39.5,49.3,,,-0.248101266,0.061554238,0.248101266
The American University in Cairo,61.4,49.3,,,0.197068404,0.038835956,0.197068404
University of Wollongong,63.1,49.3,,,0.218700475,0.047829898,0.218700475
Sun Yat-sen University,39,49.4,,,-0.266666667,0.071111111,0.266666667
Uppsala University,53.1,49.4,,,0.069679849,0.004855281,0.069679849
Sapienza University of Rome,43.8,49.5,,,-0.130136986,0.016935635,0.130136986
Indian Institute of Technology Kharagpur (IIT-KGP),50.6,49.5,50.6,49.5,0.02173913,0.00047259,0.02173913
Queen Mary University of London,45.3,49.7,,,-0.097130243,0.009434284,0.097130243
Eberhard Karls Universität Tübingen,48,49.8,,,-0.0375,0.00140625,0.0375
University of Otago,45,49.9,,,-0.108888889,0.01185679,0.108888889
University of York,54.4,50.2,,,0.077205882,0.005960748,0.077205882
City University of Hong Kong,43.9,50.5,,,-0.150341686,0.022602622,0.150341686
Queen's University Belfast,55.2,50.5,,,0.085144928,0.007249659,0.085144928
Instituto Tecnológico Autónomo de México (ITAM),53.4,50.6,,,0.052434457,0.002749372,0.052434457
Al-Farabi Kazakh National University,36.5,50.8,,,-0.391780822,0.153492212,0.391780822
National Tsing Hua University,42.2,50.8,,,-0.203791469,0.041530963,0.203791469
Ain Shams University,41.5,50.9,,,-0.226506024,0.051304979,0.226506024
Westfälische Wilhelms-Universität Münster,53.5,50.9,,,0.048598131,0.002361778,0.048598131
University of Vienna,46.7,51.2,,,-0.096359743,0.0092852,0.096359743
Universidad Austral,61.9,51.2,,,0.172859451,0.02988039,0.172859451
University of Helsinki,57.2,51.4,,,0.101398601,0.010281676,0.101398601
Nagoya University,42,51.5,,,-0.226190476,0.051162132,0.226190476
Indian Institute of Technology Madras (IITM),55.2,51.6,55.2,51.6,0.065217391,0.004253308,0.065217391
Lahore University of Management Sciences (LUMS),42.9,51.8,,,-0.207459207,0.043039323,0.207459207
Concordia University,43.6,51.8,,,-0.188073394,0.035371602,0.188073394
The Hong Kong Polytechnic University,51.6,52.4,,,-0.015503876,0.00024037,0.015503876
TU Dortmund University,45.6,52.7,,,-0.155701754,0.024243036,0.155701754
University of Delhi,56.4,52.9,,,0.062056738,0.003851039,0.062056738
Georgetown University,60.9,53.2,,,0.126436782,0.01598626,0.126436782
Université Pierre et Marie Curie (UPMC),45.6,53.5,,,-0.173245614,0.030014043,0.173245614
Aalto University,55.9,53.5,,,0.04293381,0.001843312,0.04293381
Aston University,43.3,54.1,,,-0.249422633,0.06221165,0.249422633
Texas A&M University,59,54.1,,,0.083050847,0.006897443,0.083050847
University of Copenhagen,64.8,54.2,,,0.163580247,0.026758497,0.163580247
Eindhoven University of Technology,44.8,54.4,,,-0.214285714,0.045918367,0.214285714
American University,55.7,54.5,,,0.021543986,0.000464143,0.021543986
Universidad de Santiago de Chile (USACH),61.1,54.5,,,0.10801964,0.011668243,0.10801964
Aarhus University,52.1,54.6,,,-0.047984645,0.002302526,0.047984645
Universidade Católica Portuguesa - UCP,45.6,54.9,,,-0.203947368,0.041594529,0.203947368
Politécnica de Madrid,43.1,55,,,-0.276102088,0.076232363,0.276102088
University of Southern California,50.2,55,,,-0.09561753,0.009142712,0.09561753
University of Cape Town,48.1,55.1,,,-0.145530146,0.021179023,0.145530146
Macquarie University,47.9,55.6,,,-0.160751566,0.025841066,0.160751566
University of Reading,52.2,55.8,,,-0.068965517,0.004756243,0.068965517
Czech Technical University in Prague,53.9,55.9,,,-0.037105751,0.001376837,0.037105751
Bandung Institute of Technology (ITB),51.3,56.1,,,-0.093567251,0.008754831,0.093567251
University of the Philippines,46.9,56.6,,,-0.206823028,0.042775765,0.206823028
University of Washington,52.8,56.7,,,-0.073863636,0.005455837,0.073863636
University of Calgary,65.9,56.9,,,0.136570561,0.018651518,0.136570561
Brown University,68.3,56.9,,,0.166910688,0.027859178,0.166910688
University of St Andrews,58.4,57.1,,,0.022260274,0.00049552,0.022260274
McMaster University,50.8,57.2,,,-0.125984252,0.015872032,0.125984252
Pontificia Universidad Javeriana,70.8,57.4,,,0.189265537,0.035821443,0.189265537
Universiti Malaya (UM),48,57.5,,,-0.197916667,0.039171007,0.197916667
Wuhan University,46.5,57.9,,,-0.24516129,0.060104058,0.24516129
University of Science and Technology of China,48.2,57.9,,,-0.201244813,0.040499475,0.201244813
University of Southampton,48.2,58.4,,,-0.211618257,0.044782287,0.211618257
Universität Frankfurt am Main,51.6,58.4,,,-0.131782946,0.017366745,0.131782946
Bogaziçi Üniversitesi,48.2,58.5,,,-0.213692946,0.045664675,0.213692946
The University of Adelaide,62.3,58.5,,,0.060995185,0.003720413,0.060995185
Hokkaido University,49.9,59.5,,,-0.19238477,0.0370119,0.19238477
University of Illinois at Urbana-Champaign,62.2,59.8,,,0.038585209,0.001488818,0.038585209
Universitas Indonesia,54.5,60.1,,,-0.102752294,0.010558034,0.102752294
Bauman Moscow State Technical University,50.4,60.2,,,-0.194444444,0.037808642,0.194444444
Istanbul Technical University,51.8,60.5,,,-0.167953668,0.028208435,0.167953668
The Ohio State University,52,60.6,,,-0.165384615,0.027352071,0.165384615
Michigan State University,58.2,60.7,,,-0.042955326,0.00184516,0.042955326
Universitat de Barcelona,66.4,60.7,,,0.085843373,0.007369085,0.085843373
Stockholm School of Economics,68.9,60.8,,,0.117561684,0.013820749,0.117561684
Universidade Nova de Lisboa,51.7,60.9,,,-0.17794971,0.031666099,0.17794971
University of Lisbon,50.7,61,,,-0.203155819,0.041272287,0.203155819
University of Alberta,61.9,61.1,,,0.012924071,0.000167032,0.012924071
Universidad Católica Andres Bello,67.8,61.1,,,0.098820059,0.009765404,0.098820059
"University of California, San Diego (UCSD)",62.8,61.3,,,0.02388535,0.00057051,0.02388535
Freie Universitaet Berlin,55.9,61.4,,,-0.098389982,0.009680589,0.098389982
Kyung Hee University,60.2,61.6,,,-0.023255814,0.000540833,0.023255814
Kyushu University,53.4,62,,,-0.161048689,0.02593668,0.161048689
University of Wisconsin-Madison,55.5,62.1,,,-0.118918919,0.014141709,0.118918919
University of Cologne,54.9,62.4,,,-0.136612022,0.018662845,0.136612022
Institut National des Sciences Appliquées de Lyon (INSA),53.5,62.8,,,-0.173831776,0.030217486,0.173831776
Alma Mater Studiorum - University of Bologna,54.5,62.9,,,-0.15412844,0.023755576,0.15412844
Queensland University of Technology (QUT),56.7,63,,,-0.111111111,0.012345679,0.111111111
Cardiff University,58.1,63,,,-0.084337349,0.007112789,0.084337349
Université catholique de Louvain (UCL),62.3,63,,,-0.011235955,0.000126247,0.011235955
Singapore Management University,55.1,63.3,,,-0.148820327,0.02214749,0.148820327
Middle East Technical University,54.7,63.8,,,-0.166361974,0.027676307,0.166361974
University of Strathclyde,54.5,63.9,,,-0.172477064,0.029748338,0.172477064
The University of Western Australia,55.2,64.1,,,-0.161231884,0.02599572,0.161231884
Universidad Carlos III de Madrid (UC3M),56.9,64.9,,,-0.14059754,0.019767668,0.14059754
Pohang University of Science And Technology (POSTECH),57.3,65.6,,,-0.144851658,0.020982003,0.144851658
Cairo University,57.3,65.6,,,-0.144851658,0.020982003,0.144851658
Tohoku University,57.5,66,,,-0.147826087,0.021852552,0.147826087
University of Amsterdam,77.5,66.1,,,0.147096774,0.021637461,0.147096774
Nanjing University,57.6,66.2,,,-0.149305556,0.022292149,0.149305556
Newcastle University,58.4,66.4,,,-0.136986301,0.018765247,0.136986301
Johns Hopkins University,64.7,66.4,,,-0.026275116,0.000690382,0.026275116
University of Glasgow,63,66.6,,,-0.057142857,0.003265306,0.057142857
Hitotsubashi University,53.9,66.9,,,-0.241187384,0.058171354,0.241187384
Pontificia Universidad Católica Argentina Santa María de los Buenos Aires (UCA),85.9,66.9,,,0.221187427,0.048923878,0.221187427
Universite libre de Bruxelles,57.9,67,,,-0.15716753,0.024701633,0.15716753
Universidad Adolfo Ibàñez,76,68.8,,,0.094736842,0.008975069,0.094736842
"Trinity College Dublin, The University of Dublin",57.8,68.9,,,-0.192041522,0.036879946,0.192041522
Loughborough University,60.1,69.2,,,-0.151414309,0.022926293,0.151414309
The University of Western Ontario,60.2,69.3,,,-0.151162791,0.022850189,0.151162791
University College Dublin,60.2,69.4,,,-0.15282392,0.023355151,0.15282392
Università Cattolica del Sacro Cuore,66.3,69.5,,,-0.04826546,0.002329555,0.04826546
The University of Sheffield,66.2,69.9,,,-0.055891239,0.003123831,0.055891239
Erasmus University Rotterdam,85.7,70.3,,,0.179696616,0.032290874,0.179696616
Queen's University at Kingston,62.3,70.5,,,-0.131621188,0.017324137,0.131621188
The University of Exeter,62.6,70.6,,,-0.127795527,0.016331697,0.127795527
Purdue University,70.8,70.7,,,0.001412429,1.99496E-06,0.001412429
Politecnico di Torino,63.7,71.1,,,-0.116169545,0.013495363,0.116169545
Indian Institute of Technology Delhi (IITD),75.2,71.1,55.2,51.6,0.054521277,0.00297257,0.054521277
Universität Stuttgart,62.3,71.7,,,-0.150882825,0.022765627,0.150882825
Lund University,78.8,71.8,,,0.088832487,0.007891211,0.088832487
Sciences Po,64.7,72.1,,,-0.114374034,0.01308142,0.114374034
Hanyang University,63.3,72.6,,,-0.146919431,0.021585319,0.146919431
Humboldt-Universität zu Berlin,65.2,73.4,,,-0.125766871,0.015817306,0.125766871
Universidade Estadual de Campinas (Unicamp),79.2,73.4,,,0.073232323,0.005362973,0.073232323
Université de Montréal,66.2,73.5,,,-0.110271903,0.012159893,0.110271903
Universidad Autónoma de Madrid,68,74.1,,,-0.089705882,0.008047145,0.089705882
National Taiwan University (NTU),68.9,74.2,,,-0.076923077,0.00591716,0.076923077
RMIT University,74.1,74.8,,,-0.009446694,8.924E-05,0.009446694
Pennsylvania State University,72.1,75.1,,,-0.041608877,0.001731299,0.041608877
Université Paris Dauphine,67,75.2,,,-0.12238806,0.014978837,0.12238806
Osaka University,68.2,75.4,,,-0.105571848,0.011145415,0.105571848
Vienna University of Technology,67.7,75.6,,,-0.116691285,0.013616856,0.116691285
Oxford Brookes University,69,75.6,,,-0.095652174,0.009149338,0.095652174
Chalmers University of Technology,76,75.7,,,0.003947368,1.55817E-05,0.003947368
Ruprecht-Karls-Universitaet Heidelberg,70.5,76.5,,,-0.085106383,0.007243096,0.085106383
Northwestern University,76.7,76.6,,,0.001303781,1.69984E-06,0.001303781
University Complutense Madrid,72.6,76.8,,,-0.05785124,0.003346766,0.05785124
Technische Universität Dresden,67.8,77,,,-0.135693215,0.018412649,0.135693215
Universidad de los Andes,84.8,77.2,,,0.089622642,0.008032218,0.089622642
The University of Auckland,85.8,77.3,,,0.099067599,0.009814389,0.099067599
Indian Institute of Technology Bombay (IITB),79.1,77.9,79.1,77.9,0.01517067,0.000230149,0.01517067
KU Leuven,71.6,78,,,-0.089385475,0.007989763,0.089385475
University of Zurich,69.3,78.1,,,-0.126984127,0.016124969,0.126984127
Duke University,78.3,78.1,,,0.002554278,6.52434E-06,0.002554278
Boston University,83.9,78.5,,,0.064362336,0.00414251,0.064362336
"Ecole normale supérieure, Paris",71.8,78.6,,,-0.094707521,0.008969515,0.094707521
Université Paris 1 Panthéon-Sorbonne,82.5,78.8,,,0.044848485,0.002011387,0.044848485
Georgia Institute of Technology,78,79.4,,,-0.017948718,0.000322156,0.017948718
Lomonosov Moscow State University,69.3,79.6,,,-0.148629149,0.022090624,0.148629149
Keio University,73.2,80.2,,,-0.095628415,0.009144794,0.095628415
University of Bath,78.7,80.9,,,-0.027954257,0.00078144,0.027954257
University of Texas at Austin,82.9,82.1,,,0.009650181,9.3126E-05,0.009650181
University of Waterloo,76.2,82.4,,,-0.081364829,0.006620235,0.081364829
Ecole des Ponts ParisTech,74.4,82.5,,,-0.108870968,0.011852888,0.108870968
Universidad Nacional de Colombia,91.5,82.7,,,0.096174863,0.009249604,0.096174863
The Chinese University of Hong Kong (CUHK),82,83.3,,,-0.015853659,0.000251338,0.015853659
Tokyo Institute of Technology,77.4,83.7,,,-0.081395349,0.006625203,0.081395349
American University of Beirut (AUB),84.9,83.7,,,0.014134276,0.000199778,0.014134276
The University of Queensland,82.7,84.1,,,-0.016928658,0.000286579,0.016928658
Universität Mannheim,79.1,84.2,,,-0.064475348,0.00415707,0.064475348
ESCP Europe - Paris,78,84.4,,,-0.082051282,0.006732413,0.082051282
Technische Universität Berlin (TU Berlin),78.7,84.9,,,-0.078780178,0.006206316,0.078780178
Instituto Tecnológico y de Estudios Superiores de Monterrey,92.6,84.9,,,0.083153348,0.006914479,0.083153348
Carnegie Mellon University,81.4,85.1,,,-0.045454545,0.002066116,0.045454545
Universidad de Chile,92.5,85.1,,,0.08,0.0064,0.08
California Institute of Technology (Caltech),80.7,85.4,,,-0.058240397,0.003391944,0.058240397
University of Navarra,84.7,85.7,,,-0.011806375,0.000139391,0.011806375
University of Leeds,81.8,86.9,,,-0.062347188,0.003887172,0.062347188
University of Technology Sydney,81,87,,,-0.074074074,0.005486968,0.074074074
KTH Royal Institute of Technology,88.1,87,,,0.012485812,0.000155895,0.012485812
Zhejiang University,80.3,87.1,,,-0.084682441,0.007171116,0.084682441
The Hong Kong University of Science and Technology,86,87.2,,,-0.013953488,0.0001947,0.013953488
KAIST - Korea Advanced Institute of Science & Technology,83,87.4,,,-0.053012048,0.002810277,0.053012048
The University of Nottingham,91.3,87.5,,,0.04162103,0.00173231,0.04162103
Technische Universität Darmstadt,82.6,87.6,,,-0.060532688,0.003664206,0.060532688
Yonsei University,82.9,87.7,,,-0.057901086,0.003352536,0.057901086
Korea University,82.6,88.1,,,-0.066585956,0.00443369,0.066585956
Ludwig-Maximilians-Universität München,83.5,88.2,,,-0.056287425,0.003168274,0.056287425
University of Birmingham,88.7,88.6,,,0.001127396,1.27102E-06,0.001127396
Waseda University,84.5,89,,,-0.053254438,0.002836035,0.053254438
Universidad Nacional Autónoma de México  (UNAM),92.3,89.6,,,0.029252438,0.000855705,0.029252438
Universidade de São Paulo,94.4,90.2,,,0.044491525,0.001979496,0.044491525
The Australian National University,89.6,90.4,,,-0.008928571,7.97194E-05,0.008928571
Delft University of Technology,86.9,91,,,-0.047180667,0.002226015,0.047180667
University of Michigan,89.6,92.2,,,-0.029017857,0.000842036,0.029017857
King's College London,91.1,92.4,,,-0.014270033,0.000203634,0.014270033
New York University (NYU),96.2,92.6,,,0.037422037,0.001400409,0.037422037
University of Chicago,94.1,92.9,,,0.012752391,0.000162623,0.012752391
ESSEC Business School,88.7,93,,,-0.048478016,0.002350118,0.048478016
Politecnico di Milano,89.6,93.4,,,-0.042410714,0.001798669,0.042410714
The University of Hong Kong,93.8,93.4,,,0.004264392,1.8185E-05,0.004264392
Cornell University,94,93.7,,,0.003191489,1.01856E-05,0.003191489
University of St.Gallen (HSG),94.3,93.7,,,0.006362672,4.04836E-05,0.006362672
Pontificia Universidad Católica de Chile (UC),98.3,94.6,,,0.037639878,0.00141676,0.037639878
Kyoto University,92.6,94.9,,,-0.024838013,0.000616927,0.024838013
University of Pennsylvania,96.5,94.9,,,0.016580311,0.000274907,0.016580311
Monash University,93.1,95.2,,,-0.022556391,0.000508791,0.022556391
Ecole Polytechnique Fédérale de Lausanne (EPFL),93.5,95.5,,,-0.021390374,0.000457548,0.021390374
University of Bristol,94.8,95.5,,,-0.007383966,5.4523E-05,0.007383966
University of British Columbia,95.5,95.5,,,0,0,0
Universidad de Buenos Aires (UBA),98.9,95.5,,,0.03437816,0.001181858,0.03437816
University of Toronto,92.8,95.6,,,-0.030172414,0.000910375,0.030172414
McGill University,93.7,96.1,,,-0.025613661,0.00065606,0.025613661
Sungkyunkwan University (SKKU),98.1,96.5,,,0.016309888,0.000266012,0.016309888
"Nanyang Technological University, Singapore (NTU)",94.1,96.6,,,-0.026567481,0.000705831,0.026567481
The University of Edinburgh,95,96.6,,,-0.016842105,0.000283657,0.016842105
"KIT, Karlsruhe Institute of Technology",94.8,96.8,,,-0.021097046,0.000445085,0.021097046
Fudan University,95.3,97.1,,,-0.018887723,0.000356746,0.018887723
Durham University,95.7,97.1,,,-0.014629049,0.000214009,0.014629049
Princeton University,97.9,97.3,,,0.006128703,3.7561E-05,0.006128703
Shanghai Jiao Tong University,95.7,97.4,,,-0.017763845,0.000315554,0.017763845
Seoul National University,96.1,97.4,,,-0.013527575,0.000182995,0.013527575
Bocconi University,98.1,98,,,0.001019368,1.03911E-06,0.001019368
Columbia University,99.2,98.1,,,0.01108871,0.000122959,0.01108871
The University of Sydney,98.1,98.3,,,-0.002038736,4.15644E-06,0.002038736
RWTH Aachen University,96.9,98.4,,,-0.015479876,0.000239627,0.015479876
The University of New South Wales (UNSW Sydney),98.7,98.4,,,0.003039514,9.23864E-06,0.003039514
Technical University of Munich,97.6,98.7,,,-0.011270492,0.000127024,0.011270492
The University of Warwick,98.9,98.9,,,0,0,0
ETH Zurich - Swiss Federal Institute of Technology,98.9,99.4,,,-0.005055612,2.55592E-05,0.005055612
"University of California, Los Angeles (UCLA)",99.6,99.4,,,0.002008032,4.03219E-06,0.002008032
The University of Manchester,99.7,99.4,,,0.003009027,9.05424E-06,0.003009027
The University of Melbourne,99.2,99.5,,,-0.003024194,9.14575E-06,0.003024194
UCL (University College London),99.3,99.5,,,-0.002014099,4.05659E-06,0.002014099
INSEAD,99.9,99.5,,,0.004004004,1.6032E-05,0.004004004
Tsinghua University,99.2,99.6,,,-0.004032258,1.62591E-05,0.004032258
HEC Paris School of Management,99.3,99.6,,,-0.003021148,9.12734E-06,0.003021148
London Business School,100,99.6,,,0.004,1.6E-05,0.004
The University of Tokyo,99.6,99.8,,,-0.002008032,4.03219E-06,0.002008032
Yale University,99.9,99.8,,,0.001001001,1.002E-06,0.001001001
