University,International Faculty-17,International Faculty-18,,,(B2-C2)/B2,(D2)^2,ABS(D2)
National Sun Yat-sen University,16.6,17.9,,,-0.078313253,0.006132966,0.078313253
Université de Rennes 1,18.1,18.3,,,-0.011049724,0.000122096,0.011049724
Universit Paul-Valery Montpellier 3,28.5,18.3,,,0.357894737,0.128088643,0.357894737
TU Dortmund University,19.3,18.5,,,0.041450777,0.001718167,0.041450777
Auezov South Kazakhstan State University (SKSU),17.4,18.6,,,-0.068965517,0.004756243,0.068965517
Universität Bielefeld,22.2,19.1,,,0.13963964,0.019499229,0.13963964
Bogaziçi Üniversitesi,26.8,19.1,,,0.287313433,0.082549009,0.287313433
National Research Tomsk Polytechnic University,20.8,19.2,,,0.076923077,0.00591716,0.076923077
Wayne State University,21.8,19.2,,,0.119266055,0.014224392,0.119266055
Universidad del Rosario,22.2,19.3,,,0.130630631,0.017064362,0.130630631
Université Jean Moulin Lyon 3,19.8,19.6,,,0.01010101,0.00010203,0.01010101
Doshisha University,21.2,19.6,,,0.075471698,0.005695977,0.075471698
Virginia Polytechnic Institute and State University,20.4,19.8,,,0.029411765,0.000865052,0.029411765
"Université Lille 1, Sciences et Technologies",21.8,20.2,,,0.073394495,0.005386752,0.073394495
University of Illinois at Urbana-Champaign,35.3,20.4,,,0.422096317,0.178165301,0.422096317
Philipps-Universität Marburg,23.1,20.6,,,0.108225108,0.011712674,0.108225108
Universidad de Alcalá,21.7,21,,,0.032258065,0.001040583,0.032258065
Kent State University,22,21.1,,,0.040909091,0.001673554,0.040909091
Georgetown University,38.4,21.1,,,0.450520833,0.202969021,0.450520833
Université Paris Diderot - Paris 7,34,21.3,,,0.373529412,0.139524221,0.373529412
Illinois Institute of Technology,17.3,21.4,,,-0.23699422,0.05616626,0.23699422
Universität Duisburg-Essen,23.7,21.4,,,0.097046414,0.009418006,0.097046414
Universitat Autònoma de Barcelona,22.2,21.5,,,0.031531532,0.000994237,0.031531532
Universidad Anahuac,23.1,21.5,,,0.069264069,0.004797511,0.069264069
National Taipei University of Technology,26.6,21.5,,,0.191729323,0.036760133,0.191729323
Chung-Ang University (CAU),17.3,22.1,,,-0.277456647,0.076982191,0.277456647
Université Paris 1 Panthéon-Sorbonne,19.2,22.2,,,-0.15625,0.024414063,0.15625
Tomsk State University,23.7,22.2,,,0.063291139,0.004005768,0.063291139
"University of Missouri, Columbia",44.2,22.4,,,0.49321267,0.243258738,0.49321267
Université Lumière Lyon 2,23.9,22.6,,,0.054393305,0.002958632,0.054393305
Universidad de Talca,24.3,22.6,,,0.069958848,0.00489424,0.069958848
Seoul National University,26,23,,,0.115384615,0.013313609,0.115384615
Universität Hamburg,30.3,23,,,0.240924092,0.058044418,0.240924092
Hitotsubashi University,22.7,23.1,,,-0.017621145,0.000310505,0.017621145
University of Salford,23.1,23.3,,,-0.008658009,7.49611E-05,0.008658009
Université Pierre et Marie Curie (UPMC),27.8,23.3,,,0.161870504,0.02620206,0.161870504
Gadjah Mada University,18,23.5,,,-0.305555556,0.093364198,0.305555556
University of Eastern Finland,42.9,23.5,,,0.452214452,0.204497911,0.452214452
Moscow Institute of Physics and Technology (MIPT / Moscow Phystech),22.8,23.7,,,-0.039473684,0.001558172,0.039473684
Friedrich-Alexander-Universität Erlangen-Nürnberg,26.2,23.9,,,0.08778626,0.007706427,0.08778626
"University of California, Santa Cruz",45.7,24.2,,,0.470459519,0.221332159,0.470459519
University of Pittsburgh,40.1,24.3,,,0.394014963,0.155247791,0.394014963
Taipei Medical University,20,24.4,,,-0.22,0.0484,0.22
Université Paris-Sorbonne (Paris IV),26.7,24.4,,,0.086142322,0.0074205,0.086142322
Westfälische Wilhelms-Universität Münster,25.1,24.6,,,0.019920319,0.000396819,0.019920319
National Tsing Hua University,32.1,24.9,,,0.224299065,0.050310071,0.224299065
University of Bordeaux,26.9,25.1,,,0.066914498,0.00447755,0.066914498
Vytautas Magnus University,21,25.2,,,-0.2,0.04,0.2
Yeungnam University,21.6,25.2,,,-0.166666667,0.027777778,0.166666667
KAIST - Korea Advanced Institute of Science & Technology,23.5,25.2,,,-0.072340426,0.005233137,0.072340426
Colorado State University,22.7,25.3,,,-0.114537445,0.013118826,0.114537445
Hanyang University,26.7,25.3,,,0.052434457,0.002749372,0.052434457
Case Western Reserve University,29.9,25.4,,,0.150501672,0.022650753,0.150501672
Carleton University,29.1,25.6,,,0.120274914,0.014466055,0.120274914
University of Jordan,34.2,25.9,,,0.242690058,0.058898464,0.242690058
"University of Maryland, College Park",30.1,26.1,,,0.132890365,0.017659849,0.132890365
Palacký University in Olomouc,27.7,26.2,,,0.054151625,0.002932398,0.054151625
Aix-Marseille University,20.9,26.3,,,-0.258373206,0.066756713,0.258373206
Rutgers University - New Brunswick,21.1,26.3,,,-0.246445498,0.060735383,0.246445498
Tokyo Institute of Technology,25.3,26.5,,,-0.04743083,0.002249684,0.04743083
University of Cologne,32.2,26.7,,,0.170807453,0.029175186,0.170807453
Université de Cergy-Pontoise,28.8,26.9,,,0.065972222,0.004352334,0.065972222
Universiti Sains Malaysia (USM),23.4,27.2,,,-0.162393162,0.026371539,0.162393162
Ruhr-Universität Bochum,22,27.3,,,-0.240909091,0.05803719,0.240909091
Tallinn University of Technology,22.1,27.4,,,-0.239819005,0.057513155,0.239819005
Ecole Normale Supérieure de Cachan,32.9,27.5,,,0.164133739,0.026939884,0.164133739
Lappeenranta University of Technology,42.1,28.2,,,0.330166271,0.109009766,0.330166271
Waseda University,31.7,28.3,,,0.107255521,0.011503747,0.107255521
Bocconi University,30.4,28.5,,,0.0625,0.00390625,0.0625
"University of North Carolina, Chapel Hill",34.2,28.5,,,0.166666667,0.027777778,0.166666667
Xi’an Jiaotong University,23.4,28.9,,,-0.235042735,0.055245087,0.235042735
Manchester Metropolitan University,30.9,28.9,,,0.064724919,0.004189315,0.064724919
Umea University,31.9,29,,,0.090909091,0.008264463,0.090909091
Universität Bremen,31,29.1,,,0.061290323,0.003756504,0.061290323
University of Oklahoma,32.6,29.2,,,0.104294479,0.010877338,0.104294479
Tel Aviv University,31.6,29.7,,,0.060126582,0.003615206,0.060126582
University of Kentucky,20.2,30,,,-0.485148515,0.235369081,0.485148515
Bandung Institute of Technology (ITB),17.6,30.1,,,-0.710227273,0.504422779,0.710227273
University of Central Lancashire,29.4,30.3,,,-0.030612245,0.00093711,0.030612245
University of Oulu,30.5,30.5,,,0,0,0
Universität Mannheim,33.4,30.6,,,0.083832335,0.00702786,0.083832335
Sun Yat-sen University,39.6,30.6,,,0.227272727,0.051652893,0.227272727
Charles Sturt University,44,30.7,,,0.302272727,0.091368802,0.302272727
Al-Farabi Kazakh National University,30.3,30.9,,,-0.01980198,0.000392118,0.01980198
Universidad de los Andes,31.9,30.9,,,0.031347962,0.000982695,0.031347962
Stevens Institute of Technology,17.3,31.2,,,-0.803468208,0.645561161,0.803468208
Ca' Foscari University of Venice,19.4,31.3,,,-0.613402062,0.376262089,0.613402062
Ritsumeikan University,28.2,31.6,,,-0.120567376,0.014536492,0.120567376
L.N. Gumilyov Eurasian National University (ENU),28.9,31.7,,,-0.096885813,0.009386861,0.096885813
University of Mons,31.8,31.7,,,0.003144654,9.88885E-06,0.003144654
York University,33.1,31.9,,,0.036253776,0.001314336,0.036253776
Universiti Utara Malaysia (UUM),54.9,32.5,,,0.408014572,0.166475891,0.408014572
RWTH Aachen University,30.9,32.6,,,-0.055016181,0.00302678,0.055016181
Wageningen University,45.1,32.8,,,0.272727273,0.074380165,0.272727273
"Rutgers - The State University of New Jersey, Newark",28.4,33,,,-0.161971831,0.026234874,0.161971831
Beijing Normal University,40.4,33.3,,,0.175742574,0.030885452,0.175742574
University of Delaware,34.8,33.6,,,0.034482759,0.001189061,0.034482759
Julius-Maximilians-Universität Würzburg,32.6,33.7,,,-0.033742331,0.001138545,0.033742331
Université de Toulouse II-Le Mirail,22.4,34.1,,,-0.522321429,0.272819675,0.522321429
Institut National des Sciences Appliquées de Lyon (INSA),32.6,34.1,,,-0.04601227,0.002117129,0.04601227
Universidad de Palermo (UP),37.1,34.2,,,0.078167116,0.006110098,0.078167116
Universidad Carlos III de Madrid (UC3M),34.2,34.4,,,-0.005847953,3.41986E-05,0.005847953
Technische Universität Berlin (TU Berlin),39.8,34.6,,,0.130653266,0.017070276,0.130653266
Columbia University,37.8,34.7,,,0.082010582,0.006725736,0.082010582
Tampere University of Technology,55.3,34.8,,,0.370705244,0.137422378,0.370705244
Universidad de las Américas Puebla (UDLAP),40.6,34.9,,,0.140394089,0.0197105,0.140394089
Universität Stuttgart,37.1,35,,,0.056603774,0.003203987,0.056603774
Université du Québec,25.9,35.1,,,-0.355212355,0.126175817,0.355212355
Johannes Gutenberg Universität Mainz,36.5,35.1,,,0.038356164,0.001471195,0.038356164
National Chiao Tung University,37.9,35.2,,,0.071240106,0.005075153,0.071240106
Universiti Teknologi Malaysia,56.8,35.2,,,0.38028169,0.144614164,0.38028169
"University of Illinois, Chicago (UIC)",51.8,35.4,,,0.316602317,0.100237027,0.316602317
Northumbria University at Newcastle,37.8,35.7,,,0.055555556,0.00308642,0.055555556
Université de Strasbourg,40.3,35.7,,,0.114143921,0.013028835,0.114143921
Universität Regensburg,39.3,36,,,0.083969466,0.007050871,0.083969466
George Washington University,35.3,36.4,,,-0.031161473,0.000971037,0.031161473
University of Bayreuth,38.5,36.5,,,0.051948052,0.0026986,0.051948052
University of Colorado Boulder,37.4,36.7,,,0.018716578,0.00035031,0.018716578
University of the Western Cape,38.8,36.7,,,0.054123711,0.002929376,0.054123711
Politecnico di Milano,40.1,36.9,,,0.079800499,0.00636812,0.079800499
Drexel University,38.1,37,,,0.028871391,0.000833557,0.028871391
Indiana University Bloomington,33.7,37.6,,,-0.115727003,0.013392739,0.115727003
HUFS - Hankuk (Korea) University of Foreign Studies,37.2,37.9,,,-0.018817204,0.000354087,0.018817204
Vrije Universiteit Amsterdam,45,38.2,,,0.151111111,0.022834568,0.151111111
University of Pretoria,38.3,38.4,,,-0.002610966,6.81714E-06,0.002610966
Linköping University,41.1,39,,,0.051094891,0.002610688,0.051094891
National Research Nuclear University MEPhI (Moscow Engineering Physics Institute),28,39.1,,,-0.396428571,0.157155612,0.396428571
University of Gothenburg,37,39.5,,,-0.067567568,0.004565376,0.067567568
Université Toulouse 1 Capitole,42,39.8,,,0.052380952,0.002743764,0.052380952
University of Trento,44,40.4,,,0.081818182,0.006694215,0.081818182
University of Tromsø The Arctic University of Norway,17.3,41,,,-1.369942197,1.876741622,1.369942197
Universidad Adolfo Ibàñez,41.2,41.2,,,0,0,0
"University of California, Davis",65.5,42,,,0.358778626,0.128722102,0.358778626
Tsinghua University,43.3,42.1,,,0.027713626,0.000768045,0.027713626
University of Jyväskylä,36.7,42.4,,,-0.155313351,0.024122237,0.155313351
Pohang University of Science And Technology (POSTECH),44.5,42.4,,,0.047191011,0.002226992,0.047191011
Université Paris-Sud,32.2,42.5,,,-0.319875776,0.102320512,0.319875776
Koc University,43.7,42.6,,,0.025171625,0.000633611,0.025171625
Universiti Putra Malaysia (UPM),45.2,43,,,0.048672566,0.002369019,0.048672566
University of Huddersfield,45.2,43.5,,,0.037610619,0.001414559,0.037610619
Abo Akademi University,46.5,43.5,,,0.064516129,0.004162331,0.064516129
International Islamic University Malaysia (IIUM),46.9,43.5,,,0.07249467,0.005255477,0.07249467
University of Göttingen,42.1,43.8,,,-0.040380048,0.001630548,0.040380048
