University,Teaching-15,Teaching-16,,,B2-C2,B2-C2/B2,,,,ABS
Washington University in St LouisUnited States of America,57.6,54.3,,,3.3,0.057291667,0.003282335,,,0.057291667
University of SydneyAustralia,52.8,54.3,,,-1.5,-0.028409091,0.000807076,,,0.028409091
Scuola Normale Superiore di PisaItaly,48.2,54.2,,,-6,-0.124481328,0.015495601,,,0.124481328
National Taiwan UniversityTaiwan,48.8,54.1,,,-5.3,-0.108606557,0.011795384,,,0.108606557
University of MinnesotaUnited States of America,59.9,53.5,,,6.4,0.106844741,0.011415799,,,0.106844741
École PolytechniqueFrance,50.5,53.5,,,-3,-0.059405941,0.003529066,,,0.059405941
Pierre and Marie Curie UniversityFrance,47.3,52.8,,,-5.5,-0.11627907,0.013520822,,,0.11627907
"University of California, Santa BarbaraUnited States of America",49.4,52.6,,,-3.2,-0.064777328,0.004196102,,,0.064777328
Wageningen University and Research CenterNetherlands,44.3,52.6,,,-8.3,-0.187358916,0.035103364,,,0.187358916
University of AmsterdamNetherlands,42,52.2,,,-10.2,-0.242857143,0.058979592,,,0.242857143
University of FloridaUnited States of America,49.8,51.8,,,-2,-0.040160643,0.001612877,,,0.040160643
University of Erlangen-NurembergGermany,28.4,51.7,,,-23.3,-0.820422535,0.673093136,,,0.820422535
Ohio State UniversityUnited States of America,54,51.6,,,2.4,0.044444444,0.001975309,,,0.044444444
Sungkyunkwan University (SKKU)South Korea,48.1,51.4,,,-3.3,-0.068607069,0.00470693,,,0.068607069
Dartmouth CollegeUnited States of America,38.3,50.7,,,-12.4,-0.323759791,0.104820402,,,0.323759791
University of PittsburghUnited States of America,45.2,50.6,,,-5.4,-0.119469027,0.014272848,,,0.119469027
Leiden UniversityNetherlands,45,50.5,,,-5.5,-0.122222222,0.014938272,,,0.122222222
Pennsylvania State UniversityUnited States of America,54.6,50.4,,,4.2,0.076923077,0.00591716,,,0.076923077
Purdue UniversityUnited States of America,47.8,50.2,,,-2.4,-0.050209205,0.002520964,,,0.050209205
University of CopenhagenDenmark,34,49.8,,,-15.8,-0.464705882,0.215951557,,,0.464705882
University of St AndrewsUnited Kingdom,35.7,49.7,,,-14,-0.392156863,0.153787005,,,0.392156863
University of ZurichSwitzerland,40.2,49.5,,,-9.3,-0.231343284,0.053519715,,,0.231343284
Hong Kong University of Science and TechnologyHong Kong,51.8,49.4,,,2.4,0.046332046,0.002146659,,,0.046332046
Texas A&M UniversityUnited States of America,46.2,49.4,,,-3.2,-0.069264069,0.004797511,,,0.069264069
RWTH Aachen UniversityGermany,39,49.4,,,-10.4,-0.266666667,0.071111111,,,0.266666667
University of Southern CaliforniaUnited States of America,55.2,49.3,,,5.9,0.106884058,0.011424202,,,0.106884058
University of GöttingenGermany,46.9,49.3,,,-2.4,-0.051172708,0.002618646,,,0.051172708
The University of QueenslandAustralia,45.8,49.2,,,-3.4,-0.074235808,0.005510955,,,0.074235808
Pohang University of Science and TechnologySouth Korea,52.7,49.1,,,3.6,0.068311195,0.004666419,,,0.068311195
Nanyang Technological UniversitySingapore,43.9,48.4,,,-4.5,-0.102505695,0.010507417,,,0.102505695
University of HelsinkiFinland,37.5,48.4,,,-10.9,-0.290666667,0.084487111,,,0.290666667
Emory UniversityUnited States of America,49,48.3,,,0.7,0.014285714,0.000204082,,,0.014285714
Monash UniversityAustralia,43.7,48.1,,,-4.4,-0.100686499,0.010137771,,,0.100686499
Utrecht UniversityNetherlands,38.2,48.1,,,-9.9,-0.259162304,0.0671651,,,0.259162304
Durham UniversityUnited Kingdom,37.2,47.9,,,-10.7,-0.287634409,0.082733553,,,0.287634409
Vanderbilt UniversityUnited States of America,46,47.8,,,-1.8,-0.039130435,0.001531191,,,0.039130435
University of BristolUnited Kingdom,43.7,47.6,,,-3.9,-0.089244851,0.007964643,,,0.089244851
University of Notre DameUnited States of America,43.3,47.6,,,-4.3,-0.099307159,0.009861912,,,0.099307159
University of WarwickUnited Kingdom,41.1,47.4,,,-6.3,-0.153284672,0.023496191,,,0.153284672
University of FreiburgGermany,38,47.4,,,-9.4,-0.247368421,0.061191136,,,0.247368421
Michigan State UniversityUnited States of America,51.1,47.3,,,3.8,0.074363992,0.005530003,,,0.074363992
University of TübingenGermany,41.5,47,,,-5.5,-0.13253012,0.017564233,,,0.13253012
Osaka UniversityJapan,51.3,46.8,,,4.5,0.087719298,0.007694675,,,0.087719298
University of Science and Technology of ChinaChina,36.9,46.7,,,-9.8,-0.265582656,0.070534147,,,0.265582656
University of AlbertaCanada,43.8,46.4,,,-2.6,-0.059360731,0.003523696,,,0.059360731
University of MontrealCanada,43.8,46.3,,,-2.5,-0.057077626,0.003257855,,,0.057077626
Case Western Reserve UniversityUnited States of America,46.5,46.1,,,0.4,0.008602151,7.3997E-05,,,0.008602151
Hebrew University of JerusalemIsrael,41.5,45.8,,,-4.3,-0.103614458,0.010735956,,,0.103614458
Tokyo Institute of TechnologyJapan,53.5,45.6,,,7.9,0.147663551,0.021804524,,,0.147663551
Tohoku UniversityJapan,49.7,45.3,,,4.4,0.088531187,0.007837771,,,0.088531187
Tufts UniversityUnited States of America,43.6,45.2,,,-1.6,-0.036697248,0.001346688,,,0.036697248
University of BonnGermany,32.2,45.1,,,-12.9,-0.400621118,0.16049728,,,0.400621118
"University of Maryland, College ParkUnited States of America",36.5,45,,,-8.5,-0.232876712,0.054231563,,,0.232876712
Yeshiva UniversityUnited States of America,45.2,44.8,,,0.4,0.008849558,7.83147E-05,,,0.008849558
Fudan UniversityChina,45.6,44.7,,,0.9,0.019736842,0.000389543,,,0.019736842
George Washington UniversityUnited States of America,44.6,44.7,,,-0.1,-0.002242152,5.02725E-06,,,0.002242152
State University of CampinasBrazil,43.4,44.6,,,-1.2,-0.02764977,0.00076451,,,0.02764977
Zhejiang UniversityChina,36,44.3,,,-8.3,-0.230555556,0.053155864,,,0.230555556
Uppsala UniversitySweden,40.2,44.1,,,-3.9,-0.097014925,0.009411896,,,0.097014925
Korea UniversitySouth Korea,48.9,43.9,,,5,0.102249489,0.010454958,,,0.102249489
"Rutgers, the State University of New JerseyUnited States of America",40.5,43.9,,,-3.4,-0.083950617,0.007047706,,,0.083950617
University of LeedsUnited Kingdom,39.4,43.7,,,-4.3,-0.109137056,0.011910897,,,0.109137056
Korea Advanced Institute of Science and Technology (KAIST)South Korea,63.5,43.3,,,20.2,0.318110236,0.101194122,,,0.318110236
University of GroningenNetherlands,36.9,43.3,,,-6.4,-0.173441734,0.030082035,,,0.173441734
University of OsloNorway,36.1,43.3,,,-7.2,-0.199445983,0.0397787,,,0.199445983
Indiana UniversityUnited States of America,46.5,43,,,3.5,0.075268817,0.005665395,,,0.075268817
Indian Institute of ScienceIndia,32.6,42.7,32.6,42.7,-10.1,-0.309815951,0.095985923,,,0.309815951
University of SheffieldUnited Kingdom,40,42.4,,,-2.4,-0.06,0.0036,,,0.06
University of CologneGermany,25.6,42.2,,,-16.6,-0.6484375,0.420471191,,,0.6484375
Ghent UniversityBelgium,42.5,42.1,,,0.4,0.009411765,8.85813E-05,,,0.009411765
Trinity College DublinRepublic of Ireland,39.4,41.9,,,-2.5,-0.063451777,0.004026128,,,0.063451777
University of YorkUnited Kingdom,32.2,41.9,,,-9.7,-0.301242236,0.090746885,,,0.301242236
University of MiamiUnited States of America,42.7,41.7,,,1,0.023419204,0.000548459,,,0.023419204
École Normale Supérieure de LyonFrance,38.1,41.6,,,-3.5,-0.091863517,0.008438906,,,0.091863517
University of GlasgowUnited Kingdom,37,41.6,,,-4.6,-0.124324324,0.015456538,,,0.124324324
Chinese University of Hong KongHong Kong,43.9,41.5,,,2.4,0.054669704,0.002988777,,,0.054669704
TU Dresden Germany,39.8,41.4,,,-1.6,-0.040201005,0.001616121,,,0.040201005
Novosibirsk State UniversityRussian Federation,24.6,41.4,,,-16.8,-0.682926829,0.466389054,,,0.682926829
University of GeorgiaUnited States of America,39.7,41.1,,,-1.4,-0.035264484,0.001243584,,,0.035264484
Tel Aviv UniversityIsrael,43.5,41,,,2.5,0.057471264,0.003302946,,,0.057471264
University of IowaUnited States of America,41.9,41,,,0.9,0.021479714,0.000461378,,,0.021479714
University of Illinois at ChicagoUnited States of America,43,40.9,,,2.1,0.048837209,0.002385073,,,0.048837209
Nagoya UniversityJapan,37.5,40.8,,,-3.3,-0.088,0.007744,,,0.088
University of ViennaAustria,35.2,40.8,,,-5.6,-0.159090909,0.025309917,,,0.159090909
University of New South WalesAustralia,41.1,40.7,,,0.4,0.00973236,9.47188E-05,,,0.00973236
University of NottinghamUnited Kingdom,39.9,40.3,,,-0.4,-0.010025063,0.000100502,,,0.010025063
Hokkaido UniversityJapan,38.4,40.3,,,-1.9,-0.049479167,0.002448188,,,0.049479167
University of MünsterGermany,30.6,40.3,,,-9.7,-0.316993464,0.100484856,,,0.316993464
Autonomous University of BarcelonaSpain,30.4,40.3,,,-9.9,-0.325657895,0.106053064,,,0.325657895
University of MassachusettsUnited States of America,44.8,40.2,,,4.6,0.102678571,0.010542889,,,0.102678571
University of BernSwitzerland,42,40,,,2,0.047619048,0.002267574,,,0.047619048
University of TsukubaJapan,33.4,40,,,-6.6,-0.19760479,0.039047653,,,0.19760479
University of StuttgartGermany,30.6,40,,,-9.4,-0.307189542,0.094365415,,,0.307189542
"University of California, IrvineUnited States of America",39.5,39.9,,,-0.4,-0.010126582,0.000102548,,,0.010126582
McMaster UniversityCanada,38.1,39.8,,,-1.7,-0.044619423,0.001990893,,,0.044619423
University of SouthamptonUnited Kingdom,35.2,39.8,,,-4.6,-0.130681818,0.017077738,,,0.130681818
University of RochesterUnited States of America,41.9,39.7,,,2.2,0.052505967,0.002756877,,,0.052505967
University of Colorado BoulderUnited States of America,35,39.7,,,-4.7,-0.134285714,0.018032653,,,0.134285714
Lund UniversitySweden,32.6,39.7,,,-7.1,-0.217791411,0.047433099,,,0.217791411
University of BaselSwitzerland,41.2,39.5,,,1.7,0.041262136,0.001702564,,,0.041262136
University of BirminghamUnited Kingdom,42.8,39.4,,,3.4,0.079439252,0.006310595,,,0.079439252
University of ExeterUnited Kingdom,32,39.4,,,-7.4,-0.23125,0.053476563,,,0.23125
Tokyo Medical and Dental University (TMDU)Japan,42.7,39.3,,,3.4,0.079625293,0.006340187,,,0.079625293
University of ReadingUnited Kingdom,32.8,39.3,,,-6.5,-0.198170732,0.039271639,,,0.198170732
University of BolognaItaly,31,39.3,,,-8.3,-0.267741935,0.071685744,,,0.267741935
Tulane UniversityUnited States of America,40.7,39.1,,,1.6,0.039312039,0.001545436,,,0.039312039
KTH Royal Institute of TechnologySweden,45.7,39,,,6.7,0.146608315,0.021493998,,,0.146608315
University of VirginiaUnited States of America,48.7,38.8,,,9.9,0.203285421,0.041324962,,,0.203285421
University of ArizonaUnited States of America,44.9,38.7,,,6.2,0.138084633,0.019067366,,,0.138084633
Université Catholique de LouvainBelgium,37.9,38.7,,,-0.8,-0.021108179,0.000445555,,,0.021108179
Paris-Sud UniversityFrance,37.3,38.7,,,-1.4,-0.037533512,0.001408765,,,0.037533512
Montpellier UniversityFrance,23.7,38.7,,,-15,-0.632911392,0.400576831,,,0.632911392
University of Western OntarioCanada,38.3,38.6,,,-0.3,-0.007832898,6.13543E-05,,,0.007832898
William & MaryUnited States of America,36.8,38.5,,,-1.7,-0.046195652,0.002134038,,,0.046195652
University of KonstanzGermany,30.5,38.5,,,-8,-0.262295082,0.06879871,,,0.262295082
University of BarcelonaSpain,28.4,38.5,,,-10.1,-0.355633803,0.126475402,,,0.355633803
Wuhan UniversityChina,34.1,38.2,,,-4.1,-0.120234604,0.01445636,,,0.120234604
Sapienza University of RomeItaly,32.3,38,,,-5.7,-0.176470588,0.031141869,,,0.176470588
Rice UniversityUnited States of America,41.7,37.9,,,3.8,0.091127098,0.008304148,,,0.091127098
Shanghai Jiao Tong UniversityChina,37.9,37.8,,,0.1,0.002638522,6.9618E-06,,,0.002638522
Indian Institute of Technology BombayIndia,34.2,37.8,34.2,37.8,-3.6,-0.105263158,0.011080332,,,0.105263158
Karlsruhe Institute of TechnologyGermany,40.5,37.7,,,2.8,0.069135802,0.004779759,,,0.069135802
National Tsing Hua UniversityTaiwan,39.4,37.7,,,1.7,0.043147208,0.001861682,,,0.043147208
Laval UniversityCanada,35.8,37.5,,,-1.7,-0.047486034,0.002254923,,,0.047486034
Maastricht UniversityNetherlands,32.4,37.5,,,-5.1,-0.157407407,0.024777092,,,0.157407407
Technical University of DenmarkDenmark,39.9,37.3,,,2.6,0.065162907,0.004246204,,,0.065162907
Yonsei UniversitySouth Korea,44.5,37.2,,,7.3,0.164044944,0.026910744,,,0.164044944
Erasmus University RotterdamNetherlands,39.8,37.2,,,2.6,0.065326633,0.004267569,,,0.065326633
Nanjing UniversityChina,34.6,37.2,,,-2.6,-0.075144509,0.005646697,,,0.075144509
University of OttawaCanada,37.9,37.1,,,0.8,0.021108179,0.000445555,,,0.021108179
Technical University of DarmstadtGermany,36.9,37.1,,,-0.2,-0.005420054,2.9377E-05,,,0.005420054
University of Nebraska Medical CenterUnited States of America,36.4,37,,,-0.6,-0.016483516,0.000271706,,,0.016483516
Chalmers University of TechnologySweden,35.7,36.6,,,-0.9,-0.025210084,0.000635548,,,0.025210084
University at BuffaloUnited States of America,40.1,36.5,,,3.6,0.089775561,0.008059651,,,0.089775561
Kyushu UniversityJapan,36.5,36.5,,,0,0,0,,,0
University of ConnecticutUnited States of America,37.6,35.9,,,1.7,0.045212766,0.002044194,,,0.045212766
Queen’s UniversityCanada,37.3,35.8,,,1.5,0.040214477,0.001617204,,,0.040214477
Goethe University FrankfurtGermany,28.1,35.8,,,-7.7,-0.274021352,0.075087702,,,0.274021352
Aarhus UniversityDenmark,30.9,35.7,,,-4.8,-0.155339806,0.024130455,,,0.155339806
University of UtahUnited States of America,38.8,35.6,,,3.2,0.082474227,0.006801998,,,0.082474227
Autonomous University of MadridSpain,28.6,35.6,,,-7,-0.244755245,0.05990513,,,0.244755245
Northeastern UniversityUnited States of America,36.4,35.5,,,0.9,0.024725275,0.000611339,,,0.024725275
University of WaterlooCanada,30.9,35.4,,,-4.5,-0.145631068,0.021208408,,,0.145631068
Ulm UniversityGermany,35,35.2,,,-0.2,-0.005714286,3.26531E-05,,,0.005714286
Bielefeld UniversityGermany,27.5,35.2,,,-7.7,-0.28,0.0784,,,0.28
"Royal Holloway, University of LondonUnited Kingdom",29.1,35.1,,,-6,-0.206185567,0.042512488,,,0.206185567
University College DublinRepublic of Ireland,31.7,35,,,-3.3,-0.104100946,0.010837007,,,0.104100946
Virginia Polytechnic Institute and State UniversityUnited States of America,40.1,34.9,,,5.2,0.12967581,0.016815816,,,0.12967581
University of HoustonUnited States of America,39.3,34.9,,,4.4,0.111959288,0.012534882,,,0.111959288
University of GenevaSwitzerland,34.5,34.9,,,-0.4,-0.011594203,0.000134426,,,0.011594203
University of Cape TownSouth Africa,26.8,34.9,,,-8.1,-0.302238806,0.091348296,,,0.302238806
Renmin University of ChinaChina,34.9,34.7,,,0.2,0.005730659,3.28405E-05,,,0.005730659
Wake Forest UniversityUnited States of America,33.3,34.6,,,-1.3,-0.039039039,0.001524047,,,0.039039039
University of WürzburgGermany,28.6,34.6,,,-6,-0.20979021,0.044011932,,,0.20979021
Eindhoven University of TechnologyNetherlands,38.3,34.3,,,4,0.104438642,0.01090743,,,0.104438642
Radboud University NijmegenNetherlands,30.5,34.3,,,-3.8,-0.124590164,0.015522709,,,0.124590164
Joseph Fourier UniversityFrance,38,34.2,,,3.8,0.1,0.01,,,0.1
Vienna University of TechnologyAustria,43.3,34.1,,,9.2,0.212471132,0.045143982,,,0.212471132
Tilburg UniversityNetherlands,33,34.1,,,-1.1,-0.033333333,0.001111111,,,0.033333333
Queen Mary University of LondonUnited Kingdom,32.4,34.1,,,-1.7,-0.052469136,0.00275301,,,0.052469136
Boston CollegeUnited States of America,32.4,34.1,,,-1.7,-0.052469136,0.00275301,,,0.052469136
University of TwenteNetherlands,32.3,34.1,,,-1.8,-0.055727554,0.00310556,,,0.055727554
Stockholm UniversitySweden,30.1,34.1,,,-4,-0.132890365,0.017659849,,,0.132890365
Queen’s University BelfastUnited Kingdom,30.1,34.1,,,-4,-0.132890365,0.017659849,,,0.132890365
Lancaster UniversityUnited Kingdom,35.4,34,,,1.4,0.039548023,0.001564046,,,0.039548023
University of CalgaryCanada,34.4,33.9,,,0.5,0.014534884,0.000211263,,,0.014534884
University of EssexUnited Kingdom,31.6,33.9,,,-2.3,-0.07278481,0.005297629,,,0.07278481
Hanyang UniversitySouth Korea,31.5,33.9,,,-2.4,-0.076190476,0.005804989,,,0.076190476
"Birkbeck, University of LondonUnited Kingdom",28.3,33.5,,,-5.2,-0.183745583,0.033762439,,,0.183745583
University of Western AustraliaAustralia,36.3,33.4,,,2.9,0.079889807,0.006382381,,,0.079889807
University of SussexUnited Kingdom,31.9,33.4,,,-1.5,-0.047021944,0.002211063,,,0.047021944
National Chiao Tung UniversityTaiwan,35,32.9,,,2.1,0.06,0.0036,,,0.06
Pompeu Fabra UniversitySpain,25.1,32.9,,,-7.8,-0.310756972,0.096569896,,,0.310756972
University of AdelaideAustralia,33.8,32.8,,,1,0.029585799,0.000875319,,,0.029585799
Ruhr University BochumGermany,31.5,32.8,,,-1.3,-0.041269841,0.0017032,,,0.041269841
University of LiverpoolUnited Kingdom,31.3,32.8,,,-1.5,-0.047923323,0.002296645,,,0.047923323
Stony Brook UniversityUnited States of America,32.8,32.6,,,0.2,0.006097561,3.71802E-05,,,0.006097561
University of BergenNorway,29.5,32.5,,,-3,-0.101694915,0.010341856,,,0.101694915
Arizona State UniversityUnited States of America,35.7,32.4,,,3.3,0.092436975,0.008544594,,,0.092436975
University of KielGermany,31.1,32.3,,,-1.2,-0.038585209,0.001488818,,,0.038585209
University of FribourgSwitzerland,29.2,32.3,,,-3.1,-0.106164384,0.011270876,,,0.106164384
University of Duisburg-EssenGermany,21.9,32.3,,,-10.4,-0.474885845,0.225516566,,,0.474885845
Bayreuth UniversityGermany,21.3,32.2,,,-10.9,-0.511737089,0.261874848,,,0.511737089
City University of Hong KongHong Kong,31,32.1,,,-1.1,-0.035483871,0.001259105,,,0.035483871
University of LeicesterUnited Kingdom,29.8,32.1,,,-2.3,-0.077181208,0.005956939,,,0.077181208
University of Hawai’i at MānoaUnited States of America,35.1,32,,,3.1,0.088319088,0.007800261,,,0.088319088
Sun Yat-sen UniversityChina,32.5,31.9,,,0.6,0.018461538,0.000340828,,,0.018461538
Wayne State UniversityUnited States of America,32,31.9,,,0.1,0.003125,9.76563E-06,,,0.003125
University of NavarraSpain,29.5,31.9,,,-2.4,-0.081355932,0.006618788,,,0.081355932
University of East AngliaUnited Kingdom,25.2,31.9,,,-6.7,-0.265873016,0.070688461,,,0.265873016
National Taiwan University of Science and Technology (Taiwan Tech)Taiwan,27.7,31.7,,,-4,-0.144404332,0.020852611,,,0.144404332
University of AntwerpBelgium,34.6,31.6,,,3,0.086705202,0.007517792,,,0.086705202
Colorado State UniversityUnited States of America,27.6,31.6,,,-4,-0.144927536,0.021003991,,,0.144927536
Charles University in PragueCzech Republic,31.5,31.5,,,0,0,0,,,0
Swedish University of Agricultural SciencesSweden,27.9,31.5,,,-3.6,-0.129032258,0.016649324,,,0.129032258
Syracuse UniversityUnited States of America,32.4,31.4,,,1,0.030864198,0.000952599,,,0.030864198
University of AucklandNew Zealand,28.6,31.4,,,-2.8,-0.097902098,0.009584821,,,0.097902098
University of CincinnatiUnited States of America,32,31.3,,,0.7,0.021875,0.000478516,,,0.021875
Iowa State UniversityUnited States of America,36.4,31.2,,,5.2,0.142857143,0.020408163,,,0.142857143
Drexel UniversityUnited States of America,31.8,31.2,,,0.6,0.018867925,0.000355999,,,0.018867925
University of MissouriUnited States of America,31.7,31.2,,,0.5,0.015772871,0.000248783,,,0.015772871
University of South CarolinaUnited States of America,34.5,31.1,,,3.4,0.098550725,0.009712245,,,0.098550725
Aalto UniversityFinland,31.8,31.1,,,0.7,0.022012579,0.000484554,,,0.022012579
"University of California, Santa CruzUnited States of America",30.6,31.1,,,-0.5,-0.016339869,0.000266991,,,0.016339869
University of BremenGermany,33.9,30.9,,,3,0.088495575,0.007831467,,,0.088495575
Cardiff UniversityUnited Kingdom,30.5,30.9,,,-0.4,-0.013114754,0.000171997,,,0.013114754
Newcastle UniversityUnited Kingdom,30.3,30.9,,,-0.6,-0.01980198,0.000392118,,,0.01980198
University of LausanneSwitzerland,29.4,30.9,,,-1.5,-0.051020408,0.002603082,,,0.051020408
Technion Israel Institute of TechnologyIsrael,36.9,30.8,,,6.1,0.165311653,0.027327943,,,0.165311653
University of MontanaUnited States of America,29.1,30.8,,,-1.7,-0.058419244,0.003412808,,,0.058419244
University of TrentoItaly,26.8,30.8,,,-4,-0.149253731,0.022276676,,,0.149253731
University of OtagoNew Zealand,27.1,30.7,,,-3.6,-0.132841328,0.017646819,,,0.132841328
Oregon State UniversityUnited States of America,27.8,30.6,,,-2.8,-0.100719424,0.010144402,,,0.100719424
Paris Diderot University – Paris 7France,25.6,30.5,,,-4.9,-0.19140625,0.036636353,,,0.19140625
University of MilanItaly,25.3,30.5,,,-5.2,-0.205533597,0.042244059,,,0.205533597
Dalhousie UniversityCanada,33.6,30.4,,,3.2,0.095238095,0.009070295,,,0.095238095
Rensselaer Polytechnic InstituteUnited States of America,30.9,30.4,,,0.5,0.01618123,0.000261832,,,0.01618123
York UniversityCanada,27.5,30.2,,,-2.7,-0.098181818,0.009639669,,,0.098181818
