University,Industry Income-15,Industry Income-16,,,B2-C2,B2-C2/B2,,,,ABS
University of BremenGermany,46.3,46,,,0.3,0.006479482,4.19837E-05,,,0.006479482
University College LondonUnited Kingdom,46.2,40.5,,,5.7,0.123376623,0.015221791,,,0.123376623
Université Catholique de LouvainBelgium,46.1,51,,,-4.9,-0.106290672,0.011297707,,,0.106290672
University of TorontoCanada,46.1,49.1,,,-3,-0.065075922,0.004234876,,,0.065075922
University of TrentoItaly,46,47.1,,,-1.1,-0.023913043,0.000571834,,,0.023913043
University College CorkRepublic of Ireland,45.9,47.1,,,-1.2,-0.026143791,0.000683498,,,0.026143791
University of OttawaCanada,45.9,41.5,,,4.4,0.095860566,0.009189248,,,0.095860566
Norwegian University of Science and TechnologyNorway,45,51.8,,,-6.8,-0.151111111,0.022834568,,,0.151111111
University of Milan-BicoccaItaly,45,46.6,,,-1.6,-0.035555556,0.001264198,,,0.035555556
Vrije Universiteit BrusselBelgium,44.8,77.1,,,-32.3,-0.720982143,0.51981525,,,0.720982143
"University of California, BerkeleyUnited States of America",44.8,47.9,,,-3.1,-0.069196429,0.004788146,,,0.069196429
University of WollongongAustralia,44.7,57.9,,,-13.2,-0.295302013,0.087203279,,,0.295302013
University of WashingtonUnited States of America,44.7,43.1,,,1.6,0.035794183,0.001281224,,,0.035794183
University of MinhoPortugal,44.5,51.6,,,-7.1,-0.159550562,0.025456382,,,0.159550562
State University of CampinasBrazil,44.5,49.4,,,-4.9,-0.11011236,0.012124732,,,0.11011236
University of New MexicoUnited States of America,44.5,37,,,7.5,0.168539326,0.028405504,,,0.168539326
University of CopenhagenDenmark,44.4,45,,,-0.6,-0.013513514,0.000182615,,,0.013513514
University of Duisburg-EssenGermany,44.2,82.3,,,-38.1,-0.86199095,0.743028398,,,0.86199095
Harvard UniversityUnited States of America,44,45.2,,,-1.2,-0.027272727,0.000743802,,,0.027272727
Aalborg UniversityDenmark,43.9,43.7,,,0.2,0.004555809,2.07554E-05,,,0.004555809
Brandeis UniversityUnited States of America,43.9,38.6,,,5.3,0.120728929,0.014575474,,,0.120728929
National Taiwan UniversityTaiwan,43.8,49.6,,,-5.8,-0.132420091,0.017535081,,,0.132420091
University of SheffieldUnited Kingdom,43.8,43.4,,,0.4,0.00913242,8.34011E-05,,,0.00913242
Queen’s University BelfastUnited Kingdom,43.7,35.7,,,8,0.183066362,0.033513293,,,0.183066362
University of ManitobaCanada,43.5,41.8,,,1.7,0.03908046,0.001527282,,,0.03908046
Hokkaido UniversityJapan,43.4,53.7,,,-10.3,-0.237327189,0.056324195,,,0.237327189
University of HoustonUnited States of America,43.2,42.3,,,0.9,0.020833333,0.000434028,,,0.020833333
"National University of Ireland, GalwayRepublic of Ireland",43.1,41.9,,,1.2,0.027842227,0.00077519,,,0.027842227
University of PennsylvaniaUnited States of America,43,47.9,,,-4.9,-0.113953488,0.012985398,,,0.113953488
Sabancı UniversityTurkey,42.9,70,,,-27.1,-0.631701632,0.399046951,,,0.631701632
Renmin University of ChinaChina,42.8,42.5,,,0.3,0.007009346,4.91309E-05,,,0.007009346
Radboud University NijmegenNetherlands,42.8,39.2,,,3.6,0.08411215,0.007074854,,,0.08411215
Chinese University of Hong KongHong Kong,42.8,37.5,,,5.3,0.123831776,0.015334309,,,0.123831776
Hong Kong Polytechnic UniversityHong Kong,42.6,45.1,,,-2.5,-0.058685446,0.003443982,,,0.058685446
Virginia Polytechnic Institute and State UniversityUnited States of America,42.6,43.3,,,-0.7,-0.016431925,0.000270008,,,0.016431925
Tel Aviv UniversityIsrael,42.6,42.9,,,-0.3,-0.007042254,4.95933E-05,,,0.007042254
University of TampereFinland,42.5,40,,,2.5,0.058823529,0.003460208,,,0.058823529
Emory UniversityUnited States of America,42.3,48.9,,,-6.6,-0.156028369,0.024344852,,,0.156028369
University of AberdeenUnited Kingdom,42.1,43.1,,,-1,-0.023752969,0.000564204,,,0.023752969
University of BristolUnited Kingdom,42.1,40,,,2.1,0.049881235,0.002488138,,,0.049881235
Yale UniversityUnited States of America,42,43.3,,,-1.3,-0.030952381,0.00095805,,,0.030952381
University of InnsbruckAustria,42,39.9,,,2.1,0.05,0.0025,,,0.05
Simon Fraser UniversityCanada,41.8,42.3,,,-0.5,-0.011961722,0.000143083,,,0.011961722
University of WaterlooCanada,41.7,39.5,,,2.2,0.052757794,0.002783385,,,0.052757794
Heidelberg UniversityGermany,41.6,68.2,,,-26.6,-0.639423077,0.408861871,,,0.639423077
University of Texas at DallasUnited States of America,41.6,41.8,,,-0.2,-0.004807692,2.31139E-05,,,0.004807692
University of CalgaryCanada,41.5,52,,,-10.5,-0.253012048,0.064015097,,,0.253012048
University of EdinburghUnited Kingdom,41.2,36.1,,,5.1,0.123786408,0.015323075,,,0.123786408
University of TurinItaly,40.8,54.2,,,-13.4,-0.328431373,0.107867166,,,0.328431373
University of Illinois at ChicagoUnited States of America,40.7,38,,,2.7,0.066339066,0.004400872,,,0.066339066
Syracuse UniversityUnited States of America,40.6,36.3,,,4.3,0.10591133,0.01121721,,,0.10591133
London School of Economics and Political ScienceUnited Kingdom,40.6,32.2,,,8.4,0.206896552,0.042806183,,,0.206896552
University of North Carolina at Chapel HillUnited States of America,40.5,39.4,,,1.1,0.027160494,0.000737692,,,0.027160494
Murdoch UniversityAustralia,40.5,36.5,,,4,0.098765432,0.009754611,,,0.098765432
University of FerraraItaly,40.4,35.9,,,4.5,0.111386139,0.012406872,,,0.111386139
Scuola Normale Superiore di PisaItaly,40.1,52,,,-11.9,-0.296758105,0.088065373,,,0.296758105
University of ZurichSwitzerland,40.1,44,,,-3.9,-0.097256858,0.009458896,,,0.097256858
University of British ColumbiaCanada,40.1,42.6,,,-2.5,-0.06234414,0.003886792,,,0.06234414
University of MilanItaly,40.1,40.9,,,-0.8,-0.019950125,0.000398007,,,0.019950125
University of São PauloBrazil,40.1,30.5,,,9.6,0.239401496,0.057313076,,,0.239401496
"University of California, IrvineUnited States of America",40,48.9,,,-8.9,-0.2225,0.04950625,,,0.2225
University of LiverpoolUnited Kingdom,40,36.6,,,3.4,0.085,0.007225,,,0.085
University of GlasgowUnited Kingdom,39.9,31.6,,,8.3,0.20802005,0.043272341,,,0.20802005
University of St AndrewsUnited Kingdom,39.8,30.6,,,9.2,0.231155779,0.053432994,,,0.231155779
University at BuffaloUnited States of America,39.6,43.8,,,-4.2,-0.106060606,0.011248852,,,0.106060606
University of NottinghamUnited Kingdom,39.6,39.8,,,-0.2,-0.005050505,2.55076E-05,,,0.005050505
Uppsala UniversitySweden,39.6,39.5,,,0.1,0.002525253,6.3769E-06,,,0.002525253
"University of California, RiversideUnited States of America",39.5,42.5,,,-3,-0.075949367,0.005768306,,,0.075949367
University of ManchesterUnited Kingdom,39.4,42,,,-2.6,-0.065989848,0.00435466,,,0.065989848
École Normale SupérieureFrance,39.4,37.1,,,2.3,0.058375635,0.003407715,,,0.058375635
University of LeedsUnited Kingdom,39.4,36.7,,,2.7,0.068527919,0.004696076,,,0.068527919
Kansas State UniversityUnited States of America,39.2,43.1,,,-3.9,-0.099489796,0.009898219,,,0.099489796
Lehigh UniversityUnited States of America,39.2,38.9,,,0.3,0.007653061,5.85693E-05,,,0.007653061
King’s College LondonUnited Kingdom,39,40.1,,,-1.1,-0.028205128,0.000795529,,,0.028205128
Australian National UniversityAustralia,38.9,48,,,-9.1,-0.233933162,0.054724724,,,0.233933162
University of SouthamptonUnited Kingdom,38.9,37.5,,,1.4,0.035989717,0.00129526,,,0.035989717
Colorado State UniversityUnited States of America,38.8,41,,,-2.2,-0.056701031,0.003215007,,,0.056701031
Goethe University FrankfurtGermany,38.8,38.1,,,0.7,0.018041237,0.000325486,,,0.018041237
UiT The Arctic University of NorwayNorway,38.8,36.8,,,2,0.051546392,0.002657031,,,0.051546392
Swinburne University of TechnologyAustralia,38.8,32.2,,,6.6,0.170103093,0.028935062,,,0.170103093
McGill UniversityCanada,38.6,40.3,,,-1.7,-0.044041451,0.001939649,,,0.044041451
University of PittsburghUnited States of America,38.5,39.3,,,-0.8,-0.020779221,0.000431776,,,0.020779221
University of SalentoItaly,38.4,36.2,,,2.2,0.057291667,0.003282335,,,0.057291667
University of Hawai’i at MānoaUnited States of America,38.3,44.7,,,-6.4,-0.167101828,0.027923021,,,0.167101828
University of MünsterGermany,38.2,58.2,,,-20,-0.523560209,0.274115293,,,0.523560209
Wake Forest UniversityUnited States of America,38.2,42.5,,,-4.3,-0.112565445,0.012670979,,,0.112565445
Indian Institute of ScienceIndia,37.9,52.4,37.9,52.4,-14.5,-0.382585752,0.146371858,,,0.382585752
University of Rome IIIItaly,37.7,37.5,,,0.2,0.00530504,2.81434E-05,,,0.00530504
University of PisaItaly,37.7,31.4,,,6.3,0.167108753,0.027925335,,,0.167108753
Bielefeld UniversityGermany,37.4,60.9,,,-23.5,-0.628342246,0.394813978,,,0.628342246
Queen Mary University of LondonUnited Kingdom,37.1,36.8,,,0.3,0.008086253,6.53875E-05,,,0.008086253
University of GothenburgSweden,37,30.3,,,6.7,0.181081081,0.032790358,,,0.181081081
University of TsukubaJapan,36.9,42.9,,,-6,-0.162601626,0.026439289,,,0.162601626
University of ChicagoUnited States of America,36.8,36.6,,,0.2,0.005434783,2.95369E-05,,,0.005434783
University of BathUnited Kingdom,36.7,36.3,,,0.4,0.010899183,0.000118792,,,0.010899183
University of OsloNorway,36.6,38.3,,,-1.7,-0.046448087,0.002157425,,,0.046448087
Technion Israel Institute of TechnologyIsrael,36.5,28.8,,,7.7,0.210958904,0.044503659,,,0.210958904
"University of the Andes, ColombiaColombia",36.5,28,,,8.5,0.232876712,0.054231563,,,0.232876712
University of RochesterUnited States of America,36.4,37,,,-0.6,-0.016483516,0.000271706,,,0.016483516
Macquarie UniversityAustralia,36.2,33.1,,,3.1,0.085635359,0.007333415,,,0.085635359
Curtin UniversityAustralia,36.1,37.8,,,-1.7,-0.047091413,0.002217601,,,0.047091413
University of BirminghamUnited Kingdom,36,34.7,,,1.3,0.036111111,0.001304012,,,0.036111111
University of CreteGreece,36,34.5,,,1.5,0.041666667,0.001736111,,,0.041666667
Pompeu Fabra UniversitySpain,35.9,37.2,,,-1.3,-0.036211699,0.001311287,,,0.036211699
University of ExeterUnited Kingdom,35.8,31.9,,,3.9,0.108938547,0.011867607,,,0.108938547
Aston UniversityUnited Kingdom,35.7,34.6,,,1.1,0.030812325,0.000949399,,,0.030812325
University of WarwickUnited Kingdom,35.6,37.7,,,-2.1,-0.058988764,0.003479674,,,0.058988764
University of CincinnatiUnited States of America,35.6,35.3,,,0.3,0.008426966,7.10138E-05,,,0.008426966
University of FlorenceItaly,35.4,35.9,,,-0.5,-0.014124294,0.000199496,,,0.014124294
University of Bari Aldo MoroItaly,35.2,45.4,,,-10.2,-0.289772727,0.083968233,,,0.289772727
"Rutgers, the State University of New JerseyUnited States of America",35.2,35.9,,,-0.7,-0.019886364,0.000395467,,,0.019886364
University of Nebraska-LincolnUnited States of America,35,35.6,,,-0.6,-0.017142857,0.000293878,,,0.017142857
Newcastle UniversityUnited Kingdom,35,34.7,,,0.3,0.008571429,7.34694E-05,,,0.008571429
University of BolognaItaly,34.9,34.5,,,0.4,0.011461318,0.000131362,,,0.011461318
University of ReadingUnited Kingdom,34.9,34.2,,,0.7,0.020057307,0.000402296,,,0.020057307
Bayreuth UniversityGermany,34.8,56.4,,,-21.6,-0.620689655,0.385255648,,,0.620689655
Cardiff UniversityUnited Kingdom,34.8,34.6,,,0.2,0.005747126,3.30295E-05,,,0.005747126
Durham UniversityUnited Kingdom,34.8,34.4,,,0.4,0.011494253,0.000132118,,,0.011494253
University of LeicesterUnited Kingdom,34.8,31.7,,,3.1,0.08908046,0.007935328,,,0.08908046
Rice UniversityUnited States of America,34.6,41.7,,,-7.1,-0.205202312,0.042107989,,,0.205202312
Drexel UniversityUnited States of America,34.6,36.3,,,-1.7,-0.049132948,0.002414047,,,0.049132948
Autonomous University of BarcelonaSpain,34.6,34.9,,,-0.3,-0.00867052,7.51779E-05,,,0.00867052
University of Nebraska Medical CenterUnited States of America,34.5,33.6,,,0.9,0.026086957,0.000680529,,,0.026086957
University of Southern CaliforniaUnited States of America,34.4,38,,,-3.6,-0.104651163,0.010951866,,,0.104651163
University of MontanaUnited States of America,34.4,31,,,3.4,0.098837209,0.009768794,,,0.098837209
University of BergenNorway,34.2,36.2,,,-2,-0.058479532,0.003419856,,,0.058479532
Sapienza University of RomeItaly,34.2,32.6,,,1.6,0.046783626,0.002188708,,,0.046783626
Lancaster UniversityUnited Kingdom,34.1,33.6,,,0.5,0.014662757,0.000214996,,,0.014662757
York UniversityCanada,34.1,33.2,,,0.9,0.026392962,0.000696588,,,0.026392962
Northeastern UniversityUnited States of America,34,32.9,,,1.1,0.032352941,0.001046713,,,0.032352941
University of LisbonPortugal,33.9,35.4,,,-1.5,-0.044247788,0.001957867,,,0.044247788
"University of California, Santa CruzUnited States of America",33.8,36.1,,,-2.3,-0.068047337,0.00463044,,,0.068047337
University College DublinRepublic of Ireland,33.8,33.5,,,0.3,0.00887574,7.87788E-05,,,0.00887574
Medical University of ViennaAustria,33.7,33.9,,,-0.2,-0.005934718,3.52209E-05,,,0.005934718
Cornell UniversityUnited States of America,33.7,33.7,,,0,0,0,,,0
University of MacauMacau,33.6,34.9,,,-1.3,-0.038690476,0.001496953,,,0.038690476
Claude Bernard University Lyon 1France,33.6,34.5,,,-0.9,-0.026785714,0.000717474,,,0.026785714
Montpellier UniversityFrance,33.6,31.9,,,1.7,0.050595238,0.002559878,,,0.050595238
Free University of BerlinGermany,33.5,35.1,,,-1.6,-0.047761194,0.002281132,,,0.047761194
Novosibirsk State UniversityRussian Federation,33.4,38.2,,,-4.8,-0.143712575,0.020653304,,,0.143712575
Pierre and Marie Curie UniversityFrance,33.4,37.4,,,-4,-0.119760479,0.014342572,,,0.119760479
University of TriesteItaly,33.3,32.3,,,1,0.03003003,0.000901803,,,0.03003003
"University of Maryland, College ParkUnited States of America",33.2,32.3,,,0.9,0.027108434,0.000734867,,,0.027108434
Aberystwyth UniversityUnited Kingdom,33,31.3,,,1.7,0.051515152,0.002653811,,,0.051515152
University of PaduaItaly,32.9,32.6,,,0.3,0.009118541,8.31478E-05,,,0.009118541
"Royal Holloway, University of LondonUnited Kingdom",32.8,34.4,,,-1.6,-0.048780488,0.002379536,,,0.048780488
University of Eastern FinlandFinland,32.8,33.3,,,-0.5,-0.015243902,0.000232377,,,0.015243902
University of GöttingenGermany,32.8,31.8,,,1,0.030487805,0.000929506,,,0.030487805
Charles Darwin UniversityAustralia,32.7,43.2,,,-10.5,-0.321100917,0.103105799,,,0.321100917
Brown UniversityUnited States of America,32.7,31.4,,,1.3,0.039755352,0.001580488,,,0.039755352
Lund UniversitySweden,32.6,70.4,,,-37.8,-1.159509202,1.344461591,,,1.159509202
Waseda UniversityJapan,32.6,32.4,,,0.2,0.006134969,3.76378E-05,,,0.006134969
Arizona State UniversityUnited States of America,32.6,32,,,0.6,0.018404908,0.000338741,,,0.018404908
"St George’s, University of LondonUnited Kingdom",32.4,37.7,,,-5.3,-0.163580247,0.026758497,,,0.163580247
Stockholm UniversitySweden,32.4,31.1,,,1.3,0.040123457,0.001609892,,,0.040123457
Autonomous University of MadridSpain,32.2,33,,,-0.8,-0.02484472,0.00061726,,,0.02484472
University of YorkUnited Kingdom,32.2,31.1,,,1.1,0.034161491,0.001167007,,,0.034161491
University of TurkuFinland,32.1,31.2,,,0.9,0.028037383,0.000786095,,,0.028037383
University of StrasbourgFrance,32,32.8,,,-0.8,-0.025,0.000625,,,0.025
Oregon State UniversityUnited States of America,32,32.1,,,-0.1,-0.003125,9.76563E-06,,,0.003125
Humboldt University of BerlinGermany,31.9,36.1,,,-4.2,-0.131661442,0.017334735,,,0.131661442
Brunel University LondonUnited Kingdom,31.9,34.7,,,-2.8,-0.087774295,0.007704327,,,0.087774295
University of OtagoNew Zealand,31.9,31.5,,,0.4,0.012539185,0.000157231,,,0.012539185
University of South CarolinaUnited States of America,31.8,30.3,,,1.5,0.047169811,0.002224991,,,0.047169811
Michigan State UniversityUnited States of America,31.7,32.2,,,-0.5,-0.015772871,0.000248783,,,0.015772871
University of VictoriaCanada,31.6,36.6,,,-5,-0.158227848,0.025036052,,,0.158227848
Hebrew University of JerusalemIsrael,31.5,31.9,,,-0.4,-0.012698413,0.00016125,,,0.012698413
University of HelsinkiFinland,31.5,31.6,,,-0.1,-0.003174603,1.00781E-05,,,0.003174603
Stony Brook UniversityUnited States of America,31.3,33.4,,,-2.1,-0.067092652,0.004501424,,,0.067092652
Joseph Fourier UniversityFrance,31.3,31.6,,,-0.3,-0.009584665,9.18658E-05,,,0.009584665
