University,Int'l Faculty-15,Int'l Faculty-16,,,B2-C2,B2-C2/D2,E2^2,,,ABS
Nottingham Trent University,37.7,39.6,,,-1.9,-0.050397878,0.002539946,,,0.050397878
Sun Yat-sen University,43,39.6,,,3.4,0.079069767,0.006252028,,,0.079069767
Universität Regensburg,42.6,39.3,,,3.3,0.077464789,0.006000793,,,0.077464789
Bar-Ilan University,44.3,39.1,,,5.2,0.11738149,0.013778414,,,0.11738149
Dublin Institute of Technology,42.7,39,,,3.7,0.086651054,0.007508405,,,0.086651054
University of the Western Cape,40.6,38.8,,,1.8,0.044334975,0.00196559,,,0.044334975
University of Bayreuth,39.7,38.5,,,1.2,0.0302267,0.000913653,,,0.0302267
Georgetown University,44.7,38.4,,,6.3,0.140939597,0.01986397,,,0.140939597
Drexel University,34.2,38.1,,,-3.9,-0.114035088,0.013004001,,,0.114035088
Tufts University,30.1,38,,,-7.9,-0.262458472,0.068884449,,,0.262458472
National Chiao Tung University,49,37.9,,,11.1,0.226530612,0.051316118,,,0.226530612
Columbia University,33,37.8,,,-4.8,-0.145454545,0.021157025,,,0.145454545
Northumbria University at Newcastle,39.3,37.8,,,1.5,0.038167939,0.001456792,,,0.038167939
University of Colorado Boulder,40.2,37.4,,,2.8,0.069651741,0.004851365,,,0.069651741
École Normale Supérieure de Lyon,53.9,37.4,,,16.5,0.306122449,0.093710954,,,0.306122449
Hankuk (Korea) University of Foreign Studies,38.7,37.2,,,1.5,0.03875969,0.001502314,,,0.03875969
Universität Stuttgart,38.1,37.1,,,1,0.026246719,0.00068889,,,0.026246719
Universidad de Palermo (UP),40.1,37.1,,,3,0.074812968,0.00559698,,,0.074812968
University of Gothenburg,35.8,37,,,-1.2,-0.033519553,0.00112356,,,0.033519553
University of Jyväskylä,40.5,36.7,,,3.8,0.09382716,0.008803536,,,0.09382716
Johannes Gutenberg Universität Mainz,37.3,36.5,,,0.8,0.021447721,0.000460005,,,0.021447721
Universidade Nova de Lisboa,39.5,36.1,,,3.4,0.086075949,0.007409069,,,0.086075949
University of Illinois at Urbana-Champaign,62.1,35.3,,,26.8,0.431561997,0.186245757,,,0.431561997
University of Delaware,39.7,34.8,,,4.9,0.123425693,0.015233902,,,0.123425693
University of Jordan,32.5,34.2,,,-1.7,-0.052307692,0.002736095,,,0.052307692
Universidad Carlos III de Madrid (UC3M),36.6,34.2,,,2.4,0.06557377,0.004299919,,,0.06557377
"University of North Carolina, Chapel Hill",38.1,34.2,,,3.9,0.102362205,0.010478021,,,0.102362205
"University of California, Los Angeles (UCLA)",57.4,34.1,,,23.3,0.405923345,0.164773762,,,0.405923345
Université Paris Diderot - Paris 7,38.4,34,,,4.4,0.114583333,0.01312934,,,0.114583333
Universität Mannheim,32.6,33.4,,,-0.8,-0.024539877,0.000602206,,,0.024539877
York University,36.7,33.1,,,3.6,0.098092643,0.009622167,,,0.098092643
Julius-Maximilians-Universität Würzburg,35.3,32.6,,,2.7,0.076487252,0.0058503,,,0.076487252
University of Oklahoma,37.2,32.6,,,4.6,0.123655914,0.015290785,,,0.123655914
Institut National des Sciences Appliquées de Lyon (INSA),41,32.6,,,8.4,0.204878049,0.041975015,,,0.204878049
Université Paris-Sud,37.3,32.2,,,5.1,0.136729223,0.01869488,,,0.136729223
National Tsing Hua University,39.1,32.1,,,7,0.179028133,0.032051072,,,0.179028133
Universidad de los Andes,34.8,31.9,,,2.9,0.083333333,0.006944444,,,0.083333333
Umea University,35.1,31.9,,,3.2,0.091168091,0.008311621,,,0.091168091
Waseda University,35.6,31.7,,,3.9,0.109550562,0.012001326,,,0.109550562
Tel Aviv University,34.3,31.6,,,2.7,0.078717201,0.006196398,,,0.078717201
University of Rochester,35.9,31.4,,,4.5,0.125348189,0.015712169,,,0.125348189
Universität Bremen,42.6,31,,,11.6,0.272300469,0.074147546,,,0.272300469
RWTH Aachen University,31.4,30.9,,,0.5,0.015923567,0.00025356,,,0.015923567
Manchester Metropolitan University,33.7,30.9,,,2.8,0.083086053,0.006903292,,,0.083086053
University of Oulu,42.4,30.5,,,11.9,0.280660377,0.078770247,,,0.280660377
Bocconi University,33.5,30.4,,,3.1,0.092537313,0.008563154,,,0.092537313
"University of Maryland, College Park",31.2,30.1,,,1.1,0.03525641,0.001243014,,,0.03525641
Case Western Reserve University,36.5,29.9,,,6.6,0.180821918,0.032696566,,,0.180821918
University of Turku,33.8,29.5,,,4.3,0.127218935,0.016184657,,,0.127218935
Carleton University,32.9,29.1,,,3.8,0.11550152,0.013340601,,,0.11550152
Université de Cergy-Pontoise,32.9,28.8,,,4.1,0.124620061,0.01553016,,,0.124620061
Universit Paul-Valery Montpellier 3,32.3,28.5,,,3.8,0.117647059,0.01384083,,,0.117647059
"Rutgers - The State University of New Jersey, Newark",33,28.4,,,4.6,0.139393939,0.01943067,,,0.139393939
Ritsumeikan University,31,28.2,,,2.8,0.090322581,0.008158169,,,0.090322581
Université Pierre et Marie Curie (UPMC),36.4,27.8,,,8.6,0.236263736,0.055820553,,,0.236263736
Bogaziçi Üniversitesi,30.5,26.8,,,3.7,0.121311475,0.014716474,,,0.121311475
Université Paris-Sorbonne (Paris IV),31.2,26.7,,,4.5,0.144230769,0.020802515,,,0.144230769
Friedrich-Alexander-Universität Erlangen-Nürnberg,30.6,26.2,,,4.4,0.14379085,0.020675808,,,0.14379085
Seoul National University,30.2,26,,,4.2,0.139072848,0.019341257,,,0.139072848
Universidad de Talca,31.6,24.3,,,7.3,0.231012658,0.053366848,,,0.231012658
"University of Economics, Prague",53.7,23.3,,,30.4,0.566108007,0.320478276,,,0.566108007
Universidad del Rosario,46,22.2,,,23.8,0.517391304,0.267693762,,,0.517391304
Ruhr-Universität Bochum,39.6,22,,,17.6,0.444444444,0.197530864,,,0.444444444
Universidad Diego Portales (UDP),37.8,18.1,,,19.7,0.521164021,0.271611937,,,0.521164021
Universidad Metropolitana,31.4,18,,,13.4,0.426751592,0.182116922,,,0.426751592
,,,,,,,,,,
,,,,,,SUM,11.80023863,,,36.45196987
,,,,,,SUM/N,0.030026052,,V abs,0.092753104
,,,,,,V,0.173280272,,,
