University,Academic Rep-15,Academic Rep-16,,,B2-C2,B2-C2/B2,E2^2,,,
The Hong Kong University of Science and Technology,94.3,91.1,,,3.2,0.033934252,0.001151533,,,0.033934252
Fudan University,94.1,90.8,,,3.3,0.035069075,0.00122984,,,0.035069075
Northwestern University,94,90.2,,,3.8,0.040425532,0.001634224,,,0.040425532
London School of Economics and Political Science (LSE),93.8,88.8,,,5,0.053304904,0.002841413,,,0.053304904
Freie Universitaet Berlin,93.3,88.4,,,4.9,0.052518757,0.00275822,,,0.052518757
The University of Auckland,92.7,90.1,,,2.6,0.028047465,0.00078666,,,0.028047465
Osaka University,92.5,88.6,,,3.9,0.042162162,0.001777648,,,0.042162162
KU Leuven,92.4,87.4,,,5,0.054112554,0.002928169,,,0.054112554
University of Bristol,92.1,85.5,,,6.6,0.071661238,0.005135333,,,0.071661238
Pontificia Universidad Católica de Chile (UC),90.7,89.7,,,1,0.011025358,0.000121559,,,0.011025358
Technical University of Munich,90.4,85,,,5.4,0.059734513,0.003568212,,,0.059734513
The University of Warwick,90.4,83.9,,,6.5,0.071902655,0.005169992,,,0.071902655
"Ecole normale supérieure, Paris",89.6,82.1,,,7.5,0.083705357,0.007006587,,,0.083705357
KAIST - Korea Advanced Institute of Science & Technology,89.4,85.5,,,3.9,0.043624161,0.001903067,,,0.043624161
Lund University,89.3,82,,,7.3,0.08174692,0.006682559,,,0.08174692
Ecole Polytechnique Fédérale de Lausanne (EPFL),89.1,82.1,,,7,0.078563412,0.00617221,,,0.078563412
University of Copenhagen,89.1,81.9,,,7.2,0.080808081,0.006529946,,,0.080808081
Shanghai Jiao Tong University,88.8,87.1,,,1.7,0.019144144,0.000366498,,,0.019144144
Carnegie Mellon University,88.1,83.8,,,4.3,0.048808173,0.002382238,,,0.048808173
Alma Mater Studiorum - University of Bologna,87.5,80.2,,,7.3,0.083428571,0.006960327,,,0.083428571
University of Glasgow,87.5,80,,,7.5,0.085714286,0.007346939,,,0.085714286
Leiden University,87.1,78.8,,,8.3,0.095292767,0.009080711,,,0.095292767
University of Barcelona,86.9,79.5,,,7.4,0.085155351,0.007251434,,,0.085155351
Tokyo Institute of Technology,86.2,82.7,,,3.5,0.040603248,0.001648624,,,0.040603248
Tohoku University,86,78.7,,,7.3,0.084883721,0.007205246,,,0.084883721
Université Paris-Sorbonne (Paris IV),86,74.9,,,11.1,0.129069767,0.016659005,,,0.129069767
"University of California, Davis",85.8,80.6,,,5.2,0.060606061,0.003673095,,,0.060606061
Pennsylvania State University,85.7,81.3,,,4.4,0.05134189,0.00263599,,,0.05134189
Uppsala University,85.7,77.6,,,8.1,0.094515753,0.008933227,,,0.094515753
Sapienza University of Rome,85.7,76.3,,,9.4,0.109684947,0.012030788,,,0.109684947
Universidad de Chile,84.6,78.6,,,6,0.070921986,0.005029928,,,0.070921986
"University of California, Santa Barbara (UCSB)",84.4,77,,,7.4,0.087677725,0.007687383,,,0.087677725
Lomonosov Moscow State University,84.2,77.1,,,7.1,0.08432304,0.007110375,,,0.08432304
"University of North Carolina, Chapel Hill",84.1,76.9,,,7.2,0.085612366,0.007329477,,,0.085612366
University of Minnesota,84.1,76.8,,,7.3,0.086801427,0.007534488,,,0.086801427
Delft University of Technology,83.9,75.6,,,8.3,0.098927294,0.00978661,,,0.098927294
University of Helsinki,83.7,75.5,,,8.2,0.097968937,0.009597913,,,0.097968937
Utrecht University,83.7,74.6,,,9.1,0.108721625,0.011820392,,,0.108721625
University of Vienna,82.5,74.9,,,7.6,0.092121212,0.008486318,,,0.092121212
"Trinity College Dublin, The University of Dublin",82.5,68.2,,,14.3,0.173333333,0.030044444,,,0.173333333
University of Birmingham,82.4,73.9,,,8.5,0.10315534,0.010641024,,,0.10315534
The Ohio State University,82,75.5,,,6.5,0.079268293,0.006283462,,,0.079268293
Brown University,81.9,73.5,,,8.4,0.102564103,0.010519395,,,0.102564103
Georgia Institute of Technology,81.8,76.1,,,5.7,0.069682152,0.004855602,,,0.069682152
University of Leeds,81.7,72,,,9.7,0.11872705,0.014096112,,,0.11872705
Université Paris 1 Panthéon-Sorbonne,81.1,71.4,,,9.7,0.119605425,0.014305458,,,0.119605425
Purdue University,81,74.5,,,6.5,0.080246914,0.006439567,,,0.080246914
The University of Nottingham,80.6,71.4,,,9.2,0.114143921,0.013028835,,,0.114143921
Zhejiang University,80.2,73.2,,,7,0.087281796,0.007618112,,,0.087281796
University of Alberta,79.5,70.6,,,8.9,0.111949686,0.012532732,,,0.111949686
Université de Montréal,79.5,69.3,,,10.2,0.128301887,0.016461374,,,0.128301887
Yonsei University,79.4,70.7,,,8.7,0.109571788,0.012005977,,,0.109571788
The University of Western Australia,79.3,71.8,,,7.5,0.094577554,0.008944914,,,0.094577554
The University of Sheffield,79,70.3,,,8.7,0.110126582,0.012127864,,,0.110126582
Boston University,78.5,71.3,,,7.2,0.091719745,0.008412512,,,0.091719745
RWTH Aachen University,78.5,69.2,,,9.3,0.118471338,0.014035458,,,0.118471338
Korea University,78.4,70.8,,,7.6,0.096938776,0.009397126,,,0.096938776
University of Zurich,78.1,68.6,,,9.5,0.121638924,0.014796028,,,0.121638924
Universitat Autònoma de Barcelona,78,68.7,,,9.3,0.119230769,0.014215976,,,0.119230769
University Complutense Madrid,76.9,68,,,8.9,0.11573472,0.013394526,,,0.11573472
Stockholm University,76.9,66.3,,,10.6,0.137841352,0.019000238,,,0.137841352
Nanjing University,76.7,69,,,7.7,0.100391134,0.01007838,,,0.100391134
Université Catholique de Louvain (UCL),76.5,65.1,,,11.4,0.149019608,0.022206844,,,0.149019608
Chulalongkorn University,76.3,68.9,,,7.4,0.096985583,0.009406203,,,0.096985583
Texas A&M University,76.3,68.7,,,7.6,0.099606815,0.009921518,,,0.099606815
Durham University,75.4,64.9,,,10.5,0.139257294,0.019392594,,,0.139257294
The University of Adelaide,75.2,67.4,,,7.8,0.103723404,0.010758545,,,0.103723404
Universidade Estadual de Campinas (Unicamp),75.1,70.5,,,4.6,0.061251664,0.003751766,,,0.061251664
Aarhus University,74.9,66.3,,,8.6,0.11481976,0.013183577,,,0.11481976
Georg-August-University Goettingen,74.2,62.5,,,11.7,0.157681941,0.024863594,,,0.157681941
Albert-Ludwigs-Universitaet Freiburg,74.1,63.7,,,10.4,0.140350877,0.019698369,,,0.140350877
Nagoya University,73.7,68.2,,,5.5,0.074626866,0.005569169,,,0.074626866
Ecole Polytechnique,73.5,62.7,,,10.8,0.146938776,0.021591004,,,0.146938776
Waseda University,73.3,68.1,,,5.2,0.070941337,0.005032673,,,0.070941337
University of Southampton,72.9,63.3,,,9.6,0.131687243,0.01734153,,,0.131687243
City University of Hong Kong,72.7,64.8,,,7.9,0.10866575,0.011808245,,,0.10866575
Universidad Autónoma de Madrid,72.5,64.4,,,8.1,0.111724138,0.012482283,,,0.111724138
"University of California, San Francisco",72.4,61.5,,,10.9,0.150552486,0.022666051,,,0.150552486
Université Pierre et Marie Curie (UPMC),72.3,63.5,,,8.8,0.121715076,0.01481456,,,0.121715076
Université de Strasbourg,72.3,60.7,,,11.6,0.1604426,0.025741828,,,0.1604426
University of Science and Technology of China,72.1,63.4,,,8.7,0.120665742,0.014560221,,,0.120665742
Ghent University,71.5,61.9,,,9.6,0.134265734,0.018027287,,,0.134265734
University of Oslo,71.5,61,,,10.5,0.146853147,0.021565847,,,0.146853147
Universidad Nacional de Colombia,71.2,65,,,6.2,0.087078652,0.007582692,,,0.087078652
Technische Universität Berlin (TU Berlin),70.5,61.3,,,9.2,0.130496454,0.017029324,,,0.130496454
University of Southern California,70.4,63,,,7.4,0.105113636,0.011048877,,,0.105113636
"University of Maryland, College Park",70,61.3,,,8.7,0.124285714,0.015446939,,,0.124285714
Hokkaido University,69.8,67.3,,,2.5,0.035816619,0.00128283,,,0.035816619
Michigan State University,69.8,63.5,,,6.3,0.09025788,0.008146485,,,0.09025788
University of Geneva,69.8,57.8,,,12,0.171919771,0.029556408,,,0.171919771
Kyushu University,69.3,62.1,,,7.2,0.103896104,0.0107944,,,0.103896104
The Hong Kong Polytechnic University,69.1,63.8,,,5.3,0.076700434,0.005882957,,,0.076700434
University of Groningen,69.1,59.6,,,9.5,0.13748191,0.018901276,,,0.13748191
Sungkyunkwan University (SKKU),68.9,65.2,,,3.7,0.053701016,0.002883799,,,0.053701016
Universität Hamburg,68.9,58.8,,,10.1,0.14658926,0.021488411,,,0.14658926
University of Cape Town,68.9,58.1,,,10.8,0.156748911,0.024570221,,,0.156748911
University of York,67.7,54.9,,,12.8,0.189069424,0.035747247,,,0.189069424
Rheinische Friedrich-Wilhelms-Universität Bonn,67.1,57.9,,,9.2,0.137108793,0.018798821,,,0.137108793
The Hebrew University of Jerusalem,66.9,56,,,10.9,0.162929746,0.026546102,,,0.162929746
University of St Andrews,65.9,54.3,,,11.6,0.176024279,0.030984547,,,0.176024279
Keio University,65.8,57.3,,,8.5,0.129179331,0.0166873,,,0.129179331
Université Paris Diderot - Paris 7,65.8,55.8,,,10,0.151975684,0.023096608,,,0.151975684
Universidade Federal do Rio de Janeiro,65.6,61.6,,,4,0.06097561,0.003718025,,,0.06097561
Universidad de los Andes,65.5,59.7,,,5.8,0.088549618,0.007841035,,,0.088549618
University of Florida,65.3,56.8,,,8.5,0.130168453,0.016943826,,,0.130168453
National Tsing Hua University,65.2,56.8,,,8.4,0.128834356,0.016598291,,,0.128834356
Politecnico di Milano,64.7,57.2,,,7.5,0.115919629,0.01343736,,,0.115919629
Universität Frankfurt am Main,64.7,55.3,,,9.4,0.145285935,0.021108003,,,0.145285935
Eberhard Karls Universität Tübingen,64.5,56,,,8.5,0.131782946,0.017366745,,,0.131782946
Università di Padova,64.3,56,,,8.3,0.129082426,0.016662273,,,0.129082426
Vrije Universiteit Amsterdam,64.3,52.3,,,12,0.186625194,0.034828963,,,0.186625194
KTH Royal Institute of Technology,64.1,52.2,,,11.9,0.185647426,0.034464967,,,0.185647426
"KIT, Karlsruhe Institute of Technology",64,57.4,,,6.6,0.103125,0.010634766,,,0.103125
Cardiff University,63.8,54.7,,,9.1,0.142633229,0.020344238,,,0.142633229
Queen Mary University of London,63.4,53.6,,,9.8,0.154574132,0.023893162,,,0.154574132
"University of California, Irvine",63.3,54.9,,,8.4,0.132701422,0.017609667,,,0.132701422
University of Otago,62.7,57.9,,,4.8,0.076555024,0.005860672,,,0.076555024
Indian Institute of Technology Bombay (IITB),62.3,54.7,62.3,54.7,7.6,0.121990369,0.01488165,,,0.121990369
University College Dublin,62.2,49.8,,,12.4,0.199356913,0.039743179,,,0.199356913
Universiti Malaya (UM),62,55.7,,,6.3,0.101612903,0.010325182,,,0.101612903
McMaster University,61.7,51.6,,,10.1,0.1636953,0.026796151,,,0.1636953
University of Milan,61.7,48.2,,,13.5,0.218800648,0.047873724,,,0.218800648
Indiana University Bloomington,61.6,53.1,,,8.5,0.137987013,0.019040416,,,0.137987013
The University of Arizona,61,52.1,,,8.9,0.145901639,0.021287288,,,0.145901639
University of Waterloo,61,49.7,,,11.3,0.185245902,0.034316044,,,0.185245902
Karolinska Institutet,60.5,51.9,,,8.6,0.14214876,0.02020627,,,0.14214876
Washington University in St. Louis,60.4,53.1,,,7.3,0.120860927,0.014607364,,,0.120860927
Arizona State University,60.3,51.8,,,8.5,0.140961857,0.019870245,,,0.140961857
University of Pisa,59.4,47.5,,,11.9,0.2003367,0.040134794,,,0.2003367
Lancaster University,59.1,48.9,,,10.2,0.172588832,0.029786905,,,0.172588832
"University of Illinois, Chicago (UIC)",59,52.1,,,6.9,0.116949153,0.013677104,,,0.116949153
École Normale Supérieure de Lyon,58.3,49.4,,,8.9,0.152658662,0.023304667,,,0.152658662
Aix-Marseille University,58.3,44.6,,,13.7,0.234991424,0.055220969,,,0.234991424
University of Pittsburgh,58.2,48.2,,,10,0.171821306,0.029522561,,,0.171821306
Tel Aviv University,58,47.7,,,10.3,0.177586207,0.031536861,,,0.177586207
Charles University in Prague,57.9,48.7,,,9.2,0.158894646,0.025247509,,,0.158894646
Beijing Normal University,56.4,49.3,,,7.1,0.125886525,0.015847417,,,0.125886525
Universite libre de Bruxelles,56.4,46.2,,,10.2,0.180851064,0.032707107,,,0.180851064
Pohang University of Science And Technology (POSTECH),56.1,47,,,9.1,0.162210339,0.026312194,,,0.162210339
University of Colorado Boulder,56,51,,,5,0.089285714,0.007971939,,,0.089285714
Wageningen University,55.6,47.7,,,7.9,0.142086331,0.020188525,,,0.142086331
Indian Institute of Technology Delhi (IITD),55.3,47.2,55.3,47.2,8.1,0.146473779,0.021454568,,,0.146473779
University of Liverpool,55.1,46.1,,,9,0.163339383,0.026679754,,,0.163339383
Erasmus University Rotterdam,55.1,45,,,10.1,0.183303085,0.033600021,,,0.183303085
University of Calgary,54.9,45,,,9.9,0.180327869,0.03251814,,,0.180327869
University of Basel,54.5,45.3,,,9.2,0.168807339,0.028495918,,,0.168807339
Technion - Israel Institute of Technology,54.2,45.2,,,9,0.166051661,0.027573154,,,0.166051661
Queen's University at Kingston,53.8,43.4,,,10.4,0.19330855,0.037368196,,,0.19330855
University of Massachusetts Amherst,53.7,47.5,,,6.2,0.115456238,0.013330143,,,0.115456238
University of Virginia,53.7,45.3,,,8.4,0.156424581,0.02446865,,,0.156424581
University of Aberdeen,53.6,42.6,,,11,0.205223881,0.042116841,,,0.205223881
University of Florence,53.3,43.7,,,9.6,0.18011257,0.032440538,,,0.18011257
University of Lausanne,53.2,44.8,,,8.4,0.157894737,0.024930748,,,0.157894737
University of Gothenburg,52.8,43,,,9.8,0.185606061,0.03444961,,,0.185606061
Rutgers University - New Brunswick,52.7,43.8,,,8.9,0.168880455,0.028520608,,,0.168880455
Indian Institute of Science (IISc) Bangalore,52.5,42.4,52.5,42.4,10.1,0.192380952,0.037010431,,,0.192380952
University of Cologne,52.3,42.9,,,9.4,0.179732314,0.032303705,,,0.179732314
University of Tsukuba,52.1,45.3,,,6.8,0.130518234,0.017035009,,,0.130518234
The University of Exeter,52,43.2,,,8.8,0.169230769,0.028639053,,,0.169230769
Bandung Institute of Technology (ITB),51.4,47.4,,,4,0.077821012,0.00605611,,,0.077821012
University of Bath,51.3,43.5,,,7.8,0.152046784,0.023118224,,,0.152046784
Victoria University of Wellington,51.2,46.6,,,4.6,0.08984375,0.008071899,,,0.08984375
University of Reading,51.1,38.6,,,12.5,0.244618395,0.059838159,,,0.244618395
Universidad de Santiago de Chile (USACH),51,42.1,,,8.9,0.174509804,0.030453672,,,0.174509804
University of Warsaw,50.9,42.5,,,8.4,0.16502947,0.027234726,,,0.16502947
Aalto University,50.5,45.8,,,4.7,0.093069307,0.008661896,,,0.093069307
Rice University,50.5,43,,,7.5,0.148514851,0.022056661,,,0.148514851
Universitas Indonesia,50.5,42.6,,,7.9,0.156435644,0.024472111,,,0.156435644
Eindhoven University of Technology,50.5,41.8,,,8.7,0.172277228,0.029679443,,,0.172277228
University of Delhi,50.5,40.1,50.5,40.1,10.4,0.205940594,0.042411528,,,0.205940594
The University of Western Ontario,50.3,39.9,,,10.4,0.206759443,0.042749467,,,0.206759443
Universiti Sains Malaysia (USM),50.2,40.3,,,9.9,0.197211155,0.03889224,,,0.197211155
Wuhan University,49.9,42.8,,,7.1,0.142284569,0.020244899,,,0.142284569
Queen's University Belfast,49.9,36.2,,,13.7,0.274549098,0.075377207,,,0.274549098
Universidad Nacional de La Plata (UNLP),49.8,40.6,,,9.2,0.184738956,0.034128482,,,0.184738956
Georgetown University,49.8,40.3,,,9.5,0.190763052,0.036390542,,,0.190763052
National Cheng Kung University (NCKU),49.7,42.2,,,7.5,0.150905433,0.02277245,,,0.150905433
Pontificia Universidad Javeriana,49.7,40.5,,,9.2,0.185110664,0.034265958,,,0.185110664
Westfälische Wilhelms-Universitat Münster,49.7,39.8,,,9.9,0.199195171,0.039678716,,,0.199195171
Newcastle University,49.6,40.9,,,8.7,0.175403226,0.030766292,,,0.175403226
University of Porto,49.3,41.7,,,7.6,0.154158215,0.023764755,,,0.154158215
Saint-Petersburg State University,49.3,38,,,11.3,0.229208925,0.052536731,,,0.229208925
Technische Universität Dresden,49.2,41.6,,,7.6,0.154471545,0.023861458,,,0.154471545
Mahidol University,49.1,45.8,,,3.3,0.067209776,0.004517154,,,0.067209776
University of Canterbury,49.1,45.7,,,3.4,0.069246436,0.004795069,,,0.069246436
Universiti Kebangsaan Malaysia (UKM),49,40,,,9,0.183673469,0.033735943,,,0.183673469
University of Technology Sydney,48.6,48.8,,,-0.2,-0.004115226,1.69351E-05,,,0.004115226
Chalmers University of Technology,48.6,37.7,,,10.9,0.224279835,0.050301445,,,0.224279835
Macquarie University,48.4,39.2,,,9.2,0.190082645,0.036131412,,,0.190082645
University of Sussex,48.4,37.4,,,11,0.227272727,0.051652893,,,0.227272727
City University of New York,48,39,,,9,0.1875,0.03515625,,,0.1875
Pontificia Universidad Católica del Perú,47.9,42,,,5.9,0.123173278,0.015171656,,,0.123173278
University of Bordeaux,47.8,38.2,,,9.6,0.20083682,0.040335428,,,0.20083682
Queensland University of Technology (QUT),47.7,39.9,,,7.8,0.163522013,0.026739449,,,0.163522013
Al-Farabi Kazakh National University,47.6,42.1,,,5.5,0.115546218,0.013350929,,,0.115546218
University of Bergen,47.3,37.9,,,9.4,0.198731501,0.03949421,,,0.198731501
Vienna University of Technology,47.2,39.4,,,7.8,0.165254237,0.027308963,,,0.165254237
"University of Rome ""Tor Vergata""",47.1,36.9,,,10.2,0.21656051,0.046898454,,,0.21656051
University of the Philippines,47,42.5,,,4.5,0.095744681,0.009167044,,,0.095744681
University of Lisbon,47,42.4,,,4.6,0.09787234,0.009578995,,,0.09787234
Radboud University,47,38.6,,,8.4,0.178723404,0.031942055,,,0.178723404
University of Ottawa,46.7,34.8,,,11.9,0.254817987,0.064932207,,,0.254817987
Vanderbilt University,46.6,37.7,,,8.9,0.190987124,0.036476082,,,0.190987124
Gadjah Mada University,46.4,40.9,,,5.5,0.118534483,0.014050424,,,0.118534483
Université Paris-Sud,46.3,37.4,,,8.9,0.192224622,0.036950305,,,0.192224622
Universidad Nacional de Córdoba - UNC,46,33.8,,,12.2,0.265217391,0.070340265,,,0.265217391
Indian Institute of Technology Kanpur (IITK),45.4,36.9,45.4,36.9,8.5,0.18722467,0.035053077,,,0.18722467
Sun Yat-sen University,45.3,41.2,,,4.1,0.090507726,0.008191649,,,0.090507726
Université de Montpellier,45.2,46.8,,,-1.6,-0.03539823,0.001253035,,,0.03539823
University of Granada,45,36.1,,,8.9,0.197777778,0.039116049,,,0.197777778
RMIT University,44.5,42,,,2.5,0.056179775,0.003156167,,,0.056179775
University College Cork,44.4,31.1,,,13.3,0.29954955,0.089729933,,,0.29954955
Hanyang University,44.3,44.7,,,-0.4,-0.009029345,8.15291E-05,,,0.009029345
Universität Stuttgart,44.2,34.8,,,9.4,0.212669683,0.045228394,,,0.212669683
Technical University of Denmark,44.1,34.5,,,9.6,0.217687075,0.047387663,,,0.217687075
University of Coimbra,44,35.2,,,8.8,0.2,0.04,,,0.2
University of Bern,43.8,36.1,,,7.7,0.175799087,0.030905319,,,0.175799087
Instituto Tecnológico y de Estudios Superiores de Monterrey,43.6,36,,,7.6,0.174311927,0.030384648,,,0.174311927
Universiti Putra Malaysia (UPM),43.5,43.2,,,0.3,0.006896552,4.75624E-05,,,0.006896552
Universität Innsbruck,43.5,31.4,,,12.1,0.27816092,0.077373497,,,0.27816092
Norwegian University of Science And Technology,43.4,36.6,,,6.8,0.156682028,0.024549258,,,0.156682028
University of Antwerp,43.4,33.9,,,9.5,0.218894009,0.047914587,,,0.218894009
Jawaharlal Nehru University,43.3,41.2,43.3,41.2,2.1,0.048498845,0.002352138,,,0.048498845
Pontifícia Universidade Católica do Rio de Janeiro,43.3,36.5,,,6.8,0.15704388,0.02466278,,,0.15704388
London Business School,43.2,33,,,10.2,0.236111111,0.055748457,,,0.236111111
"The University of Newcastle, Australia (UON)",43,37.7,,,5.3,0.123255814,0.015191996,,,0.123255814
Universitat Politècnica de Catalunya,43,35.1,,,7.9,0.18372093,0.03375338,,,0.18372093
Cairo University,42.9,33.9,,,9,0.20979021,0.044011932,,,0.20979021
Universität Konstanz,42.9,33.7,,,9.2,0.214452214,0.045989752,,,0.214452214
Universitat Pompeu Fabra,42.4,39.4,,,3,0.070754717,0.00500623,,,0.070754717
Université Paul Sabatier Toulouse III,42.3,33.3,,,9,0.212765957,0.045269353,,,0.212765957
SOAS University of London,42.2,38.4,,,3.8,0.090047393,0.008108533,,,0.090047393
King Saud University,42.2,34.5,,,7.7,0.182464455,0.033293277,,,0.182464455
University of Notre Dame,42.2,33.2,,,9,0.213270142,0.045484154,,,0.213270142
Universidad de Costa Rica,42,39.3,,,2.7,0.064285714,0.004132653,,,0.064285714
Université du Québec,42,31.5,,,10.5,0.25,0.0625,,,0.25
University of Turku,41.9,34.5,,,7.4,0.176610979,0.031191438,,,0.176610979
Emory University,41.8,34.9,,,6.9,0.16507177,0.027248689,,,0.16507177
Universidad Carlos III de Madrid (UC3M),41.8,34.8,,,7,0.167464115,0.02804423,,,0.167464115
University of the Witwatersrand,41.6,33.9,,,7.7,0.185096154,0.034260586,,,0.185096154
Simon Fraser University,41.6,31.9,,,9.7,0.233173077,0.054369684,,,0.233173077
Aristotle University of Thessaloniki,41.5,34.8,,,6.7,0.161445783,0.026064741,,,0.161445783
University of Naples - Federico II,41.5,32.8,,,8.7,0.209638554,0.043948323,,,0.209638554
George Washington University,41.5,32.4,,,9.1,0.219277108,0.04808245,,,0.219277108
Indian Institute of Technology Madras (IITM),41.4,41.1,41.4,41.1,0.3,0.007246377,5.251E-05,,,0.007246377
Universidad de Sevilla,41.4,33.4,,,8,0.193236715,0.037340428,,,0.193236715
Vrije Universiteit Brussel (VUB),41.4,33,,,8.4,0.202898551,0.041167822,,,0.202898551
Jagiellonian University,41.3,34.4,,,6.9,0.167070218,0.027912458,,,0.167070218
Deakin University,41.2,31.9,,,9.3,0.225728155,0.0509532,,,0.225728155
Dartmouth College,41.1,31.4,,,9.7,0.236009732,0.055700594,,,0.236009732
Universität  Leipzig,41,31.2,,,9.8,0.23902439,0.057132659,,,0.23902439
Universitat de Valencia,40.7,33.2,,,7.5,0.184275184,0.033957344,,,0.184275184
Middle East Technical University,40.6,33.9,,,6.7,0.165024631,0.027233129,,,0.165024631
National Taiwan Normal University,40.5,37.8,,,2.7,0.066666667,0.004444444,,,0.066666667
University of Iowa,40.4,28.8,,,11.6,0.287128713,0.082442898,,,0.287128713
"University of California, Santa Cruz",40.1,31.1,,,9,0.224438903,0.050372821,,,0.224438903
Nankai University,40,35.5,,,4.5,0.1125,0.01265625,,,0.1125
Stellenbosch University,39.9,32.2,,,7.7,0.192982456,0.037242228,,,0.192982456
Universidad de Antioquia,39.8,37.6,,,2.2,0.055276382,0.003055478,,,0.055276382
Universität Bremen,39.5,30.3,,,9.2,0.232911392,0.054247717,,,0.232911392
York University,39.5,29.5,,,10,0.253164557,0.064092293,,,0.253164557
Oxford Brookes University,39.3,30.9,,,8.4,0.213740458,0.045684983,,,0.213740458
Universidade Federal de Minas Gerais,39.2,35.4,,,3.8,0.096938776,0.009397126,,,0.096938776
