University,Academic Rep-15,Academic Rep-16,,,B2-C2,B2-C2/B2,E2^2,,,
Weizmann Institute of Science,39.2,30.4,,,8.8,0.224489796,0.050395668,,,0.224489796
Washington State University,39.1,31.7,,,7.4,0.189258312,0.035818709,,,0.189258312
Loughborough University,38.9,31.7,,,7.2,0.185089974,0.034258299,,,0.185089974
Curtin University,38.9,30.7,,,8.2,0.210796915,0.044435339,,,0.210796915
University of Rochester,38.9,29.9,,,9,0.231362468,0.053528592,,,0.231362468
Universidade Federal do Rio Grande Do Sul,38.8,35.2,`,,3.6,0.092783505,0.008608779,,,0.092783505
Politecnico di Torino,38.8,32.6,,,6.2,0.159793814,0.025534063,,,0.159793814
Massey University,38.7,33.7,,,5,0.129198966,0.016692373,,,0.129198966
Virginia Polytechnic Institute and State University,38.7,31.8,,,6.9,0.178294574,0.031788955,,,0.178294574
Shanghai University,38.5,32.4,,,6.1,0.158441558,0.025103727,,,0.158441558
Karl-Franzens-Universitaet Graz,38.5,31.2,,,7.3,0.18961039,0.0359521,,,0.18961039
Kobe University,38.4,31.7,,,6.7,0.174479167,0.03044298,,,0.174479167
Friedrich-Alexander-Universität Erlangen-Nürnberg,38.4,30.1,,,8.3,0.216145833,0.046719021,,,0.216145833
University of Turin,38.2,30.5,,,7.7,0.201570681,0.040630739,,,0.201570681
INSEAD,38.1,36.8,,,1.3,0.034120735,0.001164225,,,0.034120735
Université Claude Bernard Lyon 1,38.1,30.6,,,7.5,0.196850394,0.038750078,,,0.196850394
University of Pretoria,37.9,31,,,6.9,0.182058047,0.033145133,,,0.182058047
Renmin (People's) University of China,37.8,38.3,,,-0.5,-0.013227513,0.000174967,,,0.013227513
Université Paris Descartes,37.8,30.8,,,7,0.185185185,0.034293553,,,0.185185185
Laval University,37.6,29,,,8.6,0.228723404,0.052314396,,,0.228723404
National Chiao Tung University,37.5,33.3,,,4.2,0.112,0.012544,,,0.112
Maastricht University,37.5,30.2,,,7.3,0.194666667,0.037895111,,,0.194666667
University of Twente,37.4,29,,,8.4,0.22459893,0.05044468,,,0.22459893
University of Strathclyde,37.4,28.7,,,8.7,0.232620321,0.054112214,,,0.232620321
Tongji University,37.2,35.5,,,1.7,0.045698925,0.002088392,,,0.045698925
King Fahd University of Petroleum & Minerals,37.2,29.3,,,7.9,0.212365591,0.045099144,,,0.212365591
Indian Institute of Technology Kharagpur (IIT-KGP),37.2,28.7,37.2,28.7,8.5,0.228494624,0.052209793,,,0.228494624
Florida State University,37.1,31.5,,,5.6,0.150943396,0.022783909,,,0.150943396
The American University in Cairo,36.8,31.6,,,5.2,0.141304348,0.019966919,,,0.141304348
Sciences Po,36.8,31.4,,,5.4,0.14673913,0.021532372,,,0.14673913
University of East Anglia (UEA),36.7,28.3,,,8.4,0.228882834,0.052387352,,,0.228882834
Ruhr-Universität Bochum,36.6,28.1,,,8.5,0.232240437,0.053935621,,,0.232240437
Universidad Austral,36.5,28.4,,,8.1,0.221917808,0.049247514,,,0.221917808
Iowa State University,36.4,27.8,,,8.6,0.236263736,0.055820553,,,0.236263736
North Carolina State University,36.1,36.2,,,-0.1,-0.002770083,7.67336E-06,,,0.002770083
Universidad Católica Andres Bello,36.1,29.6,,,6.5,0.180055402,0.032419948,,,0.180055402
Chiang Mai University,35.9,37.4,,,-1.5,-0.04178273,0.001745797,,,0.04178273
Universidade Nova de Lisboa,35.7,29.3,,,6.4,0.179271709,0.032138346,,,0.179271709
Université Paris Dauphine,35.6,31.2,,,4.4,0.123595506,0.015275849,,,0.123595506
Universität Bielefeld,35.6,27.1,,,8.5,0.238764045,0.057008269,,,0.238764045
Pontificia Universidad Católica Argentina Santa María de los Buenos Aires (UCA),35.5,29,,,6.5,0.183098592,0.033525094,,,0.183098592
Novosibirsk State University,35.1,28.9,,,6.2,0.176638177,0.031201045,,,0.176638177
American University,34.9,35.4,,,-0.5,-0.014326648,0.000205253,,,0.014326648
National Taiwan University of Science and Technology (Taiwan Tech),34.8,33.1,,,1.7,0.048850575,0.002386379,,,0.048850575
Griffith University,34.8,31.7,,,3.1,0.08908046,0.007935328,,,0.08908046
Taras Shevchenko National University of Kyiv,34.8,30.7,,,4.1,0.117816092,0.013880632,,,0.117816092
Universidade de Brasília,34.8,27.6,,,7.2,0.206896552,0.042806183,,,0.206896552
Boston College,34.7,28.8,,,5.9,0.170028818,0.028909799,,,0.170028818
Bilkent University,34.7,28.8,,,5.9,0.170028818,0.028909799,,,0.170028818
University of Navarra,34.4,32.4,,,2,0.058139535,0.003380206,,,0.058139535
Kasetsart University,34.4,29.7,,,4.7,0.136627907,0.018667185,,,0.136627907
The University of Georgia,34.4,28.8,,,5.6,0.162790698,0.026500811,,,0.162790698
King Abdulaziz University (KAU),34.4,27.3,,,7.1,0.206395349,0.04259904,,,0.206395349
Pusan National University,34.3,30.9,,,3.4,0.099125364,0.009825838,,,0.099125364
Technische Universität Darmstadt,34.2,29.3,,,4.9,0.143274854,0.020527684,,,0.143274854
Xiamen University,34.1,27.6,,,6.5,0.190615836,0.036334397,,,0.190615836
Kyung Hee University,34,29.1,,,4.9,0.144117647,0.020769896,,,0.144117647
University of South Australia,34,28.8,,,5.2,0.152941176,0.023391003,,,0.152941176
Hiroshima University,33.8,34.3,,,-0.5,-0.014792899,0.00021883,,,0.014792899
UNESP,33.4,28.8,,,4.6,0.137724551,0.018968052,,,0.137724551
Xi’an Jiaotong University,33.1,33.5,,,-0.4,-0.012084592,0.000146037,,,0.012084592
Ateneo de Manila University,32.8,30.4,,,2.4,0.073170732,0.005353956,,,0.073170732
Università Cattolica del Sacro Cuore,32.8,29.2,,,3.6,0.109756098,0.012046401,,,0.109756098
National Sun Yat-sen University,32.7,28.2,,,4.5,0.137614679,0.0189378,,,0.137614679
University of Trento,32.7,28.2,,,4.5,0.137614679,0.0189378,,,0.137614679
Pontificia Universidad Católica de Valparaíso,32.6,28.2,,,4.4,0.134969325,0.018216719,,,0.134969325
Universidad de Concepción,32.6,27.5,,,5.1,0.156441718,0.024474011,,,0.156441718
,,,,,,,,,,
,,,,,,SUM,7.784481243,,,47.20968552
,,,,,,SUM/N,0.020219432,,V abs ,0.12262256
,,,,,,V,0.142195048,,,
