University,Employer Rep-15,Employer Rep-16,,,B2-C2,B2-C2/D2,E2^2,,,ABS
Tel Aviv University,47.9,36.2,,,11.7,0.244258873,0.059662397,,,0.244258873
Universidad de Costa Rica,47.9,41.8,,,6.1,0.127348643,0.016217677,,,0.127348643
Universidad Central de Venezuela,47.7,43.9,,,3.8,0.07966457,0.006346444,,,0.07966457
Universitat Autònoma de Barcelona,47.5,37.5,,,10,0.210526316,0.04432133,,,0.210526316
University of Surrey,46.8,35.6,,,11.2,0.239316239,0.057272262,,,0.239316239
Universidad del Rosario,46.8,40.8,,,6,0.128205128,0.016436555,,,0.128205128
Swinburne University of Technology,46.7,31.1,,,15.6,0.334047109,0.111587471,,,0.334047109
Saint-Petersburg State University,46.7,31.3,,,15.4,0.329764454,0.108744595,,,0.329764454
"University of Illinois, Chicago (UIC)",46.7,41.7,,,5,0.107066381,0.01146321,,,0.107066381
Tongji University,46.6,30.8,,,15.8,0.339055794,0.114958831,,,0.339055794
Pontificia Universidad Católica de Valparaíso,46.3,39.7,,,6.6,0.142548596,0.020320102,,,0.142548596
University of Minnesota,46.3,40.5,,,5.8,0.125269978,0.015692567,,,0.125269978
Baylor College of Medicine,46.2,31,,,15.2,0.329004329,0.108243849,,,0.329004329
University of Limerick,46.1,31.2,,,14.9,0.323210412,0.104464971,,,0.323210412
Université du Québec,46,35.2,,,10.8,0.234782609,0.055122873,,,0.234782609
King Saud University,45.9,33.4,,,12.5,0.272331155,0.074164258,,,0.272331155
National and Kapodistrian University of Athens,45.9,34.1,,,11.8,0.25708061,0.06609044,,,0.25708061
"University of North Carolina, Chapel Hill",45.7,44.8,,,0.9,0.019693654,0.00038784,,,0.019693654
Universidade Católica Portuguesa - UCP,45.7,45.6,,,0.1,0.002188184,4.78815E-06,,,0.002188184
Shanghai University,45.6,32.4,,,13.2,0.289473684,0.083795014,,,0.289473684
Universidad Torcuato Di Tella,45.6,42.1,,,3.5,0.076754386,0.005891236,,,0.076754386
University of Bern,45.4,33.6,,,11.8,0.259911894,0.067554193,,,0.259911894
University of Oslo,45.4,39.6,,,5.8,0.127753304,0.016320907,,,0.127753304
"National University of Ireland, Galway",45.3,35.5,,,9.8,0.216335541,0.046801066,,,0.216335541
Simon Fraser University,45.3,35.6,,,9.7,0.214128035,0.045850816,,,0.214128035
Universidad Politècnica de València,45.2,35.7,,,9.5,0.210176991,0.044174368,,,0.210176991
BI Norwegian Business School,45,31,,,14,0.311111111,0.096790123,,,0.311111111
Wuhan University,45,46.5,,,-1.5,-0.033333333,0.001111111,,,0.033333333
Al-Farabi Kazakh National University,44.7,36.5,,,8.2,0.18344519,0.033652138,,,0.18344519
University of Florida,44.6,34.8,,,9.8,0.219730942,0.048281687,,,0.219730942
Bilkent University,44.5,38.4,,,6.1,0.137078652,0.018790557,,,0.137078652
Universidad Nacional de La Plata (UNLP),44.2,36.5,,,7.7,0.174208145,0.030348478,,,0.174208145
Auckland University of Technology (AUT),43.9,31.1,,,12.8,0.291571754,0.085014088,,,0.291571754
Novosibirsk State University,43.6,34.2,,,9.4,0.21559633,0.046481778,,,0.21559633
University of the Witwatersrand,43.3,34.2,,,9.1,0.210161663,0.044167925,,,0.210161663
Hankuk (Korea) University of Foreign Studies,43.2,33.6,,,9.6,0.222222222,0.049382716,,,0.222222222
Universidad Técnica Federico Santa María (USM),42.9,37.8,,,5.1,0.118881119,0.01413272,,,0.118881119
Universitat Politècnica de Catalunya,42.9,42.4,,,0.5,0.011655012,0.000135839,,,0.011655012
Technion - Israel Institute of Technology,42.4,32.4,,,10,0.235849057,0.055624778,,,0.235849057
Université de Technologie de Compiègne (UTC),42.3,38.6,,,3.7,0.087470449,0.007651079,,,0.087470449
Sun Yat-sen University,42.2,39,,,3.2,0.075829384,0.005750095,,,0.075829384
Virginia Polytechnic Institute and State University,42,40.2,,,1.8,0.042857143,0.001836735,,,0.042857143
Universiti Sains Malaysia (USM),41.1,34.7,,,6.4,0.155717762,0.024248021,,,0.155717762
La Trobe University,41,30.8,,,10.2,0.248780488,0.061891731,,,0.248780488
National University of Sciences And Technology (NUST) Islamabad,40.9,38.1,,,2.8,0.068459658,0.004686725,,,0.068459658
Alexandria University,40.8,34.4,,,6.4,0.156862745,0.024605921,,,0.156862745
University of Antwerp,40.5,33,,,7.5,0.185185185,0.034293553,,,0.185185185
Aristotle University of Thessaloniki,40.3,33.3,,,7,0.17369727,0.030170742,,,0.17369727
Pontifícia Universidade Católica do Rio de Janeiro,40.3,36.4,,,3.9,0.096774194,0.009365245,,,0.096774194
Wageningen University,40,31.8,,,8.2,0.205,0.042025,,,0.205
Universidad de Concepción,40,34.5,,,5.5,0.1375,0.01890625,,,0.1375
University of Porto,39.9,39.5,,,0.4,0.010025063,0.000100502,,,0.010025063
Beijing Institute of Technology,39.8,31.5,,,8.3,0.208542714,0.043490063,,,0.208542714
Universität Innsbruck,39.7,38.4,,,1.3,0.032745592,0.001072274,,,0.032745592
Vilnius University,39.5,34.9,,,4.6,0.116455696,0.013561929,,,0.116455696
University of Bahrain,39.3,31.2,,,8.1,0.20610687,0.042480042,,,0.20610687
Friedrich-Alexander-Universität Erlangen-Nürnberg,39.3,37.2,,,2.1,0.053435115,0.002855311,,,0.053435115
Colorado State University,39,36.6,,,2.4,0.061538462,0.003786982,,,0.061538462
,,,,,,,,,,
,,,,,,SUM,9.343068233,,,47.17819572
,,,,,,SUM/N,0.024782674,,V abs,0.125141103
,,,,,,V,0.157425139,,,
