University,OVERALL -15,OVERALL-16,,,B2-C2,D2/B2,,,,ABS
Northwestern University,87.7,85.7,,,2,0.022805017,0.000520069,,,0.022805017
The University of Manchester,87.2,84.8,,,2.4,0.027522936,0.000757512,,,0.027522936
University of Toronto,87.1,83.8,,,3.3,0.037887486,0.001435462,,,0.037887486
London School of Economics and Political Science (LSE),86.2,81.7,,,4.5,0.052204176,0.002725276,,,0.052204176
Seoul National University,85.3,82.1,,,3.2,0.037514654,0.001407349,,,0.037514654
University of Bristol,85,79.6,,,5.4,0.063529412,0.004035986,,,0.063529412
Kyoto University,84.9,81.7,,,3.2,0.037691402,0.001420642,,,0.037691402
The University of Tokyo,84.8,82.6,,,2.2,0.025943396,0.00067306,,,0.025943396
Ecole Polytechnique,83.8,75.7,,,8.1,0.096658711,0.009342906,,,0.096658711
Peking University,83.7,81.3,,,2.4,0.028673835,0.000822189,,,0.028673835
The University of Melbourne,83.1,79.5,,,3.6,0.0433213,0.001876735,,,0.0433213
KAIST - Korea Advanced Institute of Science & Technology,82.6,77.9,,,4.7,0.056900726,0.003237693,,,0.056900726
"University of California, San Diego (UCSD)",82.5,80.6,,,1.9,0.023030303,0.000530395,,,0.023030303
The University of Sydney,81.9,77.9,,,4,0.048840049,0.00238535,,,0.048840049
The University of Queensland,81.8,77.6,,,4.2,0.051344743,0.002636283,,,0.051344743
The University of New South Wales (UNSW Australia),81.8,77.8,,,4,0.048899756,0.002391186,,,0.048899756
The University of Warwick,81.6,77.6,,,4,0.049019608,0.002402922,,,0.049019608
Brown University,81.5,77.8,,,3.7,0.045398773,0.002061049,,,0.045398773
University of British Columbia,81.2,78,,,3.2,0.039408867,0.001553059,,,0.039408867
The Chinese University of Hong Kong (CUHK),81.1,78.1,,,3,0.036991369,0.001368361,,,0.036991369
Fudan University,81.1,79.4,,,1.7,0.020961776,0.000439396,,,0.020961776
New York University (NYU),80.5,77.9,,,2.6,0.032298137,0.00104317,,,0.032298137
University of Wisconsin-Madison,80.3,75.7,,,4.6,0.057285181,0.003281592,,,0.057285181
University of Amsterdam,80.2,74.3,,,5.9,0.073566085,0.005411969,,,0.073566085
Tokyo Institute of Technology,79.4,74.9,,,4.5,0.056675063,0.003212063,,,0.056675063
City University of Hong Kong,79.2,75.4,,,3.8,0.047979798,0.002302061,,,0.047979798
Osaka University,78.3,71.7,,,6.6,0.084291188,0.007105004,,,0.084291188
University of Illinois at Urbana-Champaign,77.5,71.4,,,6.1,0.078709677,0.006195213,,,0.078709677
Technical University of Munich,77.3,72.4,,,4.9,0.063389392,0.004018215,,,0.063389392
Durham University,77,68.8,,,8.2,0.106493506,0.011340867,,,0.106493506
University of Glasgow,76.8,71.7,,,5.1,0.06640625,0.00440979,,,0.06640625
Carnegie Mellon University,76.8,74.2,,,2.6,0.033854167,0.001146105,,,0.033854167
Delft University of Technology,76.5,72.1,,,4.4,0.05751634,0.003308129,,,0.05751634
University of Washington,76.3,73.9,,,2.4,0.031454784,0.000989403,,,0.031454784
Ruprecht-Karls-Universitaet Heidelberg,76.1,69.7,,,6.4,0.084099869,0.007072788,,,0.084099869
Monash University,76,71.6,,,4.4,0.057894737,0.003351801,,,0.057894737
University of St Andrews,75.9,68.2,,,7.7,0.101449275,0.010291955,,,0.101449275
University of Copenhagen,75.7,70.2,,,5.5,0.072655218,0.005278781,,,0.072655218
The University of Nottingham,75.4,68.7,,,6.7,0.088859416,0.007895996,,,0.088859416
Lund University,75.4,69.1,,,6.3,0.083554377,0.006981334,,,0.083554377
National Taiwan University (NTU),75.4,70.2,,,5.2,0.068965517,0.004756243,,,0.068965517
Shanghai Jiao Tong University,75.4,72.2,,,3.2,0.042440318,0.001801181,,,0.042440318
Tohoku University,75.2,68.7,,,6.5,0.08643617,0.007471212,,,0.08643617
Ludwig-Maximilians-Universität München,74.7,70.2,,,4.5,0.060240964,0.003628974,,,0.060240964
University of Birmingham,74.6,67.2,,,7.4,0.09919571,0.009839789,,,0.09919571
University of Texas at Austin,74.5,70.7,,,3.8,0.051006711,0.002601685,,,0.051006711
"Trinity College Dublin, The University of Dublin",74.3,62.8,,,11.5,0.154777927,0.023956207,,,0.154777927
"University of North Carolina, Chapel Hill",73.7,68.1,,,5.6,0.075983718,0.005773525,,,0.075983718
The University of Sheffield,73.6,66.9,,,6.7,0.091032609,0.008286936,,,0.091032609
University of Southampton,72.8,65.6,,,7.2,0.098901099,0.009781427,,,0.098901099
The University of Auckland,72.4,67.3,,,5.1,0.070441989,0.004962074,,,0.070441989
KU Leuven,72.4,67.9,,,4.5,0.062154696,0.003863206,,,0.062154696
Georgia Institute of Technology,72.3,69.8,,,2.5,0.034578147,0.001195648,,,0.034578147
"University of California, Davis",72.2,65.8,,,6.4,0.088642659,0.007857521,,,0.088642659
University of Zurich,72.2,67.8,,,4.4,0.060941828,0.003713906,,,0.060941828
University of Leeds,72,64.2,,,7.8,0.108333333,0.011736111,,,0.108333333
Pohang University of Science And Technology (POSTECH),72,67,,,5,0.069444444,0.004822531,,,0.069444444
University of Geneva,71.2,63.6,,,7.6,0.106741573,0.011393763,,,0.106741573
Purdue University,71.2,64.5,,,6.7,0.094101124,0.008855021,,,0.094101124
Boston University,71.1,65.2,,,5.9,0.082981716,0.006885965,,,0.082981716
KTH Royal Institute of Technology,70.9,63.1,,,7.8,0.110014104,0.012103103,,,0.110014104
"KIT, Karlsruhe Institute of Technology",70.8,62.8,,,8,0.11299435,0.012767723,,,0.11299435
Utrecht University,70.7,62.4,,,8.3,0.117397454,0.013782162,,,0.117397454
Leiden University,70.3,62.7,,,7.6,0.108108108,0.011687363,,,0.108108108
University of Alberta,70.1,64,,,6.1,0.087018545,0.007572227,,,0.087018545
University of Helsinki,70.1,64.7,,,5.4,0.07703281,0.005934054,,,0.07703281
The University of Western Australia,69.4,62.7,,,6.7,0.096541787,0.009320317,,,0.096541787
The Ohio State University,69.3,65.4,,,3.9,0.056277056,0.003167107,,,0.056277056
University of Groningen,68.8,60,,,8.8,0.127906977,0.016360195,,,0.127906977
Pennsylvania State University,68.7,63.6,,,5.1,0.074235808,0.005510955,,,0.074235808
Uppsala University,68.4,62.8,,,5.6,0.081871345,0.006702917,,,0.081871345
University of York,68.3,58.4,,,9.9,0.144948755,0.021010142,,,0.144948755
Korea University,68.2,62.8,,,5.4,0.079178886,0.006269296,,,0.079178886
Yonsei University,67.9,60.5,,,7.4,0.1089838,0.011877469,,,0.1089838
Rice University,67.8,65,,,2.8,0.041297935,0.001705519,,,0.041297935
Aarhus University,67.4,59.5,,,7.9,0.117210682,0.013738344,,,0.117210682
Lomonosov Moscow State University,67.2,62.1,,,5.1,0.075892857,0.005759726,,,0.075892857
Queen Mary University of London,67,58.7,,,8.3,0.123880597,0.015346402,,,0.123880597
Zhejiang University,66.9,61.6,,,5.3,0.07922272,0.006276239,,,0.07922272
Washington University in St. Louis,66.9,62.2,,,4.7,0.070254111,0.00493564,,,0.070254111
Technical University of Denmark,66.8,61.8,,,5,0.074850299,0.005602567,,,0.074850299
The University of Adelaide,66.7,58.6,,,8.1,0.12143928,0.014747499,,,0.12143928
University of Science and Technology of China,66.7,62.4,,,4.3,0.064467766,0.004156093,,,0.064467766
Université de Montréal,66.6,58.5,,,8.1,0.121621622,0.014791819,,,0.121621622
The Hong Kong Polytechnic University,66.3,61.4,,,4.9,0.073906486,0.005462169,,,0.073906486
Eindhoven University of Technology,66.2,58.9,,,7.3,0.110271903,0.012159893,,,0.110271903
Sungkyunkwan University (SKKU),66.1,62.2,,,3.9,0.059001513,0.003481179,,,0.059001513
Freie Universitaet Berlin,65.7,58.7,,,7,0.106544901,0.011351816,,,0.106544901
Nagoya University,65.6,59.6,,,6,0.091463415,0.008365556,,,0.091463415
Lancaster University,65.5,57.9,,,7.6,0.116030534,0.013463085,,,0.116030534
Cardiff University,65,55.7,,,9.3,0.143076923,0.020471006,,,0.143076923
University of Minnesota,64.9,56.4,,,8.5,0.130970724,0.017153331,,,0.130970724
Ghent University,64.6,57.6,,,7,0.108359133,0.011741702,,,0.108359133
Universidad de Buenos Aires (UBA),64.6,65.8,,,-1.2,-0.018575851,0.000345062,,,0.018575851
Erasmus University Rotterdam,64.5,55.5,,,9,0.139534884,0.019469984,,,0.139534884
"University of Maryland, College Park",64.5,57.6,,,6.9,0.106976744,0.011444024,,,0.106976744
Humboldt-Universität zu Berlin,64.5,58.9,,,5.6,0.086821705,0.007538009,,,0.086821705
"University of California, Santa Barbara (UCSB)",64.3,59.4,,,4.9,0.076205288,0.005807246,,,0.076205288
University of Southern California,64.2,56.7,,,7.5,0.11682243,0.01364748,,,0.11682243
Nanjing University,64.2,59.6,,,4.6,0.07165109,0.005133879,,,0.07165109
Chalmers University of Technology,64,56.1,,,7.9,0.1234375,0.015236816,,,0.1234375
Albert-Ludwigs-Universitaet Freiburg,63.5,52.2,,,11.3,0.177952756,0.031667183,,,0.177952756
University of Pittsburgh,63.5,55.1,,,8.4,0.132283465,0.017498915,,,0.132283465
Wageningen University,63.4,59.1,,,4.3,0.067823344,0.004600006,,,0.067823344
University of Oslo,63.4,60,,,3.4,0.05362776,0.002875937,,,0.05362776
University of Aberdeen,63.2,55.6,,,7.6,0.120253165,0.014460824,,,0.120253165
Université Pierre et Marie Curie (UPMC),63.2,55.6,,,7.6,0.120253165,0.014460824,,,0.120253165
University of Basel,63.1,55.6,,,7.5,0.118858954,0.014127451,,,0.118858954
Aalto University,63.1,57.1,,,6,0.095087163,0.009041569,,,0.095087163
Hokkaido University,63.1,57.8,,,5.3,0.083993661,0.007054935,,,0.083993661
Kyushu University,62.7,56.8,,,5.9,0.094098884,0.0088546,,,0.094098884
University of Lausanne,62.4,56.3,,,6.1,0.09775641,0.009556316,,,0.09775641
Universidade de São Paulo,62.4,59,,,3.4,0.054487179,0.002968853,,,0.054487179
RWTH Aachen University,62.2,55,,,7.2,0.115755627,0.013399365,,,0.115755627
Universiti Malaya (UM),62.1,57.1,,,5,0.080515298,0.006482713,,,0.080515298
Indian Institute of Science (IISc) Bangalore,62,53.8,62,53.8,8.2,0.132258065,0.017492196,,,0.132258065
The Hebrew University of Jerusalem,61.8,54.2,,,7.6,0.122977346,0.015123428,,,0.122977346
Université Catholique de Louvain (UCL),61.5,53.4,,,8.1,0.131707317,0.017346817,,,0.131707317
McMaster University,61.5,54.1,,,7.4,0.120325203,0.014478155,,,0.120325203
University of Liverpool,61.1,53.1,,,8,0.130932897,0.017143423,,,0.130932897
University of Waterloo,60.9,53.8,,,7.1,0.116584565,0.013591961,,,0.116584565
University of Vienna,60.8,53.3,,,7.5,0.123355263,0.015216521,,,0.123355263
University College Dublin,60.5,49.7,,,10.8,0.178512397,0.031866676,,,0.178512397
National Tsing Hua University,60.2,53.9,,,6.3,0.104651163,0.010951866,,,0.104651163
University of Reading,60.1,50,,,10.1,0.168053245,0.028241893,,,0.168053245
CentraleSupélec,60.1,52.1,,,8,0.133111481,0.017718666,,,0.133111481
Dartmouth College,60,53,,,7,0.116666667,0.013611111,,,0.116666667
University of Bath,59.8,52.7,,,7.1,0.118729097,0.014096598,,,0.118729097
Texas A&M University,59.7,52.6,,,7.1,0.118927973,0.014143863,,,0.118927973
Universidad Nacional Autónoma de México  (UNAM),59.6,58.3,,,1.3,0.021812081,0.000475767,,,0.021812081
The University of Exeter,59.5,52.1,,,7.4,0.124369748,0.015467834,,,0.124369748
Newcastle University,59.4,51.8,,,7.6,0.127946128,0.016370212,,,0.127946128
"University of California, Irvine",59.2,53.2,,,6,0.101351351,0.010272096,,,0.101351351
Michigan State University,58.9,52.6,,,6.3,0.106960951,0.011440645,,,0.106960951
Emory University,58.8,54.1,,,4.7,0.079931973,0.00638912,,,0.079931973
University of Bern,58.6,49.3,,,9.3,0.158703072,0.025186665,,,0.158703072
University of Barcelona,58.6,52.6,,,6,0.102389078,0.010483523,,,0.102389078
Georg-August-University Goettingen,58.5,49.6,,,8.9,0.152136752,0.023145591,,,0.152136752
Maastricht University,58.2,50.3,,,7.9,0.135738832,0.01842503,,,0.135738832
Pontificia Universidad Católica de Chile (UC),58.1,54.7,,,3.4,0.058519793,0.003424566,,,0.058519793
University of Cape Town,57.8,48,,,9.8,0.169550173,0.028747261,,,0.169550173
University of Virginia,57.7,50.5,,,7.2,0.124783362,0.015570887,,,0.124783362
University of Otago,57,51.3,,,5.7,0.1,0.01,,,0.1
Eberhard Karls Universität Tübingen,57,51.9,,,5.1,0.089473684,0.00800554,,,0.089473684
University of Colorado Boulder,56.9,51.2,,,5.7,0.100175747,0.01003518,,,0.100175747
Vrije Universiteit Amsterdam,56.8,46.8,,,10,0.176056338,0.030995834,,,0.176056338
Radboud University,56.7,48.2,,,8.5,0.149911817,0.022473553,,,0.149911817
Technische Universität Berlin (TU Berlin),56.6,52.1,,,4.5,0.0795053,0.006321093,,,0.0795053
Indian Institute of Technology Delhi (IITD),56.4,48.6,56.4,48.6,7.8,0.138297872,0.019126301,,,0.138297872
University of Florida,56.1,48.6,,,7.5,0.13368984,0.017872973,,,0.13368984
University of Bergen,55.9,49.6,,,6.3,0.112701252,0.012701572,,,0.112701252
Stockholm University,55.8,47.2,,,8.6,0.154121864,0.023753549,,,0.154121864
Queen's University Belfast,55.8,47.5,,,8.3,0.14874552,0.02212523,,,0.14874552
National Chiao Tung University,55.8,50.1,,,5.7,0.102150538,0.010434732,,,0.102150538
"University of Illinois, Chicago (UIC)",55.7,48.4,,,7.3,0.131059246,0.017176526,,,0.131059246
University of Sussex,55.6,48.4,,,7.2,0.129496403,0.016769318,,,0.129496403
Universidad Autónoma de Madrid,55.5,45.7,,,9.8,0.176576577,0.031179287,,,0.176576577
Politecnico di Milano,55.2,48.8,,,6.4,0.115942029,0.013442554,,,0.115942029
University of Twente,55.1,49.6,,,5.5,0.099818512,0.009963735,,,0.099818512
École Normale Supérieure de Lyon,55.1,49.6,,,5.5,0.099818512,0.009963735,,,0.099818512
Universitat Autònoma de Barcelona,54.8,46.3,,,8.5,0.155109489,0.024058954,,,0.155109489
University of Rochester,54.8,48.6,,,6.2,0.113138686,0.012800362,,,0.113138686
The University of Western Ontario,54.6,47.1,,,7.5,0.137362637,0.018868494,,,0.137362637
Hanyang University,54.4,50.6,,,3.8,0.069852941,0.004879433,,,0.069852941
Vrije Universiteit Brussel (VUB),54.2,48.9,,,5.3,0.097785978,0.009562097,,,0.097785978
University of Notre Dame,54.1,46.3,,,7.8,0.144177449,0.020787137,,,0.144177449
Universidade Estadual de Campinas (Unicamp),54.1,48,,,6.1,0.112754159,0.0127135,,,0.112754159
Vienna University of Technology,53.9,48.8,,,5.1,0.094619666,0.008952881,,,0.094619666
Technion - Israel Institute of Technology,53.8,45.5,,,8.3,0.154275093,0.023800804,,,0.154275093
King Fahd University of Petroleum & Minerals,53.5,48.3,,,5.2,0.097196262,0.009447113,,,0.097196262
Indian Institute of Technology Bombay (IITB),52.8,44.6,52.8,44.6,8.2,0.15530303,0.024119031,,,0.15530303
Tel Aviv University,52.7,45.6,,,7.1,0.134724858,0.018150787,,,0.134724858
Alma Mater Studiorum - University of Bologna,52.5,46,,,6.5,0.123809524,0.015328798,,,0.123809524
University of Calgary,52.5,47.2,,,5.3,0.100952381,0.010191383,,,0.100952381
Queen's University at Kingston,52.4,44,,,8.4,0.160305344,0.025697803,,,0.160305344
Universite libre de Bruxelles,52,45.1,,,6.9,0.132692308,0.017607249,,,0.132692308
University of Antwerp,51.9,45.8,,,6.1,0.117533719,0.013814175,,,0.117533719
Universidad de Chile,51.6,46.7,,,4.9,0.09496124,0.009017637,,,0.09496124
Rheinische Friedrich-Wilhelms-Universität Bonn,51.4,43,,,8.4,0.163424125,0.026707444,,,0.163424125
University of Canterbury,51.2,45.4,,,5.8,0.11328125,0.012832642,,,0.11328125
Waseda University,51.1,46.5,,,4.6,0.090019569,0.008103523,,,0.090019569
Sapienza University of Rome,51,44,,,7,0.137254902,0.018838908,,,0.137254902
Georgetown University,51,45.4,,,5.6,0.109803922,0.012056901,,,0.109803922
Case Western Reserve University,50.8,46.4,,,4.4,0.086614173,0.007502015,,,0.086614173
The University of Arizona,50.7,42.8,,,7.9,0.15581854,0.024279418,,,0.15581854
Vanderbilt University,50.7,46.3,,,4.4,0.08678501,0.007531638,,,0.08678501
University of Technology Sydney,50.5,47.8,,,2.7,0.053465347,0.002858543,,,0.053465347
Universität Hamburg,50.4,42.9,,,7.5,0.148809524,0.022144274,,,0.148809524
University of Tsukuba,50.4,43.8,,,6.6,0.130952381,0.017148526,,,0.130952381
Keio University,50.4,45.1,,,5.3,0.10515873,0.011058359,,,0.10515873
Université Paris-Sorbonne (Paris IV),50.3,44.4,,,5.9,0.117296223,0.013758404,,,0.117296223
Sciences Po,50.2,44.5,,,5.7,0.113545817,0.012892652,,,0.113545817
National Cheng Kung University (NCKU),50.1,42,,,8.1,0.161676647,0.026139338,,,0.161676647
Simon Fraser University,50,43.6,,,6.4,0.128,0.016384,,,0.128
University Complutense Madrid,49.7,42.1,,,7.6,0.152917505,0.023383763,,,0.152917505
Technische Universität Dresden,49.6,45.7,,,3.9,0.078629032,0.006182525,,,0.078629032
Loughborough University,49.5,42.3,,,7.2,0.145454545,0.021157025,,,0.145454545
Macquarie University,49.4,41.2,,,8.2,0.165991903,0.027553312,,,0.165991903
Victoria University of Wellington,49.4,43.3,,,6.1,0.123481781,0.01524775,,,0.123481781
Royal Holloway University of London,49.3,42.6,,,6.7,0.135902637,0.018469527,,,0.135902637
Beijing Normal University,49.2,40.4,,,8.8,0.178861789,0.031991539,,,0.178861789
University College Cork,49.1,37.6,,,11.5,0.234215886,0.054857081,,,0.234215886
University of Turku,49.1,42.7,,,6.4,0.130346232,0.01699014,,,0.130346232
University of Leicester,48.9,42.1,,,6.8,0.139059305,0.01933749,,,0.139059305
King Saud University,48.7,43.4,,,5.3,0.108829569,0.011843875,,,0.108829569
Instituto Tecnológico y de Estudios Superiores de Monterrey,48.6,46.1,,,2.5,0.051440329,0.002646107,,,0.051440329
University of East Anglia (UEA),48.4,40.6,,,7.8,0.161157025,0.025971587,,,0.161157025
Université Paris 1 Panthéon-Sorbonne,48.2,43.3,,,4.9,0.101659751,0.010334705,,,0.101659751
Université de Strasbourg,48.1,39.6,,,8.5,0.176715177,0.031228254,,,0.176715177
Université Paris-Sud,48.1,42,,,6.1,0.126819127,0.016083091,,,0.126819127
Universität Frankfurt am Main,48,39.2,,,8.8,0.183333333,0.033611111,,,0.183333333
University of Massachusetts Amherst,48,40.8,,,7.2,0.15,0.0225,,,0.15
University of Wollongong,48,44.7,,,3.3,0.06875,0.004726562,,,0.06875
Technische Universität Darmstadt,47.7,41.2,,,6.5,0.136268344,0.018569062,,,0.136268344
University of Gothenburg,47.6,39.2,,,8.4,0.176470588,0.031141869,,,0.176470588
University of Surrey,47.6,39.5,,,8.1,0.170168067,0.028957171,,,0.170168067
University of Strathclyde,47.5,38.5,,,9,0.189473684,0.035900277,,,0.189473684
Arizona State University,47.5,44.2,,,3.3,0.069473684,0.004826593,,,0.069473684
Universität Stuttgart,47,39.3,,,7.7,0.163829787,0.026840199,,,0.163829787
Tufts University,46.9,42.2,,,4.7,0.10021322,0.010042689,,,0.10021322
Chulalongkorn University,46.8,40.6,,,6.2,0.132478632,0.017550588,,,0.132478632
Norwegian University of Science And Technology,46.6,39.8,,,6.8,0.145922747,0.021293448,,,0.145922747
Indian Institute of Technology Madras (IITM),46.6,41,46.6,41,5.6,0.120171674,0.014441231,,,0.120171674
Westfälische Wilhelms-Universitat Münster,46.4,37.2,,,9.2,0.198275862,0.039313317,,,0.198275862
Saint-Petersburg State University,46.4,40.1,,,6.3,0.135775862,0.018435085,,,0.135775862
"The University of Newcastle, Australia (UON)",46.4,41.3,,,5.1,0.109913793,0.012081042,,,0.109913793
Ben Gurion University of The Negev,46.2,35.4,,,10.8,0.233766234,0.054646652,,,0.233766234
National Taiwan University of Science and Technology (Taiwan Tech),46.1,41.7,,,4.4,0.095444685,0.009109688,,,0.095444685
Université Paris Diderot - Paris 7,46,39.4,,,6.6,0.143478261,0.020586011,,,0.143478261
University of Dundee,46,41.6,,,4.4,0.095652174,0.009149338,,,0.095652174
Indiana University Bloomington,45.8,37.3,,,8.5,0.18558952,0.03444347,,,0.18558952
Queensland University of Technology (QUT),45.8,38.1,,,7.7,0.168122271,0.028265098,,,0.168122271
Université de Liège,45.5,35.7,,,9.8,0.215384615,0.046390533,,,0.215384615
"University of California, Riverside",45.5,38.7,,,6.8,0.149450549,0.022335467,,,0.149450549
University of Navarra,45.5,41.3,,,4.2,0.092307692,0.00852071,,,0.092307692
American University of Beirut (AUB),45.4,43.3,,,2.1,0.046255507,0.002139572,,,0.046255507
Rutgers University - New Brunswick,45.2,36.8,,,8.4,0.185840708,0.034536769,,,0.185840708
"University of California, Santa Cruz",45.2,37.1,,,8.1,0.17920354,0.032113909,,,0.17920354
Indian Institute of Technology Kanpur (IITK),45,36.7,45,36.7,8.3,0.184444444,0.034019753,,,0.184444444
"National University of Ireland, Galway",45,41,,,4,0.088888889,0.007901235,,,0.088888889
Wuhan University,44.9,38.2,,,6.7,0.14922049,0.022266755,,,0.14922049
RMIT University,44.9,40.6,,,4.3,0.095768374,0.009171581,,,0.095768374
SOAS University of London,44.8,40.6,,,4.2,0.09375,0.008789062,,,0.09375
Al-Farabi Kazakh National University,44.8,42.5,,,2.3,0.051339286,0.002635722,,,0.051339286
Nankai University,44.7,35.7,,,9,0.201342282,0.040538714,,,0.201342282
Dalhousie University,44.7,37.6,,,7.1,0.158836689,0.025229094,,,0.158836689
Charles University in Prague,44.6,36.7,,,7.9,0.177130045,0.031375053,,,0.177130045
University of Miami,44.5,40.6,,,3.9,0.087640449,0.007680848,,,0.087640449
Hong Kong Baptist University,44.3,37.9,,,6.4,0.144469526,0.020871444,,,0.144469526
Boston College,44.2,36.9,,,7.3,0.165158371,0.027277288,,,0.165158371
Universidad de los Andes,43.9,38.5,,,5.4,0.123006834,0.015130681,,,0.123006834
Curtin University,43.8,36.3,,,7.5,0.171232877,0.029320698,,,0.171232877
University of Ottawa,43.8,37.3,,,6.5,0.148401826,0.022023102,,,0.148401826
Indian Institute of Technology Kharagpur (IIT-KGP),43.7,35.9,43.7,35.9,7.8,0.178489703,0.031858574,,,0.178489703
Linköping University,43.7,37.7,,,6,0.137299771,0.018851227,,,0.137299771
University of South Australia,43.6,37.4,,,6.2,0.142201835,0.020221362,,,0.142201835
Universiti Sains Malaysia (USM),43.4,34.6,,,8.8,0.202764977,0.041113636,,,0.202764977
"Birkbeck, University of London",43.1,37.8,,,5.3,0.122969838,0.015121581,,,0.122969838
Universidad Nacional de Colombia,43.1,38.9,,,4.2,0.097447796,0.009496073,,,0.097447796
Harbin Institute of Technology,43,37.9,,,5.1,0.118604651,0.014067063,,,0.118604651
Friedrich-Alexander-Universität Erlangen-Nürnberg,42.9,38.5,,,4.4,0.102564103,0.010519395,,,0.102564103
Tilburg University,42.8,34.6,,,8.2,0.191588785,0.036706263,,,0.191588785
Ecole Normale Supérieure de Cachan,42.8,39.2,,,3.6,0.08411215,0.007074854,,,0.08411215
Universität Innsbruck,42.6,36.9,,,5.7,0.133802817,0.017903194,,,0.133802817
Universitat Pompeu Fabra,42.6,37.6,,,5,0.117370892,0.013775926,,,0.117370892
Mahidol University,42.6,37.6,,,5,0.117370892,0.013775926,,,0.117370892
Kyung Hee University,42.6,39.2,,,3.4,0.079812207,0.006369988,,,0.079812207
Universitat Politècnica de Catalunya,42.5,35.3,,,7.2,0.169411765,0.028700346,,,0.169411765
"City, University of London",42.4,35.8,,,6.6,0.155660377,0.024230153,,,0.155660377
University of Essex,41.9,34.6,,,7.3,0.174224344,0.030354122,,,0.174224344
Universiti Teknologi Malaysia,41.9,37.4,,,4.5,0.107398568,0.011534452,,,0.107398568
King Abdulaziz University (KAU),41.9,37.6,,,4.3,0.102625298,0.010531952,,,0.102625298
University of Milan,41.8,31.9,,,9.9,0.236842105,0.056094183,,,0.236842105
Sun Yat-sen University,41.7,37,,,4.7,0.112709832,0.012703506,,,0.112709832
University of Porto,41.6,35.2,,,6.4,0.153846154,0.023668639,,,0.153846154
Università di Padova,41.4,34.2,,,7.2,0.173913043,0.030245747,,,0.173913043
Universidad Austral,41.4,36.2,,,5.2,0.125603865,0.015776331,,,0.125603865
North Carolina State University,41.4,38,,,3.4,0.082125604,0.006744615,,,0.082125604
University of Iowa,41.3,30.6,,,10.7,0.259079903,0.067122396,,,0.259079903
Universiti Kebangsaan Malaysia (UKM),41.3,36.7,,,4.6,0.111380145,0.012405537,,,0.111380145
Politecnico di Torino,41.1,36.4,,,4.7,0.114355231,0.013077119,,,0.114355231
Universidad Carlos III de Madrid (UC3M),41.1,37.8,,,3.3,0.080291971,0.006446801,,,0.080291971
École des Ponts ParisTech,41.1,39.1,,,2,0.0486618,0.002367971,,,0.0486618
Novosibirsk State University,41,37.3,,,3.7,0.090243902,0.008143962,,,0.090243902
