University,OVERALL -15,OVERALL-16,,,B2-C2,D2/B2,,,,ABS
Heriot-Watt University,40.5,34.8,,,5.7,0.140740741,0.019807956,,,0.140740741
Universität Konstanz,40.4,33.2,,,7.2,0.178217822,0.031761592,,,0.178217822
University of Jyväskylä,40.4,34.2,,,6.2,0.153465347,0.023551613,,,0.153465347
University of Victoria,40.4,35,,,5.4,0.133663366,0.017865896,,,0.133663366
Umea University,40.4,37.2,,,3.2,0.079207921,0.006273895,,,0.079207921
Universidade Federal do Rio de Janeiro,40.3,35.3,,,5,0.124069479,0.015393236,,,0.124069479
Laval University,40.1,31.8,,,8.3,0.206982544,0.042841773,,,0.206982544
Oxford Brookes University,40.1,32.6,,,7.5,0.187032419,0.034981126,,,0.187032419
Deakin University,40.1,32.9,,,7.2,0.179551122,0.032238605,,,0.179551122
George Washington University,40,32.3,,,7.7,0.1925,0.03705625,,,0.1925
University of Hawai'i at Mañoa,40,33.9,,,6.1,0.1525,0.02325625,,,0.1525
Griffith University,39.9,34.4,,,5.5,0.137844612,0.019001137,,,0.137844612
University of St.Gallen (HSG),39.9,37.4,,,2.5,0.062656642,0.003925855,,,0.062656642
University of the Witwatersrand,39.7,32.6,,,7.1,0.17884131,0.031984214,,,0.17884131
University of Cologne,39.7,33.6,,,6.1,0.153652393,0.023609058,,,0.153652393
Brunel University London,39.7,33.8,,,5.9,0.14861461,0.022086302,,,0.14861461
Xi’an Jiaotong University,39.7,35.6,,,4.1,0.103274559,0.010665635,,,0.103274559
Universiti Putra Malaysia (UPM),39.7,38.8,,,0.9,0.022670025,0.00051393,,,0.022670025
Massey University,39.4,34.1,,,5.3,0.134517766,0.01809503,,,0.134517766
Virginia Polytechnic Institute and State University,39.2,32.4,,,6.8,0.173469388,0.030091628,,,0.173469388
University Ulm,39.2,33.6,,,5.6,0.142857143,0.020408163,,,0.142857143
University at Buffalo SUNY,39.2,34,,,5.2,0.132653061,0.017596835,,,0.132653061
University of Waikato,39.2,35.1,,,4.1,0.104591837,0.010939452,,,0.104591837
National Yang Ming University,39.2,36.2,,,3,0.076530612,0.005856935,,,0.076530612
Bauman Moscow State Technical University,39.2,36.3,,,2.9,0.073979592,0.00547298,,,0.073979592
University of Warsaw,39,32.1,,,6.9,0.176923077,0.031301775,,,0.176923077
The American University in Cairo,38.9,32.2,,,6.7,0.172236504,0.029665413,,,0.172236504
Tongji University,38.9,35.7,,,3.2,0.082262211,0.006767071,,,0.082262211
University of Eastern Finland,38.8,31.2,,,7.6,0.195876289,0.03836752,,,0.195876289
Aston University,38.8,32.7,,,6.1,0.157216495,0.024717026,,,0.157216495
Rensselaer Polytechnic Institute,38.5,36,,,2.5,0.064935065,0.004216563,,,0.064935065
Hiroshima University,38.5,37,,,1.5,0.038961039,0.001517963,,,0.038961039
Pontificia Universidad Católica Argentina Santa María de los Buenos Aires (UCA),38.4,36,,,2.4,0.0625,0.00390625,,,0.0625
Universidade Nova de Lisboa,38.2,32.1,,,6.1,0.159685864,0.025499575,,,0.159685864
Dublin City University,38.1,31.3,,,6.8,0.17847769,0.031854286,,,0.17847769
Ewha Womans University,38,34.5,,,3.5,0.092105263,0.00848338,,,0.092105263
Aalborg University,37.8,31.5,,,6.3,0.166666667,0.027777778,,,0.166666667
Tampere University of Technology,37.8,35.5,,,2.3,0.060846561,0.003702304,,,0.060846561
Universitas Indonesia,37.7,35,,,2.7,0.071618037,0.005129143,,,0.071618037
University of Kent,37.6,32.1,,,5.5,0.146276596,0.021396842,,,0.146276596
Washington State University,37.5,30.5,,,7,0.186666667,0.034844444,,,0.186666667
University of Southern Denmark,37.5,30.7,,,6.8,0.181333333,0.032881778,,,0.181333333
Kobe University,37.5,32,,,5.5,0.146666667,0.021511111,,,0.146666667
Northeastern University,37.4,32.4,,,5,0.13368984,0.017872973,,,0.13368984
Leibniz Universität Hannover,37.2,30.3,,,6.9,0.185483871,0.034404266,,,0.185483871
Université Paris Dauphine,36.9,32.8,,,4.1,0.111111111,0.012345679,,,0.111111111
L.N. Gumilyov Eurasian National University (ENU),36.8,33.8,,,3,0.081521739,0.006645794,,,0.081521739
"Stony Brook University, State University of New York",36.7,30.7,,,6,0.163487738,0.026728241,,,0.163487738
American University,36.6,31.1,,,5.5,0.150273224,0.022582042,,,0.150273224
Lincoln University,36.6,33.9,,,2.7,0.073770492,0.005442085,,,0.073770492
National Technical University of Athens,36.4,30.5,,,5.9,0.162087912,0.026272491,,,0.162087912
Université de Montpellier,36.4,34.8,,,1.6,0.043956044,0.001932134,,,0.043956044
National Taiwan Normal University,36.4,36,,,0.4,0.010989011,0.000120758,,,0.010989011
National Sun Yat-sen University,36.2,30.5,,,5.7,0.157458564,0.024793199,,,0.157458564
University of Tasmania,36.2,31.9,,,4.3,0.11878453,0.014109765,,,0.11878453
Universität Jena,36.1,32.3,,,3.8,0.105263158,0.011080332,,,0.105263158
University of Stirling,36,31,,,5,0.138888889,0.019290123,,,0.138888889
Yeshiva University,36,34.6,,,1.4,0.038888889,0.001512346,,,0.038888889
Université Paris Descartes,35.9,31.4,,,4.5,0.125348189,0.015712169,,,0.125348189
James Cook University,35.9,34.1,,,1.8,0.050139276,0.002513947,,,0.050139276
Indian Institute of Technology Roorkee (IITR),35.7,30.4,35.7,30.4,5.3,0.148459384,0.022040189,,,0.148459384
Tokyo Medical and Dental University (TMDU),35.7,34.7,,,1,0.028011204,0.000784628,,,0.028011204
University of Kansas,35.6,31.7,,,3.9,0.109550562,0.012001326,,,0.109550562
La Trobe University,35.5,30.9,,,4.6,0.129577465,0.016790319,,,0.129577465
Moscow State Institute of International Relations (MGIMO University),35.1,33.4,,,1.7,0.048433048,0.00234576,,,0.048433048
Swansea University,35,30.7,,,4.3,0.122857143,0.015093878,,,0.122857143
University of Tartu,35,33.6,,,1.4,0.04,0.0016,,,0.04
,,,,,,,,,,
,,,,,,SUM,5.189146551,,,40.1483166
,,,,,,SUM/N,0.013584153,,V abs,0.105100305
,,,,,,V,0.116551076,,,
