University,HiCi-16,HiCi-17,,,,,,,
University of Florida,27.1,30.9,,,-3.8,-0.1402214022,0.0196620416,,0.1402214022
University of Arizona,27.1,30.9,,,-3.8,-0.1402214022,0.0196620416,,0.1402214022
University of Amsterdam,22.9,30.9,,,-8,-0.3493449782,0.1220419138,,0.3493449782
The University of Tokyo,30.8,28.9,,,1.9,0.0616883117,0.0038054478,,0.0616883117
University of Colorado at Boulder,30.8,28.9,,,1.9,0.0616883117,0.0038054478,,0.0616883117
The University of Texas Southwestern Medical Center at Dallas,30.8,28.9,,,1.9,0.0616883117,0.0038054478,,0.0616883117
The University of Texas at Austin,29,28.9,,,0.1,0.0034482759,1.18906064209278E-005,,0.0034482759
Technical University Munich,29,28.9,,,0.1,0.0034482759,1.18906064209278E-005,,0.0034482759
University of Southampton,29,28.9,,,0.1,0.0034482759,1.18906064209278E-005,,0.0034482759
University of Massachusetts Amherst,27.1,28.9,,,-1.8,-0.0664206642,0.0044117046,,0.0664206642
University of Zurich,25.1,28.9,,,-3.8,-0.1513944223,0.0229202711,,0.1513944223
University of Groningen,25.1,28.9,,,-3.8,-0.1513944223,0.0229202711,,0.1513944223
University of Sydney,25.1,28.9,,,-3.8,-0.1513944223,0.0229202711,,0.1513944223
The University of Western Australia,25.1,28.9,,,-3.8,-0.1513944223,0.0229202711,,0.1513944223
University of Wageningen,25.1,28.9,,,-3.8,-0.1513944223,0.0229202711,,0.1513944223
Texas A&M University,22.9,28.9,,,-6,-0.2620087336,0.0686485765,,0.2620087336
University of Birmingham,22.9,28.9,,,-6,-0.2620087336,0.0686485765,,0.2620087336
The University of Glasgow,22.9,28.9,,,-6,-0.2620087336,0.0686485765,,0.2620087336
The University of Texas Health Science Center at San Antonio,22.9,28.9,,,-6,-0.2620087336,0.0686485765,,0.2620087336
City University of Hong Kong,20.5,28.9,,,-8.4,-0.4097560976,0.1679000595,,0.4097560976
The University of Reading,17.8,28.9,,,-11.1,-0.6235955056,0.3888713546,,0.6235955056
Peking University,27.1,26.7,,,0.4,0.0147601476,0.000217862,,0.0147601476
Baylor College of Medicine,27.1,26.7,,,0.4,0.0147601476,0.000217862,,0.0147601476
University of Geneva,25.1,26.7,,,-1.6,-0.0637450199,0.0040634276,,0.0637450199
University of Utah,25.1,26.7,,,-1.6,-0.0637450199,0.0040634276,,0.0637450199
The University of Adelaide,25.1,26.7,,,-1.6,-0.0637450199,0.0040634276,,0.0637450199
University of Exeter,25.1,26.7,,,-1.6,-0.0637450199,0.0040634276,,0.0637450199
Aalborg University,25.1,26.7,,,-1.6,-0.0637450199,0.0040634276,,0.0637450199
Macquarie University,25.1,26.7,,,-1.6,-0.0637450199,0.0040634276,,0.0637450199
"University of Maryland, College Park",22.9,26.7,,,-3.8,-0.1659388646,0.0275357068,,0.1659388646
Michigan State University,22.9,26.7,,,-3.8,-0.1659388646,0.0275357068,,0.1659388646
"University of California, Riverside",22.9,26.7,,,-3.8,-0.1659388646,0.0275357068,,0.1659388646
Leiden University,20.5,26.7,,,-6.2,-0.3024390244,0.0914693635,,0.3024390244
Zhejiang University,20.5,26.7,,,-6.2,-0.3024390244,0.0914693635,,0.3024390244
TU Dresden,20.5,26.7,,,-6.2,-0.3024390244,0.0914693635,,0.3024390244
The University of Calgary,17.8,26.7,,,-8.9,-0.5,0.25,,0.5
University of Frankfurt,14.5,26.7,,,-12.2,-0.8413793103,0.7079191439,,0.8413793103
Catholic University of Louvain,14.5,26.7,,,-12.2,-0.8413793103,0.7079191439,,0.8413793103
"University of Maryland, Baltimore",14.5,26.7,,,-12.2,-0.8413793103,0.7079191439,,0.8413793103
Georgetown University,10.3,26.7,,,-16.4,-1.5922330097,2.5352059572,,1.5922330097
University of Illinois at Urbana-Champaign,30.8,24.4,,,6.4,0.2077922078,0.0431776016,,0.2077922078
Kyoto University,27.1,24.4,,,2.7,0.0996309963,0.0099263354,,0.0996309963
Carnegie Mellon University,25.1,24.4,,,0.7,0.0278884462,0.0007777654,,0.0278884462
University of Alberta,25.1,24.4,,,0.7,0.0278884462,0.0007777654,,0.0278884462
Karolinska Institute,22.9,24.4,,,-1.5,-0.0655021834,0.004290536,,0.0655021834
McGill University,22.9,24.4,,,-1.5,-0.0655021834,0.004290536,,0.0655021834
Fudan University,22.9,24.4,,,-1.5,-0.0655021834,0.004290536,,0.0655021834
University of Erlangen-Nuremberg,22.9,24.4,,,-1.5,-0.0655021834,0.004290536,,0.0655021834
University of Miami,22.9,24.4,,,-1.5,-0.0655021834,0.004290536,,0.0655021834
Deakin University,22.9,24.4,,,-1.5,-0.0655021834,0.004290536,,0.0655021834
University of Granada,22.9,24.4,,,-1.5,-0.0655021834,0.004290536,,0.0655021834
Pierre and Marie  Curie University - Paris 6,20.5,24.4,,,-3.9,-0.1902439024,0.0361927424,,0.1902439024
Aix Marseille University,20.5,24.4,,,-3.9,-0.1902439024,0.0361927424,,0.1902439024
University of Bonn,20.5,24.4,,,-3.9,-0.1902439024,0.0361927424,,0.1902439024
University of Goettingen,20.5,24.4,,,-3.9,-0.1902439024,0.0361927424,,0.1902439024
University of Nottingham,20.5,24.4,,,-3.9,-0.1902439024,0.0361927424,,0.1902439024
University of Bordeaux,20.5,24.4,,,-3.9,-0.1902439024,0.0361927424,,0.1902439024
South China University of Technology,17.8,24.4,,,-6.6,-0.3707865169,0.1374826411,,0.3707865169
University of Paris Descartes (Paris 5),14.5,24.4,,,-9.9,-0.6827586207,0.4661593341,,0.6827586207
University of Lausanne,14.5,24.4,,,-9.9,-0.6827586207,0.4661593341,,0.6827586207
University of Electronic Science and Technology of China,14.5,24.4,,,-9.9,-0.6827586207,0.4661593341,,0.6827586207
University of Munich,25.1,21.8,,,3.3,0.1314741036,0.0172854399,,0.1314741036
Indiana University Bloomington,22.9,21.8,,,1.1,0.0480349345,0.0023073549,,0.0480349345
London School of Hygiene & Tropical Medicine,22.9,21.8,,,1.1,0.0480349345,0.0023073549,,0.0480349345
Case Western Reserve University,20.5,21.8,,,-1.3,-0.0634146341,0.0040214158,,0.0634146341
Harbin Institute of Technology,20.5,21.8,,,-1.3,-0.0634146341,0.0040214158,,0.0634146341
Queen Mary University of London,20.5,21.8,,,-1.3,-0.0634146341,0.0040214158,,0.0634146341
University of Innsbruck,20.5,21.8,,,-1.3,-0.0634146341,0.0040214158,,0.0634146341
University of Iowa,20.5,21.8,,,-1.3,-0.0634146341,0.0040214158,,0.0634146341
Drexel University,20.5,21.8,,,-1.3,-0.0634146341,0.0040214158,,0.0634146341
The Hong Kong University of Science and Technology,20.5,21.8,,,-1.3,-0.0634146341,0.0040214158,,0.0634146341
The University of Dundee,20.5,21.8,,,-1.3,-0.0634146341,0.0040214158,,0.0634146341
University of South Florida,20.5,21.8,,,-1.3,-0.0634146341,0.0040214158,,0.0634146341
University of Ulm,20.5,21.8,,,-1.3,-0.0634146341,0.0040214158,,0.0634146341
China University of Geosciences (Wuhan),20.5,21.8,,,-1.3,-0.0634146341,0.0040214158,,0.0634146341
"National University of Ireland, Galway",20.5,21.8,,,-1.3,-0.0634146341,0.0040214158,,0.0634146341
Trinity College Dublin,17.8,21.8,,,-4,-0.2247191011,0.0504986744,,0.2247191011
University of Vienna,17.8,21.8,,,-4,-0.2247191011,0.0504986744,,0.2247191011
University of Wuerzburg,17.8,21.8,,,-4,-0.2247191011,0.0504986744,,0.2247191011
Curtin University,17.8,21.8,,,-4,-0.2247191011,0.0504986744,,0.2247191011
Durham University,17.8,21.8,,,-4,-0.2247191011,0.0504986744,,0.2247191011
Stockholm University,14.5,21.8,,,-7.3,-0.5034482759,0.2534601665,,0.5034482759
Arizona State University,14.5,21.8,,,-7.3,-0.5034482759,0.2534601665,,0.5034482759
University of Nebraska - Lincoln,14.5,21.8,,,-7.3,-0.5034482759,0.2534601665,,0.5034482759
University of Ottawa,14.5,21.8,,,-7.3,-0.5034482759,0.2534601665,,0.5034482759
The Hong Kong Polytechnic University,14.5,21.8,,,-7.3,-0.5034482759,0.2534601665,,0.5034482759
University of Pavia,10.3,21.8,,,-11.5,-1.1165048544,1.2465830898,,1.1165048544
Purdue University - West Lafayette,25.1,18.9,,,6.2,0.2470119522,0.0610149045,,0.2470119522
RWTH Aachen University,22.9,18.9,,,4,0.1746724891,0.0305104784,,0.1746724891
University of Alabama at Birmingham,22.9,18.9,,,4,0.1746724891,0.0305104784,,0.1746724891
University of Notre Dame,22.9,18.9,,,4,0.1746724891,0.0305104784,,0.1746724891
Nagoya University,20.5,18.9,,,1.6,0.0780487805,0.0060916121,,0.0780487805
Tufts University,20.5,18.9,,,1.6,0.0780487805,0.0060916121,,0.0780487805
University of Science and Technology of China,20.5,18.9,,,1.6,0.0780487805,0.0060916121,,0.0780487805
University of Kiel,20.5,18.9,,,1.6,0.0780487805,0.0060916121,,0.0780487805
Southeast University,20.5,18.9,,,1.6,0.0780487805,0.0060916121,,0.0780487805
King Fahd University of Petroleum & Minerals,20.5,18.9,,,1.6,0.0780487805,0.0060916121,,0.0780487805
Rush University,20.5,18.9,,,1.6,0.0780487805,0.0060916121,,0.0780487805
Uppsala University,17.8,18.9,,,-1.1,-0.0617977528,0.0038189623,,0.0617977528
Aarhus University,17.8,18.9,,,-1.1,-0.0617977528,0.0038189623,,0.0617977528
Seoul National University,17.8,18.9,,,-1.1,-0.0617977528,0.0038189623,,0.0617977528
The University of New South Wales,17.8,18.9,,,-1.1,-0.0617977528,0.0038189623,,0.0617977528
The University of Sheffield,17.8,18.9,,,-1.1,-0.0617977528,0.0038189623,,0.0617977528
University of Rochester,17.8,18.9,,,-1.1,-0.0617977528,0.0038189623,,0.0617977528
Oregon State University,17.8,18.9,,,-1.1,-0.0617977528,0.0038189623,,0.0617977528
University of Hawaii at Manoa,17.8,18.9,,,-1.1,-0.0617977528,0.0038189623,,0.0617977528
University of Leipzig,17.8,18.9,,,-1.1,-0.0617977528,0.0038189623,,0.0617977528
Chalmers University of Technology,17.8,18.9,,,-1.1,-0.0617977528,0.0038189623,,0.0617977528
Eindhoven University of Technology,17.8,18.9,,,-1.1,-0.0617977528,0.0038189623,,0.0617977528
Queensland University of Technology,17.8,18.9,,,-1.1,-0.0617977528,0.0038189623,,0.0617977528
University of Bochum,17.8,18.9,,,-1.1,-0.0617977528,0.0038189623,,0.0617977528
University of Houston,17.8,18.9,,,-1.1,-0.0617977528,0.0038189623,,0.0617977528
University of Victoria,17.8,18.9,,,-1.1,-0.0617977528,0.0038189623,,0.0617977528
University of Fribourg,17.8,18.9,,,-1.1,-0.0617977528,0.0038189623,,0.0617977528
University of North Texas,17.8,18.9,,,-1.1,-0.0617977528,0.0038189623,,0.0617977528
Brunel University,17.8,18.9,,,-1.1,-0.0617977528,0.0038189623,,0.0617977528
Wuhan University of Technology,17.8,18.9,,,-1.1,-0.0617977528,0.0038189623,,0.0617977528
Tohoku University,14.5,18.9,,,-4.4,-0.3034482759,0.0920808561,,0.3034482759
University of Basel,14.5,18.9,,,-4.4,-0.3034482759,0.0920808561,,0.3034482759
Weizmann Institute of Science,14.5,18.9,,,-4.4,-0.3034482759,0.0920808561,,0.3034482759
Dartmouth College,14.5,18.9,,,-4.4,-0.3034482759,0.0920808561,,0.3034482759
Iowa State University,14.5,18.9,,,-4.4,-0.3034482759,0.0920808561,,0.3034482759
North Carolina State University - Raleigh,14.5,18.9,,,-4.4,-0.3034482759,0.0920808561,,0.3034482759
Swedish University of Agricultural Sciences,14.5,18.9,,,-4.4,-0.3034482759,0.0920808561,,0.3034482759
University of Antwerp,14.5,18.9,,,-4.4,-0.3034482759,0.0920808561,,0.3034482759
University of Bologna,14.5,18.9,,,-4.4,-0.3034482759,0.0920808561,,0.3034482759
University of Illinois at Chicago,14.5,18.9,,,-4.4,-0.3034482759,0.0920808561,,0.3034482759
University of Waterloo,14.5,18.9,,,-4.4,-0.3034482759,0.0920808561,,0.3034482759
Virginia Commonwealth University,14.5,18.9,,,-4.4,-0.3034482759,0.0920808561,,0.3034482759
La Trobe University,14.5,18.9,,,-4.4,-0.3034482759,0.0920808561,,0.3034482759
Linkoping University,14.5,18.9,,,-4.4,-0.3034482759,0.0920808561,,0.3034482759
University of Paris-Sud (Paris 11),10.3,18.9,,,-8.6,-0.8349514563,0.6971439344,,0.8349514563
University of Freiburg,10.3,18.9,,,-8.6,-0.8349514563,0.6971439344,,0.8349514563
Paul Sabatier University (Toulouse 3),10.3,18.9,,,-8.6,-0.8349514563,0.6971439344,,0.8349514563
"University at Buffalo, the State University of New York",10.3,18.9,,,-8.6,-0.8349514563,0.6971439344,,0.8349514563
University of Colorado at Denver,10.3,18.9,,,-8.6,-0.8349514563,0.6971439344,,0.8349514563
University of Guelph,10.3,18.9,,,-8.6,-0.8349514563,0.6971439344,,0.8349514563
University of Jena,10.3,18.9,,,-8.6,-0.8349514563,0.6971439344,,0.8349514563
University of Wollongong,10.3,18.9,,,-8.6,-0.8349514563,0.6971439344,,0.8349514563
Swinburne University of Technology,10.3,18.9,,,-8.6,-0.8349514563,0.6971439344,,0.8349514563
"University of Science, Malaysia",10.3,18.9,,,-8.6,-0.8349514563,0.6971439344,,0.8349514563
University of Surrey,10.3,18.9,,,-8.6,-0.8349514563,0.6971439344,,0.8349514563
University of Tartu,10.3,18.9,,,-8.6,-0.8349514563,0.6971439344,,0.8349514563
Oregon Health and Science University,25.1,15.4,,,9.7,0.3864541833,0.1493468358,,0.3864541833
Brown University,22.9,15.4,,,7.5,0.327510917,0.1072634008,,0.327510917
The Australian National University,20.5,15.4,,,5.1,0.2487804878,0.0618917311,,0.2487804878
Technion-Israel Institute of Technology,17.8,15.4,,,2.4,0.1348314607,0.0181795228,,0.1348314607
Lund University,17.8,15.4,,,2.4,0.1348314607,0.0181795228,,0.1348314607
Radboud University Nijmegen,17.8,15.4,,,2.4,0.1348314607,0.0181795228,,0.1348314607
University of Liverpool,17.8,15.4,,,2.4,0.1348314607,0.0181795228,,0.1348314607
University of Muenster,17.8,15.4,,,2.4,0.1348314607,0.0181795228,,0.1348314607
University Paris Diderot - Paris 7,17.8,15.4,,,2.4,0.1348314607,0.0181795228,,0.1348314607
University of Barcelona,17.8,15.4,,,2.4,0.1348314607,0.0181795228,,0.1348314607
Maastricht University,17.8,15.4,,,2.4,0.1348314607,0.0181795228,,0.1348314607
Medical University of South Carolina,17.8,15.4,,,2.4,0.1348314607,0.0181795228,,0.1348314607
University of Cincinnati,17.8,15.4,,,2.4,0.1348314607,0.0181795228,,0.1348314607
Hannover Medical School,17.8,15.4,,,2.4,0.1348314607,0.0181795228,,0.1348314607
University of Eastern Finland,17.8,15.4,,,2.4,0.1348314607,0.0181795228,,0.1348314607
Norwegian University of Science and Technology - NTNU,14.5,15.4,,,-0.9,-0.0620689655,0.0038525565,,0.0620689655
Shanghai Jiao Tong University,14.5,15.4,,,-0.9,-0.0620689655,0.0038525565,,0.0620689655
Delft University of Technology,14.5,15.4,,,-0.9,-0.0620689655,0.0038525565,,0.0620689655
Sun Yat-sen University,14.5,15.4,,,-0.9,-0.0620689655,0.0038525565,,0.0620689655
Technical University of Denmark,14.5,15.4,,,-0.9,-0.0620689655,0.0038525565,,0.0620689655
University of Delaware,14.5,15.4,,,-0.9,-0.0620689655,0.0038525565,,0.0620689655
University of Gothenburg,14.5,15.4,,,-0.9,-0.0620689655,0.0038525565,,0.0620689655
Charles University in Prague,14.5,15.4,,,-0.9,-0.0620689655,0.0038525565,,0.0620689655
Korea Advanced Institute of Science and Technology,14.5,15.4,,,-0.9,-0.0620689655,0.0038525565,,0.0620689655
Medical University of Vienna,14.5,15.4,,,-0.9,-0.0620689655,0.0038525565,,0.0620689655
The University of Georgia,14.5,15.4,,,-0.9,-0.0620689655,0.0038525565,,0.0620689655
University of Kansas,14.5,15.4,,,-0.9,-0.0620689655,0.0038525565,,0.0620689655
University of the Witwatersrand,14.5,15.4,,,-0.9,-0.0620689655,0.0038525565,,0.0620689655
University of Turin,14.5,15.4,,,-0.9,-0.0620689655,0.0038525565,,0.0620689655
Western University,14.5,15.4,,,-0.9,-0.0620689655,0.0038525565,,0.0620689655
Chiba University,14.5,15.4,,,-0.9,-0.0620689655,0.0038525565,,0.0620689655
National and Kapodistrian University of Athens,14.5,15.4,,,-0.9,-0.0620689655,0.0038525565,,0.0620689655
Okayama University,14.5,15.4,,,-0.9,-0.0620689655,0.0038525565,,0.0620689655
University of Canterbury,14.5,15.4,,,-0.9,-0.0620689655,0.0038525565,,0.0620689655
University of Santiago Compostela,14.5,15.4,,,-0.9,-0.0620689655,0.0038525565,,0.0620689655
Amirkabir University of Technology,14.5,15.4,,,-0.9,-0.0620689655,0.0038525565,,0.0620689655
Bielefeld University,14.5,15.4,,,-0.9,-0.0620689655,0.0038525565,,0.0620689655
Kaohsiung Medical University,14.5,15.4,,,-0.9,-0.0620689655,0.0038525565,,0.0620689655
St George's Hospital Medical School,14.5,15.4,,,-0.9,-0.0620689655,0.0038525565,,0.0620689655
University of Montana - Missoula,14.5,15.4,,,-0.9,-0.0620689655,0.0038525565,,0.0620689655
University of Oslo,10.3,15.4,,,-5.1,-0.4951456311,0.245169196,,0.4951456311
National Taiwan University,10.3,15.4,,,-5.1,-0.4951456311,0.245169196,,0.4951456311
University of Massachusetts Medical School - Worcester,10.3,15.4,,,-5.1,-0.4951456311,0.245169196,,0.4951456311
University of Padua,10.3,15.4,,,-5.1,-0.4951456311,0.245169196,,0.4951456311
University of Tuebingen,10.3,15.4,,,-5.1,-0.4951456311,0.245169196,,0.4951456311
University of Virginia,10.3,15.4,,,-5.1,-0.4951456311,0.245169196,,0.4951456311
Beijing Normal University,10.3,15.4,,,-5.1,-0.4951456311,0.245169196,,0.4951456311
Karlsruhe Institute of Technology (KIT),10.3,15.4,,,-5.1,-0.4951456311,0.245169196,,0.4951456311
Sichuan University,10.3,15.4,,,-5.1,-0.4951456311,0.245169196,,0.4951456311
University of Aberdeen,10.3,15.4,,,-5.1,-0.4951456311,0.245169196,,0.4951456311
University of Belgrade,10.3,15.4,,,-5.1,-0.4951456311,0.245169196,,0.4951456311
University of Bergen,10.3,15.4,,,-5.1,-0.4951456311,0.245169196,,0.4951456311
University of Tasmania,10.3,15.4,,,-5.1,-0.4951456311,0.245169196,,0.4951456311
University of York,10.3,15.4,,,-5.1,-0.4951456311,0.245169196,,0.4951456311
East China University of Science and Technology,10.3,15.4,,,-5.1,-0.4951456311,0.245169196,,0.4951456311
The University of Texas at Dallas,10.3,15.4,,,-5.1,-0.4951456311,0.245169196,,0.4951456311
University College Dublin,10.3,15.4,,,-5.1,-0.4951456311,0.245169196,,0.4951456311
University of Oregon,10.3,15.4,,,-5.1,-0.4951456311,0.245169196,,0.4951456311
University of Twente,10.3,15.4,,,-5.1,-0.4951456311,0.245169196,,0.4951456311
Brigham Young University,10.3,15.4,,,-5.1,-0.4951456311,0.245169196,,0.4951456311
Saint Louis University,10.3,15.4,,,-5.1,-0.4951456311,0.245169196,,0.4951456311
Xian Jiao Tong University,17.8,10.9,,,6.9,0.3876404494,0.150265118,,0.3876404494
University of Missouri - Columbia,17.8,10.9,,,6.9,0.3876404494,0.150265118,,0.3876404494
Polytechnic University of Valencia,17.8,10.9,,,6.9,0.3876404494,0.150265118,,0.3876404494
Korea University,14.5,10.9,,,3.6,0.2482758621,0.0616409037,,0.2482758621
The University of Auckland,14.5,10.9,,,3.6,0.2482758621,0.0616409037,,0.2482758621
University of Lisbon,14.5,10.9,,,3.6,0.2482758621,0.0616409037,,0.2482758621
University of Montreal,14.5,10.9,,,3.6,0.2482758621,0.0616409037,,0.2482758621
Autonomous University of Madrid,14.5,10.9,,,3.6,0.2482758621,0.0616409037,,0.2482758621
Indiana University-Purdue University at Indianapolis,14.5,10.9,,,3.6,0.2482758621,0.0616409037,,0.2482758621
James Cook University,14.5,10.9,,,3.6,0.2482758621,0.0616409037,,0.2482758621
Laval University,14.5,10.9,,,3.6,0.2482758621,0.0616409037,,0.2482758621
University of Florence,14.5,10.9,,,3.6,0.2482758621,0.0616409037,,0.2482758621
Boston College,14.5,10.9,,,3.6,0.2482758621,0.0616409037,,0.2482758621
Keio University,14.5,10.9,,,3.6,0.2482758621,0.0616409037,,0.2482758621
Temple University,14.5,10.9,,,3.6,0.2482758621,0.0616409037,,0.2482758621
University of South Carolina - Columbia,14.5,10.9,,,3.6,0.2482758621,0.0616409037,,0.2482758621
University of Hannover,14.5,10.9,,,3.6,0.2482758621,0.0616409037,,0.2482758621
West Virginia University,14.5,10.9,,,3.6,0.2482758621,0.0616409037,,0.2482758621
The Hebrew University of Jerusalem,10.3,10.9,,,-0.6,-0.0582524272,0.0033933453,,0.0582524272
London School of Economics and Political Science,10.3,10.9,,,-0.6,-0.0582524272,0.0033933453,,0.0582524272
Sungkyunkwan University,10.3,10.9,,,-0.6,-0.0582524272,0.0033933453,,0.0582524272
Tel Aviv University,10.3,10.9,,,-0.6,-0.0582524272,0.0033933453,,0.0582524272
Brandeis University,10.3,10.9,,,-0.6,-0.0582524272,0.0033933453,,0.0582524272
Colorado State University,10.3,10.9,,,-0.6,-0.0582524272,0.0033933453,,0.0582524272
Florida State University,10.3,10.9,,,-0.6,-0.0582524272,0.0033933453,,0.0582524272
Kyushu University,10.3,10.9,,,-0.6,-0.0582524272,0.0033933453,,0.0582524272
Pohang University of Science and Technology,10.3,10.9,,,-0.6,-0.0582524272,0.0033933453,,0.0582524272
Polytechnic Institute of Milan,10.3,10.9,,,-0.6,-0.0582524272,0.0033933453,,0.0582524272
Stony Brook University,10.3,10.9,,,-0.6,-0.0582524272,0.0033933453,,0.0582524272
The University of New Mexico - Albuquerque,10.3,10.9,,,-0.6,-0.0582524272,0.0033933453,,0.0582524272
University of East Anglia,10.3,10.9,,,-0.6,-0.0582524272,0.0033933453,,0.0582524272
University of Leicester,10.3,10.9,,,-0.6,-0.0582524272,0.0033933453,,0.0582524272
Vrije Universiteit Brussel (VUB),10.3,10.9,,,-0.6,-0.0582524272,0.0033933453,,0.0582524272
Yeshiva University,10.3,10.9,,,-0.6,-0.0582524272,0.0033933453,,0.0582524272
Yonsei University,10.3,10.9,,,-0.6,-0.0582524272,0.0033933453,,0.0582524272
Chang Gung University,10.3,10.9,,,-0.6,-0.0582524272,0.0033933453,,0.0582524272
