University,Rank15,Rank16,R15-R16,D2/ R15,E2^2,,ABS
California Institute of TechnologyUnited States of America,1,1,0,0,0,,0
University of OxfordUnited Kingdom,3,2,1,0.3333333333,0.1111111111,,0.3333333333
Stanford UniversityUnited States of America,4,3,1,0.25,0.0625,,0.25
University of CambridgeUnited Kingdom,5,4,1,0.2,0.04,,0.2
Massachusetts Institute of TechnologyUnited States of America,6,5,1,0.1666666667,0.0277777778,,0.1666666667
Harvard UniversityUnited States of America,2,6,-4,-2,4,,2
Princeton UniversityUnited States of America,7,7,0,0,0,,0
Imperial College LondonUnited Kingdom,9,8,1,0.1111111111,0.012345679,,0.1111111111
ETH Zurich – Swiss Federal Institute of Technology ZurichSwitzerland,13,9,4,0.3076923077,0.0946745562,,0.3076923077
University of ChicagoUnited States of America,11,10,1,0.0909090909,0.0082644628,,0.0909090909
Johns Hopkins UniversityUnited States of America,15,11,4,0.2666666667,0.0711111111,,0.2666666667
Yale UniversityUnited States of America,9,12,-3,-0.3333333333,0.1111111111,,0.3333333333
"University of California, BerkeleyUnited States of America",8,13,-5,-0.625,0.390625,,0.625
University College LondonUnited Kingdom,22,14,8,0.3636363636,0.132231405,,0.3636363636
Columbia UniversityUnited States of America,14,15,-1,-0.0714285714,0.0051020408,,0.0714285714
"University of California, Los AngelesUnited States of America",12,16,-4,-0.3333333333,0.1111111111,,0.3333333333
University of PennsylvaniaUnited States of America,16,17,-1,-0.0625,0.00390625,,0.0625
Cornell UniversityUnited States of America,19,18,1,0.0526315789,0.0027700831,,0.0526315789
University of TorontoCanada,20,19,1,0.05,0.0025,,0.05
Duke UniversityUnited States of America,18,20,-2,-0.1111111111,0.012345679,,0.1111111111
University of MichiganUnited States of America,17,21,-4,-0.2352941176,0.0553633218,,0.2352941176
Carnegie Mellon UniversityUnited States of America,24,22,2,0.0833333333,0.0069444444,,0.0833333333
London School of Economics and Political ScienceUnited Kingdom,34,23,11,0.3235294118,0.1046712803,,0.3235294118
University of EdinburghUnited Kingdom,36,24,12,0.3333333333,0.1111111111,,0.3333333333
Northwestern UniversityUnited States of America,21,25,-4,-0.1904761905,0.0362811791,,0.1904761905
National University of SingaporeSingapore,25,26,-1,-0.04,0.0016,,0.04
King’s College LondonUnited Kingdom,40,27,13,0.325,0.105625,,0.325
Karolinska InstituteSweden,44,28,16,0.3636363636,0.132231405,,0.3636363636
LMU MunichGermany,29,29,0,0,0,,0
New York UniversityUnited States of America,38,30,8,0.2105263158,0.0443213296,,0.2105263158
École Polytechnique Fédérale de LausanneSwitzerland,34,31,3,0.0882352941,0.0077854671,,0.0882352941
University of WashingtonUnited States of America,26,32,-6,-0.2307692308,0.0532544379,,0.2307692308
University of MelbourneAustralia,33,33,0,0,0,,0
University of British ColumbiaCanada,32,34,-2,-0.0625,0.00390625,,0.0625
KU LeuvenBelgium,55,35,20,0.3636363636,0.132231405,,0.3636363636
University of Illinois at Urbana-ChampaignUnited States of America,29,36,-7,-0.2413793103,0.0582639715,,0.2413793103
Heidelberg UniversityGermany,70,37,33,0.4714285714,0.222244898,,0.4714285714
McGill UniversityCanada,39,38,1,0.0256410256,0.0006574622,,0.0256410256
"University of California, Santa BarbaraUnited States of America",37,39,-2,-0.0540540541,0.0029218408,,0.0540540541
"University of California, San DiegoUnited States of America",41,39,2,0.0487804878,0.002379536,,0.0487804878
Georgia Institute of TechnologyUnited States of America,27,41,-14,-0.5185185185,0.268861454,,0.5185185185
Peking UniversityChina,48,42,6,0.125,0.015625,,0.125
University of TokyoJapan,23,43,-20,-0.8695652174,0.7561436673,,0.8695652174
University of Hong KongHong Kong,43,44,-1,-0.023255814,0.0005408329,,0.023255814
"University of California, DavisUnited States of America",55,44,11,0.2,0.04,,0.2
University of Texas at AustinUnited States of America,28,46,-18,-0.6428571429,0.4132653061,,0.6428571429
Tsinghua UniversityChina,49,47,2,0.0408163265,0.0016659725,,0.0408163265
Wageningen University and Research CenterNetherlands,73,47,26,0.3561643836,0.1268530681,,0.3561643836
Humboldt University of BerlinGermany,80,49,31,0.3875,0.15015625,,0.3875
University of Wisconsin-MadisonUnited States of America,29,50,-21,-0.724137931,0.5243757432,,0.724137931
Brown UniversityUnited States of America,54,51,3,0.0555555556,0.0030864198,,0.0555555556
Australian National UniversityAustralia,45,52,-7,-0.1555555556,0.0241975309,,0.1555555556
Technical University of MunichGermany,98,53,45,0.4591836735,0.210849646,,0.4591836735
École Normale SupérieureFrance,78,54,24,0.3076923077,0.0946745562,,0.3076923077
Nanyang Technological UniversitySingapore,61,55,6,0.0983606557,0.0096748186,,0.0983606557
University of ManchesterUnited Kingdom,52,56,-4,-0.0769230769,0.0059171598,,0.0769230769
University of SydneyAustralia,60,56,4,0.0666666667,0.0044444444,,0.0666666667
University of AmsterdamNetherlands,77,58,19,0.2467532468,0.0608871648,,0.2467532468
Hong Kong University of Science and TechnologyHong Kong,51,59,-8,-0.1568627451,0.0246059208,,0.1568627451
Washington University in St LouisUnited States of America,42,60,-18,-0.4285714286,0.1836734694,,0.4285714286
The University of QueenslandAustralia,65,60,5,0.0769230769,0.0059171598,,0.0769230769
Utrecht UniversityNetherlands,79,62,17,0.2151898734,0.0463066816,,0.2151898734
University of North Carolina at Chapel HillUnited States of America,46,63,-17,-0.3695652174,0.1365784499,,0.3695652174
Boston UniversityUnited States of America,57,64,-7,-0.1228070175,0.0150815636,,0.1228070175
University of MinnesotaUnited States of America,46,65,-19,-0.4130434783,0.1706049149,,0.4130434783
Delft University of TechnologyNetherlands,71,65,6,0.0845070423,0.0071414402,,0.0845070423
Leiden UniversityNetherlands,64,67,-3,-0.046875,0.0021972656,,0.046875
University of Southern CaliforniaUnited States of America,75,68,7,0.0933333333,0.0087111111,,0.0933333333
University of BristolUnited Kingdom,74,69,5,0.0675675676,0.0045653762,,0.0675675676
Durham UniversityUnited Kingdom,83,70,13,0.156626506,0.0245318624,,0.156626506
Erasmus University RotterdamNetherlands,72,71,1,0.0138888889,0.0001929012,,0.0138888889
Free University of BerlinGermany,81,72,9,0.1111111111,0.012345679,,0.1111111111
Monash UniversityAustralia,83,73,10,0.1204819277,0.0145158949,,0.1204819277
University of GroningenNetherlands,117,74,43,0.3675213675,0.1350719556,,0.3675213675
Pennsylvania State UniversityUnited States of America,58,75,-17,-0.2931034483,0.0859096314,,0.2931034483
University of GlasgowUnited Kingdom,94,76,18,0.1914893617,0.0366681756,,0.1914893617
University of HelsinkiFinland,103,76,27,0.2621359223,0.0687152418,,0.2621359223
