University,Rank12,Rank13,R12-R13,D2/ R12,E2^2,,ABS
California Institute of TechnologyUnited States of America,1,1,0,0,0,,0
Stanford UniversityUnited States of America,2,2,0,0,0,,0
University of OxfordUnited Kingdom,4,2,2,0.5,0.25,,0.5
Harvard UniversityUnited States of America,2,4,-2,-1,1,,1
Massachusetts Institute of TechnologyUnited States of America,7,5,2,0.2857142857,0.0816326531,,0.2857142857
Princeton UniversityUnited States of America,5,6,-1,-0.2,0.04,,0.2
University of CambridgeUnited Kingdom,6,7,-1,-0.1666666667,0.0277777778,,0.1666666667
Imperial College LondonUnited Kingdom,8,8,0,0,0,,0
"University of California, BerkeleyUnited States of America",10,9,1,0.1,0.01,,0.1
University of ChicagoUnited States of America,9,10,-1,-0.1111111111,0.012345679,,0.1111111111
Yale UniversityUnited States of America,11,11,0,0,0,,0
ETH Zurich – Swiss Federal Institute of Technology ZurichSwitzerland,15,12,3,0.2,0.04,,0.2
"University of California, Los AngelesUnited States of America",13,13,0,0,0,,0
Columbia UniversityUnited States of America,12,14,-2,-0.1666666667,0.0277777778,,0.1666666667
University of PennsylvaniaUnited States of America,16,15,1,0.0625,0.00390625,,0.0625
Johns Hopkins UniversityUnited States of America,14,16,-2,-0.1428571429,0.0204081633,,0.1428571429
University College LondonUnited Kingdom,17,17,0,0,0,,0
Cornell UniversityUnited States of America,20,18,2,0.1,0.01,,0.1
Northwestern UniversityUnited States of America,26,19,7,0.2692307692,0.0724852071,,0.2692307692
University of MichiganUnited States of America,18,20,-2,-0.1111111111,0.012345679,,0.1111111111
University of TorontoCanada,19,21,-2,-0.1052631579,0.0110803324,,0.1052631579
Carnegie Mellon UniversityUnited States of America,21,22,-1,-0.0476190476,0.0022675737,,0.0476190476
Duke UniversityUnited States of America,22,23,-1,-0.0454545455,0.0020661157,,0.0454545455
University of WashingtonUnited States of America,25,24,1,0.04,0.0016,,0.04
Georgia Institute of TechnologyUnited States of America,24,25,-1,-0.0416666667,0.0017361111,,0.0416666667
University of Texas at AustinUnited States of America,29,25,4,0.1379310345,0.0190249703,,0.1379310345
University of TokyoJapan,30,27,3,0.1,0.01,,0.1
University of MelbourneAustralia,37,28,9,0.2432432432,0.0591672754,,0.2432432432
National University of SingaporeSingapore,40,29,11,0.275,0.075625,,0.275
University of British ColumbiaCanada,22,30,-8,-0.3636363636,0.132231405,,0.3636363636
University of Wisconsin-MadisonUnited States of America,27,31,-4,-0.1481481481,0.0219478738,,0.1481481481
University of EdinburghUnited Kingdom,36,32,4,0.1111111111,0.012345679,,0.1111111111
University of Illinois at Urbana-ChampaignUnited States of America,31,33,-2,-0.064516129,0.0041623309,,0.064516129
McGill UniversityCanada,28,34,-6,-0.2142857143,0.0459183673,,0.2142857143
University of Hong KongHong Kong,34,35,-1,-0.0294117647,0.0008650519,,0.0294117647
"University of California, Santa BarbaraUnited States of America",35,35,0,0,0,,0
Australian National UniversityAustralia,38,37,1,0.0263157895,0.0006925208,,0.0263157895
"University of California, San DiegoUnited States of America",33,38,-5,-0.1515151515,0.0229568411,,0.1515151515
London School of Economics and Political ScienceUnited Kingdom,47,39,8,0.170212766,0.0289723857,,0.170212766
École Polytechnique Fédérale de LausanneSwitzerland,46,40,6,0.1304347826,0.0170132325,,0.1304347826
New York UniversityUnited States of America,44,41,3,0.0681818182,0.0046487603,,0.0681818182
Karolinska InstituteSweden,32,42,-10,-0.3125,0.09765625,,0.3125
University of North Carolina at Chapel HillUnited States of America,43,42,1,0.023255814,0.0005408329,,0.023255814
"University of California, DavisUnited States of America",38,44,-6,-0.1578947368,0.0249307479,,0.1578947368
Washington University in St LouisUnited States of America,41,44,-3,-0.0731707317,0.005353956,,0.0731707317
Peking UniversityChina,49,46,3,0.0612244898,0.0037484382,,0.0612244898
University of MinnesotaUnited States of America,42,47,-5,-0.119047619,0.0141723356,,0.119047619
LMU MunichGermany,45,48,-3,-0.0666666667,0.0044444444,,0.0666666667
University of ManchesterUnited Kingdom,48,49,-1,-0.0208333333,0.0004340278,,0.0208333333
Pohang University of Science and TechnologySouth Korea,53,50,3,0.0566037736,0.0032039872,,0.0566037736
Brown UniversityUnited States of America,49,51,-2,-0.0408163265,0.0016659725,,0.0408163265
Tsinghua UniversityChina,71,52,19,0.2676056338,0.0716127752,,0.2676056338
Ohio State UniversityUnited States of America,57,53,4,0.0701754386,0.0049245922,,0.0701754386
Kyoto UniversityJapan,52,54,-2,-0.0384615385,0.0014792899,,0.0384615385
Boston UniversityUnited States of America,54,54,0,0,0,,0
University of Southern CaliforniaUnited States of America,55,56,-1,-0.0181818182,0.0003305785,,0.0181818182
King’s College LondonUnited Kingdom,56,57,-1,-0.0178571429,0.0003188776,,0.0178571429
KU LeuvenBelgium,67,58,9,0.1343283582,0.0180441078,,0.1343283582
École Normale SupérieureFrance,59,59,0,0,0,,0
Seoul National UniversitySouth Korea,124,59,65,0.5241935484,0.2747788762,,0.5241935484
Pennsylvania State UniversityUnited States of America,51,61,-10,-0.1960784314,0.0384467512,,0.1960784314
University of SydneyAustralia,58,62,-4,-0.0689655172,0.0047562426,,0.0689655172
École PolytechniqueFrance,63,62,1,0.0158730159,0.0002519526,,0.0158730159
Leiden UniversityNetherlands,79,64,15,0.1898734177,0.0360519148,,0.1898734177
Hong Kong University of Science and TechnologyHong Kong,62,65,-3,-0.0483870968,0.0023413111,,0.0483870968
The University of QueenslandAustralia,74,65,9,0.1216216216,0.0147918188,,0.1216216216
Utrecht UniversityNetherlands,68,67,1,0.0147058824,0.000216263,,0.0147058824
Korea Advanced Institute of Science and Technology (KAIST)South Korea,94,68,26,0.2765957447,0.076505206,,0.2765957447
Purdue UniversityUnited States of America,98,69,29,0.2959183673,0.0875676801,,0.2959183673
University of GöttingenGermany,69,70,-1,-0.0144927536,0.0002100399,,0.0144927536
Wageningen University and Research CenterNetherlands,75,70,5,0.0666666667,0.0044444444,,0.0666666667
University of MassachusettsUnited States of America,64,72,-8,-0.125,0.015625,,0.125
Erasmus University RotterdamNetherlands,157,72,85,0.5414012739,0.2931153394,,0.5414012739
University of BristolUnited Kingdom,66,74,-8,-0.1212121212,0.0146923783,,0.1212121212
