University,Rank14,Rank15,R14-R15,D2/ R14,E2^2,,ABS
California Institute of TechnologyUnited States of America,1,1,0,0,0,,0
Harvard UniversityUnited States of America,2,2,0,0,0,,0
University of OxfordUnited Kingdom,2,3,-1,-0.5,0.25,,0.5
Stanford UniversityUnited States of America,4,4,0,0,0,,0
University of CambridgeUnited Kingdom,7,5,2,0.2857142857,0.0816326531,,0.2857142857
Massachusetts Institute of TechnologyUnited States of America,5,6,-1,-0.2,0.04,,0.2
Princeton UniversityUnited States of America,6,7,-1,-0.1666666667,0.0277777778,,0.1666666667
"University of California, BerkeleyUnited States of America",8,8,0,0,0,,0
Imperial College LondonUnited Kingdom,10,9,1,0.1,0.01,,0.1
Yale UniversityUnited States of America,11,9,2,0.1818181818,0.0330578512,,0.1818181818
University of ChicagoUnited States of America,9,11,-2,-0.2222222222,0.049382716,,0.2222222222
"University of California, Los AngelesUnited States of America",12,12,0,0,0,,0
ETH Zurich – Swiss Federal Institute of Technology ZurichSwitzerland,14,13,1,0.0714285714,0.0051020408,,0.0714285714
Columbia UniversityUnited States of America,13,14,-1,-0.0769230769,0.0059171598,,0.0769230769
Johns Hopkins UniversityUnited States of America,15,15,0,0,0,,0
University of PennsylvaniaUnited States of America,16,16,0,0,0,,0
University of MichiganUnited States of America,18,17,1,0.0555555556,0.0030864198,,0.0555555556
Duke UniversityUnited States of America,17,18,-1,-0.0588235294,0.0034602076,,0.0588235294
Cornell UniversityUnited States of America,19,19,0,0,0,,0
University of TorontoCanada,20,20,0,0,0,,0
Northwestern UniversityUnited States of America,22,21,1,0.0454545455,0.0020661157,,0.0454545455
University College LondonUnited Kingdom,21,22,-1,-0.0476190476,0.0022675737,,0.0476190476
University of TokyoJapan,23,23,0,0,0,,0
Carnegie Mellon UniversityUnited States of America,24,24,0,0,0,,0
National University of SingaporeSingapore,26,25,1,0.0384615385,0.0014792899,,0.0384615385
University of WashingtonUnited States of America,25,26,-1,-0.04,0.0016,,0.04
Georgia Institute of TechnologyUnited States of America,28,27,1,0.0357142857,0.0012755102,,0.0357142857
University of Texas at AustinUnited States of America,27,28,-1,-0.037037037,0.0013717421,,0.037037037
University of Illinois at Urbana-ChampaignUnited States of America,29,29,0,0,0,,0
University of Wisconsin-MadisonUnited States of America,30,29,1,0.0333333333,0.0011111111,,0.0333333333
LMU MunichGermany,55,29,26,0.4727272727,0.2234710744,,0.4727272727
University of British ColumbiaCanada,31,32,-1,-0.0322580645,0.0010405827,,0.0322580645
University of MelbourneAustralia,34,33,1,0.0294117647,0.0008650519,,0.0294117647
London School of Economics and Political ScienceUnited Kingdom,32,34,-2,-0.0625,0.00390625,,0.0625
École Polytechnique Fédérale de LausanneSwitzerland,37,34,3,0.0810810811,0.0065741417,,0.0810810811
University of EdinburghUnited Kingdom,39,36,3,0.0769230769,0.0059171598,,0.0769230769
"University of California, Santa BarbaraUnited States of America",33,37,-4,-0.1212121212,0.0146923783,,0.1212121212
New York UniversityUnited States of America,40,38,2,0.05,0.0025,,0.05
McGill UniversityCanada,35,39,-4,-0.1142857143,0.0130612245,,0.1142857143
King’s College LondonUnited Kingdom,38,40,-2,-0.0526315789,0.0027700831,,0.0526315789
"University of California, San DiegoUnited States of America",40,41,-1,-0.025,0.000625,,0.025
Washington University in St LouisUnited States of America,42,42,0,0,0,,0
University of Hong KongHong Kong,43,43,0,0,0,,0
Karolinska InstituteSweden,36,44,-8,-0.2222222222,0.049382716,,0.2222222222
Australian National UniversityAustralia,48,45,3,0.0625,0.00390625,,0.0625
University of MinnesotaUnited States of America,46,46,0,0,0,,0
University of North Carolina at Chapel HillUnited States of America,47,46,1,0.0212765957,0.0004526935,,0.0212765957
Peking UniversityChina,45,48,-3,-0.0666666667,0.0044444444,,0.0666666667
Tsinghua UniversityChina,50,49,1,0.02,0.0004,,0.02
Seoul National UniversitySouth Korea,44,50,-6,-0.1363636364,0.0185950413,,0.1363636364
Hong Kong University of Science and TechnologyHong Kong,57,51,6,0.1052631579,0.0110803324,,0.1052631579
Korea Advanced Institute of Science and Technology (KAIST)South Korea,56,52,4,0.0714285714,0.0051020408,,0.0714285714
University of ManchesterUnited Kingdom,58,52,6,0.1034482759,0.0107015458,,0.1034482759
Brown UniversityUnited States of America,52,54,-2,-0.0384615385,0.0014792899,,0.0384615385
"University of California, DavisUnited States of America",52,55,-3,-0.0576923077,0.0033284024,,0.0576923077
KU LeuvenBelgium,61,55,6,0.0983606557,0.0096748186,,0.0983606557
Boston UniversityUnited States of America,50,57,-7,-0.14,0.0196,,0.14
Pennsylvania State UniversityUnited States of America,49,58,-9,-0.1836734694,0.0337359434,,0.1836734694
Kyoto UniversityJapan,52,59,-7,-0.1346153846,0.0181213018,,0.1346153846
University of SydneyAustralia,72,60,12,0.1666666667,0.0277777778,,0.1666666667
École PolytechniqueFrance,70,61,9,0.1285714286,0.0165306122,,0.1285714286
Nanyang Technological UniversitySingapore,76,61,15,0.1973684211,0.0389542936,,0.1973684211
Leiden UniversityNetherlands,67,64,3,0.0447761194,0.0020049009,,0.0447761194
The University of QueenslandAustralia,63,65,-2,-0.0317460317,0.0010078105,,0.0317460317
Pohang University of Science and TechnologySouth Korea,60,66,-6,-0.1,0.01,,0.1
University of GöttingenGermany,63,67,-4,-0.0634920635,0.0040312421,,0.0634920635
Ohio State UniversityUnited States of America,59,68,-9,-0.1525423729,0.0232691755,,0.1525423729
Rice UniversityUnited States of America,65,69,-4,-0.0615384615,0.0037869822,,0.0615384615
Heidelberg UniversityGermany,68,70,-2,-0.0294117647,0.0008650519,,0.0294117647
Delft University of TechnologyNetherlands,69,71,-2,-0.0289855072,0.0008401596,,0.0289855072
Erasmus University RotterdamNetherlands,73,72,1,0.0136986301,0.0001876525,,0.0136986301
Wageningen University and Research CenterNetherlands,77,73,4,0.0519480519,0.0026986001,,0.0519480519
University of BristolUnited Kingdom,79,74,5,0.0632911392,0.0040057683,,0.0632911392
University of Southern CaliforniaUnited States of America,70,75,-5,-0.0714285714,0.0051020408,,0.0714285714
University of BaselSwitzerland,74,75,-1,-0.0135135135,0.000182615,,0.0135135135
University of AmsterdamNetherlands,83,77,6,0.0722891566,0.0052257222,,0.0722891566
École Normale SupérieureFrance,65,78,-13,-0.2,0.04,,0.2
Utrecht UniversityNetherlands,74,79,-5,-0.0675675676,0.0045653762,,0.0675675676
Humboldt University of BerlinGermany,94,80,14,0.1489361702,0.0221819828,,0.1489361702
Free University of BerlinGermany,86,81,5,0.0581395349,0.0033802055,,0.0581395349
Michigan State UniversityUnited States of America,83,82,1,0.0120481928,0.0001451589,,0.0120481928
Durham UniversityUnited Kingdom,80,83,-3,-0.0375,0.00140625,,0.0375
Monash UniversityAustralia,91,83,8,0.0879120879,0.0077285352,,0.0879120879
University of Notre DameUnited States of America,90,86,4,0.0444444444,0.0019753086,,0.0444444444
University of ArizonaUnited States of America,103,86,17,0.1650485437,0.0272410218,,0.1650485437
Tufts UniversityUnited States of America,80,88,-8,-0.1,0.01,,0.1
"University of California, IrvineUnited States of America",93,88,5,0.0537634409,0.0028905076,,0.0537634409
Ghent UniversityBelgium,85,90,-5,-0.0588235294,0.0034602076,,0.0588235294
University of PittsburghUnited States of America,78,91,-13,-0.1666666667,0.0277777778,,0.1666666667
University of MassachusettsUnited States of America,132,91,41,0.3106060606,0.0964761249,,0.3106060606
Emory UniversityUnited States of America,80,93,-13,-0.1625,0.02640625,,0.1625
McMaster UniversityCanada,92,94,-2,-0.0217391304,0.0004725898,,0.0217391304
University of GlasgowUnited Kingdom,117,94,23,0.1965811966,0.0386441668,,0.1965811966
Vanderbilt UniversityUnited States of America,88,96,-8,-0.0909090909,0.0082644628,,0.0909090909
University of Colorado BoulderUnited States of America,97,97,0,0,0,,0
Technical University of MunichGermany,87,98,-11,-0.1264367816,0.0159862597,,0.1264367816
Stockholm UniversitySweden,103,98,5,0.0485436893,0.0023564898,,0.0485436893
Uppsala UniversitySweden,111,98,13,0.1171171171,0.0137164191,,0.1171171171
Maastricht UniversityNetherlands,98,101,-3,-0.0306122449,0.0009371095,,0.0306122449
Purdue UniversityUnited States of America,62,102,-40,-0.6451612903,0.4162330905,,0.6451612903
Pierre and Marie Curie UniversityFrance,96,103,-7,-0.0729166667,0.0053168403,,0.0729166667
University of HelsinkiFinland,100,103,-3,-0.03,0.0009,,0.03
University of ZurichSwitzerland,121,103,18,0.1487603306,0.022129636,,0.1487603306
University of WarwickUnited Kingdom,141,103,38,0.2695035461,0.0726321614,,0.2695035461
Queen Mary University of LondonUnited Kingdom,114,107,7,0.0614035088,0.0037703909,,0.0614035088
University of GenevaSwitzerland,124,107,17,0.1370967742,0.0187955255,,0.1370967742
University of New South WalesAustralia,114,109,5,0.0438596491,0.0019236688,,0.0438596491
"University of California, Santa CruzUnited States of America",136,109,27,0.1985294118,0.0394139273,,0.1985294118
University of St AndrewsUnited Kingdom,117,111,6,0.0512820513,0.0026298488,,0.0512820513
University of SussexUnited Kingdom,121,111,10,0.0826446281,0.0068301346,,0.0826446281
University of YorkUnited Kingdom,100,113,-13,-0.13,0.0169,,0.13
University of MontrealCanada,106,113,-7,-0.0660377358,0.0043609826,,0.0660377358
Case Western Reserve UniversityUnited States of America,88,116,-28,-0.3181818182,0.1012396694,,0.3181818182
University of GroningenNetherlands,98,117,-19,-0.193877551,0.0375885048,,0.193877551
"Royal Holloway, University of LondonUnited Kingdom",102,118,-16,-0.1568627451,0.0246059208,,0.1568627451
Lund UniversitySweden,123,119,4,0.0325203252,0.0010575716,,0.0325203252
Paris-Sud UniversityFrance,114,120,-6,-0.0526315789,0.0027700831,,0.0526315789
University of RochesterUnited States of America,95,121,-26,-0.2736842105,0.0749030471,,0.2736842105
University of SheffieldUnited Kingdom,112,121,-9,-0.0803571429,0.0064572704,,0.0803571429
Technical University of DenmarkDenmark,117,121,-4,-0.0341880342,0.0011688217,,0.0341880342
University of AlbertaCanada,109,124,-15,-0.1376146789,0.0189377998,,0.1376146789
University of Cape TownSouth Africa,126,124,2,0.0158730159,0.0002519526,,0.0158730159
KTH Royal Institute of TechnologySweden,117,126,-9,-0.0769230769,0.0059171598,,0.0769230769
University of FloridaUnited States of America,128,126,2,0.015625,0.0002441406,,0.015625
Boston CollegeUnited States of America,135,126,9,0.0666666667,0.0044444444,,0.0666666667
Chinese University of Hong KongHong Kong,109,129,-20,-0.1834862385,0.0336671997,,0.1834862385
University of VirginiaUnited States of America,112,130,-18,-0.1607142857,0.0258290816,,0.1607142857
Lancaster UniversityUnited Kingdom,137,131,6,0.0437956204,0.0019180564,,0.0437956204
"University of Maryland, College ParkUnited States of America",108,132,-24,-0.2222222222,0.049382716,,0.2222222222
University of SouthamptonUnited Kingdom,146,132,14,0.095890411,0.0091949709,,0.095890411
University of BernSwitzerland,157,132,25,0.1592356688,0.0253559982,,0.1592356688
University of LausanneSwitzerland,132,136,-4,-0.0303030303,0.0009182736,,0.0303030303
VU University AmsterdamNetherlands,144,136,8,0.0555555556,0.0030864198,,0.0555555556
Trinity College DublinRepublic of Ireland,129,138,-9,-0.0697674419,0.0048674959,,0.0697674419
Boğaziçi UniversityTurkey,199,139,60,0.3015075377,0.0909067953,,0.3015075377
Radboud University NijmegenNetherlands,131,140,-9,-0.0687022901,0.0047200047,,0.0687022901
Tokyo Institute of TechnologyJapan,125,141,-16,-0.128,0.016384,,0.128
Colorado School of MinesUnited States of America,139,141,-2,-0.0143884892,0.0002070286,,0.0143884892
Texas A&M UniversityUnited States of America,159,141,18,0.1132075472,0.0128159487,,0.1132075472
"Rutgers, the State University of New JerseyUnited States of America",103,144,-41,-0.3980582524,0.1584503723,,0.3980582524
Eindhoven University of TechnologyNetherlands,106,144,-38,-0.358490566,0.1285154859,,0.358490566
University of LeedsUnited Kingdom,139,146,-7,-0.0503597122,0.0025361006,,0.0503597122
Brandeis UniversityUnited States of America,164,147,17,0.1036585366,0.0107450922,,0.1036585366
University of BirminghamUnited Kingdom,153,148,5,0.0326797386,0.0010679653,,0.0326797386
Indiana UniversityUnited States of America,132,150,-18,-0.1363636364,0.0185950413,,0.1363636364
"University of California, RiversideUnited States of America",148,150,-2,-0.0135135135,0.000182615,,0.0135135135
Dartmouth CollegeUnited States of America,126,152,-26,-0.2063492063,0.042579995,,0.2063492063
Aarhus UniversityDenmark,138,153,-15,-0.1086956522,0.0118147448,,0.1086956522
University of ExeterUnited Kingdom,148,154,-6,-0.0405405405,0.0016435354,,0.0405405405
National Taiwan UniversityTaiwan,142,155,-13,-0.0915492958,0.0083812736,,0.0915492958
RWTH Aachen UniversityGermany,129,156,-27,-0.2093023256,0.0438074635,,0.2093023256
Osaka UniversityJapan,144,157,-13,-0.0902777778,0.0081500772,,0.0902777778
University of Western AustraliaAustralia,168,157,11,0.0654761905,0.0042871315,,0.0654761905
University of LiverpoolUnited Kingdom,169,157,12,0.0710059172,0.0050418403,,0.0710059172
University of CopenhagenDenmark,150,160,-10,-0.0666666667,0.0044444444,,0.0666666667
École Normale Supérieure de LyonFrance,156,160,-4,-0.0256410256,0.0006574622,,0.0256410256
University of UtahUnited States of America,143,162,-19,-0.1328671329,0.017653675,,0.1328671329
University of FreiburgGermany,152,163,-11,-0.0723684211,0.0052371884,,0.0723684211
Tohoku UniversityJapan,150,165,-15,-0.1,0.01,,0.1
Karlsruhe Institute of TechnologyGermany,154,165,-11,-0.0714285714,0.0051020408,,0.0714285714
Pompeu Fabra UniversitySpain,164,165,-1,-0.006097561,3.7180249851279E-005,,0.006097561
University of MiamiUnited States of America,185,169,16,0.0864864865,0.0074799123,,0.0864864865
University of AntwerpBelgium,164,170,-6,-0.0365853659,0.001338489,,0.0365853659
University of NottinghamUnited Kingdom,157,171,-14,-0.0891719745,0.007951641,,0.0891719745
Université Catholique de LouvainBelgium,172,171,1,0.0058139535,3.3802055164954E-005,,0.0058139535
Georgetown UniversityUnited States of America,160,173,-13,-0.08125,0.0066015625,,0.08125
University of IowaUnited States of America,161,175,-14,-0.0869565217,0.0075614367,,0.0869565217
University of AucklandNew Zealand,164,175,-11,-0.0670731707,0.0044988102,,0.0670731707
