World Rank-16,University,National Rank-16,Overall-16,Alumini-16,Award-16,HiCi-16,N&S-16,PUB-16,PCP-16
1,Harvard University,1,100,100,100,100,100,100,79.2
2,Stanford University,2,74.7,42.9,89.6,80.1,73.6,73.1,55.8
3,"University of California, Berkeley",3,70.1,65.1,79.4,64.9,68.7,68.4,59
4,University of Cambridge,1,69.6,78.3,96.6,51.3,56.7,67.8,58.5
5,Massachusetts Institute of Technology (MIT),4,69.2,69.4,80.7,55.3,71.7,61.7,69.7
6,Princeton University,5,62,53.3,98,51.3,47.2,42.9,74.4
7,University of Oxford,2,58.9,49.7,54.9,56.2,55,74.5,46.1
8,California Institute of Technology,6,57.8,51,66.7,39.7,57.3,43.6,100
9,Columbia University,7,56.7,63.5,65.9,41,53.3,68.9,33.3
10,University of Chicago,8,54.2,59.8,86.3,34,42.7,50.2,44.5
11,Yale University,9,52.8,47.6,50.4,44.7,58.4,62.6,37.1
12,"University of California, Los Angeles",10,51.5,29.5,47.1,58,44.5,71.4,33.4
13,Cornell University,11,49,42,49.8,41,47,60.5,40.9
14,"University of California, San Diego",12,47.8,19.2,35.5,49.2,57.8,63.5,37
15,University of Washington,13,47.3,21.2,31.6,49.2,52.1,72.6,31
16,Johns Hopkins University,14,46,37.7,33.6,38.4,47,71.9,31.1
17,University College London,3,45.3,28.1,36.2,39.7,41.6,73.9,32.2
18,University of Pennsylvania,15,44.5,31.6,33.8,42.3,39.4,67.7,37.8
19,Swiss Federal Institute of Technology Zurich,1,43.8,29.5,35.5,35.5,50.2,55.6,46.1
20,The University of Tokyo,1,42.2,36.3,25.3,30.8,47.5,70,29.7
21,"University of California, San Francisco",16,41.9,0,39.9,37,52.1,59.3,33.5
22,"The Imperial College of Science, Technology and Medicine",4,41.6,14.5,35.8,43.5,32.9,64,39.9
23,University of Michigan-Ann Arbor,17,40.8,34.4,0,51.3,41.6,76.6,25.8
23,Washington University in St. Louis,17,40.8,22.9,24.9,51.3,42,51.7,37.2
25,Duke University,19,40.4,15.4,19.2,57.1,38.9,62.1,25.9
26,Northwestern University,20,40,15.4,22.1,54.3,35.6,59.6,32.8
27,University of Toronto,1,39.4,19.9,17.2,32.4,38.2,80.1,30.3
28,University of Wisconsin - Madison,21,39.2,32.8,34.8,30.8,35,62.7,24.3
29,New York University,22,38,28.1,31.9,32.4,39.5,57.3,22
30,University of Copenhagen,1,37.7,21.8,18.8,32.4,36.2,65.2,41.9
30,University of Illinois at Urbana-Champaign,23,37.7,29.9,36.2,30.8,33.1,55.1,29.1
32,Kyoto University,2,37.2,31.6,37.2,27.1,31.5,58.4,23.8
33,"University of Minnesota, Twin Cities",24,36.8,29.5,16.3,39.7,32.5,64.8,24.1
34,University of British Columbia,2,36.7,15.4,18.8,42.3,32.7,64.5,27.2
35,The University of Manchester,5,36.4,18.5,32.6,37,26.4,58.4,29
35,University of North Carolina at Chapel Hill,25,36.4,8.9,23.7,39.7,32.6,60.8,33.8
37,Rockefeller University,26,36.1,17,59.8,27.1,41.8,19.3,40
38,University of Colorado at Boulder,27,35.1,12.6,34.1,30.8,36.8,46.2,35.1
39,Pierre and Marie  Curie University - Paris 6,1,34.5,33.6,27.4,20.5,29.7,61.9,25.3
40,The University of Melbourne,1,33.9,17,13.3,35.5,24.8,67.9,32.2
41,The University of Edinburgh,6,33.6,20.5,24.9,32.4,31.3,52.1,26.8
42,"University of California, Santa Barbara",28,33.3,14.5,39.1,32.4,27.3,37.7,38.2
43,The University of Texas Southwestern Medical Center at Dallas,29,32.9,18.5,34.5,30.8,37.6,34.9,27.7
44,Karolinska Institute,1,32.7,25.6,26.6,22.9,25.1,52.6,40.2
44,The University of Texas at Austin,30,32.7,16.2,16.3,29,37,56.3,26.6
46,University of Paris-Sud (Paris 11),2,32.5,30.3,54.3,10.3,17.6,47.9,27.7
47,Heidelberg University,1,32.3,19.9,25.3,22.9,30.6,51.8,34.9
47,Technical University Munich,1,32.3,34.8,21.6,29,23.3,49.7,34.6
49,University of Southern California,31,32.2,0,31.7,35.5,23.4,53.9,26.2
50,King's College London,7,31.6,21.2,21,34,19.6,55.3,27.9
51,University of Munich,3,31.4,25.6,19.1,25.1,29.4,50.3,33.9
52,"University of Maryland, College Park",32,31,19.2,20,22.9,32.8,52.7,27.6
53,University of Geneva,2,30.7,27.1,28.2,25.1,28.6,38.2,32.8
54,University of Zurich,3,30.5,5.1,24,25.1,28.7,53.1,31.7
55,The University of Queensland,2,30.2,12.6,0,34,26,64.6,33.6
56,University of Helsinki,1,29.9,12.6,16.3,32.4,22.8,51.9,33.5
57,University of Bristol,8,29.7,7.3,16.3,29,34.2,46.7,31.5
58,Tsinghua University,1,29.6,10.3,0,27.1,32.5,68.3,23.2
58,"University of California, Irvine",33,29.6,0,29.3,29,28.1,45,26.8
60,Uppsala University,2,29.3,17.8,27.4,17.8,24.8,50.2,28.5
60,Vanderbilt University,34,29.3,15.4,29,25.1,20.4,51,19.9
62,Ghent University,1,29.1,5.1,13.3,32.4,18.6,57.9,35.7
