# RANK      2013,UNIVERSITY,OVERALL SCORE,Academic Reputation,Employer Reputation,Faculty Student,International Faculty,International Students,Citations per Faculty
349,Pontificia Universidad Javeriana,36.8,49.7,67.3,45,8.2,4.1,2.1
351,James Cook University,36.5,22,32.5,36.3,93.6,48,49.7
352,Novosibirsk State University,36.2,32.7,24.8,87.3,4.9,35.3,5.2
353,Rensselaer Polytechnic Institute,36.1,17.3,21.5,41.4,8.4,40.1,81.2
353,Universidade Nova de Lisboa,36.1,35.2,51.7,44.6,46.8,34,19
355,Aix-Marseille University,36,48.1,28.2,27.9,7.7,47.5,27.3
355,Universiti Sains Malaysia (USM),36,48.1,42.6,33.8,20.3,39.3,13.2
355,Universiti Teknologi Malaysia,36,32.2,40.6,62.2,37.1,79.6,3.2
358,Université Paris Dauphine,35.9,35,93.7,18.2,55.6,92.5,6.9
358,University of Coimbra,35.9,46.3,31.5,19.8,6.1,51.2,36.3
360,Brunel University London,35.8,24.4,35.3,28.5,95.6,95.9,35.7
360,King Abdulaziz University (KAU),35.8,38.2,29.2,53.2,77.3,48.7,2.7
362,Ewha Womans University,35.6,30.9,43.7,59.5,23.2,45.7,16.9
363,Nankai University,35.5,37.3,41.2,46.5,3.3,24,28.4
363,Taipei Medical University,35.5,24.7,32.3,56.7,27.9,16,43.4
363,Universität Jena,35.5,32.5,18.2,40,21.4,18.3,52.7
366,Ruhr-Universität Bochum,35.4,35.8,35.2,33.1,42.3,44.4,32.6
366,University of Texas Dallas,35.4,23,26.1,16.2,15.6,70.9,79.3
366,Washington State University,35.4,36.8,20.8,32.2,72.3,19.7,37.2
369,Heriot-Watt University,35.3,19,46,35.3,96.5,99.3,30.7
370,Politecnico di Torino,35.2,42.9,68.6,9.5,2.8,57.8,30.7
370,Universität Bremen,35.2,39.7,28.1,47.9,20.6,35.1,20.3
372,Xi’an Jiaotong University,35.1,27.6,54.3,72.9,9.7,9.5,14.6
373,Tilburg University,34.8,33.5,58.6,21.9,83.3,28.4,27.2
374,"Birkbeck, University of London",34.7,35.4,16.2,17,92.3,78.8,34.1
374,Oxford Brookes University,34.7,36.5,62.9,23.2,60.5,83.7,9.4
376,Jagiellonian University,34.6,42.5,49.5,48.3,5.7,9,10.4
376,University of Kansas,34.6,23.5,25.3,66,23.3,25.3,34.4
376,University of Tampere,34.6,28.8,32.6,62.2,25.2,8.7,27.7
379,University of Florence,34.5,49.3,22.5,24.2,10.6,17,31
380,Deakin University,34.4,34.5,52.1,14.4,91.4,69.5,21.7
380,University of Connecticut,34.4,22.3,22.7,27.3,79,18.5,63.5
380,University of the Philippines,34.4,47.4,65,39.9,2.3,2.5,3
383,Universidad Politècnica de València,34.2,34.7,49.5,56,7.5,16,14.3
384,Sun Yat-sen University,34.1,42.6,40.2,29,13.5,11.8,29.2
385,Université Montpellier 2 Sciences et Techniques,33.9,27.1,19,36.3,16.2,40.9,54.8
386,Moscow State Institute of International Relations (MGIMO University),33.8,15.8,46,98.7,8.3,48.7,1
387,Stellenbosch University,33.7,42.2,43,16.8,27.8,22.8,32.4
387,Tulane University,33.7,17,10.4,67.9,16.3,29,49.4
389,Politécnica de Madrid,33.6,32.7,58.4,51.1,2.9,52.9,7.7
390,Instituto Tecnológico de Buenos Aires (ITBA),33.5,21.8,42.8,98.1,7.9,2.3,1.4
390,La Trobe University,33.5,33.3,38.1,24.9,80.9,77.2,17
390,Université Paul Sabatier Toulouse III,33.5,43.7,0,43.7,15.7,33,23.7
390,"The University of Tennessee, Knoxville",33.5,18,29.7,52,13.8,11.1,57.8
394,Colorado State University,33.4,26.1,43.9,15.4,23.8,10.5,68.5
394,Karl-Franzens-Universitaet Graz,33.4,40.7,30.3,19.4,61.4,30.3,27.3
394,University Duesseldorf,33.4,22.6,18,48.4,5.9,38.7,52.5
397,Northeastern University,33.3,21.5,56.3,34.9,12.5,80.3,36.5
397,University of Naples - Federico II,33.3,42.7,26.3,8.6,1.8,2.1,57.7
399,Aston University,33.2,21.5,46.7,26.4,93.8,93.1,25.8
399,University of Turin,33.2,41,27.4,11.8,4.8,17.1,52.6
401-410,Beihang University (former BUAA),32.6,0,40.7,83,2.1,6.1,10.9
401-410,Indian Institute of Technology Roorkee (IITR),33,0,50.7,33.3,0,0,54.5
401-410,National Central University,33.1,0,0,52,24.9,12.5,35
401-410,Oregon State University,32.6,0,0,33.1,49.7,30.4,52.2
401-410,Sogang University,32.7,0,49.5,62.6,18.7,26.9,10.7
401-410,Universität Regensburg,33,0,0,61.2,34.4,13.7,39.5
401-410,"Université Lille 1, Sciences et Technologies",32.6,0,46.9,34.6,30.9,71.6,21.8
401-410,University of Tasmania,33.1,0,0,39.8,48.1,80.8,28.3
401-410,University of Waikato,32.7,0,52.5,24.8,96.8,79.1,18.7
401-410,Wuhan University,32.6,43.9,45,36.3,0,7,14.3
401-410,York University,32.6,41.2,59,17.5,45,14.7,18
411-420,National Taiwan University of Science and Technology (Taiwan Tech),32.5,0,0,59.5,22.4,23.9,22.4
411-420,The University of Georgia,32.2,32.5,0,27.3,2.1,9.6,51.4
411-420,Universidade Federal de São Paulo,32,0,0,65,11.5,2.4,36.8
411-420,Università degli Studi di Pavia,32.1,35.3,0,15.8,5.3,14.5,55.5
411-420,University of Bayreuth,32,0,0,54.7,38.9,20.9,26.9
411-420,Université Claude Bernard Lyon 1,32.4,42.9,0,23.2,10.4,30.5,42.1
411-420,Université du Québec,32.2,44.6,0,30.5,16.2,28.5,12.3
411-420,Universiti Putra Malaysia (UPM),32,38.7,0,44,13.1,39.4,6.1
411-420,University of Kent,32.1,0,0,32.3,91.4,84.8,14
411-420,University of St.Gallen (HSG),32.3,0,93.5,13.9,100,94.9,15.7
421-430,Bond University,31.8,0,0,64.3,85.7,95.1,7.8
421-430,Florida State University,31.5,33.1,0,18.3,21.2,10,49
421-430,United Arab Emirates University,31.7,0,0,35.2,100,86.1,11.4
421-430,Universidad de San Andrés - UdeSA,31.9,0,46.1,89,12.6,17.4,1.7
421-430,Universidad Nacional de La Plata (UNLP),31.8,52.6,41,27,0,4.4,4.7
421-430,Universität des Saarlandes,31.8,0,0,35.6,44.7,58.1,48.2
421-430,"University of Missouri, Columbia",31.7,0,0,46.6,48.6,13.8,34.9
421-430,University of New Mexico,31.8,0,0,56.3,2.7,8.5,42.9
421-430,University of Saskatchewan,31.7,0,0,45.9,39.6,46.8,32
431-440,American University of Sharjah,31.4,0,49.3,30.4,100,100,8
431-440,Bilkent University,31,0,44.1,36,62.4,5.1,15
431-440,Flinders University,30.8,0,0,54.1,13.9,55.1,23.4
431-440,Hankuk (Korea) University of Foreign Studies,31.3,0,50.8,74,54.3,36.2,1.9
431-440,Middle East Technical University,30.6,39,57,21.6,8,19.9,17.3
431-440,Philipps-Universität Marburg,31.1,0,0,45.7,26.9,38.8,31.6
431-440,Swansea University,31.1,0,0,38.7,71,64,23.1
431-440,Tampere University of Technology,30.7,0,0,74.1,0,37.4,14.6
431-440,Universität Bielefeld,31.4,39.8,0,24.5,28.9,20,31.7
431-440,University of Manitoba,31.1,0,0,45.2,0,61.3,37.3
441-450,Chiba University,30.5,0,0,56.2,6.5,16.2,39.3
441-450,Illinois Institute of Technology,30.3,0,0,30.5,22,99.9,34.7
441-450,Moscow Institute of Physics and Technology (MIPT / Moscow Phystech),30.3,0,0,99.6,11.2,35.9,2.7
441-450,Tallinn University of Technology,30.3,0,46.3,72.3,49.5,26.8,6.7
441-450,Taras Shevchenko National University of Kyiv,30.5,0,0,94.1,2.5,6.5,2.2
441-450,Tokyo University of Science,30.5,0,0,5.5,0,3,77.3
441-450,University of Salamanca,30.4,36.2,42,37.8,3.4,13.2,16.2
441-450,University of Trento,30.4,34.2,0,10.3,29.5,23.5,47.5
441-450,Université de Sherbrooke,30.4,0,0,66.8,0,71.5,16.6
441-450,Université Panthéon-Assas (Paris 2),30.3,0,46.4,74.5,0,78.8,1.1
441-450,University of Delhi,30.3,51.4,75.1,5.2,0,2.3,4.8
451-460,Abo Akademi University,30.1,0,0,54.2,33.3,30.6,24.2
451-460,Czech Technical University in Prague,30.1,0,54.1,42.6,10.9,33.2,7.7
451-460,Leibniz Universität Hannover,29.9,0,39.3,6.3,17.8,40.3,52.9
451-460,Pusan National University,30.2,0,0,47.5,12.4,11.5,18.5
451-460,Shanghai University,30,41.3,41.5,30.7,6.9,3.6,12.7
451-460,Peter the Great Saint-Petersburg Polytechnic University,30,0,0,92.9,1.3,20.2,2.1
451-460,Università Cattolica del Sacro Cuore,30.1,0,51.1,29.8,32.4,16.6,23.4
451-460,University of Genoa,30.2,0,0,8,3,20.1,62
451-460,University of Delaware,29.9,0,0,22.5,41.6,37.5,59.8
461-470,Bandung Institute of Technology (ITB),29.2,44.8,59.4,22.9,0,2.7,2.4
461-470,Bogaziçi Üniversitesi,29.5,0,51.5,26.4,28.9,23.4,19.1
461-470,"Goldsmiths, University of London",29.8,34,0,18.9,86.9,95,6.7
461-470,National Sun Yat-sen University,29.5,0,0,25,12.3,8.2,45.6
461-470,Renmin (People's) University of China,29.6,0,55.7,48.1,8.7,16.7,3.8
461-470,Universidad de Costa Rica,29.7,38.8,0,48.4,0,1.8,2.8
461-470,Universidad de Santiago de Chile (USACH),29.3,47.2,51.3,16,11.9,1.3,6.5
461-470,University of Cincinnati,29.4,0,0,47.4,21,17.6,51.9
461-470,University of Guelph,29.2,0,39.6,19.4,54.2,18.4,43.1
461-470,University of Tartu,29.6,0,0,48.8,22.1,8.2,20.2
471-480,American University,29,0,45.4,47.4,14.9,41.4,6.2
471-480,Aristotle University of Thessaloniki,28.9,39.5,46.1,7.9,2.1,14.2,30.1
471-480,Auckland University of Technology (AUT),28.9,0,52,34.4,87.5,56.5,7.3
471-480,Bangor University,29.1,0,0,34.3,72.1,75.6,30.8
471-480,Charles Darwin University,29,0,0,24.4,67.8,68.8,52
471-480,Kansas State University,29,0,0,6.7,21.1,24.8,82.7
471-480,"Kingston University, London",29.1,0,54.7,16.2,58.8,96.9,5.7
471-480,Universitat de Valencia,29,40.4,0,22.5,2.4,14.7,26.6
471-480,Université Montpellier 1,28.9,0,0,20.4,21.5,49.1,23.2
471-480,University of Pretoria,28.9,40.3,47.2,19,12.8,24.6,11.4
481-490,Concordia University,28.7,0,43,15.5,62.1,85.3,17.4
481-490,Drexel University,28.6,0,40.5,44.7,35.8,47.6,37.8
481-490,Lincoln University,28.8,0,0,83.4,0,0,23.1
481-490,National Taiwan Normal University,28.7,33.5,0,43.7,18.1,19.4,10
481-490,National University of Sciences And Technology (NUST) Islamabad,28.7,0,43.9,79,5.2,4.8,2.7
481-490,Swinburne University of Technology,28.7,0,48.9,14.8,73.2,99.3,25.3
481-490,Tongji University,28.8,33.3,49.6,38.4,3.4,9.1,10.5
481-490,Universidad de Zaragoza,28.6,0,0,52.9,7,6.5,16
481-490,Universidade Federal de Minas Gerais,28.6,37.8,0,33.3,15,3.1,17.7
481-490,Universität Duisburg-Essen,28.8,0,0,27.8,29.4,55.2,41
481-490,University of Kentucky,28.7,0,0,35.2,7.4,12.4,58.8
481-490,University of Oklahoma,28.8,0,0,51.4,29.3,16.2,35.3
491-500,Al-Imam Muhammed Ibn Saud Islamic University,28.4,0,0,76.6,99.3,48.7,1
491-500,Harbin Institute of Technology,28.5,0,43.1,41.3,0,6.6,30.3
491-500,RUDN University,28.4,0,0,84.5,1.7,93.7,1.2
491-500,UNESP,28.4,0,0,44.7,5.8,3.3,13.9
491-500,Université Nice Sophia Antipolis,28.5,0,0,28.4,21.9,64.9,29.5
491-500,University of Crete,28.4,0,0,15.3,4.9,18.2,58.4
491-500,University of Milano-Bicocca,28.4,0,0,7.3,0,13.1,64.6
491-500,University of Nebraska-Lincoln,28.4,0,0,35.5,46.2,27.7,36.3
501-550,Ateneo de Manila University,,34.2,61.1,0,0,0,0
501-550,Beijing Institute of Technology,,0,53.8,41.7,0,0,0
501-550,Carleton University,,0,0,0,34,57.9,30.8
501-550,Chang Gung University,,0,0,58.1,0,0,58.9
501-550,Chung-Ang University (CAU),,0,0,64.5,0,35.3,0
501-550,City University of New York,,48.8,0,0,0,0,0
501-550,College of William & Mary,,0,43.6,46.8,0,0,30.2
501-550,Dublin Institute of Technology,,0,0,42.7,45.4,75.7,0
501-550,Huazhong University of Science and Technology,,0,0,62.1,0,0,0
501-550,International Islamic University Malaysia (IIUM),,0,0,0,56.3,78.7,0
501-550,Johannes Kepler University Linz,,0,0,0,84.5,37.8,0
501-550,Justus-Liebig-University Giessen,,0,0,0,26.3,0,42.6
501-550,Kanazawa University,,0,0,0,0,0,55.9
501-550,Keele University,,0,0,0,64.4,70.4,36.9
501-550,Koc University,,0,40.6,0,65.9,0,0
501-550,Louisiana State University,,0,0,0,0,0,71
501-550,National and Kapodistrian University of Athens,,0,41.6,0,0,0,49.7
501-550,"National Research University Higher School of Economics (HSE, Moscow)",,0,0,90,0,0,0
501-550,National Technical University of Athens,,0,59.7,0,0,0,34.1
501-550,Okayama University,,0,0,74.1,0,0,34.7
501-550,Sabanci University,,0,0,46.9,40.8,0,0
501-550,Southeast University,,0,0,51.8,0,0,0
501-550,Sultan Qaboos University,,0,0,63.9,100,0,0
501-550,Technische Universität Braunschweig,,0,0,45.9,0,34.8,0
501-550,TU Dortmund University,,0,45.2,0,0,34.6,0
501-550,The Catholic University of Korea,,0,0,90.5,0,0,0
501-550,Tianjin University,,0,39.7,44.2,0,0,0
501-550,Tokyo Metropolitan University,,0,0,0,0,0,60.7
501-550,Universidad de Antioquia,,38.8,0,0,0,0,0
501-550,University of Granada,,41.2,0,0,0,30.9,0
501-550,Universidad de Palermo (UP),,0,42,47.3,40.3,91.3,0
501-550,Universidad Nacional de Córdoba - UNC,,48.6,46.6,0,0,0,0
501-550,Universidade de Santiago de Compostela,,33,0,0,0,0,31.4
501-550,Universidade Federal do Rio Grande Do Sul,,39,0,0,0,0,0
501-550,University of Siena,,0,0,0,0,0,65.8
501-550,University of Trieste,,0,0,0,0,0,66.4
501-550,Gadjah Mada University,,42.4,39.6,0,0,0,0
501-550,University of  Lorraine,,0,0,44,0,49.2,0
501-550,Université de Rennes 1,,0,0,0,0,36.8,0
501-550,University of Alabama,,0,0,0,40.7,0,56.6
501-550,University of Bradford,,0,0,0,54.2,93.4,0
501-550,University of Hull,,0,0,0,69.1,70.1,32.7
501-550,University of Kwazulu-Natal,,0,0,0,81.6,0,0
501-550,University of Limerick,,0,48.5,0,95.4,0,0
501-550,University of South Florida,,0,0,0,35.2,0,67.8
501-550,University of Stirling,,0,0,0,80.7,71.8,0
501-550,University of Szeged,,0,0,42.4,0,0,0
501-550,University of Vermont,,0,0,60.3,0,0,48.9
501-550,Ural Federal University,,0,0,93.6,0,0,0
501-550,Xiamen University,,32.6,0,0,0,0,0
501-550,Yokohama City University,,0,0,99.2,0,0,0
551-600,Aberystwyth University,,0,0,0,62.8,60.7,0
551-600,Belarus State University,,0,0,73.6,0,0,0
551-600,Cairo University,,42.4,56.5,0,0,0,0
551-600,Chiang Mai University,,0,0,0,0,0,0
551-600,Chonbuk National University,,0,0,48.7,0,0,0
551-600,Eötvös Lorànd University,,0,0,0,0,0,0
551-600,Inha University,,0,0,69,0,0,0
551-600,Instituto Politécnico Nacional (IPN),,0,49.2,42.8,0,0,0
551-600,Istanbul Technical University,,0,52.7,0,0,0,0
551-600,Kumamoto University,,0,0,50.5,0,0,35.6
551-600,Kyungpook National University,,0,0,0,0,0,0
551-600,Lehigh University,,0,0,42.6,0,49.7,42
551-600,"Lingnan University, Hong Kong",,0,0,46.3,100,51.3,0
551-600,Masaryk University,,0,0,0,25.6,57.2,0
551-600,Michigan Technological University,,0,0,43.7,30.1,50.4,0
551-600,Murdoch University,,0,0,0,89.5,48.1,0
551-600,Nagasaki University,,0,0,84.1,0,0,0
551-600,National Chung Hsing University,,0,0,0,0,0,42.6
551-600,National Taipei University of Technology,,0,0,52.4,0,0,0
551-600,Maynooth University,,0,0,0,81.6,0,0
551-600,New Jersey Institute of Technology (NJIT),,0,0,92.1,0,61.3,0
551-600,The New School,,0,0,61.9,0,90.6,0
551-600,Osaka City University,,0,0,0,0,0,57.5
551-600,Pontificia Universidad Católica del Perú,,39.7,0,0,0,0,0
551-600,Pontifícia Universidade Católica de São Paulo,,0,51.4,52.6,0,0,0
551-600,Pontifícia Universidade Católica do Rio de Janeiro,,38.2,0,0,0,0,0
551-600,Qatar University,,0,0,0,100,99.9,0
551-600,Rhodes University,,0,0,0,0,80.9,39.1
551-600,"Rutgers - The State University of New Jersey, Newark",,0,0,0,0,0,0
551-600,Temple University,,0,0,0,0,0,0
551-600,Tokyo University of Agriculture and Technology,,0,0,0,0,0,38
551-600,National Research Tomsk Polytechnic University,,0,0,75.3,0,41.2,0
551-600,Tomsk State University,,0,0,58.2,0,0,0
551-600,Umm Al-Qura University,,0,0,66,98.3,0,0
551-600,Universidad Católica Andres Bello,,34.5,45,0,0,0,0
551-600,Universidad Central de Venezuela,,33.3,45.5,0,0,0,0
551-600,Universidad de Belgrano,,0,0,41.6,0,78.4,0
551-600,Universidad de Concepción,,34.2,39.7,0,0,0,0
551-600,Universidad de Sevilla,,39.9,0,0,0,0,0
551-600,Universidade Católica Portuguesa - UCP,,0,50.8,43.2,0,0,0
551-600,Universidade de Brasília,,32.6,0,0,28.1,0,0
551-600,University of Houston,,0,0,0,0,0,40.2
551-600,University of Lisbon,,35.5,0,0,0,0,0
551-600,University of Ljubljana,,0,0,0,0,0,0
551-600,University of New Hampshire,,0,0,61.2,0,0,30.7
551-600,University of Oregon,,0,0,0,41.2,0,0
551-600,University of Seoul,,0,0,45.8,0,0,0
551-600,University of South Carolina,,0,0,0,0,0,0
551-600,Virginia Commonwealth University,,0,0,49.7,0,0,44.9
601-650,Abu Dhabi University,,0,0,0,100,100,0
601-650,Ain Shams University,,0,50.9,0,0,0,0
601-650,Ajou University,,0,0,71.8,0,0,0
601-650,De La Salle University,,0,59.7,0,0,0,0
601-650,Dongguk University,,0,0,59,24.7,32.7,0
601-650,George Mason University,,0,0,54.5,0,0,0
601-650,Gifu University,,0,0,77.4,0,0,0
601-650,Hacettepe University,,0,0,49.9,0,0,0
601-650,Howard University,,0,0,66,0,0,0
601-650,Indian Institute of Technology Guwahati (IITG),,0,0,0,0,0,33.1
601-650,Jilin University,,0,0,50.3,0,0,0
601-650,Kazan (Volga region) Federal University,,0,0,57.7,0,0,0
601-650,King Khalid University,,0,0,0,100,0,0
601-650,Loyola University Chicago,,0,0,0,0,0,43
601-650,Martin-Luther-Universität Halle-Wittenberg,,0,0,0,33.3,0,0
601-650,Memorial University of Newfoundland,,0,0,47.7,0,0,0
601-650,Missouri University of Science and Technology,,0,0,0,78.2,51.3,35.5
601-650,National Chengchi University,,0,0,0,0,0,0
601-650,"National Technical University of Ukraine ""Kyiv Polytechnic Institute""",,0,0,69.2,0,0,0
601-650,Niigata University,,0,0,69.8,0,0,0
601-650,Oklahoma State University,,0,0,0,48.9,0,33.6
601-650,Osaka Prefecture University,,0,0,61,0,0,0
601-650,Paris Lodron University of Salzburg,,0,0,0,0,93.5,0
601-650,Sharif University of Technology,,0,0,0,0,0,47.7
601-650,Smith College,,0,0,63,0,0,0
601-650,Southern Federal University,,0,0,79.1,0,0,0
601-650,Syracuse University,,0,0,0,0,51.8,0
601-650,Thammasat University,,0,42.7,0,0,0,0
601-650,Universidad de Guadalajara (UDG),,0,0,59.5,0,0,0
601-650,Universidad de la República (UdelaR),,0,0,0,0,0,0
601-650,Universidad Iberoamericana (UIA),,0,50.8,0,0,0,0
601-650,Universidad Torcuato Di Tella,,0,40.6,0,36.7,0,0
601-650,Universidade Federal da Bahia,,0,0,79.9,0,0,0
601-650,Universidade Federal de São Carlos (UFSCAR),,0,0,45.3,0,0,0
601-650,Universidade Federal de Viçosa-UFV,,0,0,82.2,0,0,0
601-650,Università degli Studi di Perugia,,0,0,0,0,0,55.8
601-650,Université de Nantes,,0,0,0,0,34.9,0
601-650,Université Saint-Joseph de Beyrouth,,0,0,92.9,0,0,0
601-650,University at Albany SUNY,,0,0,0,0,0,48.4
601-650,University of Canberra,,0,0,0,0,60.2,0
601-650,University of Debrecen,,0,0,0,0,0,0
601-650,University of Johannesburg,,0,39.8,0,29,0,0
601-650,University of Mumbai,,0,54.7,0,0,0,50.6
601-650,University of Patras,,0,0,0,0,0,42.4
601-650,University of Tehran,,0,42.7,0,0,0,0
601-650,University of Ulsan,,0,0,66.8,0,0,0
601-650,Ulster University,,0,0,0,95.9,0,0
601-650,University of Zagreb,,0,0,53.4,0,0,0
601-650,Vilnius University,,0,0,58.3,0,0,0
601-650,Warsaw University of Technology,,0,52,0,0,0,0
601-650,Worcester Polytechnic Institute,,0,0,0,24.3,70.3,0
651-700,Al Azhar University,,0,0,50.3,0,0,0
651-700,Bar-Ilan University,,0,0,0,47.3,0,0
651-700,Brno University of Technology,,0,44.1,0,31.1,43.7,0
651-700,Chonnam National University,,0,0,50.2,0,0,0
651-700,Chungnam National University,,0,0,43.6,0,0,0
651-700,Clark University,,0,0,0,0,74.4,0
651-700,Clarkson University,,0,0,0,42.4,0,40.5
651-700,Corvinus University of Budapest,,0,63.8,0,0,31.3,0
651-700,Gunma University,,0,0,53.5,0,0,38.2
651-700,Hallym University,,0,0,75.3,0,0,0
651-700,Instituto Tecnológico Autónomo de México (ITAM),,0,46.9,0,0,0,0
651-700,Istanbul University,,0,0,0,0,0,0
651-700,Jordan University of Science & Technology,,0,48.6,0,0,81.3,0
651-700,Kasetsart University,,33.1,0,0,0,0,0
651-700,Kazakh-British Technical University,,0,0,52.3,39.6,0,0
651-700,Khazar University,,0,0,46.9,44.4,30.7,0
651-700,London Metropolitan University,,0,0,0,75.4,99.8,0
651-700,Middlesex University,,0,0,0,84.5,99.7,0
651-700,Pontificia Universidad Católica de Valparaíso,,0,42.4,0,0,0,0
651-700,Pontifícia Universidade Católica do Rio Grande do Sul (PUCRS),,0,0,49.5,0,0,0
651-700,Qafqaz University,,0,0,0,62.2,40.3,0
651-700,Ritsumeikan University,,0,0,0,41.2,0,0
651-700,Shandong University,,0,0,0,0,0,0
651-700,Sofia University St. Kliment Ohridski,,0,0,52.3,0,0,0
651-700,Auezov South Kazakhstan State University (SKSU),,0,0,70.9,0,0,0
651-700,Southern Methodist University,,0,0,49.7,0,31.8,0
651-700,Universidad Adolfo Ibàñez,,0,63.1,0,25,0,0
651-700,Universidad Autónoma del Estado de México (UAEMex),,0,0,0,0,0,0
651-700,Universidad Autónoma Metropolitana (UAM),,0,0,0,0,0,0
651-700,Universidad de Alcalá,,0,0,0,0,46.2,0
651-700,Universidad Nacional Costa Rica,,0,0,0,0,0,0
651-700,Universidad Nacional de Mar del Plata,,0,0,0,0,0,0
651-700,Universidad Peruana Cayetano Heredia (UPCH),,0,0,54.7,0,0,0
651-700,Universidad Simón Bolívar (USB),,0,0,0,0,0,0
651-700,Universidade Federal de Santa Catarina,,0,0,0,0,0,0
651-700,Universidade Federal do Paraná - UFPR,,0,0,51,0,0,0
651-700,Universidade Federal Fluminense,,0,0,54.3,0,0,0
651-700,University of Modena and Reggio Emilia,,0,0,0,0,0,42.4
651-700,Université Lumière Lyon 2,,0,0,0,29,46.7,0
651-700,Université Toulouse 1 Capitole,,0,0,0,58.8,57.4,0
651-700,University of Denver,,0,0,48.5,0,0,0
651-700,"University of Economics, Prague",,0,60.3,0,100,54.8,0
651-700,University of Hertfordshire,,0,0,0,39.9,88.8,0
651-700,Plymouth University,,0,0,0,42.7,38.2,0
651-700,University of Salford,,0,0,0,33.8,82.7,0
651-700,University of Science and Technology Beijing,,0,0,0,0,0,0
651-700,Western Sydney University,,0,0,0,0,30.4,0
651-700,Yamaguchi University,,0,0,72.6,0,0,0
651-700,Yokohama National University,,0,0,0,0,0,0
701+,Airlangga University,,0,0,0,0,0,0
701+,Alexandria University,,0,0,0,0,0,0
701+,Alexandru Ioan Cuza University,,0,0,0,32.5,0,0
701+,Alpen-Adria-Universitaet Klagenfurt,,0,0,0,69.4,49.1,0
701+,Aoyama Gakuin University,,0,0,0,0,0,0
701+,Athens University of Economics and Business,,0,55.8,0,0,0,0
701+,Auburn University,,0,0,0,0,0,0
701+,Babes-Bolyai University,,0,0,0,0,0,0
701+,Baku State University,,0,0,43.6,0,0,0
701+,Baylor University,,0,0,0,0,0,31.7
701+,BELARUSSIAN NATIONAL TECHNICAL UNIVERSITY,,0,0,0,0,0,0
701+,Benemérita Universidad Autónoma de Puebla,,0,0,0,0,0,0
701+,Binghamton University SUNY,,0,0,0,0,46.2,0
701+,Bogor Agricultural University,,0,0,0,0,0,0
701+,Brigham Young University,,0,0,0,0,0,0
701+,Clemson University,,0,0,0,0,0,33.6
701+,Coventry University,,0,0,0,41.6,96.7,0
701+,Cukurova University,,0,0,0,0,0,0
701+,Diponegoro University,,0,0,0,0,0,0
701+,Vasyl` Stus Donetsk National University,,0,0,49.8,0,0,0
701+,Doshisha University,,0,0,0,23.5,0,0
701+,Karaganda State University named after academician E.A.Buketov,,0,0,0,0,0,0
701+,Far Eastern Federal University,,0,0,50.5,0,0,0
701+,Fordham University,,0,0,0,0,0,0
701+,Fu Jen Catholic University,,0,0,0,0,0,0
701+,Georgia State University,,0,0,0,0,0,0
701+,Kagoshima University,,0,0,50.2,0,0,0
701+,Kaunas University of Technology,,0,0,0,0,0,0
701+,Kazakh Ablai khan University of International Relations and World Languages,,0,0,47.7,0,0,0
701+,Kazakh National Pedagogical University named after Abay,,0,0,53,0,0,0
701+,Kazakh National Technical University named after K.I.Satpaev,,0,0,58.4,0,0,0
701+,Khon Kaen University,,0,0,0,0,0,0
701+,King Faisal University,,0,0,0,0,0,0
701+,King Mongkut's University of Technology Thonburi,,0,0,0,0,0,0
701+,Kuwait University,,0,0,0,66.8,37.2,0
701+,University of Lodz,,0,0,0,0,0,0
701+,Manchester Metropolitan University,,0,0,0,38.7,48.6,0
701+,Marquette University,,0,0,48.2,0,0,0
701+,Miami University,,0,0,0,0,0,0
701+,Lobachevsky University,,0,0,0,0,0,0
701+,"National Technical University  ""Kharkiv Polytechnic Institute""",,0,0,0,0,0,0
701+,Nicolaus Copernicus University,,0,0,50.7,0,0,0
701+,Northumbria University at Newcastle,,0,45.7,0,35.1,56,0
701+,Nottingham Trent University,,0,0,0,33.8,59.7,0
701+,Ochanomizu University,,0,0,0,0,0,0
701+,Ohio University,,0,0,0,0,0,0
701+,Plekhanov Russian University of Economics,,0,0,46.1,0,0,0
701+,Pontificia Universidad Católica del Ecuador (PUCE),,0,0,0,0,0,0
701+,Prince of Songkla University,,0,0,0,0,0,0
701+,Ryerson MBA,,0,0,0,0,0,38.9
701+,JSC  “ S.Seifullin Kazakh Agro Technical University”,,0,0,41.8,0,94.2,0
701+,Saitama University,,0,0,0,0,0,33.9
701+,Institute of Technology Sepuluh Nopember,,0,0,0,0,0,0
701+,Shinshu University,,0,0,0,0,0,34.3
701+,Stevens Institute of Technology,,0,0,0,0,87.7,0
701+,Robert Gordon University,,0,0,0,47.1,80.7,0
701+,Tokai University,,0,0,0,0,0,0
701+,Universidad Anahuac,,0,0,42.9,0,0,0
701+,Universidad Austral de Chile,,0,0,0,0,0,0
701+,Universidad Autónoma de Nuevo León,,0,0,0,0,0,0
701+,Universidad de la Habana,,33.2,0,0,0,0,0
701+,Universidad de La Sabana,,0,50.5,0,0,0,0
701+,Universidad de las Américas Puebla (UDLAP),,0,0,0,41.6,0,0
701+,Universidad de los Andes - (ULA) Mérida,,0,0,0,0,0,0
701+,University of Murcia,,0,0,0,0,0,0
701+,Universidad de Puerto Rico,,0,0,0,0,0,0
701+,Universidad San Francisco de Quito (USFQ),,0,0,0,49.2,0,0
701+,Universidad de Talca,,0,0,0,0,0,0
