University,W-AVG
Freie Universitaet Berlin,0
Alma Mater Studiorum - University of Bologna,0
Heriot-Watt University,0
University of Aberdeen,64.63333333
Macquarie University,0
Nanjing University,0
Universidad Carlos III de Madrid (UC3M),62.56666667
Aarhus University,50.13333333
University of Southampton,72.4
Vrije Universiteit Brussel (VUB),84.7
Universität Frankfurt am Main,0
Politecnico di Torino,0
National Technical University of Athens,0
University of Warsaw,0
American University of Sharjah,0
University of Helsinki,84.63333333
Hokkaido University,78.76666667
Pohang University of Science And Technology (POSTECH),88.03333333
Corvinus University of Budapest,0
University of Southern California,50.3
University of Turku,83.43333333
Dartmouth College,79.36666667
Universidad de Santiago de Chile (USACH),0
Universidad Austral,83.73333333
Bauman Moscow State Technical University,88.36666667
Uppsala University,53.2
Kyushu University,88
Georgetown University,61.3
Vrije Universiteit Amsterdam,0
Indian Institute of Technology Madras (IITM),0
Universidad de Belgrano,69.2
University of Cologne,0
Queen`s University at Kingston,0
University of Calgary,0
Hanyang University,85.6
Technische Universität Dresden,0
Universidad Católica Andres Bello,0
University of St Andrews,75.4
University of Reading,57.06666667
University of Glasgow,65.7
Texas A&M University,0
Universidad Autonoma de Madrid,57.06666667
Institut National des Sciences Appliquées de Lyon (INSA),62.56666667
University of Alberta,60.7
Czech Technical University in Prague,0
Maastricht University,70.6
Utrecht University,54.4
Loughborough University,0
Lancaster University,53.13333333
University of Liverpool,67.7
University of Strathclyde,0
Westfälische Wilhelms-Universitat Münster,59.26666667
American University,52.2
Singapore Management University,0
University of York,57.7
The University of Western Australia,0
Cairo University,0
Vienna University of Technology,0
Brown University,78.2
"University of California, San Diego (UCSD)",68.3
Queensland University of Technology (QUT),0
Tohoku University,88.76666667
University of Delhi,0
Université Catholique de Louvain (UCL),60.93333333
Università Cattolica del Sacro Cuore,0
University College Dublin,0
University of Zurich,84.76666667
Pontificia Universidad Javeriana,0
Newcastle University,65.6
Cardiff University,68.96666667
Pennsylvania State University,0
Trinity College Dublin,65.06666667
Johns Hopkins University,91.33333333
University of Barcelona,0
École des Ponts ParisTech,87.23333333
National Taiwan University (NTU),55.73333333
Université de Montréal,0
University of Illinois at Urbana-Champaign,0
Universidad Adolfo Ibàñez,0
KU Leuven,0
The University of Adelaide,53.63333333
Humboldt-Universität zu Berlin,0
The University of Exeter,55.1
Purdue University,0
The American University in Cairo,58.6
University of Copenhagen,92.5
Copenhagen Business School,68.26666667
Georgia Institute of Technology,55.73333333
Sciences Po Paris,87.83333333
Université Paris-Sorbonne (Paris IV),0
University of Wollongong,0
"Ecole normale supérieure, Paris",87.56666667
University Complutense Madrid,0
City University London,0
University of Waterloo,0
The University of Sheffield,70.76666667
Universidade estadual de Campinas(Unicamp),0
Université Paris Dauphine,0
Zhejiang University,0
Ruprecht-Karls-Universitaet Heidelberg,78.56666667
Osaka University,84.83333333
Northwestern University,88.56666667
Stockholm School of Economics,0
Oxford Brookes University,0
Indian Institute of Technology Delhi (IITD),0
Lomonosov Moscow State University,93.76666667
Keio University,65.76666667
Technische Universität Berlin,0
Carnegie Mellon University,0
Lund University,66.8
Tokyo Institute of Technology,86.3
ESCP Europe,0
Duke University,94.73333333
Korea University,83.66666667
University of Navarra,84.53333333
Waseda University,0
RMIT University,0
The Chinese University of Hong Kong,74.73333333
Boston University,70.2
University of Texas at Austin,0
University of Technology Sydney,0
Pontificia Universidad Católica Argentina Santa María de los Buenos Aires - UCA,74.73333333
Chalmers University of Technology,76.76666667
Yonsei University,84.73333333
KAIST - Korea Advanced Institute of Science & Technology,81.2
Indian Institute of Technology Bombay (IITB),0
Universidad de los Andes,0
KTH Royal Institute of Technology,74.46666667
University of Amsterdam,65.56666667
Technische Universität Darmstadt,0
Universität Mannheim,0
University of Bath,0
Delft University of Technology,0
California Institute of Technology (Caltech),96.53333333
Politecnico di Milano,0
Erasmus University Rotterdam,73.93333333
University of Leeds,68.83333333
Université Paris 1 Panthéon-Sorbonne,0
The University of Queensland,58.36666667
University of Michigan,84.66666667
Ludwig-Maximilians-Universität München,63.73333333
The Hong Kong University of Science and Technology,74.46666667
Universidad Nacional de Colombia,0
Universidad Nacional Autónoma de México (UNAM),63.76666667
Universidad de Chile,0
American University of Beirut (AUB),72.76666667
Instituto Tecnológico y de Estudios Superiores de Monterrey,78.73333333
EPFL (Ecole Polytechnique Fédérale de Lausanne),93.6
The University of Auckland,0
The Australian National University,77.4
ESSEC Business School,0
Universidade de São Paulo,0
McGill University,85.43333333
University of Birmingham,71.9
University of St.Gallen (HSG),0
University of Toronto,86.93333333
University of British Columbia,63.26666667
Kings College London,91.9
Shanghai Jiao Tong University,63.5
"KIT, Karlsruhe Institute of Technology",88.53333333
University of Chicago,94.63333333
Kyoto University,94.93333333
Seoul National University,88.33333333
Cornell University,81.5
The University of Nottingham,72.96666667
Fudan University,73.16666667
Monash University,0
University of Pennsylvania,99.13333333
The University of Hong Kong,88.8
"Nanyang Technological University, Singapore (NTU)",95.3
RWTH Aachen University,0
New York University (NYU),95.8
The University of Edinburgh,89.53333333
University of Bristol,85.86666667
Technische Universität München,92.96666667
Pontificia Universidad Católica de Chile (UC),0
Durham University,65.26666667
Università Commerciale Luigi Bocconi,0
Princeton University,94.76666667
Universidad de Buenos Aires (UBA),73.9
ETH Zurich - Swiss Federal Institute of Technology,85.4
Columbia University,99.8
Sungkyunkwan University (SKKU),91.06666667
The University of Sydney,0
Tsinghua University,91.5
Ecole Polytechnique,99.33333333
HEC Paris School of Management,0
The University of New South Wales (UNSW Australia),0
"University of California, Los Angeles (UCLA)",82.7
The University of Warwick,74.83333333
UCL (University College London),99
Peking University,81.93333333
The University of Melbourne,0
The University of Tokyo,97.5
The University of Manchester,86.23333333
INSEAD,64.7
"University of California, Berkeley (UCB)",64.56666667
University of Oxford,100
University of Cambridge,100
Massachusetts Institute of Technology (MIT),100
Yale University,100
Imperial College London,99.93333333
Stanford University,99.66666667
Harvard University,99.06666667
National University of Singapore (NUS),95.26666667
Ecole Centrale de Paris,91.13333333
London School of Economics and Political Science (LSE),76.66666667
London Business School,0
