Rank,Instituion,Teaching,International Outlook,Research,Citation,Industry Income,Overall
38,New York UniversityUnited States of America,68.3,41.2,62.4,89.5,30.2,69.9
39,McGill UniversityCanada,63.3,79,69.9,76,38.6,69.6
40,King’s College LondonUnited Kingdom,55.6,87,62.3,88.3,39,69.4
41,"University of California, San DiegoUnited States of America",52,37,66.6,96.4,54.2,68.6
42,Washington University in St LouisUnited States of America,57.6,46.5,55.2,97.1,-,67.8
43,University of Hong KongHong Kong,62.1,81.9,72.6,65.1,56,67.5
44,Karolinska InstituteSweden,57.1,60.6,68,76.8,65.5,66.8
45,Australian National UniversityAustralia,53.7,91.3,70.9,71.1,38.9,66.5
46,University of MinnesotaUnited States of America,59.9,33.8,64.7,82.9,-,65.9
46,University of North Carolina at Chapel HillUnited States of America,57.9,35.3,58.6,91,40.5,65.9
48,Peking UniversityChina,70,53.7,61.9,63.7,100,65.2
49,Tsinghua UniversityChina,64.1,44.6,68.3,65,99.7,65.1
50,Seoul National UniversitySouth Korea,75.5,30.3,77.1,48.7,86.3,64.8
51,Hong Kong University of Science and TechnologyHong Kong,51.8,77.8,66.8,72.9,57.6,64.7
52,Korea Advanced Institute of Science and Technology (KAIST)South Korea,63.5,34.9,63.2,71.4,100,64.5
52,University of ManchesterUnited Kingdom,58.1,82,58.7,74.3,39.4,64.5
54,Brown UniversityUnited States of America,55.5,37,54.2,92,32.7,64.1
55,KU LeuvenBelgium,53,62.3,63.6,71.8,99.9,63.7
55,"University of California, DavisUnited States of America",54.4,52.9,59.7,80.4,55.4,63.7
57,Boston UniversityUnited States of America,56.4,47.8,46.7,94.4,30.3,63.6
58,Pennsylvania State UniversityUnited States of America,54.6,37.4,64.8,76,60.4,62.9
59,Kyoto UniversityJapan,70.4,29,68.4,57,73.3,62.8
60,University of SydneyAustralia,52.8,83.6,60.8,69,67.3,62.7
61,Nanyang Technological UniversitySingapore,43.9,92.5,55.9,75.9,100,62.2
61,École PolytechniqueFrance,50.5,94.5,47.1,79.9,76.8,62.2
63,Scuola Normale Superiore di PisaItaly,48.2,50.1,46,96.4,40.1,61.9
64,Leiden UniversityNetherlands,45,59.5,58.2,82.3,47.3,61.3
65,The University of QueenslandAustralia,45.8,80.4,58.4,74.2,66.2,61.2
66,Pohang University of Science and TechnologySouth Korea,52.7,36,49.3,84.4,100,61.1
67,University of GöttingenGermany,46.9,53.9,48,92.3,32.8,61
68,Ohio State UniversityUnited States of America,54,51.5,51.1,80.4,46.8,60.7
69,Rice UniversityUnited States of America,41.7,70.8,37.1,99.9,34.6,59.8
70,Heidelberg UniversityGermany,52.6,63.1,45.4,81.4,41.6,59.6
71,Delft University of TechnologyNetherlands,55.5,77.9,71.4,42.6,100,59.2
72,Erasmus University RotterdamNetherlands,39.8,66.2,53.7,82.3,54.4,59.1
73,Wageningen University and Research CenterNetherlands,44.3,78.7,46.8,77.5,100,59
74,University of BristolUnited Kingdom,43.7,76.6,44.7,85.1,42.1,58.9
75,University of BaselSwitzerland,41.2,91.2,41.1,81.4,97.7,58.4
75,University of Southern CaliforniaUnited States of America,55.2,42.7,44.6,81.3,34.4,58.4
77,University of AmsterdamNetherlands,42,60.5,55.4,76.6,56.7,58.2
78,École Normale SupérieureFrance,48.7,81.9,36.2,84.8,39.4,58.1
79,Utrecht UniversityNetherlands,38.2,52.9,54.8,80,84.1,58
80,Humboldt University of BerlinGermany,51.9,55.7,52.6,71.9,31.9,57.9
81,Free University of BerlinGermany,49.4,56.6,58,67.6,33.5,57.6
82,Michigan State UniversityUnited States of America,51.1,55,49.4,74,31.7,57.3
83,Durham UniversityUnited Kingdom,37.2,80.4,40.7,88.9,34.8,56.9
83,Monash UniversityAustralia,43.7,79.6,54.4,65.7,73.4,56.9
85,Middle East Technical UniversityTurkey,45.5,38.7,36.9,92,55.2,56.6
86,University of ArizonaUnited States of America,44.9,38.8,51.4,74,99.6,56.5
86,University of Notre DameUnited States of America,43.3,51.4,38.5,90,-,56.5
88,Tufts UniversityUnited States of America,43.6,51.1,33.9,92.9,58.7,56.4
88,"University of California, IrvineUnited States of America",39.5,56.1,41.7,89.5,40,56.4
90,Ghent UniversityBelgium,42.5,49.1,51.6,73.8,85.3,56.2
91,University of MassachusettsUnited States of America,44.8,40.3,49.1,78.7,52.8,56.1
91,University of PittsburghUnited States of America,45.2,32.2,46.3,84.4,38.5,56.1
93,Emory UniversityUnited States of America,49,42.9,32.4,89.5,42.3,55.5
94,McMaster UniversityCanada,38.1,69.4,43.2,78.8,85,55.3
94,University of GlasgowUnited Kingdom,37,78.8,40.5,83.7,39.9,55.3
96,Vanderbilt UniversityUnited States of America,46,28.3,38.2,87.7,59.4,55.2
97,University of Colorado BoulderUnited States of America,35,39.1,38.3,97.4,-,55.1
98,Stockholm UniversitySweden,30.1,53.2,45,90.9,32.4,54.6
98,Technical University of MunichGermany,45.6,64,37.4,78.8,49,54.6
98,Uppsala UniversitySweden,40.2,57.5,53,70.9,39.6,54.6
101,Maastricht UniversityNetherlands,32.4,89.7,48.1,70.1,96.1,54.3
102,Purdue UniversityUnited States of America,47.8,64.3,50.5,62.2,-,54
103,Pierre and Marie Curie UniversityFrance,47.3,64.7,30,83.3,33.4,53.9
103,University of HelsinkiFinland,37.5,49.7,48.1,79,31.5,53.9
103,University of WarwickUnited Kingdom,41.1,85.7,45.8,68.2,35.6,53.9
103,University of ZurichSwitzerland,40.2,86.9,33.1,81.4,40.1,53.9
107,Queen Mary University of LondonUnited Kingdom,32.4,88.6,32.9,88.9,37.1,53.8
107,University of GenevaSwitzerland,34.5,96.8,37.2,78.2,65.1,53.8
109,"University of California, Santa CruzUnited States of America",30.6,54.6,31.9,100,33.8,53.7
109,University of New South WalesAustralia,41.1,83.5,51.9,61.1,47.8,53.7
111,University of St AndrewsUnited Kingdom,35.7,90.5,35.9,81.4,39.8,53.6
111,University of SussexUnited Kingdom,31.9,83.6,30.4,92.8,31.2,53.6
113,University of MontrealCanada,43.8,76.7,44.4,62.9,91.8,53.4
113,University of TübingenGermany,41.5,53,44.7,74,54.7,53.4
113,University of YorkUnited Kingdom,32.2,75,33.8,90.5,32.2,53.4
116,Case Western Reserve UniversityUnited States of America,46.5,34.4,37.4,82.9,-,53.2
117,University of GroningenNetherlands,36.9,56.1,50.8,68.1,88.9,53.1
118,"Royal Holloway, University of LondonUnited Kingdom",29.1,94.4,22.4,98.9,32.8,53
119,Lund UniversitySweden,32.6,70.1,48.5,74.9,32.6,52.9
120,Paris-Sud UniversityFrance,37.3,62.7,33.1,87.7,28.9,52.8
121,Technical University of DenmarkDenmark,39.9,79.7,28.2,79.6,98.6,52.7
121,University of RochesterUnited States of America,41.9,55.5,29.2,87.7,36.4,52.7
121,University of SheffieldUnited Kingdom,40,74.8,39.1,74.3,43.8,52.7
124,University of AlbertaCanada,43.8,73.4,47.1,61.8,51.8,52.6
124,University of Cape TownSouth Africa,26.8,76.7,35.3,86.6,88,52.6
126,Boston CollegeUnited States of America,32.4,54.6,29.1,95.9,46.5,52.5
126,KTH Royal Institute of TechnologySweden,45.7,84,44.8,55.1,100,52.5
126,University of FloridaUnited States of America,49.8,32.2,52.1,62.2,-,52.5
129,Chinese University of Hong KongHong Kong,43.9,64,53.5,57.8,42.8,52.4
130,University of VirginiaUnited States of America,48.7,31.8,35.9,76.9,49.8,52.1
131,Lancaster UniversityUnited Kingdom,35.4,84.7,36.1,78,34.1,52
132,University of BernSwitzerland,42,80.7,36.9,70.1,47.4,51.9
132,"University of Maryland, College ParkUnited States of America",36.5,44.8,39.1,83.6,33.2,51.9
132,University of SouthamptonUnited Kingdom,35.2,82.4,34.1,79.7,38.9,51.9
135,TU Dresden Germany,39.8,44.7,42,70.8,99.5,51.6
136,University of LausanneSwitzerland,29.4,85.1,39.9,76.5,50.9,51.4
136,VU University AmsterdamNetherlands,35.5,50.6,43.2,74.9,60,51.4
138,Trinity College DublinRepublic of Ireland,39.4,83.9,30.3,77.6,30.6,51.2
139,Boğaziçi UniversityTurkey,28.5,54.1,27.6,96.8,47.7,51.1
140,Radboud University NijmegenNetherlands,30.5,61.6,46.7,73.9,42.8,51
141,Colorado School of MinesUnited States of America,26.1,52.6,26.7,97.1,79.4,50.9
141,Texas A&M UniversityUnited States of America,46.2,49.1,51.9,55.1,49.6,50.9
141,Tokyo Institute of TechnologyJapan,53.5,37,52.9,48.1,69.4,50.9
144,Eindhoven University of TechnologyNetherlands,38.3,69,47.1,57.3,99.9,50.5
144,"Rutgers, the State University of New JerseyUnited States of America",40.5,34.3,45.3,71,35.2,50.5
146,University of LeedsUnited Kingdom,39.4,67.6,39.1,69.3,39.4,50.4
147,Brandeis UniversityUnited States of America,25.8,54.7,29.1,95.3,43.9,50.3
148,Sungkyunkwan University (SKKU)South Korea,48.1,35.8,50.2,51.7,98.5,50.2
148,University of BirminghamUnited Kingdom,42.8,75.8,39.8,62.7,36,50.2
150,Indiana UniversityUnited States of America,46.5,37.1,35.1,73.1,-,50.1
150,"University of California, RiversideUnited States of America",29.4,61.6,27.5,91.5,39.5,50.1
152,Dartmouth CollegeUnited States of America,38.3,33.1,35.4,80.4,49.1,50
153,Aarhus UniversityDenmark,30.9,66.3,47.5,66.5,59.8,49.9
154,University of ExeterUnited Kingdom,32,79.8,32.7,78,35.8,49.7
155,National Taiwan UniversityTaiwan,48.8,27.5,57.3,47.7,43.8,49.3
156,RWTH Aachen UniversityGermany,39,56.8,29.9,75,69.8,49.2
157,Osaka UniversityJapan,51.3,29.1,48,51.1,73.6,49.1
157,University of LiverpoolUnited Kingdom,31.3,79.5,33.2,76.2,40,49.1
157,University of Western AustraliaAustralia,36.3,87.3,38.1,62.2,63.3,49.1
160,University of CopenhagenDenmark,34,71.8,34.4,73.5,44.4,49
160,École Normale Supérieure de LyonFrance,38.1,64.4,33.8,73,29.3,49
162,University of UtahUnited States of America,38.8,27.5,36.5,75,58.1,48.6
163,University of FreiburgGermany,38,56.7,28.1,74,81.4,48.3
164,University of AdelaideAustralia,33.8,79.3,40.4,61.1,65.3,48.2
165,Istanbul Technical UniversityTurkey,30.2,37.3,36.9,79.7,51.1,48.1
165,Karlsruhe Institute of TechnologyGermany,40.5,60.1,34.9,62.9,82.7,48.1
165,Pompeu Fabra UniversitySpain,25.1,63.2,28.3,88.3,35.9,48.1
165,Tohoku UniversityJapan,49.7,29.7,47.3,49.6,76.8,48.1
169,University of MiamiUnited States of America,42.7,56.7,27.2,73.1,-,48
170,University of AntwerpBelgium,34.6,61,33.6,67.7,100,47.9
171,University of NottinghamUnited Kingdom,39.9,70.6,35.8,62.7,39.6,47.8
171,Université Catholique de LouvainBelgium,37.9,59.7,34.9,67.7,46.1,47.8
173,Georgetown UniversityUnited States of America,51.1,43.3,28.2,62.2,80,47.7
173,University of VictoriaCanada,21.6,70.1,30.6,86.7,31.6,47.7
175,University of AucklandNew Zealand,28.6,87.3,33.4,68.4,74.2,47.5
175,University of IowaUnited States of America,41.9,31.7,33.5,71,49.3,47.5
177,Syracuse UniversityUnited States of America,32.4,41.2,24.4,87.1,40.6,47.3
178,Joseph Fourier UniversityFrance,38,57.3,29.3,73,31.3,47.1
178,University of AberdeenUnited Kingdom,28,84.1,30.2,74.3,42.1,47.1
180,Paris Diderot University – Paris 7France,25.6,67.4,19.7,92.2,29.1,47
180,University of DelawareUnited States of America,29,40.6,36.3,73.1,99.3,47
182,Arizona State UniversityUnited States of America,35.7,29.5,37.5,73.1,32.6,46.9
182,Sabancı UniversityTurkey,26,44.6,27.1,88.5,42.9,46.9
182,University of ViennaAustria,35.2,91,39.7,56.3,29.4,46.9
185,Northeastern UniversityUnited States of America,36.4,54.7,21.9,81.3,34,46.8
186,University of OsloNorway,36.1,60.3,35.2,66.3,36.6,46.7
186,Yeshiva UniversityUnited States of America,45.2,27.6,23.9,77.8,-,46.7
188,Stony Brook UniversityUnited States of America,32.8,60.5,24.4,80.4,31.3,46.6
188,Tel Aviv UniversityIsrael,43.5,46.1,51.1,45.5,42.6,46.6
188,University of OttawaCanada,37.9,63.2,34.7,62.9,45.9,46.6
191,University at BuffaloUnited States of America,40.1,57,39.8,57.5,39.6,46.5
192,City University of Hong KongHong Kong,31,71.3,32.9,68.6,49.8,46.3
193,Fudan UniversityChina,45.6,37.4,34,61,49.4,46.2
193,Iowa State UniversityUnited States of America,36.4,40.6,30.9,72,54.4,46.2
195,University of BonnGermany,32.2,54.8,22.2,83.8,-,46.1
196,Lomonosov Moscow State UniversityRussian Federation,55.9,60.4,42.1,33.8,78.5,46
196,"St George’s, University of LondonUnited Kingdom",23.1,55.8,27.3,86.4,32.4,46
198,University of East AngliaUnited Kingdom,25.2,76.5,22.6,83.7,29.2,45.9
199,University of LeicesterUnited Kingdom,29.8,83.9,31.6,67.1,34.8,45.7
200,Florida Institute of TechnologyUnited States of America,19.7,63,13.1,99.2,53.7,45.6
200,George Washington UniversityUnited States of America,44.6,39.9,25.1,70,29.3,45.6
201-225,Bilkent UniversityTurkey,28,44.6,27.7,76,46.4,-
201-225,Cardiff UniversityUnited Kingdom,30.5,69.3,30.4,69.3,34.8,-
201-225,Goethe University FrankfurtGermany,28.1,55.6,22.4,78.8,38.8,-
201-225,Hebrew University of JerusalemIsrael,41.5,53.3,36.3,57.2,31.5,-
201-225,Hong Kong Polytechnic UniversityHong Kong,33.7,69.9,36.5,56.5,42.6,-
201-225,Korea UniversitySouth Korea,48.9,35.9,44.3,39.9,98.5,-
201-225,Newcastle UniversityUnited Kingdom,30.3,73.8,29.6,70.3,35,-
201-225,Technion Israel Institute of TechnologyIsrael,36.9,60.6,37.5,52,36.5,-
201-225,Ulm UniversityGermany,35,54.1,22,73,56.7,-
201-225,University of BarcelonaSpain,28.4,47.8,28.8,79.7,31,-
201-225,University of BergenNorway,29.5,65.3,27.9,68.5,34.2,-
201-225,University of DundeeUnited Kingdom,24.4,64.5,22.5,84.4,47.7,-
201-225,University of Illinois at ChicagoUnited States of America,43,53.4,34.1,55.1,40.7,-
201-225,University of InnsbruckAustria,23.9,93.4,17.1,77,42,-
201-225,University of ReadingUnited Kingdom,32.8,75,34,58.1,34.9,-
201-225,University of Science and Technology of ChinaChina,36.9,26.3,27.3,73.6,71.6,-
201-225,University of StrasbourgFrance,28.6,69.5,23.4,74,32,-
201-225,University of São PauloBrazil,51.6,25.3,51.6,32.3,40.1,-
201-225,University of Texas at DallasUnited States of America,26,55.4,28.2,77.8,41.6,-
201-225,University of TriesteItaly,28.7,50.7,16,88.1,33.3,-
201-225,University of TwenteNetherlands,32.3,67.2,45.3,49.4,89.2,-
201-225,Université Libre de BruxellesBelgium,26.7,79.4,36.2,64.4,50.7,-
201-225,Wake Forest UniversityUnited States of America,33.3,26,23.5,81.3,38.2,-
201-225,William & MaryUnited States of America,36.8,26.5,19.9,78.7,30,-
201-225,Yonsei UniversitySouth Korea,44.5,35.7,45.8,44.3,69.7,-
226-250,Autonomous University of BarcelonaSpain,30.4,46.4,29.2,67,34.6,-
226-250,"Birkbeck, University of LondonUnited Kingdom",28.3,84.4,29.3,60.4,28.7,-
226-250,Brunel University LondonUnited Kingdom,22.1,88.8,21.4,75.3,31.9,-
226-250,Carleton UniversityCanada,24.3,61.1,24.5,76.9,30.7,-
226-250,Dalhousie UniversityCanada,33.6,71.6,30,54.4,68.9,-
226-250,Laval UniversityCanada,35.8,55.7,29.9,58.1,62.7,-
226-250,Mines ParisTechFrance,39.6,58.7,23.2,55.1,99,-
226-250,Nagoya UniversityJapan,37.5,31.8,31.8,59.9,86.3,-
226-250,Rensselaer Polytechnic InstituteUnited States of America,30.9,42.8,26.2,67.8,49.9,-
226-250,Simon Fraser UniversityCanada,24.6,61.4,29.3,67.6,41.8,-
226-250,State University of New York AlbanyUnited States of America,25.7,39.6,35,68.9,-,-
226-250,Technical University of BerlinGermany,42.2,70.4,32.3,47,63.4,-
226-250,Tokyo Metropolitan UniversityJapan,19.6,39.5,9.8,100,31,-
226-250,University College DublinRepublic of Ireland,31.7,79.4,28.1,61.7,33.8,-
226-250,University of CalgaryCanada,34.4,63.1,30.5,59.4,41.5,-
226-250,University of GothenburgSweden,24.1,46.8,38.2,64.4,37,-
226-250,University of KielGermany,31.1,44.2,24.3,70.8,42,-
226-250,University of KonstanzGermany,30.5,57,33.4,59.4,52.5,-
226-250,University of Milan-BicoccaItaly,27.1,40.6,23,76.6,45,-
226-250,"University of Technology, SydneyAustralia",27.8,86.9,32.5,58.7,40.1,-
226-250,University of Western OntarioCanada,38.3,63.7,35.7,47,50.7,-
226-250,University of WürzburgGermany,28.6,50.2,17.3,81.4,30,-
226-250,Vienna University of TechnologyAustria,43.3,75.9,32.4,41.7,64.1,-
226-250,York UniversityCanada,27.5,59.7,35.3,62.9,34.1,-
251-275,Aalto UniversityFinland,31.8,59.4,31.3,50.2,64.5,-
251-275,Federico Santa María Technical UniversityChile,13,48.7,10.1,99.7,28.1,-
251-275,Medical University of ViennaAustria,28.6,73.1,17,71.1,33.7,-
251-275,Nanjing UniversityChina,34.6,50.2,23.3,59.6,51.7,-
251-275,National Tsing Hua UniversityTaiwan,39.4,24.8,40.3,49.1,49.4,-
251-275,"National University of Ireland, GalwayRepublic of Ireland",26.7,71.7,24.8,62.8,43.1,-
251-275,Queen’s UniversityCanada,37.3,55.4,33.4,48.2,59,-
251-275,Queen’s University BelfastUnited Kingdom,30.1,88.6,25.1,52.2,43.7,-
251-275,Swedish University of Agricultural SciencesSweden,27.9,49.6,25.2,59.9,99.8,-
251-275,Technical University of DarmstadtGermany,36.9,59.6,33.7,42,88.9,-
251-275,University of BremenGermany,33.9,53,27.6,55.7,46.3,-
251-275,University of Hawai’i at MānoaUnited States of America,35.1,59.4,30.7,51.5,38.3,-
251-275,University of IcelandIceland,14.9,59.1,24.7,74.8,64,-
251-275,University of MünsterGermany,30.6,48.2,18.1,73,38.2,-
251-275,University of New MexicoUnited States of America,29.6,32.2,23.4,73.1,44.5,-
251-275,University of NewcastleAustralia,26.5,70.6,29.9,57.5,75.6,-
251-275,University of OtagoNew Zealand,27.1,81.5,27.7,57.6,31.9,-
251-275,University of PaviaItaly,26.3,43.5,19.2,75.6,64.4,-
251-275,University of SalentoItaly,32.3,40.3,25.6,64.5,38.4,-
251-275,University of South FloridaUnited States of America,27.7,41,37.9,55.1,99.8,-
251-275,"University of the Andes, ColombiaColombia",17.3,54.6,12.1,89.8,36.5,-
251-275,University of the WitwatersrandSouth Africa,22.3,66.3,21.7,67.3,94.8,-
251-275,University of TrentoItaly,26.8,57.3,20.3,70.3,46,-
251-275,University of TurinItaly,29.4,39.3,20.3,72.5,40.8,-
251-275,University of WaterlooCanada,30.9,63.1,40.4,47,41.7,-
276-300,Chalmers University of TechnologySweden,35.7,62.5,32.8,40.8,75.8,-
276-300,Colorado State UniversityUnited States of America,27.6,30.4,31.3,59.9,38.8,-
276-300,Indian Institute of ScienceIndia,32.6,18.2,39.5,51.6,37.9,-
276-300,Lappeenranta University of TechnologyFinland,25.2,59.1,25.5,59.9,73.8,-
276-300,Montpellier UniversityFrance,23.7,56.6,22.5,67.4,33.6,-
276-300,National Chiao Tung UniversityTaiwan,35,30.7,40.7,40.4,98.2,-
276-300,Norwegian University of Science and TechnologyNorway,33.5,54.7,29.6,49.6,45,-
276-300,Panjab UniversityIndia,23.7,29.2,10.5,84.4,28.3,-
276-300,Plymouth UniversityUnited Kingdom,18.4,51.3,18.1,80.5,28.8,-
276-300,Queensland University of TechnologyAustralia,29.9,69.8,36,42.9,71.9,-
276-300,Shanghai Jiao Tong UniversityChina,37.9,23.9,37.9,38.9,88.4,-
276-300,Stellenbosch UniversitySouth Africa,30,47.8,31.2,45.6,94.7,-
276-300,Tilburg UniversityNetherlands,33,62.2,45.1,34.9,55.1,-
276-300,Tokyo Medical and Dental University (TMDU)Japan,42.7,21.8,22.9,51.1,56.9,-
276-300,University College CorkRepublic of Ireland,26.7,70.8,22.2,56.9,45.9,-
276-300,University of BolognaItaly,31,43.1,23.2,64.5,34.9,-
276-300,University of CincinnatiUnited States of America,32,26,22.4,67.8,35.6,-
276-300,University of Erlangen-NurembergGermany,28.4,49,15.3,68.7,46.8,-
276-300,University of FribourgSwitzerland,29.2,84.4,19.7,58.6,48.2,-
276-300,University of GeorgiaUnited States of America,39.7,35.3,28.9,46.6,31.1,-
276-300,University of MacauMacau,17.1,73.3,20.3,68.1,33.6,-
276-300,University of MilanItaly,25.3,37.4,22.9,66.9,40.1,-
276-300,University of Nebraska-LincolnUnited States of America,31,47.8,24.4,57.5,35,-
276-300,University of South AustraliaAustralia,25.7,80.8,24,52.7,83.9,-
276-300,University of South CarolinaUnited States of America,34.5,37.3,27.5,55.1,31.8,-
276-300,University of WollongongAustralia,25.2,80.4,27.8,55.1,44.7,-
276-300,Victoria University of WellingtonNew Zealand,21.6,84.2,28.5,53.8,49.7,-
276-300,Virginia Polytechnic Institute and State UniversityUnited States of America,40.1,28.9,40,40.7,42.6,-
301-350,Autonomous University of MadridSpain,28.6,48.8,19.3,59.7,32.2,-
301-350,Bangor UniversityUnited Kingdom,22.4,73.1,23,55.8,31.1,-
301-350,Charles Darwin UniversityAustralia,20.3,45.5,17.8,64.5,32.7,-
301-350,Charles University in PragueCzech Republic,31.5,53.9,24.3,50.1,29.4,-
301-350,Creighton UniversityUnited States of America,40.7,29.1,10.4,63.3,32.4,-
301-350,Deakin UniversityAustralia,20.1,71.8,20.6,57.5,30.6,-
301-350,Drexel UniversityUnited States of America,31.8,42.2,14.3,57.5,34.6,-
301-350,Hong Kong Baptist UniversityHong Kong,21.2,62.3,13.2,70.8,29.1,-
301-350,Illinois Institute of TechnologyUnited States of America,40.2,59.4,17.3,50.3,-,-
301-350,Kansas State UniversityUnited States of America,27,41.5,16.5,61,39.2,-
301-350,Koç UniversityTurkey,21.6,49.8,24.4,58.5,50.6,-
301-350,Macquarie UniversityAustralia,24,89.2,24.8,50.2,36.2,-
301-350,Novosibirsk State UniversityRussian Federation,24.6,43.8,17.2,70.5,33.4,-
301-350,Oregon State UniversityUnited States of America,27.8,36.7,21.1,63.3,32,-
301-350,Polytechnic University of MilanItaly,27.6,42.9,26.6,55.8,67.8,-
301-350,Renmin University of ChinaChina,34.9,44.4,14.7,59.6,42.8,-
301-350,San Diego State UniversityUnited States of America,19.7,26.9,24.8,65.6,29.2,-
301-350,Sapienza University of RomeItaly,32.3,37.5,28.1,50.7,34.2,-
301-350,Sharif University of TechnologyIran,28.7,19.4,34.7,50.4,86.2,-
301-350,State University of CampinasBrazil,43.4,20.7,38.8,28,44.5,-
301-350,Sun Yat-sen UniversityChina,32.5,37,25.2,54.1,58.9,-
301-350,Tulane UniversityUnited States of America,40.7,29.7,20.7,53.9,-,-
301-350,University of BathUnited Kingdom,29.2,76.1,25.1,47.5,36.7,-
301-350,University of CanterburyNew Zealand,21.1,88.2,23.4,53.8,49.5,-
301-350,University of CologneGermany,25.6,52.1,18.4,65.3,28.8,-
301-350,University of ConnecticutUnited States of America,37.6,38.8,27.1,45.4,31.1,-
301-350,University of CreteGreece,19,47,16.8,67,36,-
301-350,University of Duisburg-EssenGermany,21.9,49.2,13.7,64.1,44.2,-
301-350,University of EssexUnited Kingdom,31.6,86.7,29,39.3,29.1,-
301-350,University of HoustonUnited States of America,39.3,33.1,25.8,44.2,43.2,-
301-350,University of JyväskyläFinland,27.6,47.2,24,50.2,-,-
301-350,University of KansasUnited States of America,30.6,32.2,20.1,62.2,36.2,-
301-350,University of ManitobaCanada,31.6,43.4,29.4,48.2,43.5,-
301-350,University of Marrakech Cadi AyyadMorocco,16.3,45.1,6.5,83,28.6,-
301-350,University of MontanaUnited States of America,29.1,20.7,13.7,75,34.4,-
301-350,University of Nebraska Medical CenterUnited States of America,36.4,34.8,16.5,51.5,34.5,-
301-350,University of OklahomaUnited States of America,32.6,30,15.7,57.5,34.5,-
301-350,University of PaduaItaly,20.7,40.4,18.2,68,32.9,-
301-350,University of PisaItaly,22.4,36.7,18.8,69.2,37.7,-
301-350,University of Southern DenmarkDenmark,19.5,67.1,20.5,61.2,72.6,-
301-350,University of StirlingUnited Kingdom,21.5,66.9,25.1,49.9,30.7,-
301-350,University of StuttgartGermany,30.6,59.3,17.3,56.9,48.2,-
301-350,University of TampereFinland,22.9,45.6,22.2,58.7,42.5,-
301-350,University of TsukubaJapan,33.4,36.1,21.6,51.1,36.9,-
301-350,University of ValenciaSpain,17.9,43.7,12,72.7,30.8,-
301-350,University of WarsawPoland,20.8,41.6,13.6,70,28.5,-
301-350,Wayne State UniversityUnited States of America,32,30.7,15.2,61,-,-
301-350,Zhejiang UniversityChina,36,21.5,33.1,40.2,88.6,-
