University,RANK 2014,RANK 2015,,,B2-C2,D2/B2,E2^2,,ABS(E2)
Monash University,70,67,,,3,0.0428571429,0.0018367347,,0.0428571429
"Trinity College Dublin, The University of Dublin",71,78,,,-7,-0.0985915493,0.0097202936,,0.0985915493
Tohoku University,71,74,,,-3,-0.0422535211,0.00178536,,0.0422535211
Fudan University,71,51,,,20,0.2816901408,0.0793493354,,0.2816901408
London School of Economics and Political Science (LSE),71,35,,,36,0.5070422535,0.2570918469,,0.5070422535
Leiden University,75,95,,,-20,-0.2666666667,0.0711111111,,0.2666666667
National Taiwan University (NTU),76,70,,,6,0.0789473684,0.006232687,,0.0789473684
The University of Nottingham,77,70,,,7,0.0909090909,0.0082644628,,0.0909090909
Boston University,78,91,,,-13,-0.1666666667,0.0277777778,,0.1666666667
University of Texas at Austin,79,77,,,2,0.0253164557,0.0006409229,,0.0253164557
Utrecht University,80,94,,,-14,-0.175,0.030625,,0.175
Uppsala University,81,102,,,-21,-0.2592592593,0.0672153635,,0.2592592593
KU Leuven,82,82,,,0,0,0,,0
UniversitÃ© de MontrÃ©al,83,115,,,-32,-0.3855421687,0.1486427638,,0.3855421687
University of Alberta,84,96,,,-12,-0.1428571429,0.0204081633,,0.1428571429
University of Geneva,85,89,,,-4,-0.0470588235,0.0022145329,,0.0470588235
Pohang University of Science And Technology (POSTECH),86,87,,,-1,-0.011627907,0.0001352082,,0.011627907
Delft University of Technology,86,64,,,22,0.2558139535,0.0654407788,,0.2558139535
University of St Andrews,88,68,,,20,0.2272727273,0.0516528926,,0.2272727273
The University of Western Australia,89,98,,,-9,-0.1011235955,0.0102259816,,0.1011235955
Erasmus University Rotterdam,90,126,,,-36,-0.4,0.16,,0.4
University of Groningen,90,100,,,-10,-0.1111111111,0.012345679,,0.1111111111
The University of Auckland,92,82,,,10,0.1086956522,0.0118147448,,0.1086956522
Durham University,92,61,,,31,0.3369565217,0.1135396975,,0.3369565217
University of Southampton,94,81,,,13,0.1382978723,0.0191263015,,0.1382978723
"University of California, Davis",95,85,,,10,0.1052631579,0.0110803324,,0.1052631579
Aarhus University,96,107,,,-11,-0.1145833333,0.0131293403,,0.1145833333
University of Leeds,97,87,,,10,0.1030927835,0.010628122,,0.1030927835
Queen Mary University of London,98,109,,,-11,-0.112244898,0.0125989171,,0.112244898
Washington University in St. Louis,99,110,,,-11,-0.1111111111,0.012345679,,0.1111111111
The University of Adelaide,100,113,,,-13,-0.13,0.0169,,0.13
University of Oslo,101,135,,,-34,-0.3366336634,0.1133222233,,0.3366336634
Purdue University,102,89,,,13,0.1274509804,0.0162437524,,0.1274509804
Nagoya University,103,120,,,-17,-0.1650485437,0.0272410218,,0.1650485437
Shanghai Jiao Tong University,104,70,,,34,0.3269230769,0.1068786982,,0.3269230769
University of Lausanne,105,143,,,-38,-0.3619047619,0.1309750567,,0.3619047619
Yonsei University,106,105,,,1,0.0094339623,8.8999644001424E-005,,0.0094339623
Georgia Institute of Technology,107,84,,,23,0.214953271,0.0462049087,,0.214953271
City University of Hong Kong,108,57,,,51,0.4722222222,0.2229938272,,0.4722222222
The Ohio State University,109,99,,,10,0.0917431193,0.0084167999,,0.0917431193
KTH Royal Institute of Technology,110,92,,,18,0.1636363636,0.0267768595,,0.1636363636
University of Pittsburgh,111,133,,,-22,-0.1981981982,0.0392825258,,0.1981981982
Pennsylvania State University,112,101,,,11,0.0982142857,0.0096460459,,0.0982142857
McMaster University,113,149,,,-36,-0.3185840708,0.1014958102,,0.3185840708
Lomonosov Moscow State University,114,108,,,6,0.0526315789,0.0027700831,,0.0526315789
UniversitÃ© Pierre et Marie Curie (UPMC),115,137,,,-22,-0.1913043478,0.0365973535,,0.1913043478
University of Basel,116,139,,,-23,-0.1982758621,0.0393133175,,0.1982758621
Korea University,116,104,,,12,0.1034482759,0.0107015458,,0.1034482759
Maastricht University,118,169,,,-51,-0.4322033898,0.1867997702,,0.4322033898
University of Minnesota,119,123,,,-4,-0.0336134454,0.0011298637,,0.0336134454
University of York,120,103,,,17,0.1416666667,0.0200694444,,0.1416666667
Albert-Ludwigs-Universitaet Freiburg,121,133,,,-12,-0.0991735537,0.0098353938,,0.0991735537
"University of Maryland, College Park",122,126,,,-4,-0.0327868852,0.0010749798,,0.0327868852
University of Liverpool,123,151,,,-28,-0.2276422764,0.051821006,,0.2276422764
Cardiff University,123,122,,,1,0.0081300813,6.60982219578293E-005,,0.0081300813
Technical University of Denmark,123,112,,,11,0.0894308943,0.0079978849,,0.0894308943
Kyushu University,126,142,,,-16,-0.126984127,0.0161249685,,0.126984127
Newcastle University,127,162,,,-35,-0.2755905512,0.0759501519,,0.2755905512
"KIT, Karlsruhe Institute of Technology",127,93,,,34,0.2677165354,0.0716721433,,0.2677165354
Ghent University,129,124,,,5,0.0387596899,0.0015023136,,0.0387596899
Rice University,129,106,,,23,0.1782945736,0.031788955,,0.1782945736
University of Southern California,131,130,,,1,0.0076335878,5.82716624905309E-005,,0.0076335878
Universidade de SÃ£o Paulo,132,143,,,-11,-0.0833333333,0.0069444444,,0.0833333333
"University of California, Santa Barbara (UCSB)",132,129,,,3,0.0227272727,0.0005165289,,0.0227272727
Humboldt-UniversitÃ¤t zu Berlin,134,126,,,8,0.0597014925,0.0035642682,,0.0597014925
Hokkaido University,135,139,,,-4,-0.0296296296,0.000877915,,0.0296296296
Dartmouth College,136,158,,,-22,-0.1617647059,0.0261678201,,0.1617647059
University of Aberdeen,137,137,,,0,0,0,,0
The Hebrew University of Jerusalem,138,148,,,-10,-0.0724637681,0.0052509977,,0.0724637681
University College Dublin,139,154,,,-15,-0.1079136691,0.01164536,,0.1079136691
Sungkyunkwan University (SKKU),140,118,,,22,0.1571428571,0.0246938776,,0.1571428571
Eberhard Karls UniversitÃ¤t TÃ¼bingen,141,173,,,-32,-0.2269503546,0.0515064635,,0.2269503546
University of Virginia,141,172,,,-31,-0.219858156,0.0483376088,,0.219858156
University of Cape Town,141,171,,,-30,-0.2127659574,0.0452693526,,0.2127659574
Zhejiang University,144,110,,,34,0.2361111111,0.0557484568,,0.2361111111
University of Bern,145,166,,,-21,-0.1448275862,0.0209750297,,0.1448275862
Georg-August-University Goettingen,146,168,,,-22,-0.1506849315,0.0227059486,,0.1506849315
RWTH Aachen University,147,145,,,2,0.0136054422,0.0001851081,,0.0136054422
Eindhoven University of Technology,147,117,,,30,0.2040816327,0.0416493128,,0.2040816327
University of Science and Technology of China,147,113,,,34,0.231292517,0.0534962284,,0.231292517
Freie Universitaet Berlin,150,119,,,31,0.2066666667,0.0427111111,,0.2066666667
Universiti Malaya (UM),151,146,,,5,0.0331125828,0.0010964431,,0.0331125828
Wageningen University,151,135,,,16,0.1059602649,0.0112275777,,0.1059602649
"University of California, Irvine",153,163,,,-10,-0.0653594771,0.0042718612,,0.0653594771
UniversitÃ© Catholique de Louvain (UCL),154,149,,,5,0.0324675325,0.0010541407,,0.0324675325
University of Bergen,155,181,,,-26,-0.1677419355,0.0281373569,,0.1677419355
Radboud University,156,177,,,-21,-0.1346153846,0.0181213018,,0.1346153846
Emory University,156,165,,,-9,-0.0576923077,0.0033284024,,0.0576923077
University of Vienna,156,153,,,3,0.0192307692,0.0003698225,,0.0192307692
University of Otago,159,173,,,-14,-0.0880503145,0.0077528579,,0.0880503145
Lancaster University,160,121,,,39,0.24375,0.0594140625,,0.24375
The University of Exeter,161,161,,,0,0,0,,0
Nanjing University,162,130,,,32,0.1975308642,0.0390184423,,0.1975308642
The Hong Kong Polytechnic University,162,116,,,46,0.2839506173,0.0806279531,,0.2839506173
University of Rochester,164,190,,,-26,-0.1585365854,0.0251338489,,0.1585365854
Texas A&M University,165,159,,,6,0.0363636364,0.001322314,,0.0363636364
University of Barcelona,166,166,,,0,0,0,,0
Pontificia Universidad CatÃ³lica de Chile (UC),167,170,,,-3,-0.0179640719,0.0003227079,,0.0179640719
National Tsing Hua University,167,155,,,12,0.0718562874,0.005163326,,0.0718562874
University of Waterloo,169,152,,,17,0.100591716,0.0101186933,,0.100591716
Queen's University Belfast,170,182,,,-12,-0.0705882353,0.004982699,,0.0705882353
University of Calgary,171,204,,,-33,-0.1929824561,0.0372422284,,0.1929824561
Vrije Universiteit Amsterdam,171,176,,,-5,-0.0292397661,0.0008549639,,0.0292397661
Universite libre de Bruxelles,173,207,,,-34,-0.1965317919,0.0386247452,,0.1965317919
Universitat AutÃ²noma de Barcelona,173,190,,,-17,-0.098265896,0.0096561863,,0.098265896
Universidad Nacional AutÃ³noma de MÃ©xico  (UNAM),175,160,,,15,0.0857142857,0.0073469388,,0.0857142857
Chalmers University of Technology,175,132,,,43,0.2457142857,0.0603755102,,0.2457142857
Rheinische Friedrich-Wilhelms-UniversitÃ¤t Bonn,177,210,,,-33,-0.186440678,0.0347601264,,0.186440678
Universidad AutÃ³noma de Madrid,178,186,,,-8,-0.0449438202,0.002019947,,0.0449438202
Ã‰cole Normale SupÃ©rieure de Lyon,179,188,,,-9,-0.0502793296,0.002528011,,0.0502793296
University of Bath,179,159,,,20,0.1117318436,0.0124840049,,0.1117318436
Vrije Universiteit Brussel (VUB),181,194,,,-13,-0.0718232044,0.0051585727,,0.0718232044
Vanderbilt University,182,216,,,-34,-0.1868131868,0.0348991668,,0.1868131868
Alma Mater Studiorum - University of Bologna,182,204,,,-22,-0.1208791209,0.0146117619,,0.1208791209
Stockholm University,182,182,,,0,0,0,,0
University of Colorado Boulder,182,175,,,7,0.0384615385,0.0014792899,,0.0384615385
"University of Illinois, Chicago (UIC)",186,185,,,1,0.0053763441,2.89050757312984E-005,,0.0053763441
Queen's University at Kingston,187,206,,,-19,-0.1016042781,0.0103234293,,0.1016042781
Aalto University,187,139,,,48,0.256684492,0.0658869284,,0.256684492
Case Western Reserve University,189,215,,,-26,-0.1375661376,0.0189244422,,0.1375661376
Technion - Israel Institute of Technology,190,198,,,-8,-0.0421052632,0.0017728532,,0.0421052632
The University of Western Ontario,191,192,,,-1,-0.0052356021,2.7411529289219E-005,,0.0052356021
UniversitÃ¤t Hamburg,192,219,,,-27,-0.140625,0.0197753906,,0.140625
University of Florida,192,180,,,12,0.0625,0.00390625,,0.0625
Technische UniversitÃ¤t Berlin (TU Berlin),192,178,,,14,0.0729166667,0.0053168403,,0.0729166667
Tel Aviv University,195,203,,,-8,-0.041025641,0.0016831032,,0.041025641
Michigan State University,195,164,,,31,0.158974359,0.0252728468,,0.158974359
Keio University,197,219,,,-22,-0.1116751269,0.012471334,,0.1116751269
University of Tsukuba,198,219,,,-21,-0.1060606061,0.0112488522,,0.1060606061
Universidad de Buenos Aires (UBA),198,124,,,74,0.3737373737,0.1396796245,,0.3737373737
Georgetown University,200,213,,,-13,-0.065,0.004225,,0.065
University of Sussex,200,187,,,13,0.065,0.004225,,0.065
Sapienza University of Rome,202,213,,,-11,-0.0544554455,0.0029653955,,0.0544554455
National Chiao Tung University,202,182,,,20,0.099009901,0.0098029605,,0.099009901
University of Reading,202,156,,,46,0.2277227723,0.051857661,,0.2277227723
University of Antwerp,205,208,,,-3,-0.0146341463,0.0002141582,,0.0146341463
University of Gothenburg,206,247,,,-41,-0.1990291262,0.0396125931,,0.1990291262
Universidade Estadual de Campinas (Unicamp),206,195,,,11,0.0533980583,0.0028513526,,0.0533980583
University of Turku,208,233,,,-25,-0.1201923077,0.0144461908,,0.1201923077
UniversitÃ© Paris-Sud,209,241,,,-32,-0.1531100478,0.0234426868,,0.1531100478
UniversitÃ© Paris Diderot - Paris 7,210,261,,,-51,-0.2428571429,0.0589795918,,0.2428571429
University of Leicester,211,235,,,-24,-0.1137440758,0.0129377148,,0.1137440758
University Complutense Madrid,212,226,,,-14,-0.0660377358,0.0043609826,,0.0660377358
University of Twente,212,188,,,24,0.1132075472,0.0128159487,,0.1132075472
Tufts University,214,252,,,-38,-0.1775700935,0.0315311381,,0.1775700935
UniversitÃ© Joseph Fourier - Grenoble 1,215,235,,,-20,-0.0930232558,0.0086533261,,0.0930232558
The University of Arizona,215,216,,,-1,-0.0046511628,2.16333153055706E-005,,0.0046511628
UniversitÃ¤t Frankfurt am Main,217,243,,,-26,-0.1198156682,0.0143557943,,0.1198156682
University of Ottawa,218,284,,,-66,-0.3027522936,0.0916589513,,0.3027522936
Hanyang University,219,193,,,26,0.1187214612,0.0140947853,,0.1187214612
Waseda University,220,212,,,8,0.0363636364,0.001322314,,0.0363636364
Universidad de Chile,220,209,,,11,0.05,0.0025,,0.05
Simon Fraser University,222,225,,,-3,-0.0135135135,0.000182615,,0.0135135135
Sciences Po,222,223,,,-1,-0.0045045045,2.02905608311014E-005,,0.0045045045
Indian Institute of Technology Bombay (IITB),222,202,222,202,20,0.0900900901,0.0081162243,,0.0900900901
King Fahd University of Petroleum & Minerals,225,199,,,26,0.1155555556,0.0133530864,,0.1155555556
UniversitÃ© de Strasbourg,226,241,,,-15,-0.0663716814,0.0044052001,,0.0663716814
UniversitÃ© Paris-Sorbonne (Paris IV),227,222,,,5,0.0220264317,0.0004851637,,0.0220264317
UniversitÃ© Paris 1 PanthÃ©on-Sorbonne,228,240,,,-12,-0.0526315789,0.0027700831,,0.0526315789
Politecnico di Milano,229,187,,,42,0.1834061135,0.0336378025,,0.1834061135
University of Dundee,230,261,,,-31,-0.1347826087,0.0181663516,,0.1347826087
University College Cork,230,233,,,-3,-0.0130434783,0.0001701323,,0.0130434783
National Cheng Kung University (NCKU),232,224,,,8,0.0344827586,0.0011890606,,0.0344827586
Saint-Petersburg State University,233,256,,,-23,-0.0987124464,0.0097441471,,0.0987124464
Technische UniversitÃ¤t Dresden,234,227,,,7,0.0299145299,0.0008948791,,0.0299145299
Dalhousie University,235,277,,,-42,-0.1787234043,0.0319420552,,0.1787234043
Indian Institute of Technology Delhi (IITD),235,179,235,179,56,0.2382978723,0.056785876,,0.2382978723
University of Notre Dame,237,195,,,42,0.1772151899,0.0314052235,,0.1772151899
University of Milan,238,306,,,-68,-0.2857142857,0.0816326531,,0.2857142857
University of Miami,239,280,,,-41,-0.1715481172,0.0294287565,,0.1715481172
University of East Anglia (UEA),240,239,,,1,0.0041666667,1.73611111111111E-005,,0.0041666667
Beijing Normal University,240,232,,,8,0.0333333333,0.0011111111,,0.0333333333
University of Canterbury,242,211,,,31,0.1280991736,0.0164093983,,0.1280991736
Chulalongkorn University,243,253,,,-10,-0.0411522634,0.0016935088,,0.0411522634
Charles University in Prague,244,279,,,-35,-0.143442623,0.0205757861,,0.143442623
University of Pisa,245,367,,,-122,-0.4979591837,0.2479633486,,0.4979591837
Norwegian University of Science And Technology,246,254,,,-8,-0.0325203252,0.0010575716,,0.0325203252
University of Strathclyde,246,249,,,-3,-0.012195122,0.000148721,,0.012195122
Vienna University of Technology,246,197,,,49,0.1991869919,0.0396754577,,0.1991869919
University Ulm,249,338,,,-89,-0.3574297189,0.1277560039,,0.3574297189
American University of Beirut (AUB),249,268,,,-19,-0.0763052209,0.0058224867,,0.0763052209
WestfÃ¤lische Wilhelms-Universitat MÃ¼nster,249,256,,,-7,-0.0281124498,0.0007903098,,0.0281124498
King Saud University,249,237,,,12,0.0481927711,0.0023225432,,0.0481927711
Instituto TecnolÃ³gico y de Estudios Superiores de Monterrey,253,238,,,15,0.0592885375,0.0035151307,,0.0592885375
University of Navarra,254,265,,,-11,-0.0433070866,0.0018755038,,0.0433070866
Macquarie University,254,229,,,25,0.0984251969,0.0096875194,,0.0984251969
National Yang Ming University,256,338,,,-82,-0.3203125,0.1026000977,,0.3203125
Mahidol University,257,295,,,-38,-0.1478599222,0.0218625566,,0.1478599222
"The University of Newcastle, Australia (UON)",257,256,,,1,0.0038910506,1.51402746445821E-005,,0.0038910506
University of Oulu,259,358,,,-99,-0.3822393822,0.1461069453,,0.3822393822
Universiti Kebangsaan Malaysia (UKM),259,312,,,-53,-0.2046332046,0.0418747484,,0.2046332046
"University of California, Riverside",261,265,,,-4,-0.0153256705,0.0002348762,,0.0153256705
UniversitÃ  di Padova,262,309,,,-47,-0.179389313,0.0321805256,,0.179389313
Universidad de los Andes,262,283,,,-21,-0.0801526718,0.0064244508,,0.0801526718
University of Technology Sydney,264,218,,,46,0.1742424242,0.0303604224,,0.1742424242
"University of California, Santa Cruz",265,269,,,-4,-0.0150943396,0.0002278391,,0.0150943396
Loughborough University,265,228,,,37,0.1396226415,0.019494482,,0.1396226415
University of Eastern Finland,267,347,,,-80,-0.2996254682,0.0897754212,,0.2996254682
Umea University,267,319,,,-52,-0.1947565543,0.0379301154,,0.1947565543
University of Iowa,269,312,,,-43,-0.1598513011,0.0255524385,,0.1598513011
Technische UniversitÃ¤t Darmstadt,269,246,,,23,0.0855018587,0.0073105678,,0.0855018587
Universidade Federal do Rio de Janeiro,271,323,,,-52,-0.1918819188,0.0368186708,,0.1918819188
UniversitÃ© de LiÃ¨ge,272,265,,,7,0.0257352941,0.0006623054,,0.0257352941
Indiana University Bloomington,272,263,,,9,0.0330882353,0.0010948313,,0.0330882353
UniversitÃ¤t Stuttgart,274,251,,,23,0.0839416058,0.0070461932,,0.0839416058
Kyung Hee University,275,295,,,-20,-0.0727272727,0.0052892562,,0.0727272727
Royal Holloway University of London,275,231,,,44,0.16,0.0256,,0.16
Victoria University of Wellington,275,229,,,46,0.1672727273,0.0279801653,,0.1672727273
UniversitÃ© Paris Descartes,278,387,,,-109,-0.3920863309,0.1537316909,,0.3920863309
Rutgers University - New Brunswick,279,269,,,10,0.0358422939,0.00128467,,0.0358422939
Yeshiva University,280,384,,,-104,-0.3714285714,0.1379591837,,0.3714285714
National University of Ireland Galway,280,271,,,9,0.0321428571,0.0010331633,,0.0321428571
University of Massachusetts Amherst,282,243,,,39,0.1382978723,0.0191263015,,0.1382978723
LinkÃ¶ping University,283,286,,,-3,-0.0106007067,0.000112375,,0.0106007067
University of Wollongong,283,243,,,40,0.1413427562,0.0199777747,,0.1413427562
Friedrich-Alexander-UniversitÃ¤t Erlangen-NÃ¼rnberg,285,292,,,-7,-0.0245614035,0.0006032625,,0.0245614035
Queensland University of Technology (QUT),285,263,,,22,0.0771929825,0.0059587565,,0.0771929825
Universidad Austral,287,309,,,-22,-0.0766550523,0.005875997,,0.0766550523
UniversitÃ¤t Innsbruck,288,295,,,-7,-0.0243055556,0.00059076,,0.0243055556
UniversitÃ¤t  Leipzig,289,384,,,-95,-0.3287197232,0.1080566564,,0.3287197232
University of Victoria,290,319,,,-29,-0.1,0.01,,0.1
Ã‰cole des Ponts ParisTech,290,314,,,-24,-0.0827586207,0.0068489893,,0.0827586207
Ben Gurion University of The Negev,292,259,,,33,0.1130136986,0.0127720961,,0.1130136986
University of Porto,293,308,,,-15,-0.0511945392,0.0026208808,,0.0511945392
Tokyo Medical and Dental University (TMDU),294,391,,,-97,-0.3299319728,0.1088551067,,0.3299319728
Kobe University,294,361,,,-67,-0.2278911565,0.0519343792,,0.2278911565
Universiti Teknologi Malaysia,294,303,,,-9,-0.0306122449,0.0009371095,,0.0306122449
Arizona State University,294,249,,,45,0.1530612245,0.0234277384,,0.1530612245
Laval University,298,324,,,-26,-0.0872483221,0.0076122697,,0.0872483221
Universitat Pompeu Fabra,298,295,,,3,0.0100671141,0.0001013468,,0.0100671141
Johannes Gutenberg UniversitÃ¤t Mainz,300,375,,,-75,-0.25,0.0625,,0.25
University at Buffalo SUNY,300,338,,,-38,-0.1266666667,0.0160444444,,0.1266666667
George Washington University,300,327,,,-27,-0.09,0.0081,,0.09
Indian Institute of Technology Kanpur (IITK),300,271,300,271,29,0.0966666667,0.0093444444,,0.0966666667
RMIT University,304,273,,,31,0.1019736842,0.0103986323,,0.1019736842
University of Cologne,305,331,,,-26,-0.0852459016,0.0072668637,,0.0852459016
Al-Farabi Kazakh National University,305,275,,,30,0.0983606557,0.0096748186,,0.0983606557
University of Southern Denmark,308,361,,,-53,-0.1720779221,0.0296108113,,0.1720779221
Universiti Sains Malaysia (USM),309,289,,,20,0.0647249191,0.0041893152,,0.0647249191
Universitas Indonesia,310,358,,,-48,-0.1548387097,0.023975026,,0.1548387097
UniversitÃ¤t Konstanz,310,319,,,-9,-0.0290322581,0.000842872,,0.0290322581
Universidade Nova de Lisboa,312,351,,,-39,-0.125,0.015625,,0.125
University of Utah,313,369,,,-56,-0.178913738,0.0320101257,,0.178913738
Hiroshima University,314,348,,,-34,-0.1082802548,0.0117246136,,0.1082802548
University of Surrey,314,247,,,67,0.2133757962,0.0455292304,,0.2133757962
Brandeis University,316,381,,,-65,-0.2056962025,0.0423109277,,0.2056962025
Universidad Nacional de Colombia,316,290,,,26,0.082278481,0.0067697484,,0.082278481
University of the Witwatersrand,318,331,,,-13,-0.0408805031,0.0016712155,,0.0408805031
University of JyvÃ¤skylÃ¤,318,319,,,-1,-0.0031446541,9.88884933349156E-006,,0.0031446541
Hong Kong Baptist University,318,281,,,37,0.1163522013,0.0135378347,,0.1163522013
Sun Yat-sen University,321,307,,,14,0.0436137072,0.0019021555,,0.0436137072
Bauman Moscow State Technical University,322,338,,,-16,-0.049689441,0.0024690405,,0.049689441
Indian Institute of Technology Madras (IITM),322,254,322,254,68,0.2111801242,0.0445970449,,0.2111801242
L.N. Gumilyov Eurasian National University (ENU),324,371,,,-47,-0.1450617284,0.021042905,,0.1450617284
Griffith University,324,329,,,-5,-0.0154320988,0.0002381497,,0.0154320988
University of Hawai'i at MaÃ±oa,324,327,,,-3,-0.0092592593,8.57338820301783E-005,,0.0092592593
Indian Institute of Technology Kharagpur (IIT-KGP),324,286,,,38,0.1172839506,0.0137555251,,0.1172839506
UniversitÃ¤t Mannheim,328,394,,,-66,-0.2012195122,0.0404892921,,0.2012195122
Novosibirsk State University,328,317,,,11,0.0335365854,0.0011247026,,0.0335365854
Nankai University,328,277,,,51,0.1554878049,0.0241764575,,0.1554878049
Curtin University,331,284,,,47,0.1419939577,0.020162284,,0.1419939577
SOAS University of London,331,275,,,56,0.16918429,0.028623324,,0.16918429
University of South Australia,333,288,,,45,0.1351351351,0.0182615047,,0.1351351351
King Abdulaziz University (KAU),334,303,,,31,0.0928143713,0.0086145075,,0.0928143713
University of Warsaw,335,344,,,-9,-0.0268656716,0.0007217643,,0.0268656716
Wuhan University,335,273,,,62,0.1850746269,0.0342526175,,0.1850746269
