University,International Faculty-14,International Faculty-15,,,B2-C2,B2/D2,E2^2,,ABS (E2)
The University of Nottingham,85,87.3,,,-2.3,-0.0270588235,0.0007321799,,0.0270588235
University of Strathclyde,85,85.9,,,-0.9,-0.0105882353,0.0001121107,,0.0105882353
University of Bristol,84.7,86.1,,,-1.4,-0.0165289256,0.0002732054,,0.0165289256
The University of Manchester,84.1,83.9,,,0.2,0.0023781213,5.65546084229542E-006,,0.0023781213
Bond University,84,94,,,-10,-0.119047619,0.0141723356,,0.119047619
Middlesex University,83.9,84.3,,,-0.4,-0.0047675805,2.27298233750653E-005,,0.0047675805
Johannes Kepler University Linz,83.4,73.9,,,9.5,0.1139088729,0.0129752313,,0.1139088729
University of Glasgow,82.5,86.9,,,-4.4,-0.0533333333,0.0028444444,,0.0533333333
Ben Gurion University of The Negev,82.3,85.2,,,-2.9,-0.035236938,0.0012416418,,0.035236938
Dublin City University,82,84.5,,,-2.5,-0.0304878049,0.0009295062,,0.0304878049
University of Birmingham,81.9,85.1,,,-3.2,-0.0390720391,0.0015266242,,0.0390720391
The Ohio State University,81.4,80.4,,,1,0.0122850123,0.0001509215,,0.0122850123
University of East Anglia (UEA),81.1,71.3,,,9.8,0.120838471,0.0146019361,,0.120838471
Auckland University of Technology (AUT),81,94,,,-13,-0.1604938272,0.0257582686,,0.1604938272
The University of Sheffield,81,81.5,,,-0.5,-0.0061728395,3.81039475689681E-005,,0.0061728395
Alpen-Adria-Universitaet Klagenfurt,80.9,80.9,,,0,0,0,,0
University of Stirling,80.9,71.5,,,9.4,0.1161928307,0.0135007739,,0.1161928307
University of East London,80.8,82.3,,,-1.5,-0.0185643564,0.0003446353,,0.0185643564
Queen's University at Kingston,80.7,78.6,,,2.1,0.0260223048,0.0006771603,,0.0260223048
WHU - Otto Beisheim School of Management,80.7,66.1,,,14.6,0.1809169765,0.0327309524,,0.1809169765
KTH Royal Institute of Technology,80.6,86.1,,,-5.5,-0.0682382134,0.0046564538,,0.0682382134
UniversitÃ© Catholique de Louvain (UCL),80.5,78.9,,,1.6,0.0198757764,0.0003950465,,0.0198757764
Loughborough University,80.4,79.9,,,0.5,0.0062189055,3.86747852775921E-005,,0.0062189055
University of Dundee,80.3,84.2,,,-3.9,-0.0485678705,0.002358838,,0.0485678705
McGill University,80.1,88.3,,,-8.2,-0.102372035,0.0104800335,,0.102372035
University of Waterloo,79.8,78.3,,,1.5,0.0187969925,0.0003533269,,0.0187969925
The University of Melbourne,79.6,80.1,,,-0.5,-0.006281407,3.9456074341557E-005,,0.006281407
Rice University,79.4,86.1,,,-6.7,-0.0843828715,0.007120469,,0.0843828715
KU Leuven,79.4,80,,,-0.6,-0.0075566751,5.71033380073462E-005,,0.0075566751
Universiti Malaya (UM),79.2,80.6,,,-1.4,-0.0176767677,0.0003124681,,0.0176767677
"Goldsmiths, University of London",79,79.3,,,-0.3,-0.0037974684,1.44207659028999E-005,,0.0037974684
"Ecole normale supÃ©rieure, Paris",79,55.6,,,23.4,0.2962025316,0.0877359398,,0.2962025316
Erasmus University Rotterdam,78.9,69.2,,,9.7,0.1229404309,0.0151143496,,0.1229404309
University of Copenhagen,78.4,82,,,-3.6,-0.0459183673,0.0021084965,,0.0459183673
Maynooth University,78.3,88.3,,,-10,-0.1277139208,0.0163108456,,0.1277139208
University of York,77.8,87.1,,,-9.3,-0.1195372751,0.0142891601,,0.1195372751
Norwegian University of Science And Technology,77.5,75.9,,,1.6,0.0206451613,0.0004262227,,0.0206451613
University of Leeds,77.5,75.8,,,1.7,0.0219354839,0.0004811655,,0.0219354839
Vrije Universiteit Brussel (VUB),77.4,77.1,,,0.3,0.003875969,1.50231356288696E-005,,0.003875969
Newcastle University,77.3,83.4,,,-6.1,-0.0789133247,0.0062273128,,0.0789133247
University of Leicester,77.1,80,,,-2.9,-0.037613489,0.0014147746,,0.037613489
University of Liverpool,76.3,76.9,,,-0.6,-0.0078636959,6.18377137910143E-005,,0.0078636959
University of the Witwatersrand,74.9,88.7,,,-13.8,-0.1842456609,0.0339464636,,0.1842456609
London Metropolitan University,74.7,64.3,,,10.4,0.1392235609,0.0193831999,,0.1392235609
University of Twente,74.5,81.1,,,-6.6,-0.088590604,0.0078482951,,0.088590604
Chalmers University of Technology,74.2,78.7,,,-4.5,-0.0606469003,0.0036780465,,0.0606469003
Princeton University,74.2,47.2,,,27,0.3638814016,0.1324096744,,0.3638814016
University of Bergen,74,78.9,,,-4.9,-0.0662162162,0.0043845873,,0.0662162162
Cardiff University,73.2,71.7,,,1.5,0.0204918033,0.000419914,,0.0204918033
Lund University,73.1,83.5,,,-10.4,-0.1422708618,0.0202409981,,0.1422708618
Missouri University of Science and Technology,73.1,74.9,,,-1.8,-0.024623803,0.0006063317,,0.024623803
University of Notre Dame,72.7,83.5,,,-10.8,-0.1485557084,0.0220687985,,0.1485557084
Kazakh-British Technical University,72.2,75.7,,,-3.5,-0.0484764543,0.0023499666,,0.0484764543
University of Greenwich,72.2,69.5,,,2.7,0.0373961219,0.0013984699,,0.0373961219
Aalto University,72,75.6,,,-3.6,-0.05,0.0025,,0.05
Aalborg University,72,69.4,,,2.6,0.0361111111,0.0013040123,,0.0361111111
Instituto TecnolÃ³gico y de Estudios Superiores de Monterrey,71,83.3,,,-12.3,-0.1732394366,0.0300119024,,0.1732394366
University of Tasmania,70.8,85.1,,,-14.3,-0.2019774011,0.0407948706,,0.2019774011
Bangor University,70.6,69.5,,,1.1,0.0155807365,0.0002427594,,0.0155807365
Washington State University,69.7,67.1,,,2.6,0.037302726,0.0013914934,,0.037302726
University of Cape Town,69.3,70.1,,,-0.8,-0.0115440115,0.0001332642,,0.0115440115
University of Amsterdam,69.2,70,,,-0.8,-0.0115606936,0.0001336496,,0.0115606936
Concordia University,68.9,69.1,,,-0.2,-0.0029027576,0.000008426,,0.0029027576
Leiden University,68.4,66.7,,,1.7,0.0248538012,0.0006177114,,0.0248538012
University of Antwerp,68.4,65,,,3.4,0.0497076023,0.0024708457,,0.0497076023
Swansea University,68.3,63.9,,,4.4,0.0644216691,0.0041501515,,0.0644216691
University of Chicago,67.8,73.4,,,-5.6,-0.0825958702,0.0068220778,,0.0825958702
Karolinska Institutet,67.7,74.8,,,-7.1,-0.1048744461,0.0109986494,,0.1048744461
Universitat Pompeu Fabra,67.6,80.7,,,-13.1,-0.1937869822,0.0375533945,,0.1937869822
University of Southern Denmark,67.2,73.5,,,-6.3,-0.09375,0.0087890625,,0.09375
Technion - Israel Institute of Technology,66.8,60,,,6.8,0.1017964072,0.0103625085,,0.1017964072
Sciences Po,65.7,64.1,,,1.6,0.0243531202,0.0005930745,,0.0243531202
University of Hull,65.1,62.1,,,3,0.0460829493,0.0021236382,,0.0460829493
Aarhus University,65,71,,,-6,-0.0923076923,0.0085207101,,0.0923076923
University of Nebraska-Lincoln,64.7,72.7,,,-8,-0.1236476043,0.0152887301,,0.1236476043
"University of California, Santa Barbara (UCSB)",64.3,62.7,,,1.6,0.0248833593,0.0006191816,,0.0248833593
University of Oulu,64.3,42.4,,,21.9,0.3405909798,0.1160022155,,0.3405909798
Charles Darwin University,64.1,67,,,-2.9,-0.0452418097,0.0020468213,,0.0452418097
University of Illinois at Urbana-Champaign,63.9,62.1,,,1.8,0.0281690141,0.0007934934,,0.0281690141
"University of California, Davis",63.3,65.7,,,-2.4,-0.0379146919,0.0014375239,,0.0379146919
Michigan State University,63.3,61.5,,,1.8,0.028436019,0.0008086072,,0.028436019
Oxford Brookes University,63,65.8,,,-2.8,-0.0444444444,0.0019753086,,0.0444444444
Bar-Ilan University,62.6,44.3,,,18.3,0.2923322684,0.0854581551,,0.2923322684
"University of California, Santa Cruz",61.9,75.8,,,-13.9,-0.2245557351,0.0504252781,,0.2245557351
University of Michigan,61.9,65.4,,,-3.5,-0.056542811,0.0031970895,,0.056542811
Bilkent University,61.4,59.2,,,2.2,0.0358306189,0.0012838333,,0.0358306189
Universidad Diego Portales (UDP),61.1,37.8,,,23.3,0.3813420622,0.1454217684,,0.3813420622
Universiti Teknologi Malaysia,60.6,74,,,-13.4,-0.2211221122,0.0488949885,,0.2211221122
Qafqaz University,60,58.3,,,1.7,0.0283333333,0.0008027778,,0.0283333333
University of Canberra,59.5,54.8,,,4.7,0.0789915966,0.0062396723,,0.0789915966
Weizmann Institute of Science,59.5,34.5,,,25,0.4201680672,0.1765412047,,0.4201680672
University of Helsinki,59.3,59.9,,,-0.6,-0.0101180438,0.0001023748,,0.0101180438
Vienna University of Technology,59.1,62.3,,,-3.2,-0.0541455161,0.0029317369,,0.0541455161
Karl-Franzens-Universitaet Graz,59.1,56.8,,,2.3,0.0389170897,0.0015145399,,0.0389170897
Swinburne University of Technology,58.8,73.5,,,-14.7,-0.25,0.0625,,0.25
University at Buffalo SUNY,58.6,70,,,-11.4,-0.1945392491,0.0378455195,,0.1945392491
"University of Illinois, Chicago (UIC)",58.4,61.3,,,-2.9,-0.0496575342,0.0024658707,,0.0496575342
"Kingston University, London",58.2,61.5,,,-3.3,-0.0567010309,0.0032150069,,0.0567010309
Universidad de Montevideo (UM),58.1,34.1,,,24,0.413080895,0.1706358258,,0.413080895
Aberystwyth University,58,64.7,,,-6.7,-0.1155172414,0.0133442331,,0.1155172414
Ludwig-Maximilians-UniversitÃ¤t MÃ¼nchen,57.9,57.1,,,0.8,0.0138169257,0.0001909074,,0.0138169257
Technische UniversitÃ¤t Darmstadt,57.7,59.9,,,-2.2,-0.0381282496,0.0014537634,,0.0381282496
Koc University,57.7,39.6,,,18.1,0.3136915078,0.0984023621,,0.3136915078
Kuwait University,57.4,51.9,,,5.5,0.0958188153,0.0091812454,,0.0958188153
Universidad de las AmÃ©ricas Puebla (UDLAP),57.3,44.3,,,13,0.2268760908,0.0514727606,,0.2268760908
UniversitÃ© Charles-de-Gaulle Lille 3,57.1,53.9,,,3.2,0.0560420315,0.0031407093,,0.0560420315
Beijing Normal University,57,58.6,,,-1.6,-0.0280701754,0.0007879347,,0.0280701754
Keele University,56.6,65.3,,,-8.7,-0.1537102473,0.0236268401,,0.1537102473
UniversitÃ¤t Konstanz,56.4,59.2,,,-2.8,-0.0496453901,0.0024646648,,0.0496453901
International Islamic University Malaysia (IIUM),56.2,54.4,,,1.8,0.0320284698,0.0010258229,,0.0320284698
Laval University,55.8,67.7,,,-11.9,-0.2132616487,0.0454805308,,0.2132616487
University of Hertfordshire,55.8,56.6,,,-0.8,-0.0143369176,0.0002055472,,0.0143369176
"University of California, Irvine",55.5,52.8,,,2.7,0.0486486486,0.002366691,,0.0486486486
University of Virginia,55.4,53.4,,,2,0.036101083,0.0013032882,,0.036101083
Ghent University,55.3,55.8,,,-0.5,-0.0090415913,8.17503735992073E-005,,0.0090415913
University of Pittsburgh,55.2,64.6,,,-9.4,-0.1702898551,0.0289986347,,0.1702898551
University of Pennsylvania,54.4,52.9,,,1.5,0.0275735294,0.0007602995,,0.0275735294
Charles Sturt University,54.4,52.7,,,1.7,0.03125,0.0009765625,,0.03125
University of Oslo,54.3,67,,,-12.7,-0.2338858195,0.0547025766,,0.2338858195
Radboud University,54.3,52.2,,,2.1,0.0386740331,0.0014956808,,0.0386740331
Wuhan University,54.1,64.6,,,-10.5,-0.1940850277,0.037668998,,0.1940850277
"KIT, Karlsruhe Institute of Technology",53.9,57.1,,,-3.2,-0.0593692022,0.0035247022,,0.0593692022
Pohang University of Science And Technology (POSTECH),53.8,49.7,,,4.1,0.0762081784,0.0058076865,,0.0762081784
University of Bradford,53.7,59,,,-5.3,-0.0986964618,0.0097409916,,0.0986964618
Freie Universitaet Berlin,53.3,60.1,,,-6.8,-0.1275797373,0.0162765894,,0.1275797373
Utrecht University,53,59.4,,,-6.4,-0.120754717,0.0145817017,,0.120754717
Khazar University,53,58.5,,,-5.5,-0.1037735849,0.0107689569,,0.1037735849
University of South Florida,52.9,58.2,,,-5.3,-0.1001890359,0.0100378429,,0.1001890359
University of Calgary,52.1,69.1,,,-17,-0.3262955854,0.1064688091,,0.3262955854
Humboldt-UniversitÃ¤t zu Berlin,52.1,55.4,,,-3.3,-0.0633397313,0.0040119216,,0.0633397313
ESSEC Business School,51.9,87.7,,,-35.8,-0.6897880539,0.4758075594,,0.6897880539
University of Guelph,51.6,50,,,1.6,0.0310077519,0.0009614807,,0.0310077519
Ruprecht-Karls-Universitaet Heidelberg,51.6,49.5,,,2.1,0.0406976744,0.0016563007,,0.0406976744
National Chiao Tung University,51.6,49,,,2.6,0.0503875969,0.0025389099,,0.0503875969
Oregon State University,51.5,58.5,,,-7,-0.1359223301,0.0184748798,,0.1359223301
Ã‰cole Normale SupÃ©rieure de Lyon,51.4,53.9,,,-2.5,-0.0486381323,0.0023656679,,0.0486381323
University of Hawai'i at MaÃ±oa,51,64.6,,,-13.6,-0.2666666667,0.0711111111,,0.2666666667
Nanjing University,51,38.7,,,12.3,0.2411764706,0.05816609,,0.2411764706
Technical University of Munich,50.5,53,,,-2.5,-0.0495049505,0.0024507401,,0.0495049505
Tsinghua University,50,47.8,,,2.2,0.044,0.001936,,0.044
"University of Missouri, Columbia",49.7,45.4,,,4.3,0.0865191147,0.0074855572,,0.0865191147
University of Wisconsin-Madison,48.8,51.6,,,-2.8,-0.0573770492,0.0032921258,,0.0573770492
Albert-Ludwigs-Universitaet Freiburg,48.4,58.3,,,-9.9,-0.2045454545,0.041838843,,0.2045454545
Abo Akademi University,48.3,45,,,3.3,0.0683229814,0.0046680298,,0.0683229814
Plymouth University,48,52.8,,,-4.8,-0.1,0.01,,0.1
Tufts University,47.6,30.1,,,17.5,0.3676470588,0.1351643599,,0.3676470588
Hankuk (Korea) University of Foreign Studies,47.3,38.7,,,8.6,0.1818181818,0.0330578512,,0.1818181818
UniversitÃ© Paris Dauphine,47.2,43.3,,,3.9,0.0826271186,0.0068272407,,0.0826271186
University of Johannesburg,46.9,61.5,,,-14.6,-0.3113006397,0.0969080883,,0.3113006397
UniversitÃ© Toulouse 1 Capitole,46.7,43.6,,,3.1,0.0663811563,0.0044064579,,0.0663811563
National Tsing Hua University,46.4,39.1,,,7.3,0.1573275862,0.0247519694,,0.1573275862
University Ulm,46.2,48.4,,,-2.2,-0.0476190476,0.0022675737,,0.0476190476
Vrije Universiteit Amsterdam,45.1,44.3,,,0.8,0.0177383592,0.0003146494,,0.0177383592
Seoul National University,44.9,30.2,,,14.7,0.3273942094,0.1071869683,,0.3273942094
Wageningen University,44.7,42.8,,,1.9,0.0425055928,0.0018067254,,0.0425055928
Georgetown University,44.6,44.7,,,-0.1,-0.0022421525,5.02724768243896E-006,,0.0022421525
Dublin Institute of Technology,44.3,42.7,,,1.6,0.0361173815,0.0013044652,,0.0361173815
UniversitÃ¤t Regensburg,44.1,42.6,,,1.5,0.0340136054,0.0011569254,,0.0340136054
The Hebrew University of Jerusalem,43.6,52,,,-8.4,-0.1926605505,0.0371180877,,0.1926605505
Robert Gordon University,43.5,46.5,,,-3,-0.0689655172,0.0047562426,,0.0689655172
York University,43.3,36.7,,,6.6,0.1524249423,0.023233363,,0.1524249423
University of Bayreuth,43.2,39.7,,,3.5,0.0810185185,0.0065640003,,0.0810185185
Eberhard Karls UniversitÃ¤t TÃ¼bingen,42.9,47.2,,,-4.3,-0.1002331002,0.0100466744,,0.1002331002
Shanghai Jiao Tong University,42.5,60.8,,,-18.3,-0.4305882353,0.1854062284,,0.4305882353
UniversitÃ¤t des Saarlandes,42.4,48.8,,,-6.4,-0.1509433962,0.0227839089,,0.1509433962
"University of North Carolina, Chapel Hill",42.2,38.1,,,4.1,0.0971563981,0.0094393657,,0.0971563981
Sabanci University,42.1,52.6,,,-10.5,-0.2494061758,0.0622034405,,0.2494061758
Universidade Nova de Lisboa,41,39.5,,,1.5,0.0365853659,0.001338489,,0.0365853659
Fudan University,40.9,52.2,,,-11.3,-0.2762836186,0.0763326379,,0.2762836186
Georg-August-University Goettingen,40.9,44.5,,,-3.6,-0.0880195599,0.0077474429,,0.0880195599
Universidad de Palermo (UP),40.7,40.1,,,0.6,0.0147420147,0.000217327,,0.0147420147
Friedrich-Alexander-UniversitÃ¤t Erlangen-NÃ¼rnberg,40.6,30.6,,,10,0.2463054187,0.0606663593,,0.2463054187
