University,OVERALL SCORE-14,OVERALL SCORE-15,OVERALL SCORE-14,OVERALL SCORE-15,B2-C2,D2/B2,E2^2,,ABS
"University of California, San Diego (UCSD)",78.6,82.5,,,-3.9,-0.0496183206,0.0024619777,,0.0496183206
Lund University,78.3,75.4,,,2.9,0.037037037,0.0013717421,,0.037037037
The University of Warwick,78.1,81.6,,,-3.5,-0.0448143406,0.0020083251,,0.0448143406
"University of North Carolina, Chapel Hill",77.5,73.7,,,3.8,0.0490322581,0.0024041623,,0.0490322581
University of Illinois at Urbana-Champaign,76.9,77.5,,,-0.6,-0.0078023407,6.0876520433372E-005,,0.0078023407
University of Birmingham,76.7,74.6,,,2.1,0.0273794003,0.0007496316,,0.0273794003
University of Washington,76.5,76.3,,,0.2,0.0026143791,0.000006835,,0.0026143791
Carnegie Mellon University,76.5,76.8,,,-0.3,-0.0039215686,1.53787004998075E-005,,0.0039215686
University of Helsinki,76.4,70.1,,,6.3,0.082460733,0.0067997725,,0.082460733
Tokyo Institute of Technology,76.3,79.4,,,-3.1,-0.0406290957,0.0016507234,,0.0406290957
The University of Sheffield,75.7,73.6,,,2.1,0.0277410832,0.0007695677,,0.0277410832
Monash University,75.5,76,,,-0.5,-0.0066225166,4.38577255383536E-005,,0.0066225166
"Trinity College Dublin, The University of Dublin",75.3,74.3,,,1,0.0132802125,0.000176364,,0.0132802125
Tohoku University,75.3,75.2,,,0.1,0.0013280212,1.76364043604226E-006,,0.0013280212
Fudan University,75.3,81.1,,,-5.8,-0.0770252324,0.0059328864,,0.0770252324
London School of Economics and Political Science (LSE),75.3,86.2,,,-10.9,-0.1447543161,0.020953812,,0.1447543161
Leiden University,75.2,70.3,,,4.9,0.0651595745,0.0042457701,,0.0651595745
National Taiwan University (NTU),75.1,75.4,,,-0.3,-0.0039946738,1.59574185152166E-005,,0.0039946738
The University of Nottingham,74.9,75.4,,,-0.5,-0.0066755674,4.45632004221026E-005,,0.0066755674
Boston University,74.8,71.1,,,3.7,0.0494652406,0.00244681,,0.0494652406
University of Texas at Austin,74.6,74.5,,,0.1,0.0013404826,1.79689353046433E-006,,0.0013404826
Utrecht University,74.5,70.7,,,3.8,0.0510067114,0.0026016846,,0.0510067114
Uppsala University,74.2,68.4,,,5.8,0.0781671159,0.006110098,,0.0781671159
KU Leuven,74.1,72.4,,,1.7,0.0229419703,0.000526334,,0.0229419703
UniversitÃ© de MontrÃ©al,73.6,66.6,,,7,0.0951086957,0.009045664,,0.0951086957
University of Alberta,73.3,70.1,,,3.2,0.0436562074,0.0019058644,,0.0436562074
University of Geneva,73.1,71.2,,,1.9,0.0259917921,0.0006755733,,0.0259917921
Pohang University of Science And Technology (POSTECH),72.9,72,,,0.9,0.012345679,0.0001524158,,0.012345679
Delft University of Technology,72.9,76.5,,,-3.6,-0.049382716,0.0024386526,,0.049382716
University of St Andrews,72.7,75.9,,,-3.2,-0.0440165062,0.0019374528,,0.0440165062
The University of Western Australia,72.6,69.4,,,3.2,0.044077135,0.0019427938,,0.044077135
Erasmus University Rotterdam,72.1,64.5,,,7.6,0.105409154,0.0111110897,,0.105409154
University of Groningen,72.1,68.8,,,3.3,0.0457697642,0.0020948713,,0.0457697642
The University of Auckland,72,72.4,,,-0.4,-0.0055555556,3.08641975308651E-005,,0.0055555556
Durham University,72,77,,,-5,-0.0694444444,0.0048225309,,0.0694444444
University of Southampton,71.9,72.8,,,-0.9,-0.0125173853,0.0001566849,,0.0125173853
"University of California, Davis",71.7,72.2,,,-0.5,-0.0069735007,4.86297119759419E-005,,0.0069735007
Aarhus University,71.6,67.4,,,4.2,0.0586592179,0.0034409038,,0.0586592179
University of Leeds,71.3,72,,,-0.7,-0.0098176718,9.63866797542737E-005,,0.0098176718
Queen Mary University of London,71.2,67,,,4.2,0.058988764,0.0034796743,,0.058988764
Washington University in St. Louis,70.8,66.9,,,3.9,0.0550847458,0.0030343292,,0.0550847458
The University of Adelaide,70.5,66.7,,,3.8,0.0539007092,0.0029052865,,0.0539007092
University of Oslo,70.1,63.4,,,6.7,0.0955777461,0.0091351055,,0.0955777461
Purdue University,69.5,71.2,,,-1.7,-0.0244604317,0.0005983127,,0.0244604317
Nagoya University,69.4,65.6,,,3.8,0.0547550432,0.0029981148,,0.0547550432
Shanghai Jiao Tong University,69.1,75.4,,,-6.3,-0.0911722142,0.0083123726,,0.0911722142
University of Lausanne,68.9,62.4,,,6.5,0.0943396226,0.0088999644,,0.0943396226
Yonsei University,68.4,67.9,,,0.5,0.0073099415,5.34352450326596E-005,,0.0073099415
Georgia Institute of Technology,68.3,72.3,,,-4,-0.0585651537,0.0034298772,,0.0585651537
City University of Hong Kong,68.2,79.2,,,-11,-0.1612903226,0.0260145682,,0.1612903226
The Ohio State University,68.1,69.3,,,-1.2,-0.0176211454,0.0003105048,,0.0176211454
KTH Royal Institute of Technology,67.9,70.9,,,-3,-0.0441826215,0.001952104,,0.0441826215
University of Pittsburgh,67.7,63.5,,,4.2,0.0620384047,0.0038487637,,0.0620384047
Pennsylvania State University,67.5,68.7,,,-1.2,-0.0177777778,0.0003160494,,0.0177777778
McMaster University,67.4,61.5,,,5.9,0.087537092,0.0076627425,,0.087537092
Lomonosov Moscow State University,66.9,67.2,,,-0.3,-0.0044843049,0.000020109,,0.0044843049
UniversitÃ© Pierre et Marie Curie (UPMC),66.2,63.2,,,3,0.0453172205,0.0020536505,,0.0453172205
University of Basel,66,63.1,,,2.9,0.0439393939,0.0019306703,,0.0439393939
Korea University,66,68.2,,,-2.2,-0.0333333333,0.0011111111,,0.0333333333
Maastricht University,65.8,58.2,,,7.6,0.1155015198,0.0133406011,,0.1155015198
University of Minnesota,65.7,64.9,,,0.8,0.0121765601,0.0001482686,,0.0121765601
University of York,65.1,68.3,,,-3.2,-0.0491551459,0.0024162284,,0.0491551459
Albert-Ludwigs-Universitaet Freiburg,64.8,63.5,,,1.3,0.0200617284,0.0004024729,,0.0200617284
"University of Maryland, College Park",64.7,64.5,,,0.2,0.0030911901,9.5554562849822E-006,,0.0030911901
University of Liverpool,64.5,61.1,,,3.4,0.0527131783,0.0027786792,,0.0527131783
Cardiff University,64.5,65,,,-0.5,-0.007751938,6.00925425154738E-005,,0.007751938
Technical University of Denmark,64.5,66.8,,,-2.3,-0.0356589147,0.0012715582,,0.0356589147
Kyushu University,64.4,62.7,,,1.7,0.0263975155,0.0006968288,,0.0263975155
Newcastle University,64.3,59.4,,,4.9,0.0762052877,0.0058072459,,0.0762052877
"KIT, Karlsruhe Institute of Technology",64.3,70.8,,,-6.5,-0.101088647,0.0102189145,,0.101088647
Ghent University,64.2,64.6,,,-0.4,-0.0062305296,3.88194990343633E-005,,0.0062305296
Rice University,64.2,67.8,,,-3.6,-0.0560747664,0.0031443794,,0.0560747664
University of Southern California,64,64.2,,,-0.2,-0.003125,9.76562500000028E-006,,0.003125
Universidade de SÃ£o Paulo,63.9,62.4,,,1.5,0.0234741784,0.0005510371,,0.0234741784
"University of California, Santa Barbara (UCSB)",63.9,64.3,,,-0.4,-0.0062597809,3.91848570120074E-005,,0.0062597809
Humboldt-UniversitÃ¤t zu Berlin,63.7,64.5,,,-0.8,-0.0125588697,0.0001577252,,0.0125588697
Hokkaido University,63.4,63.1,,,0.3,0.0047318612,2.23905104041234E-005,,0.0047318612
Dartmouth College,63.3,60,,,3.3,0.0521327014,0.0027178186,,0.0521327014
University of Aberdeen,62.9,63.2,,,-0.3,-0.0047694754,2.27478951878098E-005,,0.0047694754
The Hebrew University of Jerusalem,62.7,61.8,,,0.9,0.014354067,0.0002060392,,0.014354067
University College Dublin,62.6,60.5,,,2.1,0.0335463259,0.001125356,,0.0335463259
Sungkyunkwan University (SKKU),62.2,66.1,,,-3.9,-0.0627009646,0.003931411,,0.0627009646
Eberhard Karls UniversitÃ¤t TÃ¼bingen,62,57,,,5,0.0806451613,0.006503642,,0.0806451613
University of Virginia,62,57.7,,,4.3,0.0693548387,0.0048100937,,0.0693548387
University of Cape Town,62,57.8,,,4.2,0.0677419355,0.0045889698,,0.0677419355
Zhejiang University,61.9,66.9,,,-5,-0.0807754443,0.0065246724,,0.0807754443
University of Bern,61.8,58.6,,,3.2,0.0517799353,0.0026811617,,0.0517799353
Georg-August-University Goettingen,61.5,58.5,,,3,0.0487804878,0.002379536,,0.0487804878
RWTH Aachen University,61.2,62.2,,,-1,-0.0163398693,0.0002669913,,0.0163398693
Eindhoven University of Technology,61.2,66.2,,,-5,-0.0816993464,0.0066747832,,0.0816993464
University of Science and Technology of China,61.2,66.7,,,-5.5,-0.089869281,0.0080764877,,0.089869281
Freie Universitaet Berlin,61.1,65.7,,,-4.6,-0.0752864157,0.0056680444,,0.0752864157
Universiti Malaya (UM),61,62.1,,,-1.1,-0.0180327869,0.0003251814,,0.0180327869
Wageningen University,61,63.4,,,-2.4,-0.0393442623,0.001547971,,0.0393442623
"University of California, Irvine",60.8,59.2,,,1.6,0.0263157895,0.0006925208,,0.0263157895
UniversitÃ© Catholique de Louvain (UCL),60.7,61.5,,,-0.8,-0.0131795717,0.0001737011,,0.0131795717
University of Bergen,60.3,55.9,,,4.4,0.0729684909,0.0053244007,,0.0729684909
Radboud University,60,56.7,,,3.3,0.055,0.003025,,0.055
Emory University,60,58.8,,,1.2,0.02,0.0004,,0.02
University of Vienna,60,60.8,,,-0.8,-0.0133333333,0.0001777778,,0.0133333333
University of Otago,59.9,57,,,2.9,0.0484140234,0.0023439177,,0.0484140234
Lancaster University,59.7,65.5,,,-5.8,-0.0971524288,0.0094385944,,0.0971524288
The University of Exeter,59.6,59.5,,,0.1,0.0016778523,2.81518850502238E-006,,0.0016778523
Nanjing University,59.3,64.2,,,-4.9,-0.0826306914,0.0068278312,,0.0826306914
The Hong Kong Polytechnic University,59.3,66.3,,,-7,-0.1180438449,0.0139343493,,0.1180438449
University of Rochester,59,54.8,,,4.2,0.0711864407,0.0050675093,,0.0711864407
Texas A&M University,58.8,59.7,,,-0.9,-0.0153061224,0.0002342774,,0.0153061224
University of Barcelona,58.7,58.6,,,0.1,0.0017035775,2.90217634203898E-006,,0.0017035775
Pontificia Universidad CatÃ³lica de Chile (UC),58.3,58.1,,,0.2,0.0034305317,1.17685479671299E-005,,0.0034305317
National Tsing Hua University,58.3,60.2,,,-1.9,-0.0325900515,0.0010621115,,0.0325900515
University of Waterloo,57.8,60.9,,,-3.1,-0.053633218,0.0028765221,,0.053633218
Queen's University Belfast,57.7,55.8,,,1.9,0.0329289428,0.0010843153,,0.0329289428
University of Calgary,57.6,52.5,,,5.1,0.0885416667,0.0078396267,,0.0885416667
Vrije Universiteit Amsterdam,57.6,56.8,,,0.8,0.0138888889,0.0001929012,,0.0138888889
Universite libre de Bruxelles,57.5,52,,,5.5,0.0956521739,0.0091493384,,0.0956521739
Universitat AutÃ²noma de Barcelona,57.5,54.8,,,2.7,0.0469565217,0.0022049149,,0.0469565217
Universidad Nacional AutÃ³noma de MÃ©xico  (UNAM),56.9,59.6,,,-2.7,-0.0474516696,0.0022516609,,0.0474516696
Chalmers University of Technology,56.9,64,,,-7.1,-0.1247803163,0.0155701273,,0.1247803163
Rheinische Friedrich-Wilhelms-UniversitÃ¤t Bonn,56.8,51.4,,,5.4,0.0950704225,0.0090383852,,0.0950704225
Universidad AutÃ³noma de Madrid,56.5,55.5,,,1,0.017699115,0.0003132587,,0.017699115
Ã‰cole Normale SupÃ©rieure de Lyon,56.3,55.1,,,1.2,0.0213143872,0.0004543031,,0.0213143872
University of Bath,56.3,59.8,,,-3.5,-0.0621669627,0.0038647313,,0.0621669627
Vrije Universiteit Brussel (VUB),56.2,54.2,,,2,0.0355871886,0.001266448,,0.0355871886
Vanderbilt University,55.8,50.7,,,5.1,0.0913978495,0.0083535669,,0.0913978495
Alma Mater Studiorum - University of Bologna,55.8,52.5,,,3.3,0.0591397849,0.0034975142,,0.0591397849
Stockholm University,55.8,55.8,,,0,0,0,,0
University of Colorado Boulder,55.8,56.9,,,-1.1,-0.0197132616,0.0003886127,,0.0197132616
"University of Illinois, Chicago (UIC)",55.7,55.7,,,0,0,0,,0
Queen's University at Kingston,55.5,52.4,,,3.1,0.0558558559,0.0031198766,,0.0558558559
Aalto University,55.5,63.1,,,-7.6,-0.1369369369,0.0187517247,,0.1369369369
Case Western Reserve University,55.4,50.8,,,4.6,0.083032491,0.0068943946,,0.083032491
Technion - Israel Institute of Technology,55.3,53.8,,,1.5,0.027124774,0.0007357534,,0.027124774
The University of Western Ontario,55.2,54.6,,,0.6,0.0108695652,0.0001181474,,0.0108695652
UniversitÃ¤t Hamburg,54.9,50.4,,,4.5,0.0819672131,0.006718624,,0.0819672131
University of Florida,54.9,56.1,,,-1.2,-0.0218579235,0.0004777688,,0.0218579235
Technische UniversitÃ¤t Berlin (TU Berlin),54.9,56.6,,,-1.7,-0.0309653916,0.0009588555,,0.0309653916
Tel Aviv University,54.6,52.7,,,1.9,0.0347985348,0.001210938,,0.0347985348
Michigan State University,54.6,58.9,,,-4.3,-0.0787545788,0.0062022837,,0.0787545788
Keio University,54.4,50.4,,,4,0.0735294118,0.0054065744,,0.0735294118
University of Tsukuba,54.3,50.4,,,3.9,0.0718232044,0.0051585727,,0.0718232044
Universidad de Buenos Aires (UBA),54.3,64.6,,,-10.3,-0.1896869245,0.0359811293,,0.1896869245
Georgetown University,53.9,51,,,2.9,0.0538033395,0.0028947993,,0.0538033395
University of Sussex,53.9,55.6,,,-1.7,-0.0315398887,0.0009947646,,0.0315398887
Sapienza University of Rome,53.8,51,,,2.8,0.0520446097,0.0027086414,,0.0520446097
National Chiao Tung University,53.8,55.8,,,-2,-0.0371747212,0.0013819599,,0.0371747212
University of Reading,53.8,60.1,,,-6.3,-0.1171003717,0.0137124971,,0.1171003717
University of Antwerp,53.6,51.9,,,1.7,0.0317164179,0.0010059312,,0.0317164179
University of Gothenburg,53.5,47.6,,,5.9,0.1102803738,0.0121617609,,0.1102803738
Universidade Estadual de Campinas (Unicamp),53.5,54.1,,,-0.6,-0.0112149533,0.0001257752,,0.0112149533
University of Turku,53.4,49.1,,,4.3,0.0805243446,0.0064841701,,0.0805243446
UniversitÃ© Paris-Sud,53.3,48.1,,,5.2,0.0975609756,0.009518144,,0.0975609756
UniversitÃ© Paris Diderot - Paris 7,53,46,,,7,0.1320754717,0.0174439302,,0.1320754717
University of Leicester,52.7,48.9,,,3.8,0.0721062619,0.005199313,,0.0721062619
University Complutense Madrid,52.2,49.7,,,2.5,0.0478927203,0.0022937127,,0.0478927203
University of Twente,52.2,55.1,,,-2.9,-0.0555555556,0.0030864198,,0.0555555556
Tufts University,51.9,46.9,,,5,0.0963391137,0.0092812248,,0.0963391137
UniversitÃ© Joseph Fourier - Grenoble 1,51.8,48.9,,,2.9,0.055984556,0.0031342705,,0.055984556
The University of Arizona,51.8,50.7,,,1.1,0.0212355212,0.0004509474,,0.0212355212
UniversitÃ¤t Frankfurt am Main,51.6,48,,,3.6,0.0697674419,0.0048674959,,0.0697674419
University of Ottawa,51.3,43.8,,,7.5,0.1461988304,0.021374098,,0.1461988304
Hanyang University,51.1,54.4,,,-3.3,-0.0645792564,0.0041704804,,0.0645792564
Waseda University,50.9,51.1,,,-0.2,-0.0039292731,1.54391869724145E-005,,0.0039292731
Universidad de Chile,50.9,51.6,,,-0.7,-0.0137524558,0.00018913,,0.0137524558
Simon Fraser University,50.7,50,,,0.7,0.0138067061,0.0001906251,,0.0138067061
Sciences Po,50.7,50.2,,,0.5,0.0098619329,9.72577212904933E-005,,0.0098619329
Indian Institute of Technology Bombay (IITB),50.7,52.8,50.7,52.8,-2.1,-0.0414201183,0.0017156262,,0.0414201183
King Fahd University of Petroleum & Minerals,50.5,53.5,,,-3,-0.0594059406,0.0035290658,,0.0594059406
UniversitÃ© de Strasbourg,50.4,48.1,,,2.3,0.0456349206,0.002082546,,0.0456349206
UniversitÃ© Paris-Sorbonne (Paris IV),50.3,50.3,,,0,0,0,,0
UniversitÃ© Paris 1 PanthÃ©on-Sorbonne,50,48.2,,,1.8,0.036,0.001296,,0.036
Politecnico di Milano,49.9,55.2,,,-5.3,-0.1062124248,0.0112810792,,0.1062124248
University of Dundee,49.5,46,,,3.5,0.0707070707,0.0049994898,,0.0707070707
University College Cork,49.5,49.1,,,0.4,0.0080808081,6.52994592388527E-005,,0.0080808081
National Cheng Kung University (NCKU),49.3,50.1,,,-0.8,-0.0162271805,0.0002633214,,0.0162271805
Saint-Petersburg State University,49.2,46.4,,,2.8,0.0569105691,0.0032388129,,0.0569105691
Technische UniversitÃ¤t Dresden,49.1,49.6,,,-0.5,-0.0101832994,0.0001036996,,0.0101832994
Dalhousie University,48.6,44.7,,,3.9,0.0802469136,0.0064395671,,0.0802469136
Indian Institute of Technology Delhi (IITD),48.6,56.4,48.6,56.4,-7.8,-0.1604938272,0.0257582686,,0.1604938272
University of Notre Dame,48.5,54.1,,,-5.6,-0.1154639175,0.0133319163,,0.1154639175
University of Milan,48.2,41.8,,,6.4,0.132780083,0.0176305504,,0.132780083
University of Miami,47.6,44.5,,,3.1,0.0651260504,0.0042414024,,0.0651260504
University of East Anglia (UEA),47.4,48.4,,,-1,-0.0210970464,0.0004450854,,0.0210970464
Beijing Normal University,47.4,49.2,,,-1.8,-0.0379746835,0.0014420766,,0.0379746835
University of Canterbury,47.2,51.2,,,-4,-0.0847457627,0.0071818443,,0.0847457627
Chulalongkorn University,47.1,46.8,,,0.3,0.0063694268,4.05695971439015E-005,,0.0063694268
Charles University in Prague,47,44.6,,,2.4,0.0510638298,0.0026075147,,0.0510638298
University of Pisa,46.9,37.1,,,9.8,0.2089552239,0.0436622856,,0.2089552239
Norwegian University of Science And Technology,46.4,46.6,,,-0.2,-0.0043103448,1.85790725326997E-005,,0.0043103448
University of Strathclyde,46.4,47.5,,,-1.1,-0.0237068966,0.0005620169,,0.0237068966
Vienna University of Technology,46.4,53.9,,,-7.5,-0.161637931,0.0261268207,,0.161637931
University Ulm,46.2,39.2,,,7,0.1515151515,0.0229568411,,0.1515151515
American University of Beirut (AUB),46.2,45.4,,,0.8,0.0173160173,0.0002998445,,0.0173160173
WestfÃ¤lische Wilhelms-Universitat MÃ¼nster,46.2,46.4,,,-0.2,-0.0043290043,1.87402784805374E-005,,0.0043290043
King Saud University,46.2,48.7,,,-2.5,-0.0541125541,0.0029281685,,0.0541125541
Instituto TecnolÃ³gico y de Estudios Superiores de Monterrey,46.1,48.6,,,-2.5,-0.0542299349,0.0029408858,,0.0542299349
University of Navarra,45.8,45.5,,,0.3,0.0065502183,4.29053603096805E-005,,0.0065502183
Macquarie University,45.8,49.4,,,-3.6,-0.0786026201,0.0061783719,,0.0786026201
National Yang Ming University,45.6,39.2,,,6.4,0.1403508772,0.0196983687,,0.1403508772
Mahidol University,45.5,42.6,,,2.9,0.0637362637,0.0040623113,,0.0637362637
"The University of Newcastle, Australia (UON)",45.5,46.4,,,-0.9,-0.0197802198,0.0003912571,,0.0197802198
University of Oulu,45.4,37.7,,,7.7,0.1696035242,0.0287653554,,0.1696035242
Universiti Kebangsaan Malaysia (UKM),45.4,41.3,,,4.1,0.09030837,0.0081556017,,0.09030837
"University of California, Riverside",45.2,45.5,,,-0.3,-0.0066371681,0.000044052,,0.0066371681
UniversitÃ  di Padova,45.1,41.4,,,3.7,0.0820399113,0.006730547,,0.0820399113
Universidad de los Andes,45.1,43.9,,,1.2,0.0266075388,0.0007079611,,0.0266075388
University of Technology Sydney,45,50.5,,,-5.5,-0.1222222222,0.0149382716,,0.1222222222
"University of California, Santa Cruz",44.9,45.2,,,-0.3,-0.0066815145,4.46426357012131E-005,,0.0066815145
Loughborough University,44.9,49.5,,,-4.6,-0.1024498886,0.0104959797,,0.1024498886
University of Eastern Finland,44.8,38.8,,,6,0.1339285714,0.0179368622,,0.1339285714
Umea University,44.8,40.4,,,4.4,0.0982142857,0.0096460459,,0.0982142857
University of Iowa,44.7,41.3,,,3.4,0.0760626398,0.0057855252,,0.0760626398
Technische UniversitÃ¤t Darmstadt,44.7,47.7,,,-3,-0.067114094,0.0045043016,,0.067114094
Universidade Federal do Rio de Janeiro,44.5,40.3,,,4.2,0.0943820225,0.0089079662,,0.0943820225
UniversitÃ© de LiÃ¨ge,44.4,45.5,,,-1.1,-0.0247747748,0.0006137895,,0.0247747748
Indiana University Bloomington,44.4,45.8,,,-1.4,-0.0315315315,0.0009942375,,0.0315315315
UniversitÃ¤t Stuttgart,44.3,47,,,-2.7,-0.0609480813,0.0037146686,,0.0609480813
Kyung Hee University,44.2,42.6,,,1.6,0.036199095,0.0013103745,,0.036199095
Royal Holloway University of London,44.2,49.3,,,-5.1,-0.1153846154,0.0133136095,,0.1153846154
Victoria University of Wellington,44.2,49.4,,,-5.2,-0.1176470588,0.0138408304,,0.1176470588
UniversitÃ© Paris Descartes,44,35.9,,,8.1,0.1840909091,0.0338894628,,0.1840909091
Rutgers University - New Brunswick,43.7,45.2,,,-1.5,-0.0343249428,0.0011782017,,0.0343249428
Yeshiva University,43.6,36,,,7.6,0.1743119266,0.0303846478,,0.1743119266
National University of Ireland Galway,43.6,45,,,-1.4,-0.0321100917,0.001031058,,0.0321100917
University of Massachusetts Amherst,43.5,48,,,-4.5,-0.1034482759,0.0107015458,,0.1034482759
LinkÃ¶ping University,43.4,43.7,,,-0.3,-0.0069124424,4.77818598823518E-005,,0.0069124424
University of Wollongong,43.4,48,,,-4.6,-0.1059907834,0.0112340462,,0.1059907834
Friedrich-Alexander-UniversitÃ¤t Erlangen-NÃ¼rnberg,43.2,42.9,,,0.3,0.0069444444,4.82253086419767E-005,,0.0069444444
Queensland University of Technology (QUT),43.2,45.8,,,-2.6,-0.0601851852,0.0036222565,,0.0601851852
Universidad Austral,43.1,41.4,,,1.7,0.0394431555,0.0015557625,,0.0394431555
UniversitÃ¤t Innsbruck,42.9,42.6,,,0.3,0.006993007,4.89021468042438E-005,,0.006993007
UniversitÃ¤t  Leipzig,42.3,36,,,6.3,0.1489361702,0.0221819828,,0.1489361702
University of Victoria,42.2,40.4,,,1.8,0.0426540284,0.0018193661,,0.0426540284
Ã‰cole des Ponts ParisTech,42.2,41.1,,,1.1,0.0260663507,0.0006794546,,0.0260663507
