University,PCP-16,PCP-17,,,,,,,
Aarhus University,32.5,33.3,,,-0.8,-0.0246153846,0.0006059172,,0.0246153846
Nanyang Technological University,31.3,33.3,,,-2,-0.0638977636,0.0040829242,,0.0638977636
University of Paris-Sud (Paris 11),27.7,33.2,,,-5.5,-0.1985559567,0.0394244679,,0.1985559567
Georgia Institute of Technology,31.3,33.1,,,-1.8,-0.0575079872,0.0033071686,,0.0575079872
The University of Western Australia,31.1,33.1,,,-2,-0.0643086817,0.0041356065,,0.0643086817
University of Geneva,32.8,33,,,-0.2,-0.006097561,3.71802498512801E-005,,0.006097561
Leiden University,32.2,32.8,,,-0.6,-0.0186335404,0.0003472088,,0.0186335404
Pohang University of Science and Technology,35.4,32.7,,,2.7,0.0762711864,0.0058172939,,0.0762711864
University of Washington,31,32.7,,,-1.7,-0.0548387097,0.0030072841,,0.0548387097
ESPCI ParisTech,32.4,31.7,,,0.7,0.0216049383,0.0004667734,,0.0216049383
University of Toronto,30.3,31.7,,,-1.4,-0.0462046205,0.002134867,,0.0462046205
University of Bristol,31.5,31.5,,,0,0,0,,0
Swedish University of Agricultural Sciences,25.3,31.3,,,-6,-0.2371541502,0.056242091,,0.2371541502
KU Leuven,31.7,31.1,,,0.6,0.0189274448,0.0003582482,,0.0189274448
Utrecht University,27.6,31.1,,,-3.5,-0.1268115942,0.0160811804,,0.1268115942
Universit̩ libre de Bruxelles (ULB),31,31,,,0,0,0,,0
Carnegie Mellon University,34.7,30.9,,,3.8,0.1095100865,0.011992459,,0.1095100865
Monash University,30.5,30.9,,,-0.4,-0.0131147541,0.0001719968,,0.0131147541
The University of Adelaide,29.9,30.9,,,-1,-0.0334448161,0.0011185557,,0.0334448161
University of Amsterdam,29.7,30.7,,,-1,-0.0336700337,0.0011336712,,0.0336700337
The Australian National University,30.9,30.5,,,0.4,0.0129449838,0.0001675726,,0.0129449838
Johns Hopkins University,31.1,30,,,1.1,0.0353697749,0.001251021,,0.0353697749
University of Antwerp,28.6,30,,,-1.4,-0.048951049,0.0023962052,,0.048951049
The University of Tokyo,29.7,29.5,,,0.2,0.0067340067,4.53468466936477E-005,,0.0067340067
Pierre and Marie  Curie University - Paris 6,25.3,29.5,,,-4.2,-0.1660079051,0.0275586246,,0.1660079051
Catholic University of Louvain,25.6,29.4,,,-3.8,-0.1484375,0.0220336914,,0.1484375
Uppsala University,28.5,29.3,,,-0.8,-0.0280701754,0.0007879347,,0.0280701754
Vrije Universiteit Brussel (VUB),28.9,29.2,,,-0.3,-0.0103806228,0.0001077573,,0.0103806228
Curtin University,27.3,29.1,,,-1.8,-0.0659340659,0.0043473011,,0.0659340659
Paris Dauphine University (Paris 9),25.6,29.1,,,-3.5,-0.13671875,0.0186920166,,0.13671875
Thomas Jefferson University,29.4,29,,,0.4,0.0136054422,0.0001851081,,0.0136054422
King's College London,27.9,29,,,-1.1,-0.0394265233,0.0015544507,,0.0394265233
The University of Edinburgh,26.8,29,,,-2.2,-0.0820895522,0.0067386946,,0.0820895522
The University of Manchester,29,28.8,,,0.2,0.0068965517,4.75624256837095E-005,,0.0068965517
Tokyo Institute of Technology,23.2,28.8,,,-5.6,-0.2413793103,0.0582639715,,0.2413793103
University of Oslo,28.1,28.7,,,-0.6,-0.0213523132,0.0004559213,,0.0213523132
Technion-Israel Institute of Technology,29.8,28.6,,,1.2,0.0402684564,0.0016215486,,0.0402684564
Cardiff University,26.1,28.6,,,-2.5,-0.0957854406,0.0091748506,,0.0957854406
University of Sydney,28.6,28.4,,,0.2,0.006993007,4.89021468042461E-005,,0.006993007
University of British Columbia,27.2,28.4,,,-1.2,-0.0441176471,0.0019463668,,0.0441176471
The Hong Kong University of Science and Technology,27.2,28.4,,,-1.2,-0.0441176471,0.0019463668,,0.0441176471
University of Innsbruck,27.3,28.3,,,-1,-0.0366300366,0.0013417596,,0.0366300366
Macquarie University,27.3,28.3,,,-1,-0.0366300366,0.0013417596,,0.0366300366
University of Goettingen,27.1,28.3,,,-1.2,-0.0442804428,0.0019607576,,0.0442804428
Nanjing Medical University,26.2,28.3,,,-2.1,-0.0801526718,0.0064244508,,0.0801526718
"University of Maryland, College Park",27.6,28.2,,,-0.6,-0.0217391304,0.0004725898,,0.0217391304
Stockholm University,27.3,28.2,,,-0.9,-0.032967033,0.0010868253,,0.032967033
University of Illinois at Urbana-Champaign,29.1,28.1,,,1,0.0343642612,0.0011809024,,0.0343642612
The Hebrew University of Jerusalem,28.5,28.1,,,0.4,0.0140350877,0.0001969837,,0.0140350877
The University of Hong Kong,27.2,28.1,,,-0.9,-0.0330882353,0.0010948313,,0.0330882353
London School of Economics and Political Science,27.2,28.1,,,-0.9,-0.0330882353,0.0010948313,,0.0330882353
Korea Advanced Institute of Science and Technology,32.2,27.9,,,4.3,0.1335403727,0.0178330311,,0.1335403727
KTH Royal Institute of Technology,25.9,27.8,,,-1.9,-0.0733590734,0.0053815536,,0.0733590734
La Trobe University,25.6,27.5,,,-1.9,-0.07421875,0.0055084229,,0.07421875
University of Bonn,27.1,27.4,,,-0.3,-0.0110701107,0.0001225474,,0.0110701107
University of Vienna,26.1,27.4,,,-1.3,-0.0498084291,0.0024808796,,0.0498084291
The University of Texas Southwestern Medical Center at Dallas,27.7,27.2,,,0.5,0.0180505415,0.000325822,,0.0180505415
McGill University,28.3,27.1,,,1.2,0.0424028269,0.0017979997,,0.0424028269
University of Frankfurt,24.8,27.1,,,-2.3,-0.0927419355,0.0086010666,,0.0927419355
Maastricht University,27.9,27,,,0.9,0.0322580645,0.0010405827,,0.0322580645
Tel Aviv University,26.4,27,,,-0.6,-0.0227272727,0.0005165289,,0.0227272727
University of Science and Technology of China,26.2,27,,,-0.8,-0.0305343511,0.0009323466,,0.0305343511
The University of Texas at Austin,26.6,26.9,,,-0.3,-0.0112781955,0.0001271977,,0.0112781955
"University of California, Irvine",26.8,26.8,,,0,0,0,,0
"University of California, Riverside",26.5,26.7,,,-0.2,-0.0075471698,5.69597721609109E-005,,0.0075471698
Swinburne University of Technology,22.2,26.7,,,-4.5,-0.2027027027,0.0410883857,,0.2027027027
Brandeis University,27.1,26.5,,,0.6,0.0221402214,0.0004901894,,0.0221402214
Duke University,25.9,26.5,,,-0.6,-0.0231660232,0.0005366646,,0.0231660232
TU Dresden,24,26.5,,,-2.5,-0.1041666667,0.0108506944,,0.1041666667
City University of Hong Kong,23.9,26.5,,,-2.6,-0.1087866109,0.0118345267,,0.1087866109
University of Wollongong,23,26.5,,,-3.5,-0.152173913,0.0231568998,,0.152173913
Shanghai Jiao Tong University,25.5,26.4,,,-0.9,-0.0352941176,0.0012456747,,0.0352941176
The University of Dundee,24.1,26.3,,,-2.2,-0.0912863071,0.0083331899,,0.0912863071
University of Southampton,26.2,26.2,,,0,0,0,,0
University of Warwick,25.2,26.1,,,-0.9,-0.0357142857,0.0012755102,,0.0357142857
James Cook University,27,26,,,1,0.037037037,0.0013717421,,0.037037037
University of Michigan-Ann Arbor,25.8,26,,,-0.2,-0.007751938,6.00925425154734E-005,,0.007751938
National Autonomous University of Mexico,25.7,26,,,-0.3,-0.0116731518,0.0001362625,,0.0116731518
University of Tasmania,25.4,26,,,-0.6,-0.0236220472,0.0005580011,,0.0236220472
Deakin University,25.6,25.8,,,-0.2,-0.0078125,6.10351562499996E-005,,0.0078125
Weizmann Institute of Science,25.4,25.8,,,-0.4,-0.0157480315,0.0002480005,,0.0157480315
Vienna University of Technology,24.4,25.8,,,-1.4,-0.0573770492,0.0032921258,,0.0573770492
Tufts University,26.8,25.7,,,1.1,0.0410447761,0.0016846736,,0.0410447761
University of Lisbon,25.4,25.7,,,-0.3,-0.0118110236,0.0001395003,,0.0118110236
University of Freiburg,24.6,25.7,,,-1.1,-0.0447154472,0.0019994712,,0.0447154472
The Chinese University of Hong Kong,23.2,25.7,,,-2.5,-0.1077586207,0.0116119203,,0.1077586207
The Hong Kong Polytechnic University,22.6,25.7,,,-3.1,-0.1371681416,0.0188150991,,0.1371681416
The University of Reading,21.5,25.7,,,-4.2,-0.1953488372,0.0381611682,,0.1953488372
University of Southern California,26.2,25.5,,,0.7,0.0267175573,0.0007138279,,0.0267175573
University of Exeter,24.7,25.5,,,-0.8,-0.032388664,0.0010490256,,0.032388664
The University of New South Wales,25,25.2,,,-0.2,-0.008,0.000064,,0.008
University of Tuebingen,24,25.1,,,-1.1,-0.0458333333,0.0021006944,,0.0458333333
Tsinghua University,23.2,25.1,,,-1.9,-0.0818965517,0.0067070452,,0.0818965517
Case Western Reserve University,24.8,24.9,,,-0.1,-0.0040322581,1.62591050988547E-005,,0.0040322581
"University of California, Davis",24.9,24.8,,,0.1,0.0040160643,1.61287721165781E-005,,0.0040160643
University of Liverpool,24.9,24.8,,,0.1,0.0040160643,1.61287721165781E-005,,0.0040160643
Eindhoven University of Technology,24.5,24.8,,,-0.3,-0.012244898,0.0001499375,,0.012244898
The University of Glasgow,23.1,24.8,,,-1.7,-0.0735930736,0.0054159405,,0.0735930736
Nagoya University,24.8,24.7,,,0.1,0.0040322581,1.62591050988558E-005,,0.0040322581
University of Erlangen-Nuremberg,24.3,24.7,,,-0.4,-0.0164609053,0.0002709614,,0.0164609053
University of Arizona,23.9,24.7,,,-0.8,-0.0334728033,0.0011204286,,0.0334728033
University of Alberta,24.4,24.5,,,-0.1,-0.0040983607,1.67965600644993E-005,,0.0040983607
University of Wisconsin - Madison,24.3,24.5,,,-0.2,-0.0082304527,6.77403512337207E-005,,0.0082304527
University of Twente,22.6,24.5,,,-1.9,-0.0840707965,0.0070678988,,0.0840707965
The University of Texas at Dallas,22.2,24.5,,,-2.3,-0.1036036036,0.0107337067,,0.1036036036
University Paris Diderot - Paris 7,21.4,24.5,,,-3.1,-0.1448598131,0.0209843654,,0.1448598131
"The University of Newcastle, Australia",24.2,24.4,,,-0.2,-0.0082644628,6.83013455365066E-005,,0.0082644628
Delft University of Technology,23.9,24.4,,,-0.5,-0.0209205021,0.0004376674,,0.0209205021
University of Florida,23.4,24.4,,,-1,-0.0427350427,0.0018262839,,0.0427350427
University of Lausanne,23.1,24.4,,,-1.3,-0.0562770563,0.0031671071,,0.0562770563
Chalmers University of Technology,22.9,24.4,,,-1.5,-0.0655021834,0.004290536,,0.0655021834
University of Leeds,23.3,24.3,,,-1,-0.0429184549,0.0018419938,,0.0429184549
University of Birmingham,23.7,24.2,,,-0.5,-0.0210970464,0.0004450854,,0.0210970464
University of Sussex,24.2,24.1,,,0.1,0.0041322314,1.7075336384126E-005,,0.0041322314
"University of Minnesota, Twin Cities",24.1,24.1,,,0,0,0,,0
Pennsylvania State University - University Park,24,24.1,,,-0.1,-0.0041666667,1.73611111111116E-005,,0.0041666667
Technical University of Denmark,23.2,24.1,,,-0.9,-0.0387931034,0.0015049049,,0.0387931034
University of Utah,26,24,,,2,0.0769230769,0.0059171598,,0.0769230769
University of Massachusetts Amherst,22.9,24,,,-1.1,-0.0480349345,0.0023073549,,0.0480349345
Boston University,23.2,23.9,,,-0.7,-0.0301724138,0.0009103746,,0.0301724138
Seoul National University,25.3,23.8,,,1.5,0.0592885375,0.0035151307,,0.0592885375
Kyoto University,23.8,23.8,,,0,0,0,,0
Chang Gung University,22.9,23.8,,,-0.9,-0.03930131,0.001544593,,0.03930131
University of Pavia,22.3,23.8,,,-1.5,-0.067264574,0.0045245229,,0.067264574
Purdue University - West Lafayette,24.2,23.7,,,0.5,0.020661157,0.0004268834,,0.020661157
University of Liege,23.5,23.7,,,-0.2,-0.0085106383,0.000072431,,0.0085106383
Flinders University,23.3,23.6,,,-0.3,-0.0128755365,0.0001657794,,0.0128755365
Queen Mary University of London,22.5,23.6,,,-1.1,-0.0488888889,0.0023901235,,0.0488888889
RWTH Aachen University,23.3,23.5,,,-0.2,-0.008583691,7.36797509624412E-005,,0.008583691
The University of Sheffield,23,23.5,,,-0.5,-0.0217391304,0.0004725898,,0.0217391304
Fudan University,23,23.4,,,-0.4,-0.0173913043,0.0003024575,,0.0173913043
Peking University,22.7,23.4,,,-0.7,-0.0308370044,0.0009509208,,0.0308370044
Oregon State University,23.5,23.3,,,0.2,0.0085106383,0.000072431,,0.0085106383
Emory University,22.1,23.3,,,-1.2,-0.0542986425,0.0029483426,,0.0542986425
Yeshiva University,21.4,23.2,,,-1.8,-0.0841121495,0.0070748537,,0.0841121495
University of Pisa,22.5,23.1,,,-0.6,-0.0266666667,0.0007111111,,0.0266666667
University of Belgrade,22.3,23.1,,,-0.8,-0.0358744395,0.0012869754,,0.0358744395
Lund University,22.1,23.1,,,-1,-0.0452488688,0.0020474601,,0.0452488688
University of Hamburg,21.7,23.1,,,-1.4,-0.064516129,0.0041623309,,0.064516129
Georgetown University,18,23.1,,,-5.1,-0.2833333333,0.0802777778,,0.2833333333
Arizona State University,22.4,22.9,,,-0.5,-0.0223214286,0.0004982462,,0.0223214286
University of Porto,22.1,22.9,,,-0.8,-0.036199095,0.0013103745,,0.036199095
University of Ottawa,21.5,22.9,,,-1.4,-0.0651162791,0.0042401298,,0.0651162791
University of Muenster,23.3,22.8,,,0.5,0.0214592275,0.0004604984,,0.0214592275
Durham University,22.1,22.8,,,-0.7,-0.0316742081,0.0010032555,,0.0316742081
UNESP,21.9,22.8,,,-0.9,-0.0410958904,0.0016888722,,0.0410958904
University of St Andrews,21.8,22.8,,,-1,-0.0458715596,0.0021042,,0.0458715596
University of Paris Descartes (Paris 5),17.1,22.8,,,-5.7,-0.3333333333,0.1111111111,,0.3333333333
University of Milan,23.1,22.7,,,0.4,0.0173160173,0.0002998445,,0.0173160173
University of Canterbury,22.8,22.7,,,0.1,0.0043859649,1.9236688211758E-005,,0.0043859649
Norwegian University of Science and Technology - NTNU,22,22.7,,,-0.7,-0.0318181818,0.0010123967,,0.0318181818
University of Milan - Bicocca,22.4,22.6,,,-0.2,-0.0089285714,7.97193877551043E-005,,0.0089285714
University of Malaya,22.2,22.6,,,-0.4,-0.018018018,0.000324649,,0.018018018
University of East Anglia,21.7,22.6,,,-0.9,-0.0414746544,0.001720147,,0.0414746544
University of Padua,23.5,22.5,,,1,0.0425531915,0.0018107741,,0.0425531915
University of Waterloo,23.4,22.5,,,0.9,0.0384615385,0.0014792899,,0.0384615385
University of Aberdeen,21.2,22.4,,,-1.2,-0.0566037736,0.0032039872,,0.0566037736
Queen's University,22.1,22.3,,,-0.2,-0.0090497738,8.18984050285615E-005,,0.0090497738
University of Massachusetts Medical School - Worcester,20.9,22.3,,,-1.4,-0.0669856459,0.0044870768,,0.0669856459
Trinity College Dublin,20.8,22.3,,,-1.5,-0.0721153846,0.0052006287,,0.0721153846
Korea University,24.1,22.2,,,1.9,0.0788381743,0.0062154577,,0.0788381743
Osaka University,22.7,22.2,,,0.5,0.0220264317,0.0004851637,,0.0220264317
Queensland University of Technology,21.5,22.2,,,-0.7,-0.0325581395,0.0010600324,,0.0325581395
University of Wuerzburg,21.2,22.2,,,-1,-0.0471698113,0.0022249911,,0.0471698113
University of Victoria,21.1,22.2,,,-1.1,-0.0521327014,0.0027178186,,0.0521327014
University of Surrey,19.2,22.2,,,-3,-0.15625,0.0244140625,,0.15625
University of Montreal,22.1,22.1,,,0,0,0,,0
Drexel University,21.6,22.1,,,-0.5,-0.0231481481,0.0005358368,,0.0231481481
University of Nottingham,20.9,22.1,,,-1.2,-0.0574162679,0.0032966278,,0.0574162679
The University of Texas Health Science Center at San Antonio,20,22.1,,,-2.1,-0.105,0.011025,,0.105
University of Nebraska - Lincoln,19.8,22.1,,,-2.3,-0.1161616162,0.0134935211,,0.1161616162
Ecole Polytechnique,23.7,22,,,1.7,0.0717299578,0.0051451868,,0.0717299578
Hanyang University,23.2,22,,,1.2,0.0517241379,0.0026753864,,0.0517241379
University of Buenos Aires,22.1,22,,,0.1,0.0045248869,2.04746012571411E-005,,0.0045248869
University of Bergen,21.1,21.9,,,-0.8,-0.0379146919,0.0014375239,,0.0379146919
University of Strasbourg,22.2,21.8,,,0.4,0.018018018,0.000324649,,0.018018018
Zhejiang University,21.2,21.8,,,-0.6,-0.0283018868,0.0008009968,,0.0283018868
University of Miami,21.1,21.8,,,-0.7,-0.0331753555,0.0011006042,,0.0331753555
University of Cape Town,21.4,21.7,,,-0.3,-0.0140186916,0.0001965237,,0.0140186916
University of Ferrara,21.3,21.7,,,-0.4,-0.0187793427,0.0003526637,,0.0187793427
University of Houston,21.2,21.7,,,-0.5,-0.0235849057,0.0005562478,,0.0235849057
University of York,21.1,21.7,,,-0.6,-0.028436019,0.0008086072,,0.028436019
Aalborg University,20.6,21.7,,,-1.1,-0.0533980583,0.0028513526,,0.0533980583
Sungkyunkwan University,24.8,21.6,,,3.2,0.1290322581,0.0166493236,,0.1290322581
New York University,22,21.6,,,0.4,0.0181818182,0.0003305785,,0.0181818182
Griffith University,21.6,21.6,,,0,0,0,,0
Tohoku University,21,21.6,,,-0.6,-0.0285714286,0.0008163265,,0.0285714286
Autonomous University of Barcelona,20.7,21.6,,,-0.9,-0.0434782609,0.0018903592,,0.0434782609
Oregon Health and Science University,23.8,21.5,,,2.3,0.0966386555,0.0093390297,,0.0966386555
University of Fribourg,22.3,21.5,,,0.8,0.0358744395,0.0012869754,,0.0358744395
University of the Witwatersrand,21.3,21.5,,,-0.2,-0.0093896714,8.81659282770167E-005,,0.0093896714
University of Tehran,20.8,21.5,,,-0.7,-0.0336538462,0.0011325814,,0.0336538462
Vanderbilt University,19.9,21.4,,,-1.5,-0.0753768844,0.0056816747,,0.0753768844
The University of Calgary,19.4,21.4,,,-2,-0.1030927835,0.010628122,,0.1030927835
Newcastle University,19.3,21.4,,,-2.1,-0.1088082902,0.011839244,,0.1088082902
University of Otago,28.6,21.3,,,7.3,0.2552447552,0.0651498851,,0.2552447552
Karlsruhe Institute of Technology (KIT),20.9,21.3,,,-0.4,-0.019138756,0.000366292,,0.019138756
Federal University of Rio de Janeiro,20.5,21.3,,,-0.8,-0.0390243902,0.001522903,,0.0390243902
Dartmouth College,20.1,21.3,,,-1.2,-0.0597014925,0.0035642682,,0.0597014925
University of Hawaii at Manoa,20.9,21.2,,,-0.3,-0.014354067,0.0002060392,,0.014354067
University of Campinas,20.6,21.2,,,-0.6,-0.0291262136,0.0008483363,,0.0291262136
University of Mainz,20.1,21.2,,,-1.1,-0.0547263682,0.0029949754,,0.0547263682
The University of Auckland,23.6,21.1,,,2.5,0.1059322034,0.0112216317,,0.1059322034
Icahn School of Medicine at Mount Sinai,20.7,21.1,,,-0.4,-0.0193236715,0.0003734043,,0.0193236715
King Abdullah University of Science and Technology,19.8,21.1,,,-1.3,-0.0656565657,0.0043107846,,0.0656565657
Yonsei University,23.4,21,,,2.4,0.1025641026,0.0105193951,,0.1025641026
University of Notre Dame,21.5,21,,,0.5,0.023255814,0.0005408329,,0.023255814
University of Turin,21.5,21,,,0.5,0.023255814,0.0005408329,,0.023255814
University of Leipzig,21,21,,,0,0,0,,0
National Tsing Hua University,21.3,20.9,,,0.4,0.0187793427,0.0003526637,,0.0187793427
Kaohsiung Medical University,20.6,20.9,,,-0.3,-0.0145631068,0.0002120841,,0.0145631068
Indiana University Bloomington,21.1,20.8,,,0.3,0.0142180095,0.0002021518,,0.0142180095
University of Gothenburg,21.2,20.7,,,0.5,0.0235849057,0.0005562478,,0.0235849057
Nanjing University,20.5,20.6,,,-0.1,-0.0048780488,2.37953599048192E-005,,0.0048780488
Xian Jiao Tong University,20.2,20.6,,,-0.4,-0.0198019802,0.0003921184,,0.0198019802
Western University,20.4,20.4,,,0,0,0,,0
Medical University of Vienna,20.1,20.4,,,-0.3,-0.0149253731,0.0002227668,,0.0149253731
University of Barcelona,19.9,20.4,,,-0.5,-0.0251256281,0.0006312972,,0.0251256281
Linkoping University,19.5,20.4,,,-0.9,-0.0461538462,0.0021301775,,0.0461538462
University of Guelph,18.6,20.4,,,-1.8,-0.0967741935,0.0093652445,,0.0967741935
Polytechnic Institute of Milan,21.7,20.3,,,1.4,0.064516129,0.0041623309,,0.064516129
University of Leicester,20.8,20.3,,,0.5,0.0240384615,0.0005778476,,0.0240384615
University of Roma - Tor Vergata,20.4,20.3,,,0.1,0.0049019608,2.40292195309486E-005,,0.0049019608
University of Rochester,20.3,20.3,,,0,0,0,,0
University of Kiel,20.3,20.3,,,0,0,0,,0
University of Bochum,20.1,20.3,,,-0.2,-0.0099502488,9.90074503106351E-005,,0.0099502488
Indian Institute of Science,19.4,20.3,19.4,20.3,-0.9,-0.0463917526,0.0021521947,,0.0463917526
University of Oregon,18.4,20.3,,,-1.9,-0.1032608696,0.0106628072,,0.1032608696
University of Southern Denmark,20.2,20.2,,,0,0,0,,0
National and Kapodistrian University of Athens,20,20.1,,,-0.1,-0.005,0.000025,,0.005
University of Ulm,19.3,20.1,,,-0.8,-0.0414507772,0.0017181669,,0.0414507772
Federal University of Rio Grande do Sul,19.3,20.1,,,-0.8,-0.0414507772,0.0017181669,,0.0414507772
University of Tennessee - Knoxville,15.3,20.1,,,-4.8,-0.3137254902,0.0984236832,,0.3137254902
Bangor University,19.6,20,,,-0.4,-0.0204081633,0.0004164931,,0.0204081633
Tianjin University,19.3,20,,,-0.7,-0.0362694301,0.0013154716,,0.0362694301
Hokkaido University,19.1,20,,,-0.9,-0.0471204188,0.0022203339,,0.0471204188
University of Western Sydney,19.9,19.9,,,0,0,0,,0
"University of Pittsburgh, Pittsburgh Campus",19,19.9,,,-0.9,-0.0473684211,0.0022437673,,0.0473684211
Michigan State University,18.9,19.9,,,-1,-0.0529100529,0.0027994737,,0.0529100529
University of Delaware,19.3,19.8,,,-0.5,-0.0259067358,0.000671159,,0.0259067358
Florida State University,19,19.8,,,-0.8,-0.0421052632,0.0017728532,,0.0421052632
University of Jena,18.4,19.8,,,-1.4,-0.0760869565,0.005789225,,0.0760869565
Claude Bernard University Lyon 1,15.7,19.8,,,-4.1,-0.2611464968,0.0681974928,,0.2611464968
Baylor College of Medicine,20.4,19.7,,,0.7,0.0343137255,0.0011774318,,0.0343137255
Saint Petersburg State University,19.3,19.7,,,-0.4,-0.0207253886,0.0004295417,,0.0207253886
National Chiao Tung University,19.1,19.7,,,-0.6,-0.0314136126,0.0009868151,,0.0314136126
University College Dublin,18.1,19.7,,,-1.6,-0.0883977901,0.0078141693,,0.0883977901
