University,N&S-16,N&S-17,,,,,,,
University of Liverpool,19.2,19.4,,,-0.2,-0.0104166667,0.0001085069,,0.0104166667
Paul Sabatier University (Toulouse 3),20.8,19.2,,,1.6,0.0769230769,0.0059171598,,0.0769230769
The University of New South Wales,17.4,19.2,,,-1.8,-0.1034482759,0.0107015458,,0.1034482759
"University of Pittsburgh, Pittsburgh Campus",19.4,19,,,0.4,0.0206185567,0.0004251249,,0.0206185567
The University of Glasgow,17.9,18.9,,,-1,-0.0558659218,0.0031210012,,0.0558659218
Technion-Israel Institute of Technology,20.2,18.7,,,1.5,0.0742574257,0.0055141653,,0.0742574257
University of Innsbruck,17.9,18.7,,,-0.8,-0.0446927374,0.0019974408,,0.0446927374
University of Paris-Sud (Paris 11),17.6,18.7,,,-1.1,-0.0625,0.00390625,,0.0625
University of Rochester,20.7,18.6,,,2.1,0.1014492754,0.0102919555,,0.1014492754
University of Exeter,17.1,18.6,,,-1.5,-0.0877192982,0.0076946753,,0.0877192982
University of Science and Technology of China,15.4,18.6,,,-3.2,-0.2077922078,0.0431776016,,0.2077922078
Rice University,20.8,18.5,,,2.3,0.1105769231,0.0122272559,,0.1105769231
Ecole Normale Superieure - Paris,18.3,18.3,,,0,0,0,,0
Nagoya University,17.9,18.3,,,-0.4,-0.0223463687,0.0004993602,,0.0223463687
University of Sydney,17.8,18.2,,,-0.4,-0.0224719101,0.0005049867,,0.0224719101
Tohoku University,20.6,18.1,,,2.5,0.1213592233,0.0147280611,,0.1213592233
University of Leicester,18.9,18.1,,,0.8,0.0423280423,0.0017916632,,0.0423280423
Indiana University Bloomington,20.1,18,,,2.1,0.1044776119,0.0109155714,,0.1044776119
University of Oslo,18.4,18,,,0.4,0.0217391304,0.0004725898,,0.0217391304
Lund University,17.4,18,,,-0.6,-0.0344827586,0.0011890606,,0.0344827586
University of Mainz,16.2,18,,,-1.8,-0.1111111111,0.012345679,,0.1111111111
Case Western Reserve University,19.6,17.9,,,1.7,0.0867346939,0.0075229071,,0.0867346939
University of St Andrews,16.4,17.9,,,-1.5,-0.0914634146,0.0083655562,,0.0914634146
Texas A&M University,21.9,17.8,,,4.1,0.1872146119,0.0350493109,,0.1872146119
The Hebrew University of Jerusalem,21,17.7,,,3.3,0.1571428571,0.0246938776,,0.1571428571
University of Alberta,20.4,17.7,,,2.7,0.1323529412,0.017517301,,0.1323529412
Ghent University,18.6,17.6,,,1,0.0537634409,0.0028905076,,0.0537634409
University of Freiburg,21.6,17.4,,,4.2,0.1944444444,0.037808642,,0.1944444444
University of Wageningen,19.2,17.4,,,1.8,0.09375,0.0087890625,,0.09375
University of Massachusetts Amherst,16.4,17.4,,,-1,-0.0609756098,0.003718025,,0.0609756098
TU Dresden,15.3,17.4,,,-2.1,-0.137254902,0.0188389081,,0.137254902
Cardiff University,18,17.3,,,0.7,0.0388888889,0.0015123457,,0.0388888889
University of Regensburg,15.3,17.3,,,-2,-0.1307189542,0.017087445,,0.1307189542
University of Nice Sophia Antipolis,17.9,17.2,,,0.7,0.0391061453,0.0015292906,,0.0391061453
Seoul National University,16.9,17.2,,,-0.3,-0.0177514793,0.000315115,,0.0177514793
University of Strasbourg,17.6,17.1,,,0.5,0.0284090909,0.0008070764,,0.0284090909
The University of Sheffield,17.3,17.1,,,0.2,0.0115606936,0.0001336496,,0.0115606936
Brandeis University,18.2,16.9,,,1.3,0.0714285714,0.0051020408,,0.0714285714
University of Tuebingen,17.3,16.9,,,0.4,0.0231213873,0.0005345985,,0.0231213873
Tel Aviv University,18.8,16.8,,,2,0.1063829787,0.0113173382,,0.1063829787
University of Bordeaux,17.9,16.8,,,1.1,0.061452514,0.0037764115,,0.061452514
The University of Georgia,17.8,16.8,,,1,0.0561797753,0.0031561672,,0.0561797753
The University of Dundee,17.4,16.8,,,0.6,0.0344827586,0.0011890606,,0.0344827586
Delft University of Technology,18.3,16.7,,,1.6,0.087431694,0.0076443011,,0.087431694
University of Iowa,16.1,16.7,,,-0.6,-0.0372670807,0.0013888353,,0.0372670807
University of Ottawa,16.1,16.7,,,-0.6,-0.0372670807,0.0013888353,,0.0372670807
University of Muenster,16.5,16.5,,,0,0,0,,0
Colorado State University,14.7,16.5,,,-1.8,-0.1224489796,0.0149937526,,0.1224489796
University of Montpellier,16.4,16.3,,,0.1,0.006097561,3.71802498512774E-005,,0.006097561
Durham University,15.3,16.3,,,-1,-0.0653594771,0.0042718612,,0.0653594771
University of Warwick,16.7,16.1,,,0.6,0.0359281437,0.0012908315,,0.0359281437
VU University Amsterdam,16.8,16,,,0.8,0.0476190476,0.0022675737,,0.0476190476
The University of New Mexico - Albuquerque,15.9,16,,,-0.1,-0.0062893082,3.95553973339659E-005,,0.0062893082
Newcastle University,15,15.8,,,-0.8,-0.0533333333,0.0028444444,,0.0533333333
The University of Western Australia,14.6,15.8,,,-1.2,-0.0821917808,0.0067554888,,0.0821917808
Technical University of Denmark,14.3,15.8,,,-1.5,-0.1048951049,0.011002983,,0.1048951049
Queen Mary University of London,13,15.8,,,-2.8,-0.2153846154,0.0463905325,,0.2153846154
University of Montreal,16.6,15.7,,,0.9,0.0542168675,0.0029394687,,0.0542168675
James Cook University,15.7,15.6,,,0.1,0.0063694268,4.05695971439001E-005,,0.0063694268
Boston College,14.9,15.4,,,-0.5,-0.033557047,0.0011260754,,0.033557047
Florida State University,14.4,15.4,,,-1,-0.0694444444,0.0048225309,,0.0694444444
Trinity College Dublin,14,15.3,,,-1.3,-0.0928571429,0.008622449,,0.0928571429
University of Miami,15.5,15.2,,,0.3,0.0193548387,0.0003746098,,0.0193548387
Zhejiang University,15,15.2,,,-0.2,-0.0133333333,0.0001777778,,0.0133333333
Mayo Medical School,14.7,15.2,,,-0.5,-0.0340136054,0.0011569254,,0.0340136054
University of York,16.8,15.1,,,1.7,0.1011904762,0.0102395125,,0.1011904762
University of Wuerzburg,13.9,15.1,,,-1.2,-0.0863309353,0.0074530304,,0.0863309353
North Carolina State University - Raleigh,15,15,,,0,0,0,,0
University of Tennessee - Knoxville,14.9,14.9,,,0,0,0,,0
Nanyang Technological University,11.4,14.9,,,-3.5,-0.3070175439,0.0942597722,,0.3070175439
University of Nottingham,15.3,14.8,,,0.5,0.0326797386,0.0010679653,,0.0326797386
Fudan University,13.8,14.8,,,-1,-0.0724637681,0.0052509977,,0.0724637681
University of Padua,17.4,14.7,,,2.7,0.1551724138,0.024078478,,0.1551724138
University of Gothenburg,14.1,14.7,,,-0.6,-0.0425531915,0.0018107741,,0.0425531915
Korea Advanced Institute of Science and Technology,15.2,14.6,,,0.6,0.0394736842,0.0015581717,,0.0394736842
Vienna University of Technology,12.5,14.6,,,-2.1,-0.168,0.028224,,0.168
University of Erlangen-Nuremberg,15.9,14.5,,,1.4,0.0880503145,0.0077528579,,0.0880503145
University of East Anglia,15.2,14.5,,,0.7,0.0460526316,0.0021208449,,0.0460526316
University of Konstanz,13.6,14.5,,,-0.9,-0.0661764706,0.0043793253,,0.0661764706
University of Marburg,13.9,14.4,,,-0.5,-0.035971223,0.0012939289,,0.035971223
University of Tasmania,15.4,14.2,,,1.2,0.0779220779,0.0060718502,,0.0779220779
University of Sao Paulo,12.6,14.2,,,-1.6,-0.126984127,0.0161249685,,0.126984127
Erasmus University,10.1,14.2,,,-4.1,-0.4059405941,0.1647877659,,0.4059405941
University of Bergen,16,14.1,,,1.9,0.11875,0.0141015625,,0.11875
University of Bayreuth,14.2,14.1,,,0.1,0.0070422535,4.95933346558219E-005,,0.0070422535
Carnegie Mellon University,13.7,14.1,,,-0.4,-0.0291970803,0.0008524695,,0.0291970803
University of Nebraska - Lincoln,13.7,14.1,,,-0.4,-0.0291970803,0.0008524695,,0.0291970803
Tokyo Institute of Technology,15.3,14,,,1.3,0.0849673203,0.0072194455,,0.0849673203
University of Oregon,14.5,14,,,0.5,0.0344827586,0.0011890606,,0.0344827586
"University of Maryland, Baltimore",13.9,13.9,,,0,0,0,,0
Tufts University,13.7,13.9,,,-0.2,-0.0145985401,0.0002131174,,0.0145985401
University of Notre Dame,13.6,13.9,,,-0.3,-0.0220588235,0.0004865917,,0.0220588235
University of Waterloo,12.8,13.9,,,-1.1,-0.0859375,0.0073852539,,0.0859375
The University of Adelaide,14.2,13.8,,,0.4,0.0281690141,0.0007934934,,0.0281690141
University of Bremen,14.3,13.7,,,0.6,0.041958042,0.0017604773,,0.041958042
The University of Texas Health Science Center at Houston,14.1,13.7,,,0.4,0.0283687943,0.0008047885,,0.0283687943
University of Liege,13.9,13.7,,,0.2,0.0143884892,0.0002070286,,0.0143884892
Universit̩ libre de Bruxelles (ULB),13.6,13.7,,,-0.1,-0.0073529412,5.40657439446363E-005,,0.0073529412
Pohang University of Science and Technology,13.6,13.7,,,-0.1,-0.0073529412,5.40657439446363E-005,,0.0073529412
The University of Calgary,12.6,13.7,,,-1.1,-0.0873015873,0.0076215671,,0.0873015873
King Abdullah University of Science and Technology,12.5,13.7,,,-1.2,-0.096,0.009216,,0.096
Curtin University,12.5,13.6,,,-1.1,-0.088,0.007744,,0.088
Norwegian University of Science and Technology - NTNU,14.7,13.5,,,1.2,0.0816326531,0.00666389,,0.0816326531
University of Colorado at Denver,11.3,13.5,,,-2.2,-0.1946902655,0.0379042995,,0.1946902655
The University of Hong Kong,15.1,13.4,,,1.7,0.1125827815,0.0126748827,,0.1125827815
Swedish University of Agricultural Sciences,14,13.4,,,0.6,0.0428571429,0.0018367347,,0.0428571429
Dartmouth College,14.5,13.3,,,1.2,0.0827586207,0.0068489893,,0.0827586207
Hokkaido University,14.1,13.2,,,0.9,0.0638297872,0.0040742417,,0.0638297872
Autonomous University of Barcelona,12.1,13.2,,,-1.1,-0.0909090909,0.0082644628,,0.0909090909
University of Ulm,13.6,13.1,,,0.5,0.0367647059,0.0013516436,,0.0367647059
University of Kansas,14.4,13,,,1.4,0.0972222222,0.0094521605,,0.0972222222
McMaster University,13.6,12.9,,,0.7,0.0514705882,0.0026492215,,0.0514705882
University of Tsukuba,11.4,12.8,,,-1.4,-0.1228070175,0.0150815636,,0.1228070175
University of Stuttgart,10.7,12.8,,,-2.1,-0.1962616822,0.0385186479,,0.1962616822
University of Vermont,11.9,12.6,,,-0.7,-0.0588235294,0.0034602076,,0.0588235294
University of Wyoming,13.9,12.5,,,1.4,0.1007194245,0.0101444025,,0.1007194245
Iowa State University,13.5,12.5,,,1,0.0740740741,0.0054869684,,0.0740740741
Dalhousie University,13.1,12.5,,,0.6,0.0458015267,0.0020977798,,0.0458015267
ESPCI ParisTech,12.7,12.5,,,0.2,0.0157480315,0.0002480005,,0.0157480315
China Agricultural University,11.9,12.5,,,-0.6,-0.0504201681,0.0025421933,,0.0504201681
University of Birmingham,12.4,12.4,,,0,0,0,,0
Autonomous University of Madrid,10.9,12.4,,,-1.5,-0.1376146789,0.0189377998,,0.1376146789
Indiana University-Purdue University at Indianapolis,13.9,12.3,,,1.6,0.1151079137,0.0132498318,,0.1151079137
National Tsing Hua University,13,12.3,,,0.7,0.0538461538,0.0028994083,,0.0538461538
University of Victoria,12.4,12.3,,,0.1,0.0080645161,6.5036420395421E-005,,0.0080645161
University of Barcelona,12,12.3,,,-0.3,-0.025,0.000625,,0.025
University of Jena,10.7,12.3,,,-1.6,-0.1495327103,0.0223600314,,0.1495327103
Simon Fraser University,13.3,12.2,,,1.1,0.0827067669,0.0068404093,,0.0827067669
Sungkyunkwan University,13.1,12.2,,,0.9,0.0687022901,0.0047200047,,0.0687022901
University of Illinois at Chicago,11.8,12.2,,,-0.4,-0.0338983051,0.0011490951,,0.0338983051
University of Cape Town,12.6,12.1,,,0.5,0.0396825397,0.001574704,,0.0396825397
University of Wollongong,9,12.1,,,-3.1,-0.3444444444,0.1186419753,,0.3444444444
University of Sussex,13.8,12,,,1.8,0.1304347826,0.0170132325,,0.1304347826
University of Kiel,13.4,12,,,1.4,0.1044776119,0.0109155714,,0.1044776119
National Taiwan University,13.4,11.9,,,1.5,0.1119402985,0.0125306304,,0.1119402985
Chalmers University of Technology,12,11.8,,,0.2,0.0166666667,0.0002777778,,0.0166666667
University of Montana - Missoula,12.5,11.7,,,0.8,0.064,0.004096,,0.064
Ecole Normale Superieure - Lyon,11.9,11.7,,,0.2,0.0168067227,0.0002824659,,0.0168067227
University of Kentucky,11.9,11.7,,,0.2,0.0168067227,0.0002824659,,0.0168067227
University of Aberdeen,11.7,11.7,,,0,0,0,,0
Macquarie University,10.7,11.7,,,-1,-0.0934579439,0.0087343873,,0.0934579439
University of the Basque Country,9.2,11.7,,,-2.5,-0.2717391304,0.073842155,,0.2717391304
Louisiana State University - Baton Rouge,12.8,11.6,,,1.2,0.09375,0.0087890625,,0.09375
The George Washington University,11.1,11.6,,,-0.5,-0.045045045,0.0020290561,,0.045045045
