University,Teaching-16,Teaching-17,,,B2-C2,D2/B2,,,,ABS()
Shanghai Jiao Tong UniversityChina,37.8,51.9,,,-14.1,-0.373015873,0.1391408415,,,0.373015873
Wageningen University & ResearchNetherlands,52.6,51.8,,,0.8,0.0152091255,0.0002313175,,,0.0152091255
University of Science and Technology of ChinaChina,46.7,51.8,,,-5.1,-0.1092077088,0.0119263237,,,0.1092077088
Zhejiang UniversityChina,44.3,51.7,,,-7.4,-0.1670428894,0.0279033269,,,0.1670428894
Michigan State UniversityUnited States,47.3,51.6,,,-4.3,-0.0909090909,0.0082644628,,,0.0909090909
National Taiwan UniversityTaiwan,54.1,51.4,,,2.7,0.0499075786,0.0024907664,,,0.0499075786
University of SydneyAustralia,54.3,51.3,,,3,0.0552486188,0.0030524099,,,0.0552486188
"University of Maryland, College ParkUnited States",45,51,,,-6,-0.1333333333,0.0177777778,,,0.1333333333
Nanyang Technological UniversitySingapore,48.4,50.6,,,-2.2,-0.0454545455,0.0020661157,,,0.0454545455
University of Southern CaliforniaUnited States,49.3,50.5,,,-1.2,-0.0243407708,0.0005924731,,,0.0243407708
"Tehran University of Medical SciencesIran, Islamic Republic of",51.8,50.2,,,1.6,0.0308880309,0.0009540705,,,0.0308880309
University of Notre DameUnited States,47.6,50.2,,,-2.6,-0.0546218487,0.0029835464,,,0.0546218487
Case Western Reserve UniversityUnited States,46.1,50.2,,,-4.1,-0.0889370933,0.0079098066,,,0.0889370933
Vanderbilt UniversityUnited States,47.8,50.1,,,-2.3,-0.0481171548,0.0023152606,,,0.0481171548
Indian Institute of ScienceIndia,42.7,50.1,42.7,50.1,-7.4,-0.1733021077,0.0300336205,,,0.1733021077
University of GÃ¶ttingenGermany,49.3,49.7,,,-0.4,-0.0081135903,6.58303469670744E-005,,,0.0081135903
University of QueenslandAustralia,49.2,49.7,,,-0.5,-0.0101626016,0.0001032785,,,0.0101626016
Monash UniversityAustralia,48.3,49.5,,,-1.2,-0.0248447205,0.0006172601,,,0.0248447205
University of AlbertaCanada,46.4,49.5,,,-3.1,-0.0668103448,0.0044636222,,,0.0668103448
University of AmsterdamNetherlands,52.2,49.4,,,2.8,0.0536398467,0.0028772332,,,0.0536398467
University of PittsburghUnited States,50.6,49.2,,,1.4,0.0276679842,0.0007655173,,,0.0276679842
Paris-Sorbonne University â€“ Paris 4France,61,48.6,,,12.4,0.2032786885,0.0413222252,,,0.2032786885
Tohoku UniversityJapan,45.3,48.6,,,-3.3,-0.0728476821,0.0053067848,,,0.0728476821
Saint Petersburg State UniversityRussian Federation,47.9,48.4,,,-0.5,-0.0104384134,0.0001089605,,,0.0104384134
Tokyo Institute of TechnologyJapan,45.6,48.4,,,-2.8,-0.0614035088,0.0037703909,,,0.0614035088
Tufts UniversityUnited States,45.2,48.1,,,-2.9,-0.064159292,0.0041164148,,,0.064159292
PanthÃ©on-Sorbonne University â€“ Paris 1France,53.2,48,,,5.2,0.0977443609,0.0095539601,,,0.0977443609
"Rutgers, the State University of New JerseyUnited States",43.9,47.7,,,-3.8,-0.0865603645,0.0074926967,,,0.0865603645
Moscow Institute of Physics and TechnologyRussian Federation,35.4,47.7,,,-12.3,-0.3474576271,0.1207268026,,,0.3474576271
Boston CollegeUnited States,34.1,47.3,,,-13.2,-0.3870967742,0.1498439126,,,0.3870967742
University of BonnGermany,45.1,47.2,,,-2.1,-0.0465631929,0.0021681309,,,0.0465631929
George Washington UniversityUnited States,44.7,47.1,,,-2.4,-0.0536912752,0.002882753,,,0.0536912752
University of HelsinkiFinland,48.4,47,,,1.4,0.0289256198,0.0008366915,,,0.0289256198
Rice UniversityUnited States,37.9,46.9,,,-9,-0.2374670185,0.0563905849,,,0.2374670185
University of CopenhagenDenmark,49.8,46.8,,,3,0.0602409639,0.0036289737,,,0.0602409639
University of WarwickUnited Kingdom,47.4,46.8,,,0.6,0.0126582278,0.0001602307,,,0.0126582278
University of MontrealCanada,46.3,46.8,,,-0.5,-0.0107991361,0.0001166213,,,0.0107991361
University of ZurichSwitzerland,49.5,46.4,,,3.1,0.0626262626,0.0039220488,,,0.0626262626
Indiana UniversityUnited States,43,46.4,,,-3.4,-0.0790697674,0.0062520281,,,0.0790697674
Leiden UniversityNetherlands,50.5,46.1,,,4.4,0.0871287129,0.0075914126,,,0.0871287129
Utrecht UniversityNetherlands,48.1,46.1,,,2,0.0415800416,0.0017288999,,,0.0415800416
University of TÃ¼bingenGermany,47,46,,,1,0.0212765957,0.0004526935,,,0.0212765957
University of Illinois at ChicagoUnited States,40.9,46,,,-5.1,-0.1246943765,0.0155486875,,,0.1246943765
University of BristolUnited Kingdom,47.6,45.9,,,1.7,0.0357142857,0.0012755102,,,0.0357142857
University of FreiburgGermany,47.4,45.9,,,1.5,0.0316455696,0.0010014421,,,0.0316455696
University of St AndrewsUnited Kingdom,49.7,45.2,,,4.5,0.0905432596,0.0081980819,,,0.0905432596
State University of CampinasBrazil,44.6,44.9,,,-0.3,-0.0067264574,4.52452291419485E-005,,,0.0067264574
Scuola Superiore Santâ€™AnnaItaly,42.5,44.7,,,-2.2,-0.0517647059,0.0026795848,,,0.0517647059
Ã‰cole Normale SupÃ©rieure de LyonFrance,41.6,44.5,,,-2.9,-0.0697115385,0.0048596986,,,0.0697115385
Nagoya UniversityJapan,40.8,44.4,,,-3.6,-0.0882352941,0.0077854671,,,0.0882352941
Hebrew University of JerusalemIsrael,45.8,44.3,,,1.5,0.0327510917,0.001072634,,,0.0327510917
"Yonsei UniversityKorea, Republic of",37.2,44.2,,,-7,-0.188172043,0.0354087178,,,0.188172043
McMaster UniversityCanada,39.8,43.5,,,-3.7,-0.0929648241,0.0086424585,,,0.0929648241
University of RochesterUnited States,39.7,43.4,,,-3.7,-0.0931989924,0.0086860522,,,0.0931989924
Novosibirsk State UniversityRussian Federation,41.4,43.2,,,-1.8,-0.0434782609,0.0018903592,,,0.0434782609
University of New South WalesAustralia,40.7,43.2,,,-2.5,-0.0614250614,0.0037730382,,,0.0614250614
University of BernSwitzerland,40,43.2,,,-3.2,-0.08,0.0064,,,0.08
University of MiamiUnited States,41.7,43.1,,,-1.4,-0.0335731415,0.0011271558,,,0.0335731415
Durham UniversityUnited Kingdom,47.9,43,,,4.9,0.1022964509,0.0104645639,,,0.1022964509
Uppsala UniversitySweden,44.1,43,,,1.1,0.0249433107,0.0006221687,,,0.0249433107
Ghent UniversityBelgium,42.1,43,,,-0.9,-0.0213776722,0.0004570049,,,0.0213776722
University of ArizonaUnited States,38.7,42.9,,,-4.2,-0.1085271318,0.0117781383,,,0.1085271318
University of YorkUnited Kingdom,41.9,42.5,,,-0.6,-0.0143198091,0.0002050569,,,0.0143198091
"University of California, IrvineUnited States",39.9,42.5,,,-2.6,-0.0651629073,0.0042462045,,,0.0651629073
University of Colorado BoulderUnited States,39.7,42.5,,,-2.8,-0.0705289673,0.0049743352,,,0.0705289673
KTH Royal Institute of TechnologySweden,39,42.5,,,-3.5,-0.0897435897,0.0080539119,,,0.0897435897
Renmin University of ChinaChina,34.7,42.5,,,-7.8,-0.2247838617,0.0505277845,,,0.2247838617
University of LeedsUnited Kingdom,43.7,42.3,,,1.4,0.0320366133,0.0010263446,,,0.0320366133
University of SheffieldUnited Kingdom,42.4,42.3,,,0.1,0.0023584906,5.56247775008916E-006,,,0.0023584906
TU Dresden Germany,41.4,42.3,,,-0.9,-0.0217391304,0.0004725898,,,0.0217391304
University of StuttgartGermany,40,42.3,,,-2.3,-0.0575,0.00330625,,,0.0575
Hokkaido UniversityJapan,40.3,42.2,,,-1.9,-0.047146402,0.0022227832,,,0.047146402
City University of Hong KongHong Kong,32.1,42.1,,,-10,-0.3115264798,0.0970487476,,,0.3115264798
University of GroningenNetherlands,43.3,41.9,,,1.4,0.0323325635,0.0010453947,,,0.0323325635
Kyushu UniversityJapan,36.5,41.9,,,-5.4,-0.1479452055,0.0218877838,,,0.1479452055
Nanjing UniversityChina,37.2,41.7,,,-4.5,-0.1209677419,0.0146331946,,,0.1209677419
Tulane UniversityUnited States,39.1,41.4,,,-2.3,-0.0588235294,0.0034602076,,,0.0588235294
Lund UniversitySweden,39.7,41.3,,,-1.6,-0.040302267,0.0016242727,,,0.040302267
Karlsruhe Institute of TechnologyGermany,37.7,41.3,,,-3.6,-0.0954907162,0.0091184769,,,0.0954907162
University of ViennaAustria,40.8,41.1,,,-0.3,-0.0073529412,5.40657439446382E-005,,,0.0073529412
Tel Aviv UniversityIsrael,41,41,,,0,0,0,,,0
University of NottinghamUnited Kingdom,40.3,41,,,-0.7,-0.017369727,0.0003017074,,,0.017369727
"Korea UniversityKorea, Republic of",43.9,40.9,,,3,0.0683371298,0.0046699633,,,0.0683371298
University of IowaUnited States,41,40.9,,,0.1,0.0024390244,5.94883997620481E-006,,,0.0024390244
Wuhan UniversityChina,38.2,40.9,,,-2.7,-0.0706806283,0.0049957512,,,0.0706806283
University of MÃ¼nsterGermany,40.3,40.8,,,-0.5,-0.0124069479,0.0001539324,,,0.0124069479
Florida State UniversityUnited States,38.5,40.8,,,-2.3,-0.0597402597,0.0035688986,,,0.0597402597
William & MaryUnited States,38.5,40.8,,,-2.3,-0.0597402597,0.0035688986,,,0.0597402597
University of GlasgowUnited Kingdom,41.6,40.6,,,1,0.0240384615,0.0005778476,,,0.0240384615
Paris-Sud UniversityFrance,38.7,40.6,,,-1.9,-0.0490956072,0.0024103786,,,0.0490956072
American UniversityUnited States,42.2,40.5,,,1.7,0.0402843602,0.0016228297,,,0.0402843602
University of MassachusettsUnited States,40.2,40.4,,,-0.2,-0.0049751244,2.47518625776579E-005,,,0.0049751244
University of CologneGermany,42.2,40.2,,,2,0.0473933649,0.002246131,,,0.0473933649
University of TsukubaJapan,40,40.1,,,-0.1,-0.0025,0.00000625,,,0.0025
University of BaselSwitzerland,39.5,40.1,,,-0.6,-0.0151898734,0.0002307323,,,0.0151898734
Western UniversityCanada,38.6,40.1,,,-1.5,-0.0388601036,0.0015101077,,,0.0388601036
University of KonstanzGermany,38.5,39.8,,,-1.3,-0.0337662338,0.0011401585,,,0.0337662338
University of OsloNorway,43.3,39.7,,,3.6,0.0831408776,0.0069124055,,,0.0831408776
UniversitÃ© Catholique de LouvainBelgium,38.7,39.6,,,-0.9,-0.023255814,0.0005408329,,,0.023255814
"Gwangju Institute of Science and TechnologyKorea, Republic of",35.2,39.5,,,-4.3,-0.1221590909,0.0149228435,,,0.1221590909
Autonomous University of BarcelonaSpain,40.3,39.4,,,0.9,0.0223325062,0.0004987408,,,0.0223325062
Tokyo Medical and Dental University (TMDU)Japan,39.3,39.4,,,-0.1,-0.0025445293,6.47462916561472E-006,,,0.0025445293
University of SouthamptonUnited Kingdom,39.8,39.2,,,0.6,0.0150753769,0.000227267,,,0.0150753769
Indian Institute of Technology BombayIndia,37.8,39.2,37.8,39.2,-1.4,-0.037037037,0.0013717421,,,0.037037037
Maastricht UniversityNetherlands,37.5,39.2,,,-1.7,-0.0453333333,0.0020551111,,,0.0453333333
University of MannheimGermany,34.5,39.1,,,-4.6,-0.1333333333,0.0177777778,,,0.1333333333
Aarhus UniversityDenmark,36.9,39,,,-2.1,-0.0569105691,0.0032388129,,,0.0569105691
University of DelhiIndia,29.8,39,,,-9.2,-0.3087248322,0.095311022,,,0.3087248322
Queenâ€™s UniversityCanada,35.8,38.9,,,-3.1,-0.0865921788,0.0074982054,,,0.0865921788
Erasmus University RotterdamNetherlands,37.2,38.8,,,-1.6,-0.0430107527,0.0018499248,,,0.0430107527
Chalmers University of TechnologySweden,36.6,38.8,,,-2.2,-0.0601092896,0.0036131267,,,0.0601092896
Tilburg UniversityNetherlands,34.1,38.8,,,-4.7,-0.137829912,0.0189970846,,,0.137829912
University of Erlangen-NurembergGermany,51.7,38.7,,,13,0.251450677,0.063227443,,,0.251450677
Savitribai Phule Pune UniversityIndia,38.3,38.7,,,-0.4,-0.0104438642,0.0001090743,,,0.0104438642
National Tsing Hua UniversityTaiwan,37.7,38.7,,,-1,-0.0265251989,0.0007035862,,,0.0265251989
University of BirminghamUnited Kingdom,39.4,38.6,,,0.8,0.0203045685,0.0004122755,,,0.0203045685
Arizona State UniversityUnited States,32.4,38.5,,,-6.1,-0.1882716049,0.0354461972,,,0.1882716049
Rush UniversityUnited States,37.7,38.4,,,-0.7,-0.0185676393,0.0003447572,,,0.0185676393
Sapienza University of RomeItaly,38,38.3,,,-0.3,-0.0078947368,6.2326869806093E-005,,,0.0078947368
Technical University of DenmarkDenmark,37.3,38.3,,,-1,-0.0268096515,0.0007187574,,,0.0268096515
Indian Institute of Technology MadrasIndia,34.6,38.3,34.6,38.3,-3.7,-0.1069364162,0.0114353971,,,0.1069364162
Technical University of DarmstadtGermany,37.1,38.2,,,-1.1,-0.0296495957,0.0008790985,,,0.0296495957
Northeastern UniversityUnited States,35.5,38.2,,,-2.7,-0.076056338,0.0057845666,,,0.076056338
Ulm UniversityGermany,35.2,38.2,,,-3,-0.0852272727,0.007263688,,,0.0852272727
Tomsk State UniversityRussian Federation,34.8,38.2,,,-3.4,-0.0977011494,0.0095455146,,,0.0977011494
University of OttawaCanada,37.1,38.1,,,-1,-0.0269541779,0.0007265277,,,0.0269541779
Vienna University of TechnologyAustria,34.1,38.1,,,-4,-0.1173020528,0.0137597716,,,0.1173020528
National Research Nuclear University MePhIRussian Federation,44.9,38,,,6.9,0.153674833,0.0236159543,,,0.153674833
University at BuffaloUnited States,36.5,38,,,-1.5,-0.0410958904,0.0016888722,,,0.0410958904
University of UtahUnited States,35.6,37.9,,,-2.3,-0.0646067416,0.0041740311,,,0.0646067416
University of WaterlooCanada,35.4,37.8,,,-2.4,-0.0677966102,0.0045963804,,,0.0677966102
Wake Forest UniversityUnited States,34.6,37.8,,,-3.2,-0.0924855491,0.0085535768,,,0.0924855491
University of CincinnatiUnited States,31.3,37.8,,,-6.5,-0.2076677316,0.0431258868,,,0.2076677316
Bielefeld UniversityGermany,35.2,37.6,,,-2.4,-0.0681818182,0.0046487603,,,0.0681818182
North Carolina State UniversityUnited States,36.1,37.5,,,-1.4,-0.0387811634,0.0015039786,,,0.0387811634
Indian Institute of Technology DelhiIndia,35.8,37.5,35.8,37.5,-1.7,-0.0474860335,0.0022549234,,,0.0474860335
Leibniz University of HanoverGermany,36.5,37.4,,,-0.9,-0.0246575342,0.000607994,,,0.0246575342
University of GenevaSwitzerland,34.9,37.4,,,-2.5,-0.0716332378,0.0051313208,,,0.0716332378
Temple UniversityUnited States,34,37.2,,,-3.2,-0.0941176471,0.0088581315,,,0.0941176471
University of AdelaideAustralia,32.8,37.1,,,-4.3,-0.131097561,0.0171865705,,,0.131097561
Laval UniversityCanada,37.5,37,,,0.5,0.0133333333,0.0001777778,,,0.0133333333
University of ConnecticutUnited States,35.9,37,,,-1.1,-0.0306406685,0.0009388506,,,0.0306406685
Lancaster UniversityUnited Kingdom,34,37,,,-3,-0.0882352941,0.0077854671,,,0.0882352941
National Autonomous University of MexicoMexico,42.7,36.8,,,5.9,0.1381733021,0.0190918614,,,0.1381733021
University of ReadingUnited Kingdom,39.3,36.8,,,2.5,0.0636132316,0.0040466432,,,0.0636132316
University of TwenteNetherlands,34.1,36.8,,,-2.7,-0.0791788856,0.0062692959,,,0.0791788856
Ruhr University BochumGermany,32.8,36.7,,,-3.9,-0.118902439,0.01413779,,,0.118902439
Eindhoven University of TechnologyNetherlands,34.3,36.6,,,-2.3,-0.0670553936,0.0044964258,,,0.0670553936
University of Nebraska Medical CenterUnited States,37,36.4,,,0.6,0.0162162162,0.0002629657,,,0.0162162162
"Chung-Ang UniversityKorea, Republic of",29.9,36.4,,,-6.5,-0.2173913043,0.0472589792,,,0.2173913043
University of BremenGermany,30.9,36.2,,,-5.3,-0.1715210356,0.0294194657,,,0.1715210356
Saint Louis UniversityUnited States,36.9,36,,,0.9,0.0243902439,0.000594884,,,0.0243902439
Bauman Moscow State Technical UniversityRussian Federation,44,35.9,,,8.1,0.1840909091,0.0338894628,,,0.1840909091
Johannes Gutenberg University of MainzGermany,34.9,35.8,,,-0.9,-0.0257879656,0.0006650192,,,0.0257879656
University of BolognaItaly,39.3,35.6,,,3.7,0.0941475827,0.0088637673,,,0.0941475827
Technical University of DortmundGermany,34.2,35.5,,,-1.3,-0.0380116959,0.001444889,,,0.0380116959
Royal College of Surgeons in IrelandIreland,29.9,35.5,,,-5.6,-0.1872909699,0.0350779074,,,0.1872909699
University of HoustonUnited States,34.9,35.4,,,-0.5,-0.0143266476,0.0002052528,,,0.0143266476
Sun Yat-sen UniversityChina,31.9,35.3,,,-3.4,-0.1065830721,0.0113599513,,,0.1065830721
Xiâ€™an Jiaotong UniversityChina,28.7,35.3,,,-6.6,-0.2299651568,0.0528839733,,,0.2299651568
University of LiverpoolUnited Kingdom,32.8,35.1,,,-2.3,-0.0701219512,0.004917088,,,0.0701219512
Radboud University NijmegenNetherlands,34.3,35,,,-0.7,-0.0204081633,0.0004164931,,,0.0204081633
"Hanyang UniversityKorea, Republic of",33.9,35,,,-1.1,-0.0324483776,0.0010528972,,,0.0324483776
Hong Kong Polytechnic UniversityHong Kong,29.3,35,,,-5.7,-0.1945392491,0.0378455195,,,0.1945392491
Virginia Polytechnic Institute and State UniversityUnited States,34.9,34.9,,,0,0,0,,,0
University of WÃ¼rzburgGermany,34.6,34.8,,,-0.2,-0.0057803468,3.34124093688382E-005,,,0.0057803468
University of CalgaryCanada,33.9,34.8,,,-0.9,-0.0265486726,0.000704832,,,0.0265486726
Stony Brook UniversityUnited States,32.6,34.7,,,-2.1,-0.0644171779,0.0041495728,,,0.0644171779
"University of California, Santa CruzUnited States",31.1,34.7,,,-3.6,-0.115755627,0.0133993652,,,0.115755627
University of KaiserslauternGermany,29.6,34.7,,,-5.1,-0.1722972973,0.0296863587,,,0.1722972973
University of ExeterUnited Kingdom,39.4,34.6,,,4.8,0.1218274112,0.0148419181,,,0.1218274112
Indian Institute of Technology KanpurIndia,33.1,34.6,33.1,34.6,-1.5,-0.0453172205,0.0020536505,,,0.0453172205
Aix-Marseille UniversityFrance,36.7,34.5,,,2.2,0.0599455041,0.0035934635,,,0.0599455041
Juntendo UniversityJapan,32.3,34.5,,,-2.2,-0.0681114551,0.0046391703,,,0.0681114551
University of AntwerpBelgium,31.6,34.5,,,-2.9,-0.0917721519,0.0084221279,,,0.0917721519
Aalto UniversityFinland,31.1,34.4,,,-3.3,-0.1061093248,0.0112591888,,,0.1061093248
University of MontanaUnited States,30.8,34.4,,,-3.6,-0.1168831169,0.013661663,,,0.1168831169
University of Hawaiâ€™i at MÄnoaUnited States,32,34.2,,,-2.2,-0.06875,0.0047265625,,,0.06875
University of SaskatchewanCanada,30.8,34.2,,,-3.4,-0.1103896104,0.0121858661,,,0.1103896104
University of Duisburg-EssenGermany,32.3,34.1,,,-1.8,-0.0557275542,0.0031055603,,,0.0557275542
University of HohenheimGermany,30.9,34.1,,,-3.2,-0.1035598706,0.0107246468,,,0.1035598706
Queen Mary University of LondonUnited Kingdom,34.1,34,,,0.1,0.0029325513,8.59985724237002E-006,,,0.0029325513
China Agricultural UniversityChina,35.8,33.9,,,1.9,0.0530726257,0.0028167036,,,0.0530726257
University of BarcelonaSpain,38.5,33.7,,,4.8,0.1246753247,0.0155439366,,,0.1246753247
University of FribourgSwitzerland,32.3,33.7,,,-1.4,-0.0433436533,0.0018786723,,,0.0433436533
Newcastle UniversityUnited Kingdom,30.9,33.6,,,-2.7,-0.0873786408,0.0076350269,,,0.0873786408
Rensselaer Polytechnic InstituteUnited States,30.4,33.6,,,-3.2,-0.1052631579,0.0110803324,,,0.1052631579
University of TulsaUnited States,29.7,33.6,,,-3.9,-0.1313131313,0.0172431385,,,0.1313131313
"Royal Holloway, University of LondonUnited Kingdom",35.1,33.3,,,1.8,0.0512820513,0.0026298488,,,0.0512820513
Technion Israel Institute of TechnologyIsrael,33,33.2,,,-0.2,-0.0060606061,3.67309458218559E-005,,,0.0060606061
Justus Liebig University GiessenGermany,32.9,33.2,,,-0.3,-0.009118541,8.31477905784338E-005,,,0.009118541
VU University AmsterdamNetherlands,28.4,33.1,,,-4.7,-0.1654929577,0.0273879191,,,0.1654929577
Universiti Sains MalaysiaMalaysia,26.9,33.1,,,-6.2,-0.2304832714,0.0531225384,,,0.2304832714
"Yeungnam UniversityKorea, Republic of",18.6,33.1,,,-14.5,-0.7795698925,0.6077292173,,,0.7795698925
University of GeorgiaUnited States,41.1,33,,,8.1,0.197080292,0.0388406415,,,0.197080292
Andhra UniversityIndia,34.8,33,,,1.8,0.0517241379,0.0026753864,,,0.0517241379
National Chiao Tung UniversityTaiwan,32.9,33,,,-0.1,-0.0030395137,9.23864339760376E-006,,,0.0030395137
Wayne State UniversityUnited States,31.9,33,,,-1.1,-0.0344827586,0.0011890606,,,0.0344827586
Syracuse UniversityUnited States,31.4,32.9,,,-1.5,-0.0477707006,0.0022820398,,,0.0477707006
Loughborough UniversityUnited Kingdom,31.2,32.9,,,-1.7,-0.0544871795,0.0029688527,,,0.0544871795
University of ToledoUnited States,31.6,32.8,,,-1.2,-0.0379746835,0.0014420766,,,0.0379746835
University of AucklandNew Zealand,31.4,32.8,,,-1.4,-0.0445859873,0.0019879103,,,0.0445859873
University of MilanItaly,30.5,32.8,,,-2.3,-0.0754098361,0.0056866434,,,0.0754098361
Montpellier UniversityFrance,38.7,32.7,,,6,0.1550387597,0.024037017,,,0.1550387597
Tianjin UniversityChina,36.5,32.6,,,3.9,0.1068493151,0.0114167761,,,0.1068493151
University of CalcuttaIndia,34.7,32.6,,,2.1,0.060518732,0.0036625169,,,0.060518732
University of SussexUnited Kingdom,33.4,32.6,,,0.8,0.0239520958,0.0005737029,,,0.0239520958
Bayreuth UniversityGermany,32.2,32.6,,,-0.4,-0.0124223602,0.000154315,,,0.0124223602
Drexel UniversityUnited States,31.2,32.6,,,-1.4,-0.0448717949,0.002013478,,,0.0448717949
Polytechnic University of MilanItaly,30.1,32.6,,,-2.5,-0.0830564784,0.0068983786,,,0.0830564784
Colorado School of MinesUnited States,28.5,32.6,,,-4.1,-0.1438596491,0.0206955986,,,0.1438596491
Macquarie UniversityAustralia,28.5,32.5,,,-4,-0.1403508772,0.0196983687,,,0.1403508772
Goethe University FrankfurtGermany,35.8,32.4,,,3.4,0.094972067,0.0090196935,,,0.094972067
University of Cape TownSouth Africa,34.9,32.4,,,2.5,0.0716332378,0.0051313208,,,0.0716332378
Tongji UniversityChina,28.9,32.4,,,-3.5,-0.1211072664,0.01466697,,,0.1211072664
Autonomous University of MadridSpain,35.6,32.3,,,3.3,0.0926966292,0.0085926651,,,0.0926966292
University of EssexUnited Kingdom,33.9,32.3,,,1.6,0.0471976401,0.0022276172,,,0.0471976401
University of Western AustraliaAustralia,33.4,32.3,,,1.1,0.0329341317,0.001084657,,,0.0329341317
Stockholm UniversitySweden,34.1,32.2,,,1.9,0.0557184751,0.0031045485,,,0.0557184751
Jadavpur UniversityIndia,32.8,32.1,,,0.7,0.0213414634,0.0004554581,,,0.0213414634
"University of California, RiversideUnited States",27.5,32,,,-4.5,-0.1636363636,0.0267768595,,,0.1636363636
Federal University of LavrasBrazil,25.8,31.9,,,-6.1,-0.2364341085,0.0559010877,,,0.2364341085
University of LausanneSwitzerland,30.9,31.8,,,-0.9,-0.0291262136,0.0008483363,,,0.0291262136
Cardiff UniversityUnited Kingdom,30.9,31.8,,,-0.9,-0.0291262136,0.0008483363,,,0.0291262136
University of BathUnited Kingdom,28.9,31.8,,,-2.9,-0.1003460208,0.0100693239,,,0.1003460208
Auburn UniversityUnited States,30.2,31.7,,,-1.5,-0.0496688742,0.0024669971,,,0.0496688742
University of KielGermany,32.3,31.6,,,0.7,0.0216718266,0.0004696681,,,0.0216718266
National Yang-Ming UniversityTaiwan,41.5,31.5,,,10,0.2409638554,0.0580635796,,,0.2409638554
University College DublinIreland,35,31.5,,,3.5,0.1,0.01,,,0.1
Tomsk Polytechnic UniversityRussian Federation,31.6,31.3,,,0.3,0.0094936709,9.01297868931265E-005,,,0.0094936709
Swedish University of Agricultural SciencesSweden,31.5,31.3,,,0.2,0.0063492063,4.03124212648019E-005,,,0.0063492063
Queenâ€™s University BelfastUnited Kingdom,34.1,31.2,,,2.9,0.0850439883,0.0072324799,,,0.0850439883
Iowa State UniversityUnited States,31.2,31.2,,,0,0,0,,,0
University of Nebraska-LincolnUnited States,30.1,31.2,,,-1.1,-0.0365448505,0.0013355261,,,0.0365448505
Federal University of Rio de JaneiroBrazil,32.4,31.1,,,1.3,0.0401234568,0.0016098918,,,0.0401234568
Harbin Institute of TechnologyChina,29.4,31.1,,,-1.7,-0.0578231293,0.0033435143,,,0.0578231293
Louisiana State UniversityUnited States,26.8,31.1,,,-4.3,-0.1604477612,0.0257434841,,,0.1604477612
Indian Institute of Technology KharagpurIndia,33.2,31,33.2,31,2.2,0.0662650602,0.0043910582,,,0.0662650602
Federal University of Rio Grande do SulBrazil,32.6,31,,,1.6,0.0490797546,0.0024088223,,,0.0490797546
University of AberdeenUnited Kingdom,29.7,31,,,-1.3,-0.0437710438,0.0019159043,,,0.0437710438
Huazhong University of Science and TechnologyChina,29.3,31,,,-1.7,-0.0580204778,0.0033663758,,,0.0580204778
University of LeicesterUnited Kingdom,32.1,30.9,,,1.2,0.0373831776,0.001397502,,,0.0373831776
University of MissouriUnited States,31.2,30.9,,,0.3,0.0096153846,9.24556213017756E-005,,,0.0096153846
Peter the Great St Petersburg Polytechnic UniversityRussian Federation,30.8,30.9,,,-0.1,-0.0032467532,1.05414066453023E-005,,,0.0032467532
Complutense University of MadridSpain,33.2,30.7,,,2.5,0.0753012048,0.0056702714,,,0.0753012048
University of East AngliaUnited Kingdom,31.9,30.7,,,1.2,0.0376175549,0.0014150804,,,0.0376175549
Federal University of Minas GeraisBrazil,27.9,30.6,,,-2.7,-0.0967741935,0.0093652445,,,0.0967741935
Universiti Kebangsaan MalaysiaMalaysia,24.3,30.6,,,-6.3,-0.2592592593,0.0672153635,,,0.2592592593
Charles University in PragueCzech Republic,31.5,30.5,,,1,0.0317460317,0.0010078105,,,0.0317460317
University of OtagoNew Zealand,30.7,30.5,,,0.2,0.006514658,4.24407686023191E-005,,,0.006514658
"University of Tennessee, KnoxvilleUnited States",29.5,30.5,,,-1,-0.0338983051,0.0011490951,,,0.0338983051
National Cheng Kung University (NCKU)Taiwan,29.8,30.4,,,-0.6,-0.0201342282,0.0004053871,,,0.0201342282
Pompeu Fabra UniversitySpain,32.9,30.3,,,2.6,0.0790273556,0.0062453229,,,0.0790273556
University of GreifswaldGermany,30.1,30.3,,,-0.2,-0.0066445183,4.41496230725927E-005,,,0.0066445183
University of GothenburgSweden,28.5,30.3,,,-1.8,-0.0631578947,0.0039889197,,,0.0631578947
Keio UniversityJapan,25,30.3,,,-5.3,-0.212,0.044944,,,0.212
University of OuluFinland,23.1,30.3,,,-7.2,-0.3116883117,0.0971496036,,,0.3116883117
University of AveiroPortugal,24.8,30.2,,,-5.4,-0.2177419355,0.0474115505,,,0.2177419355
National Taiwan University of Science and Technology (Taiwan Tech)Taiwan,31.7,30.1,,,1.6,0.0504731861,0.0025475425,,,0.0504731861
Norwegian University of Science and TechnologyNorway,16.3,30.1,,,-13.8,-0.8466257669,0.7167751891,,,0.8466257669
University of SurreyUnited Kingdom,31.7,30,,,1.7,0.0536277603,0.0028759367,,,0.0536277603
Hiroshima UniversityJapan,27.8,30,,,-2.2,-0.0791366906,0.0062626158,,,0.0791366906
Beijing Institute of TechnologyChina,25.9,30,,,-4.1,-0.1583011583,0.0250592567,,,0.1583011583
York UniversityCanada,30.2,29.9,,,0.3,0.0099337748,9.8679882461296E-005,,,0.0099337748
