University,Citations-16,Citations-17,,,,,,,,
Justus Liebig University GiessenGermany,52.9,60.5,,,-7.6,-0.1436672968,0.0206402922,,,0.1436672968
Swinburne University of TechnologyAustralia,53.4,60.3,,,-6.9,-0.1292134831,0.0166961242,,,0.1292134831
Georgia State UniversityUnited States,52.9,60.2,,,-7.3,-0.1379962193,0.0190429565,,,0.1379962193
Graz University of TechnologyAustria,52.9,60,,,-7.1,-0.1342155009,0.0180138007,,,0.1342155009
Washington State UniversityUnited States,49.6,59.8,,,-10.2,-0.2056451613,0.0422899324,,,0.2056451613
University of Urbino Carlo BoItaly,66.8,59.5,,,7.3,0.1092814371,0.0119424325,,,0.1092814371
New Mexico State UniversityUnited States,47.2,59.3,,,-12.1,-0.2563559322,0.065718364,,,0.2563559322
Warsaw University of TechnologyPoland,40.3,59,,,-18.7,-0.4640198511,0.2153144222,,,0.4640198511
University of LisbonPortugal,32.4,59,,,-26.6,-0.8209876543,0.6740207285,,,0.8209876543
"University of Maryland, Baltimore CountyUnited States",61.3,58.8,,,2.5,0.0407830343,0.0016632559,,,0.0407830343
The Open UniversityUnited Kingdom,60.3,58.8,,,1.5,0.0248756219,0.0006187966,,,0.0248756219
"Seoul National UniversityKorea, Republic of",50,58.8,,,-8.8,-0.176,0.030976,,,0.176
Soochow UniversityChina,45.8,58.8,,,-13,-0.2838427948,0.0805667321,,,0.2838427948
University of South AustraliaAustralia,41.2,58.4,,,-17.2,-0.4174757282,0.1742859836,,,0.4174757282
University of ParmaItaly,56.4,58.2,,,-1.8,-0.0319148936,0.0010185604,,,0.0319148936
University of Nice Sophia AntipolisFrance,53.7,58.1,,,-4.4,-0.0819366853,0.0067136204,,,0.0819366853
Western Sydney UniversityAustralia,52.3,57.9,,,-5.6,-0.1070745698,0.0114649635,,,0.1070745698
Vienna University of TechnologyAustria,54.6,57.7,,,-3.1,-0.0567765568,0.0032235774,,,0.0567765568
Florida International UniversityUnited States,49.4,57.7,,,-8.3,-0.1680161943,0.0282294416,,,0.1680161943
BoÄŸaziÃ§i UniversityTurkey,45.4,57.7,,,-12.3,-0.2709251101,0.0734004153,,,0.2709251101
Autonomous University of MadridSpain,46.9,57.4,,,-10.5,-0.223880597,0.0501225217,,,0.223880597
Murdoch UniversityAustralia,51.2,57.3,,,-6.1,-0.119140625,0.0141944885,,,0.119140625
University of GeorgiaUnited States,52.2,57.2,,,-5,-0.0957854406,0.0091748506,,,0.0957854406
Technical University of DortmundGermany,55.3,57.1,,,-1.8,-0.0325497288,0.0010594848,,,0.0325497288
Tilburg UniversityNetherlands,51.5,57,,,-5.5,-0.1067961165,0.0114054105,,,0.1067961165
Ruhr University BochumGermany,54.4,56.9,,,-2.5,-0.0459558824,0.0021119431,,,0.0459558824
Quaid-i-azam UniversityPakistan,45.6,56.9,,,-11.3,-0.2478070175,0.0614083179,,,0.2478070175
University of FribourgSwitzerland,64.1,56.8,,,7.3,0.1138845554,0.012969692,,,0.1138845554
Montana State UniversityUnited States,48,56.7,,,-8.7,-0.18125,0.0328515625,,,0.18125
Liverpool John Moores UniversityUnited Kingdom,45.9,56.7,,,-10.8,-0.2352941176,0.0553633218,,,0.2352941176
University of CagliariItaly,56.8,56.6,,,0.2,0.0035211268,1.2398333663955E-005,,,0.0035211268
Catholic University of the Sacred HeartItaly,55.4,56.4,,,-1,-0.0180505415,0.000325822,,,0.0180505415
University of GrazAustria,53.3,56.2,,,-2.9,-0.0544090056,0.0029603399,,,0.0544090056
Aston UniversityUnited Kingdom,51.9,56.2,,,-4.3,-0.0828516378,0.0068643939,,,0.0828516378
University of HertfordshireUnited Kingdom,50.5,56.2,,,-5.7,-0.1128712871,0.0127399275,,,0.1128712871
"City, University of LondonUnited Kingdom",43.5,56.2,,,-12.7,-0.291954023,0.0852371515,,,0.291954023
University of CanterburyNew Zealand,38.9,56.2,,,-17.3,-0.4447300771,0.1977848415,,,0.4447300771
Technion Israel Institute of TechnologyIsrael,52.1,55.9,,,-3.8,-0.0729366603,0.0053197564,,,0.0729366603
National Tsing Hua UniversityTaiwan,53,55.8,,,-2.8,-0.0528301887,0.0027910288,,,0.0528301887
Bielefeld UniversityGermany,49.9,55.6,,,-5.7,-0.1142284569,0.0130481404,,,0.1142284569
University of JyvÃ¤skylÃ¤Finland,55.5,55.4,,,0.1,0.0018018018,3.24648973297631E-006,,,0.0018018018
University of LiÃ¨geBelgium,46.5,55.4,,,-8.9,-0.1913978495,0.0366331368,,,0.1913978495
Tel Aviv UniversityIsrael,49.2,55.1,,,-5.9,-0.1199186992,0.0143804944,,,0.1199186992
Indian Institute of Technology RoorkeeIndia,37.2,55.1,37.2,55.1,-17.9,-0.4811827957,0.2315368829,,,0.4811827957
Charles University in PragueCzech Republic,41,54.6,,,-13.6,-0.3317073171,0.1100297442,,,0.3317073171
National Taiwan UniversityTaiwan,47.3,54.5,,,-7.2,-0.1522198732,0.0231708898,,,0.1522198732
University of HoustonUnited States,52,54.3,,,-2.3,-0.0442307692,0.0019563609,,,0.0442307692
UniversitÃ© du QuÃ©bec Ã  MontrÃ©alCanada,41.6,54.3,,,-12.7,-0.3052884615,0.0932010447,,,0.3052884615
Xiamen UniversityChina,47,54.2,,,-7.2,-0.1531914894,0.0234676324,,,0.1531914894
University College CorkIreland,48.4,54.1,,,-5.7,-0.117768595,0.013869442,,,0.117768595
Loughborough UniversityUnited Kingdom,41.3,54,,,-12.7,-0.3075060533,0.0945599728,,,0.3075060533
Keele UniversityUnited Kingdom,53,53.6,,,-0.6,-0.0113207547,0.0001281595,,,0.0113207547
University of Wisconsin-MilwaukeeUnited States,45.5,53.6,,,-8.1,-0.178021978,0.0316918247,,,0.178021978
RMIT UniversityAustralia,44.6,53.6,,,-9,-0.201793722,0.0407207062,,,0.201793722
University of StuttgartGermany,55.7,53.4,,,2.3,0.0412926391,0.001705082,,,0.0412926391
University of ManitobaCanada,49.7,53.4,,,-3.7,-0.0744466801,0.0055423082,,,0.0744466801
University of MacauMacao,49.7,53.3,,,-3.6,-0.0724346076,0.0052467724,,,0.0724346076
Stellenbosch UniversitySouth Africa,46.9,53,,,-6.1,-0.1300639659,0.0169166352,,,0.1300639659
Indian Institute of Technology BombayIndia,48.5,52.8,48.5,52.8,-4.3,-0.0886597938,0.007860559,,,0.0886597938
Technical University of DarmstadtGermany,51.1,52.5,,,-1.4,-0.0273972603,0.0007506099,,,0.0273972603
University of SienaItaly,45.2,52.2,,,-7,-0.1548672566,0.0239838672,,,0.1548672566
Curtin UniversityAustralia,44.6,52.1,,,-7.5,-0.168161435,0.0282782682,,,0.168161435
East China University of Science and TechnologyChina,46.4,51.9,,,-5.5,-0.1185344828,0.0140504236,,,0.1185344828
"Gwangju Institute of Science and TechnologyKorea, Republic of",43.7,51.9,,,-8.2,-0.1876430206,0.0352099032,,,0.1876430206
American UniversityUnited States,41.1,51.4,,,-10.3,-0.2506082725,0.0628045062,,,0.2506082725
Polytechnic University of CataloniaSpain,44.7,51.2,,,-6.5,-0.1454138702,0.0211451937,,,0.1454138702
University of MariborSlovenia,42.1,51.2,,,-9.1,-0.216152019,0.0467216953,,,0.216152019
University of St GallenSwitzerland,53.5,50.9,,,2.6,0.0485981308,0.0023617783,,,0.0485981308
Memorial University of NewfoundlandCanada,35.6,50.9,,,-15.3,-0.4297752809,0.1847067921,,,0.4297752809
University of CanberraAustralia,29.8,50.8,,,-21,-0.7046979866,0.4965992523,,,0.7046979866
York UniversityCanada,49.1,50.7,,,-1.6,-0.032586558,0.0010618838,,,0.032586558
Texas A&M UniversityUnited States,47.1,50.7,,,-3.6,-0.076433121,0.005842022,,,0.076433121
University of Rennes 1France,44.7,50.7,,,-6,-0.1342281879,0.0180172064,,,0.1342281879
University of ValenciaSpain,49.6,50.5,,,-0.9,-0.0181451613,0.0003292469,,,0.0181451613
Tohoku UniversityJapan,49.4,50.4,,,-1,-0.020242915,0.0004097756,,,0.020242915
Kyoto UniversityJapan,46.6,50.4,,,-3.8,-0.0815450644,0.0066495975,,,0.0815450644
University of KaiserslauternGermany,47.5,50.3,,,-2.8,-0.0589473684,0.0034747922,,,0.0589473684
University of the Basque CountrySpain,43.1,50.2,,,-7.1,-0.1647331787,0.0271370201,,,0.1647331787
Semmelweis UniversityHungary,41.5,50.2,,,-8.7,-0.2096385542,0.0439483234,,,0.2096385542
Jordan University of Science and TechnologyJordan,16.4,50.2,,,-33.8,-2.0609756098,4.247620464,,,2.0609756098
Tokyo Medical and Dental University (TMDU)Japan,36.6,50.1,,,-13.5,-0.368852459,0.1360521365,,,0.368852459
Sun Yat-sen UniversityChina,45.7,50,,,-4.3,-0.0940919037,0.0088532863,,,0.0940919037
University of the AndesColombia,31.2,50,,,-18.8,-0.6025641026,0.3630834977,,,0.6025641026
Johannes Kepler University of LinzAustria,51.6,49.9,,,1.7,0.0329457364,0.0010854215,,,0.0329457364
University of ZaragozaSpain,49.5,49.7,,,-0.2,-0.004040404,1.63248648097138E-005,,,0.004040404
University of WaikatoNew Zealand,53.7,49.5,,,4.2,0.0782122905,0.0061171624,,,0.0782122905
Ulster UniversityUnited Kingdom,44.1,49.5,,,-5.4,-0.1224489796,0.0149937526,,,0.1224489796
Heriot-Watt UniversityUnited Kingdom,36.4,49.3,,,-12.9,-0.3543956044,0.1255962444,,,0.3543956044
"Korea UniversityKorea, Republic of",41.8,49.2,,,-7.4,-0.1770334928,0.0313408576,,,0.1770334928
La Trobe UniversityAustralia,45.4,49,,,-3.6,-0.0792951542,0.0062877215,,,0.0792951542
Bar-Ilan UniversityIsrael,42.3,49,,,-6.7,-0.158392435,0.0250881635,,,0.158392435
University of ReginaCanada,34.2,48.8,,,-14.6,-0.4269005848,0.1822441093,,,0.4269005848
University of GuelphCanada,44.4,48.7,,,-4.3,-0.0968468468,0.0093793117,,,0.0968468468
University of La LagunaSpain,44.8,48.5,,,-3.7,-0.0825892857,0.0068209901,,,0.0825892857
"Kyung Hee UniversityKorea, Republic of",39.2,48.5,,,-9.3,-0.237244898,0.0562851416,,,0.237244898
Victoria University of WellingtonNew Zealand,44.3,48.4,,,-4.1,-0.0925507901,0.0085656487,,,0.0925507901
University of Texas at ArlingtonUnited States,50.9,48.3,,,2.6,0.0510805501,0.0026092226,,,0.0510805501
New Jersey Institute of TechnologyUnited States,32.2,47.9,,,-15.7,-0.4875776398,0.2377319548,,,0.4875776398
University of EssexUnited Kingdom,38.6,47.7,,,-9.1,-0.2357512953,0.0555786733,,,0.2357512953
"Sejong UniversityKorea, Republic of",38.7,47.4,,,-8.7,-0.2248062016,0.0505378283,,,0.2248062016
Indian Institute of ScienceIndia,42.4,47.3,42.4,47.3,-4.9,-0.1155660377,0.0133555091,,,0.1155660377
Southern Cross UniversityAustralia,53.3,47.1,,,6.2,0.1163227017,0.0135309709,,,0.1163227017
Indian Institute of Technology DelhiIndia,33.4,47,33.4,47,-13.6,-0.4071856287,0.1658001363,,,0.4071856287
National and Kapodistrian University of AthensGreece,45.8,46.8,,,-1,-0.0218340611,0.0004767262,,,0.0218340611
"Ewha Womans UniversityKorea, Republic of",50.4,46.7,,,3.7,0.0734126984,0.0053894243,,,0.0734126984
East China Normal UniversityChina,43.3,46.7,,,-3.4,-0.07852194,0.0061656951,,,0.07852194
University of HullUnited Kingdom,41.1,46.4,,,-5.3,-0.1289537713,0.0166290751,,,0.1289537713
University of GranadaSpain,45.8,46.3,,,-0.5,-0.0109170306,0.0001191816,,,0.0109170306
Panjab UniversityIndia,41,46.2,41,46.2,-5.2,-0.1268292683,0.0160856633,,,0.1268292683
Caâ€™ Foscari University of VeniceItaly,48.9,46.1,,,2.8,0.0572597137,0.0032786748,,,0.0572597137
University of NeuchÃ¢telSwitzerland,48.2,46.1,,,2.1,0.0435684647,0.0018982111,,,0.0435684647
Auckland University of TechnologyNew Zealand,21.7,45.9,,,-24.2,-1.1152073733,1.2436874854,,,1.1152073733
UniversitÃ© de SherbrookeCanada,41.3,45.8,,,-4.5,-0.1089588378,0.0118720283,,,0.1089588378
State University of New York AlbanyUnited States,35.5,45.8,,,-10.3,-0.2901408451,0.08418171,,,0.2901408451
Edith Cowan UniversityAustralia,35,45.7,,,-10.7,-0.3057142857,0.0934612245,,,0.3057142857
"China Medical University, TaiwanTaiwan",45,45.2,,,-0.2,-0.0044444444,1.97530864197536E-005,,,0.0044444444
University of WarsawPoland,42.2,45.2,,,-3,-0.0710900474,0.0050537948,,,0.0710900474
Nova University of LisbonPortugal,38.3,45.2,,,-6.9,-0.180156658,0.0324564214,,,0.180156658
Qatar UniversityQatar,22.3,45.2,,,-22.9,-1.0269058296,1.0545355829,,,1.0269058296
Tallinn University of TechnologyEstonia,38.7,44.7,,,-6,-0.1550387597,0.024037017,,,0.1550387597
University of CoimbraPortugal,42.4,44.6,,,-2.2,-0.0518867925,0.0026922392,,,0.0518867925
University of AveiroPortugal,43.6,44.5,,,-0.9,-0.0206422018,0.0004261005,,,0.0206422018
Indian Institute of Technology KharagpurIndia,41.4,44.5,41.4,44.5,-3.1,-0.0748792271,0.0056068986,,,0.0748792271
Zhejiang UniversityChina,36.1,44.5,,,-8.4,-0.2326869806,0.0541432309,,,0.2326869806
Tampere University of TechnologyFinland,45.5,44.3,,,1.2,0.0263736264,0.0006955682,,,0.0263736264
University of LimerickIreland,36.6,44.3,,,-7.7,-0.2103825137,0.0442608021,,,0.2103825137
University of OviedoSpain,41.9,44.2,,,-2.3,-0.0548926014,0.0030131977,,,0.0548926014
"Yonsei UniversityKorea, Republic of",39.4,44,,,-4.6,-0.116751269,0.0136308588,,,0.116751269
Polytechnic University of ValenciaSpain,34.3,43.9,,,-9.6,-0.2798833819,0.0783347075,,,0.2798833819
Huazhong University of Science and TechnologyChina,31.6,43.6,,,-12,-0.3797468354,0.144207659,,,0.3797468354
University of SaskatchewanCanada,39.7,43.5,,,-3.8,-0.0957178841,0.0091619133,,,0.0957178841
Massey UniversityNew Zealand,31.9,43.3,,,-11.4,-0.3573667712,0.1277110091,,,0.3573667712
Tomsk Polytechnic UniversityRussian Federation,82.4,43.2,,,39.2,0.4757281553,0.2263172778,,,0.4757281553
Leibniz University of HanoverGermany,39,43.2,,,-4.2,-0.1076923077,0.0115976331,,,0.1076923077
National Institute of Applied Sciences of Lyon (INSA Lyon)France,41.8,43,,,-1.2,-0.028708134,0.000824157,,,0.028708134
University of KwaZulu-NatalSouth Africa,41.5,42.9,,,-1.4,-0.0337349398,0.0011380462,,,0.0337349398
Dublin City UniversityIreland,36.3,42.7,,,-6.4,-0.1763085399,0.0310847013,,,0.1763085399
University of PortoPortugal,37.2,42.3,,,-5.1,-0.1370967742,0.0187955255,,,0.1370967742
Indian Institute of Technology GuwahatiIndia,42.6,42.1,42.6,42.1,0.5,0.0117370892,0.0001377593,,,0.0117370892
Louisiana State UniversityUnited States,37.8,42.1,,,-4.3,-0.1137566138,0.0129405672,,,0.1137566138
King Mongkutâ€™s University of Technology ThonburiThailand,36.2,42.1,,,-5.9,-0.1629834254,0.026563597,,,0.1629834254
National Research Nuclear University MePhIRussian Federation,52.8,41.9,,,10.9,0.2064393939,0.0426172234,,,0.2064393939
University of TulsaUnited States,24.6,41.9,,,-17.3,-0.7032520325,0.4945634212,,,0.7032520325
"Iran University of Science and TechnologyIran, Islamic Republic of",42.3,41.8,,,0.5,0.011820331,0.0001397202,,,0.011820331
Pontifical Catholic University of ChileChile,37,41.8,,,-4.8,-0.1297297297,0.0168298028,,,0.1297297297
Tokyo Institute of TechnologyJapan,42.2,41.7,,,0.5,0.0118483412,0.0001403832,,,0.0118483412
Oklahoma State UniversityUnited States,33.1,41.7,,,-8.6,-0.2598187311,0.067505773,,,0.2598187311
University of North Carolina at GreensboroUnited States,43.1,41.6,,,1.5,0.0348027842,0.0012112338,,,0.0348027842
Shanghai Jiao Tong UniversityChina,34,41.5,,,-7.5,-0.2205882353,0.0486591696,,,0.2205882353
Hiroshima UniversityJapan,41.7,41.2,,,0.5,0.0119904077,0.0001437699,,,0.0119904077
Nagoya UniversityJapan,40.1,41.2,,,-1.1,-0.0274314214,0.0007524829,,,0.0274314214
Indian Institute of Technology MadrasIndia,31.4,41.2,31.4,41.2,-9.8,-0.3121019108,0.0974076027,,,0.3121019108
Athens University of Economics and BusinessGreece,31.2,41.2,,,-10,-0.3205128205,0.1027284681,,,0.3205128205
University of Santiago de CompostelaSpain,46.9,40.9,,,6,0.1279317697,0.0163665377,,,0.1279317697
Concordia UniversityCanada,36.4,40.9,,,-4.5,-0.1236263736,0.0152834803,,,0.1236263736
PalackÃ½ University in OlomoucCzech Republic,42.9,40.8,,,2.1,0.048951049,0.0023962052,,,0.048951049
Moscow Institute of Physics and TechnologyRussian Federation,15.5,40.8,,,-25.3,-1.6322580645,2.6642663892,,,1.6322580645
Kansas State UniversityUnited States,39.3,40.7,,,-1.4,-0.0356234097,0.0012690273,,,0.0356234097
Otto von Guericke University of MagdeburgGermany,39.7,40.3,,,-0.6,-0.0151133501,0.0002284134,,,0.0151133501
AGH University of Science and TechnologyPoland,35.7,40.3,,,-4.6,-0.1288515406,0.0166027195,,,0.1288515406
Miami UniversityUnited States,36.1,40.1,,,-4,-0.1108033241,0.0122773766,,,0.1108033241
South China University of TechnologyChina,28.1,39.5,,,-11.4,-0.4056939502,0.1645875812,,,0.4056939502
Middlesex UniversityUnited Kingdom,25.7,39.5,,,-13.8,-0.5369649805,0.2883313903,,,0.5369649805
University of MinhoPortugal,35.3,39.2,,,-3.9,-0.1104815864,0.0122061809,,,0.1104815864
University of ArkansasUnited States,30.3,39.2,,,-8.9,-0.2937293729,0.0862769445,,,0.2937293729
"Birla Institute of Technology and Science, PilaniIndia",17.4,38.9,17.4,38.9,-21.5,-1.2356321839,1.5267868939,,,1.2356321839
Glasgow Caledonian UniversityUnited Kingdom,24.2,38.8,,,-14.6,-0.6033057851,0.3639778704,,,0.6033057851
United Arab Emirates UniversityUnited Arab Emirates,21.7,38.7,,,-17,-0.7834101382,0.6137314447,,,0.7834101382
National Taiwan University of Science and Technology (Taiwan Tech)Taiwan,39.1,38.5,,,0.6,0.0153452685,0.0002354773,,,0.0153452685
"Isfahan University of TechnologyIran, Islamic Republic of",39.5,38.4,,,1.1,0.0278481013,0.0007755167,,,0.0278481013
American University of BeirutLebanon,31.9,38.4,,,-6.5,-0.2037617555,0.041518853,,,0.2037617555
Indian Institute of Technology KanpurIndia,31.5,38.4,31.5,38.4,-6.9,-0.219047619,0.0479818594,,,0.219047619
Northumbria UniversityUnited Kingdom,29.2,38.4,,,-9.2,-0.3150684932,0.0992681554,,,0.3150684932
University of the West of EnglandUnited Kingdom,34.6,38.3,,,-3.7,-0.1069364162,0.0114353971,,,0.1069364162
Osaka UniversityJapan,37.4,38.2,,,-0.8,-0.0213903743,0.0004575481,,,0.0213903743
Jagiellonian UniversityPoland,30.7,38.1,,,-7.4,-0.2410423453,0.0581014122,,,0.2410423453
Yokohama City UniversityJapan,36.4,38,,,-1.6,-0.043956044,0.0019321338,,,0.043956044
Oxford Brookes UniversityUnited Kingdom,42.7,37.8,,,4.9,0.1147540984,0.0131685031,,,0.1147540984
De Montfort UniversityUnited Kingdom,40.1,37.7,,,2.4,0.0598503741,0.0035820673,,,0.0598503741
National Yang-Ming UniversityTaiwan,33.3,37.7,,,-4.4,-0.1321321321,0.0174589003,,,0.1321321321
"Sharif University of TechnologyIran, Islamic Republic of",33.7,37.6,,,-3.9,-0.115727003,0.0133927392,,,0.115727003
Jadavpur UniversityIndia,31.8,37.6,31.8,37.6,-5.8,-0.1823899371,0.0332660892,,,0.1823899371
University of BrightonUnited Kingdom,20.1,37.4,,,-17.3,-0.8606965174,0.7407984951,,,0.8606965174
University of ChileChile,30.5,36.9,,,-6.4,-0.2098360656,0.0440311744,,,0.2098360656
Mahidol UniversityThailand,28.3,36.8,,,-8.5,-0.3003533569,0.090212139,,,0.3003533569
Complutense University of MadridSpain,31.2,36.7,,,-5.5,-0.1762820513,0.0310753616,,,0.1762820513
King Fahd University of Petroleum and MineralsSaudi Arabia,24.4,36.7,,,-12.3,-0.5040983607,0.2541151572,,,0.5040983607
Kanazawa UniversityJapan,35.5,36.6,,,-1.1,-0.0309859155,0.000960127,,,0.0309859155
Monterrey Institute of Technology and Higher EducationMexico,23.4,36.5,,,-13.1,-0.5598290598,0.3134085762,,,0.5598290598
Hacettepe UniversityTurkey,19.7,36.5,,,-16.8,-0.8527918782,0.7272539875,,,0.8527918782
Czech Technical University in PragueCzech Republic,46.5,36.4,,,10.1,0.2172043011,0.0471777084,,,0.2172043011
National University of Sciences and TechnologyPakistan,35,36.2,,,-1.2,-0.0342857143,0.0011755102,,,0.0342857143
University of StrathclydeUnited Kingdom,31.8,36.2,,,-4.4,-0.1383647799,0.0191448123,,,0.1383647799
Feng Chia UniversityTaiwan,34.4,36,,,-1.6,-0.0465116279,0.0021633315,,,0.0465116279
University of PatrasGreece,28.8,35.9,,,-7.1,-0.2465277778,0.0607759452,,,0.2465277778
University of GreenwichUnited Kingdom,17.7,35.9,,,-18.2,-1.0282485876,1.0572951578,,,1.0282485876
University of Nebraska Medical CenterUnited States,64.4,35.8,,,28.6,0.4440993789,0.1972242583,,,0.4440993789
Kyushu UniversityJapan,31.8,35.7,,,-3.9,-0.1226415094,0.0150409398,,,0.1226415094
"Hanyang UniversityKorea, Republic of",31.1,35.6,,,-4.5,-0.1446945338,0.0209365081,,,0.1446945338
"Amirkabir University of TechnologyIran, Islamic Republic of",34.8,35.5,,,-0.7,-0.0201149425,0.0004046109,,,0.0201149425
Ben-Gurion University of the NegevIsrael,30.1,35.5,,,-5.4,-0.1794019934,0.0321850752,,,0.1794019934
Renmin University of ChinaChina,30.7,35.4,,,-4.7,-0.1530944625,0.0234379145,,,0.1530944625
National Chiao Tung UniversityTaiwan,34.2,35.3,,,-1.1,-0.0321637427,0.0010345063,,,0.0321637427
University of Castilla-La ManchaSpain,30.5,35.3,,,-4.8,-0.1573770492,0.0247675356,,,0.1573770492
China University of Geosciences (Wuhan)China,21.5,35.3,,,-13.8,-0.6418604651,0.4119848567,,,0.6418604651
University of TsukubaJapan,33.7,35.1,,,-1.4,-0.0415430267,0.0017258231,,,0.0415430267
