University,HiCi-14,HiCi,,,,,,,
University of Lisbon,5,5,,,0,0,0,,0
Dalian University of Technology,5,5,,,0,0,0,,0
Kyung Hee University,5,5,,,0,0,0,,0
Nankai University,5,5,,,0,0,0,,0
University of Malaya,5,5,,,0,0,0,,0
University of Milan - Bicocca,5,5,,,0,0,0,,0
East China University of Science and Technology,5,5,,,0,0,0,,0
Ewha Womans University,5,5,,,0,0,0,,0
Polytechnic University of Catalonia,5,5,,,0,0,0,,0
Stellenbosch University,5,5,,,0,0,0,,0
University of Pavia,5,5,,,0,0,0,,0
University of Trieste,5,5,,,0,0,0,,0
Aristotle University of Thessaloniki,4.9,4.9,,,0,0,0,,0
Hiroshima University,4.8,4.8,,,0,0,0,,0
University of St Andrews,3.8,3.8,,,0,0,0,,0
Tokyo Medical and Dental University,8.6,3.6,,,5,0.5813953488,0.3380205516,,0.5813953488
University of Naples Federico II,8.6,3.6,,,5,0.5813953488,0.3380205516,,0.5813953488
Ecole Normale Superieure - Lyon,3.6,3.6,,,0,0,0,,0
University of Kentucky,3.6,3.6,,,0,0,0,,0
University of Missouri - Columbia,3.6,3.6,,,0,0,0,,0
Federal University of Minas Gerais,3.6,3.6,,,0,0,0,,0
Griffith University,3.6,3.6,,,0,0,0,,0
Jagiellonian University,3.6,3.6,,,0,0,0,,0
University of Campinas,3.6,3.6,,,0,0,0,,0
University of Halle-Wittenberg,3.6,3.6,,,0,0,0,,0
Wayne State University,3.6,3.6,,,0,0,0,,0
Ben-Gurion University of the Negev,3.6,3.6,,,0,0,0,,0
Catholic University of Chile,3.6,3.6,,,0,0,0,,0
Catholic University of the Sacred Heart,3.6,3.6,,,0,0,0,,0
Chang Gung University,3.6,3.6,,,0,0,0,,0
Medical University of Graz,3.6,3.6,,,0,0,0,,0
Okayama University,3.6,3.6,,,0,0,0,,0
Technical University Darmstadt,3.6,3.6,,,0,0,0,,0
Technical University of Braunschweig,3.6,3.6,,,0,0,0,,0
University of KwaZulu-Natal,3.6,3.6,,,0,0,0,,0
University of Nice Sophia Antipolis,3.6,3.6,,,0,0,0,,0
University of Perugia,3.6,3.6,,,0,0,0,,0
University of Regensburg,3.6,3.6,,,0,0,0,,0
University of Rennes 1,3.6,3.6,,,0,0,0,,0
University of Szeged,3.6,3.6,,,0,0,0,,0
University of the Basque Country,3.6,3.6,,,0,0,0,,0
Utah State University,3.6,3.6,,,0,0,0,,0
National Autonomous University of Mexico,3.3,3.3,,,0,0,0,,0
,,,,,,0,0,,0
,,,,,,,6.5566952536,,10.8269403446
,,,,,,,0.0153552582,,0.0253558322
,,,,,,,0.1239163355,,
