University,PCP-14,PCP,,,,,,,
The University of Texas at Austin,26,26.6,,,-0.6,-0.0230769231,0.0005325444,,0.0230769231
"University of Maryland, College Park",26,26.5,,,-0.5,-0.0192307692,0.0003698225,,0.0192307692
Erasmus University,26.4,26.4,,,0,0,0,,0
University of Sussex,25.6,26.4,,,-0.8,-0.03125,0.0009765625,,0.03125
Tel Aviv University,24.9,26.4,,,-1.5,-0.0602409639,0.0036289737,,0.0602409639
"University of Minnesota, Twin Cities",26.2,26.2,,,0,0,0,,0
Nanyang Technological University,25,26.2,,,-1.2,-0.048,0.002304,,0.048
Washington University in St. Louis,26.1,26,,,0.1,0.0038314176,1.46797610134911E-005,,0.0038314176
"University of California, Davis",26.1,26,,,0.1,0.0038314176,1.46797610134911E-005,,0.0038314176
The University of Edinburgh,25.8,25.9,,,-0.1,-0.003875969,1.50231356288678E-005,,0.003875969
University of Bonn,25.2,25.9,,,-0.7,-0.0277777778,0.0007716049,,0.0277777778
Tufts University,25.6,25.7,,,-0.1,-0.00390625,1.52587890624993E-005,,0.00390625
The University of Adelaide,24.5,25.7,,,-1.2,-0.0489795918,0.0023990004,,0.0489795918
The University of Manchester,25.9,25.6,,,0.3,0.0115830116,0.0001341662,,0.0115830116
University of Michigan-Ann Arbor,25.6,25.6,,,0,0,0,,0
University of North Carolina at Chapel Hill,25.6,25.6,,,0,0,0,,0
Stockholm University,25.3,25.6,,,-0.3,-0.0118577075,0.0001406052,,0.0118577075
King's College London,24.9,25.6,,,-0.7,-0.0281124498,0.0007903098,,0.0281124498
University of Goettingen,24.7,25.6,,,-0.9,-0.036437247,0.001327673,,0.036437247
Monash University,25.1,25.5,,,-0.4,-0.015936255,0.0002539642,,0.015936255
University of Science and Technology of China,23.9,25.5,,,-1.6,-0.0669456067,0.0044817143,,0.0669456067
University of Zurich,25.1,25.4,,,-0.3,-0.0119521912,0.0001428549,,0.0119521912
University of Frankfurt,24.7,25.3,,,-0.6,-0.024291498,0.0005900769,,0.024291498
University of Sydney,24.7,25.3,,,-0.6,-0.024291498,0.0005900769,,0.024291498
University of Freiburg,24.4,25.3,,,-0.9,-0.0368852459,0.0013605214,,0.0368852459
University of Innsbruck,24.5,25.2,,,-0.7,-0.0285714286,0.0008163265,,0.0285714286
Maastricht University,24.8,25.1,,,-0.3,-0.0120967742,0.0001463319,,0.0120967742
Macquarie University,24.3,25.1,,,-0.8,-0.0329218107,0.0010838456,,0.0329218107
Weizmann Institute of Science,24.1,25.1,,,-1,-0.0414937759,0.0017217334,,0.0414937759
Brandeis University,24.6,24.8,,,-0.2,-0.0081300813,6.60982219578289E-005,,0.0081300813
University of Wisconsin - Madison,24.5,24.6,,,-0.1,-0.0040816327,1.66597251145361E-005,,0.0040816327
University of Southampton,24.4,24.3,,,0.1,0.0040983607,1.67965600644981E-005,,0.0040983607
The Hong Kong University of Science and Technology,22.8,24.3,,,-1.5,-0.0657894737,0.0043282548,,0.0657894737
University of British Columbia,24.4,24.2,,,0.2,0.0081967213,6.71862402579947E-005,,0.0081967213
Swedish University of Agricultural Sciences,24,24.2,,,-0.2,-0.0083333333,6.9444444444444E-005,,0.0083333333
Tokyo Institute of Technology,24.4,24,,,0.4,0.0163934426,0.000268745,,0.0163934426
National Autonomous University of Mexico,23.2,24,,,-0.8,-0.0344827586,0.0011890606,,0.0344827586
University of Wollongong,21.7,24,,,-2.3,-0.1059907834,0.0112340462,,0.1059907834
University of Massachusetts Medical School - Worcester,24.4,23.9,,,0.5,0.0204918033,0.000419914,,0.0204918033
University of Vienna,24.2,23.9,,,0.3,0.0123966942,0.000153678,,0.0123966942
Pierre and Marie  Curie University - Paris 6,23.8,23.9,,,-0.1,-0.0042016807,1.76541204717173E-005,,0.0042016807
Duke University,23.7,23.9,,,-0.2,-0.0084388186,7.12136587797534E-005,,0.0084388186
James Cook University,23.5,23.9,,,-0.4,-0.0170212766,0.0002897239,,0.0170212766
The University of New South Wales,23.2,23.9,,,-0.7,-0.0301724138,0.0009103746,,0.0301724138
University of Tuebingen,23.5,23.7,,,-0.2,-0.0085106383,0.000072431,,0.0085106383
University of Liege,23.9,23.5,,,0.4,0.0167364017,0.0002801071,,0.0167364017
Kyoto University,23.8,23.5,,,0.3,0.012605042,0.0001588871,,0.012605042
Rensselaer Polytechnic Institute,23.8,23.5,,,0.3,0.012605042,0.0001588871,,0.012605042
Seoul National University,23.4,23.5,,,-0.1,-0.0042735043,1.82628387756598E-005,,0.0042735043
University of Exeter,22.7,23.5,,,-0.8,-0.0352422907,0.0012420191,,0.0352422907
Technical University of Denmark,22.6,23.4,,,-0.8,-0.0353982301,0.0012530347,,0.0353982301
New York University,23.4,23.3,,,0.1,0.0042735043,1.82628387756585E-005,,0.0042735043
University of Lisbon,22.8,23.3,,,-0.5,-0.0219298246,0.0004809172,,0.0219298246
Curtin University,21.4,23.3,,,-1.9,-0.0887850467,0.0078827845,,0.0887850467
Tokyo Medical and Dental University,24.5,23.2,,,1.3,0.0530612245,0.0028154935,,0.0530612245
University of East Anglia,23.5,23.2,,,0.3,0.0127659574,0.0001629697,,0.0127659574
University of Massachusetts Amherst,23.2,23.2,,,0,0,0,,0
Nagoya University,21.1,23.1,,,-2,-0.0947867299,0.0089845242,,0.0947867299
Shanghai Jiao Tong University,21.8,23,,,-1.2,-0.0550458716,0.003030048,,0.0550458716
"Rutgers, The State University of New Jersey - New Brunswick",24.5,22.9,,,1.6,0.0653061224,0.0042648896,,0.0653061224
Case Western Reserve University,23,22.9,,,0.1,0.0043478261,1.89035916824202E-005,,0.0043478261
The University of Glasgow,22.6,22.9,,,-0.3,-0.0132743363,0.000176208,,0.0132743363
Vienna University of Technology,22.2,22.9,,,-0.7,-0.0315315315,0.0009942375,,0.0315315315
University of Tasmania,22,22.9,,,-0.9,-0.0409090909,0.0016735537,,0.0409090909
Oregon State University,22.4,22.7,,,-0.3,-0.0133928571,0.0001793686,,0.0133928571
Swinburne University of Technology,22.4,22.6,,,-0.2,-0.0089285714,7.97193877551043E-005,,0.0089285714
University of Alberta,22.7,22.5,,,0.2,0.0088105727,7.76261910768688E-005,,0.0088105727
University of Liverpool,22.7,22.5,,,0.2,0.0088105727,7.76261910768688E-005,,0.0088105727
McMaster University,22.6,22.5,,,0.1,0.0044247788,1.95786670843454E-005,,0.0044247788
Eindhoven University of Technology,22.5,22.5,,,0,0,0,,0
The University of Hong Kong,22.4,22.5,,,-0.1,-0.0044642857,1.99298469387761E-005,,0.0044642857
Pennsylvania State University - University Park,22.6,22.4,,,0.2,0.0088495575,7.83146683373818E-005,,0.0088495575
The University of Texas Southwestern Medical Center at Dallas,22.2,22.4,,,-0.2,-0.009009009,8.11622433244049E-005,,0.009009009
Purdue University - West Lafayette,22.2,22.4,,,-0.2,-0.009009009,8.11622433244049E-005,,0.009009009
Oregon Health and Science University,22,22.4,,,-0.4,-0.0181818182,0.0003305785,,0.0181818182
University of Muenster,21.3,22.2,,,-0.9,-0.0422535211,0.00178536,,0.0422535211
University of Pisa,22.2,22.1,,,0.1,0.0045045045,2.02905608311005E-005,,0.0045045045
City University of Hong Kong,21.5,22.1,,,-0.6,-0.0279069767,0.0007787994,,0.0279069767
Flinders University,21.3,22.1,,,-0.8,-0.0375586854,0.0014106549,,0.0375586854
Korea University,21.2,22.1,,,-0.9,-0.0424528302,0.0018022428,,0.0424528302
University of Hamburg,20.8,22.1,,,-1.3,-0.0625,0.00390625,,0.0625
University of Padua,22,22,,,0,0,0,,0
The Chinese University of Hong Kong,21.7,22,,,-0.3,-0.0138248848,0.0001911274,,0.0138248848
University of Waterloo,21.3,22,,,-0.7,-0.0328638498,0.0010800326,,0.0328638498
Ecole Polytechnique,21.3,22,,,-0.7,-0.0328638498,0.0010800326,,0.0328638498
The University of Texas at Dallas,21.5,21.9,,,-0.4,-0.0186046512,0.000346133,,0.0186046512
University of Erlangen-Nuremberg,20.8,21.9,,,-1.1,-0.0528846154,0.0027967825,,0.0528846154
Boston University,21.9,21.8,,,0.1,0.00456621,2.08502741811046E-005,,0.00456621
UNESP,20.7,21.8,,,-1.1,-0.0531400966,0.0028238699,,0.0531400966
Osaka University,22.3,21.7,,,0.6,0.0269058296,0.0007239237,,0.0269058296
The University of Sheffield,21.6,21.7,,,-0.1,-0.0046296296,2.14334705075437E-005,,0.0046296296
Chang Gung University,21.6,21.7,,,-0.1,-0.0046296296,2.14334705075437E-005,,0.0046296296
University of Montreal,21.4,21.7,,,-0.3,-0.0140186916,0.0001965237,,0.0140186916
Delft University of Technology,21.3,21.7,,,-0.4,-0.0187793427,0.0003526637,,0.0187793427
University of Strasbourg,21.2,21.7,,,-0.5,-0.0235849057,0.0005562478,,0.0235849057
University of Buenos Aires,21.2,21.7,,,-0.5,-0.0235849057,0.0005562478,,0.0235849057
TU Dresden,20.6,21.7,,,-1.1,-0.0533980583,0.0028513526,,0.0533980583
Yeshiva University,21.9,21.6,,,0.3,0.0136986301,0.0001876525,,0.0136986301
Tohoku University,21.3,21.6,,,-0.3,-0.014084507,0.0001983733,,0.014084507
RWTH Aachen University,20.8,21.6,,,-0.8,-0.0384615385,0.0014792899,,0.0384615385
Hanyang University,20.8,21.6,,,-0.8,-0.0384615385,0.0014792899,,0.0384615385
London School of Hygiene & Tropical Medicine,20.8,21.6,,,-0.8,-0.0384615385,0.0014792899,,0.0384615385
University of Malaya,18.5,21.6,,,-3.1,-0.1675675676,0.0280788897,,0.1675675676
Fudan University,21.3,21.5,,,-0.2,-0.0093896714,8.81659282770167E-005,,0.0093896714
Icahn School of Medicine at Mount Sinai,20.8,21.5,,,-0.7,-0.0336538462,0.0011325814,,0.0336538462
University of Koeln,20.2,21.5,,,-1.3,-0.0643564356,0.0041417508,,0.0643564356
Medical University of Graz,22,21.4,,,0.6,0.0272727273,0.0007438017,,0.0272727273
University of Milan - Bicocca,21.5,21.4,,,0.1,0.0046511628,2.16333153055712E-005,,0.0046511628
Sungkyunkwan University,21.3,21.4,,,-0.1,-0.0046948357,2.20414820692534E-005,,0.0046948357
University of Ferrara,21.3,21.4,,,-0.1,-0.0046948357,2.20414820692534E-005,,0.0046948357
Durham University,21,21.4,,,-0.4,-0.019047619,0.0003628118,,0.019047619
Yonsei University,20.8,21.4,,,-0.6,-0.0288461538,0.0008321006,,0.0288461538
The University of Auckland,20.8,21.3,,,-0.5,-0.0240384615,0.0005778476,,0.0240384615
University of Lausanne,21.5,21.2,,,0.3,0.0139534884,0.0001946998,,0.0139534884
University of Aberdeen,21.2,21.2,,,0,0,0,,0
Lund University,20.9,21.2,,,-0.3,-0.014354067,0.0002060392,,0.014354067
University of Milan,20.8,21.2,,,-0.4,-0.0192307692,0.0003698225,,0.0192307692
National Tsing Hua University,20.8,21.1,,,-0.3,-0.0144230769,0.0002080251,,0.0144230769
University of Wuerzburg,20.7,21.1,,,-0.4,-0.0193236715,0.0003734043,,0.0193236715
University of Porto,20.3,21.1,,,-0.8,-0.039408867,0.0015530588,,0.039408867
University of Belgrade,20.9,21,,,-0.1,-0.004784689,2.28932487809352E-005,,0.004784689
Deakin University,19.9,21,,,-1.1,-0.0552763819,0.0030554784,,0.0552763819
University of Tehran,19.6,21,,,-1.4,-0.0714285714,0.0051020408,,0.0714285714
Texas A&M University,20.8,20.9,,,-0.1,-0.0048076923,2.31139053254428E-005,,0.0048076923
University of Rochester,21.5,20.8,,,0.7,0.0325581395,0.0010600324,,0.0325581395
University of St Andrews,20.4,20.8,,,-0.4,-0.0196078431,0.0003844675,,0.0196078431
University of Cape Town,19.1,20.8,,,-1.7,-0.0890052356,0.007921932,,0.0890052356
Northeastern University,20.2,20.7,,,-0.5,-0.0247524752,0.000612685,,0.0247524752
Dartmouth College,20.3,20.6,,,-0.3,-0.0147783251,0.0002183989,,0.0147783251
University of Birmingham,20.7,20.5,,,0.2,0.0096618357,9.33510700366396E-005,,0.0096618357
University of York,20.4,20.4,,,0,0,0,,0
Polytechnic Institute of Milan,20.3,20.4,,,-0.1,-0.0049261084,2.42665437161775E-005,,0.0049261084
Cardiff University,21.2,20.3,,,0.9,0.0424528302,0.0018022428,,0.0424528302
University of Arizona,20.5,20.3,,,0.2,0.0097560976,9.51814396192736E-005,,0.0097560976
Karlsruhe Institute of Technology (KIT),19.8,20.3,,,-0.5,-0.0252525253,0.00063769,,0.0252525253
University of Southern California,19.7,20.3,,,-0.6,-0.0304568528,0.0009276199,,0.0304568528
Autonomous University of Barcelona,20.3,20.2,,,0.1,0.0049261084,2.42665437161792E-005,,0.0049261084
The University of Dundee,20.3,20.2,,,0.1,0.0049261084,2.42665437161792E-005,,0.0049261084
University of Turin,20.1,20.2,,,-0.1,-0.0049751244,2.47518625776579E-005,,0.0049751244
University of Campinas,20,20.2,,,-0.2,-0.01,0.0001,,0.01
University of Houston,19.9,20.2,,,-0.3,-0.0150753769,0.000227267,,0.0150753769
Tsinghua University,19.5,20.2,,,-0.7,-0.0358974359,0.0012886259,,0.0358974359
Indiana University Bloomington,19.4,20.2,,,-0.8,-0.0412371134,0.0017004995,,0.0412371134
University of Twente,20.8,20.1,,,0.7,0.0336538462,0.0011325814,,0.0336538462
University of Mainz,20.1,20.1,,,0,0,0,,0
University of Trieste,20.1,20.1,,,0,0,0,,0
University of Nottingham,19.9,20.1,,,-0.2,-0.0100502513,0.0001010076,,0.0100502513
Colorado State University,19.5,20.1,,,-0.6,-0.0307692308,0.0009467456,,0.0307692308
University of Bergen,19.5,20.1,,,-0.6,-0.0307692308,0.0009467456,,0.0307692308
University of Leicester,20.4,20,,,0.4,0.0196078431,0.0003844675,,0.0196078431
University of Notre Dame,19.7,20,,,-0.3,-0.0152284264,0.000231905,,0.0152284264
Norwegian University of Science and Technology - NTNU,18,20,,,-2,-0.1111111111,0.012345679,,0.1111111111
Chalmers University of Technology,20,19.9,,,0.1,0.005,0.000025,,0.005
Baylor College of Medicine,19.9,19.9,,,0,0,0,,0
University of Arkansas at Little Rock,19.8,19.9,,,-0.1,-0.0050505051,2.55076012651759E-005,,0.0050505051
University of Victoria,19.5,19.9,,,-0.4,-0.0205128205,0.0004207758,,0.0205128205
University of Essex,19.3,19.9,,,-0.6,-0.0310880829,0.0009664689,,0.0310880829
Federal University of Rio de Janeiro,19.2,19.9,,,-0.7,-0.0364583333,0.0013292101,,0.0364583333
Zhejiang University,19,19.9,,,-0.9,-0.0473684211,0.0022437673,,0.0473684211
University of Leeds,20.1,19.8,,,0.3,0.0149253731,0.0002227668,,0.0149253731
Iowa State University,19.6,19.8,,,-0.2,-0.0102040816,0.0001041233,,0.0102040816
University of Southern Denmark,18,19.8,,,-1.8,-0.1,0.01,,0.1
University of Pavia,19.9,19.7,,,0.2,0.0100502513,0.0001010076,,0.0100502513
University of Gothenburg,19.7,19.7,,,0,0,0,,0
Medical University of South Carolina,19.7,19.7,,,0,0,0,,0
Charles University in Prague,19.3,19.7,,,-0.4,-0.0207253886,0.0004295417,,0.0207253886
National and Kapodistrian University of Athens,19.2,19.7,,,-0.5,-0.0260416667,0.0006781684,,0.0260416667
National Sun Yat-Sen University,19.9,19.6,,,0.3,0.0150753769,0.000227267,,0.0150753769
University of Parma,18.8,19.6,,,-0.8,-0.0425531915,0.0018107741,,0.0425531915
Griffith University,18.3,19.6,,,-1.3,-0.0710382514,0.0050464332,,0.0710382514
University Paris Diderot - Paris 7,19.4,19.5,,,-0.1,-0.0051546392,2.65703050271025E-005,,0.0051546392
Peking University,19,19.5,,,-0.5,-0.0263157895,0.0006925208,,0.0263157895
University of Ottawa,18.8,19.5,,,-0.7,-0.0372340426,0.0013863739,,0.0372340426
University of the Witwatersrand,18.3,19.5,,,-1.2,-0.0655737705,0.0042999194,,0.0655737705
National Taiwan University,19.9,19.4,,,0.5,0.0251256281,0.0006312972,,0.0251256281
Florida State University,19.1,19.4,,,-0.3,-0.0157068063,0.0002467038,,0.0157068063
University of Guelph,18.7,19.4,,,-0.7,-0.0374331551,0.0014012411,,0.0374331551
National Chiao Tung University,20.4,19.3,,,1.1,0.0539215686,0.0029075356,,0.0539215686
University of Roma - Tor Vergata,19.4,19.2,,,0.2,0.0103092784,0.0001062812,,0.0103092784
Lancaster University,18.5,19.2,,,-0.7,-0.0378378378,0.001431702,,0.0378378378
Drexel University,18.2,19.2,,,-1,-0.0549450549,0.0030189591,,0.0549450549
Arizona State University,19.1,19.1,,,0,0,0,,0
North Carolina State University - Raleigh,18.9,19.1,,,-0.2,-0.0105820106,0.0001119789,,0.0105820106
University of Virginia,18.8,19.1,,,-0.3,-0.0159574468,0.0002546401,,0.0159574468
"University of Technology, Sydney",18.6,19.1,,,-0.5,-0.0268817204,0.0007226269,,0.0268817204
University of Bath,18.6,19.1,,,-0.5,-0.0268817204,0.0007226269,,0.0268817204
City University of New York City College,18.4,19.1,,,-0.7,-0.0380434783,0.0014473062,,0.0380434783
University of Delaware,19.4,19,,,0.4,0.0206185567,0.0004251249,,0.0206185567
Queen's University,19.2,19,,,0.2,0.0104166667,0.0001085069,,0.0104166667
Vanderbilt University,18.9,19,,,-0.1,-0.0052910053,2.79947369894468E-005,,0.0052910053
Trinity College Dublin,18.3,19,,,-0.7,-0.0382513661,0.001463167,,0.0382513661
Federal University of Rio Grande do Sul,18.2,19,,,-0.8,-0.043956044,0.0019321338,,0.043956044
Nanjing University,17.8,19,,,-1.2,-0.0674157303,0.0045448807,,0.0674157303
The Hong Kong Polytechnic University,19,18.9,,,0.1,0.0052631579,2.77008310249315E-005,,0.0052631579
The Ohio State University - Columbus,18.8,18.9,,,-0.1,-0.0053191489,2.82933454051595E-005,,0.0053191489
Simon Fraser University,18.8,18.9,,,-0.1,-0.0053191489,2.82933454051595E-005,,0.0053191489
Michigan State University,18.5,18.9,,,-0.4,-0.0216216216,0.0004674945,,0.0216216216
Lanzhou University,17.5,18.9,,,-1.4,-0.08,0.0064,,0.08
Xian Jiao Tong University,17.4,18.9,,,-1.5,-0.0862068966,0.007431629,,0.0862068966
University of Kiel,18.2,18.8,,,-0.6,-0.032967033,0.0010868253,,0.032967033
University of Lorraine,18.2,18.8,,,-0.6,-0.032967033,0.0010868253,,0.032967033
Hokkaido University,19.1,18.7,,,0.4,0.0209424084,0.0004385845,,0.0209424084
University of Utah,18.7,18.7,,,0,0,0,,0
University of Hawaii at Manoa,18.7,18.7,,,0,0,0,,0
University of Barcelona,18.4,18.7,,,-0.3,-0.0163043478,0.0002658318,,0.0163043478
Newcastle University,18.8,18.6,,,0.2,0.0106382979,0.0001131734,,0.0106382979
University of Leipzig,18.5,18.6,,,-0.1,-0.0054054054,2.92184075967868E-005,,0.0054054054
University of Bologna,18.4,18.6,,,-0.2,-0.0108695652,0.0001181474,,0.0108695652
Indian Institute of Science,17.3,18.6,17.3,18.6,-1.3,-0.0751445087,0.0056466972,,0.0751445087
The University of Reading,19.7,18.5,,,1.2,0.0609137056,0.0037104795,,0.0609137056
University of Bochum,18.6,18.5,,,0.1,0.0053763441,2.89050757312992E-005,,0.0053763441
University of Florence,18.6,18.5,,,0.1,0.0053763441,2.89050757312992E-005,,0.0053763441
George Mason University,18.1,18.5,,,-0.4,-0.0220994475,0.0004883856,,0.0220994475
University of South Florida,18.1,18.5,,,-0.4,-0.0220994475,0.0004883856,,0.0220994475
University of Perugia,18.1,18.5,,,-0.4,-0.0220994475,0.0004883856,,0.0220994475
Medical University of Vienna,18,18.4,,,-0.4,-0.0222222222,0.0004938272,,0.0222222222
University of Pittsburgh-Pittsburgh Campus,18.5,18.3,,,0.2,0.0108108108,0.0001168736,,0.0108108108
University of Oregon,18.5,18.3,,,0.2,0.0108108108,0.0001168736,,0.0108108108
Federal University of Minas Gerais,17.9,18.3,,,-0.4,-0.0223463687,0.0004993602,,0.0223463687
Joseph Fourier University (Grenoble 1),20.2,18.2,,,2,0.099009901,0.0098029605,,0.099009901
The University of Georgia,18.3,18.1,,,0.2,0.0109289617,0.0001194422,,0.0109289617
Catholic University of the Sacred Heart,18,18.1,,,-0.1,-0.0055555556,3.08641975308651E-005,,0.0055555556
Kyung Hee University,18.1,18,,,0.1,0.0055248619,3.05240987759845E-005,,0.0055248619
The University of Calgary,18,18,,,0,0,0,,0
University of Surrey,18,18,,,0,0,0,,0
Emory University,17.9,18,,,-0.1,-0.0055865922,0.00003121,,0.0055865922
University College Dublin,17.9,18,,,-0.1,-0.0055865922,0.00003121,,0.0055865922
Dalhousie University,17.9,17.9,,,0,0,0,,0
Georgetown University,17.9,17.9,,,0,0,0,,0
Sun Yat-sen University,17,17.9,,,-0.9,-0.0529411765,0.0028027682,,0.0529411765
The George Washington University,17,17.9,,,-0.9,-0.0529411765,0.0028027682,,0.0529411765
University of Illinois at Chicago,17.4,17.8,,,-0.4,-0.0229885057,0.0005284714,,0.0229885057
Tianjin University,16.2,17.8,,,-1.6,-0.0987654321,0.0097546106,,0.0987654321
Queen's University Belfast,18,17.6,,,0.4,0.0222222222,0.0004938272,,0.0222222222
Kyushu University,18,17.5,,,0.5,0.0277777778,0.0007716049,,0.0277777778
University of Iowa,17.7,17.5,,,0.2,0.011299435,0.0001276772,,0.011299435
Linkoping University,17.7,17.5,,,0.2,0.011299435,0.0001276772,,0.011299435
University of Ulm,16.8,17.4,,,-0.6,-0.0357142857,0.0012755102,,0.0357142857
Virginia Polytechnic Institute and State University,16.7,17.4,,,-0.7,-0.0419161677,0.0017569651,,0.0419161677
Saint Petersburg State University,16,17.4,,,-1.4,-0.0875,0.00765625,,0.0875
University of Florida,17.5,17.3,,,0.2,0.0114285714,0.0001306122,,0.0114285714
State University of New York Health Science Center at Brooklyn,17.5,17.3,,,0.2,0.0114285714,0.0001306122,,0.0114285714
Autonomous University of Madrid,17.1,17.3,,,-0.2,-0.0116959064,0.0001367942,,0.0116959064
"University of Maryland, Baltimore County",16.8,17.3,,,-0.5,-0.0297619048,0.000885771,,0.0297619048
National Cheng Kung University,17.9,17.2,,,0.7,0.0391061453,0.0015292906,,0.0391061453
Istanbul University,16.9,17.2,,,-0.3,-0.0177514793,0.000315115,,0.0177514793
China Agricultural University,16.6,17.2,,,-0.6,-0.0361445783,0.0013064305,,0.0361445783
University of Marburg,16.6,17.1,,,-0.5,-0.0301204819,0.0009072434,,0.0301204819
